<string>マスター
<string>下位・上位
<string><COLOR FF0000>#Rejected#</COLOR> Fa_ArenaCounter_Menu_03_MR
<string>チャレンジ　下位・上位
<string><FONT 13>M</FONT>★１
<string><FONT 13>M</FONT>★２
<string><FONT 13>M</FONT>★３
<string><FONT 13>M</FONT>★４
<string><FONT 13>M</FONT>★５
<string><FONT 13>M</FONT>★６
<string><COLOR FF0000>#Rejected#</COLOR> Fa_ArenaCounter_Menu_11_MR
<string><FONT 13>M</FONT>★１
<string><FONT 13>M</FONT>★２
<string><FONT 13>M</FONT>★３
<string><FONT 13>M</FONT>★４
<string><FONT 13>M</FONT>★５
<string><FONT 13>M</FONT>★６
