<string><COLOR FF0000>#Rejected#</COLOR> TU_Name_Head
<string>MONSTER HUNTER RISE Ver.1.1.1
<string>MONSTER HUNTER RISE Ver.2.0.0
<string>MONSTER HUNTER RISE Ver.3.0.0
<string>MONSTER HUNTER RISE Ver.3.1.0
<string>MONSTER HUNTER RISE Ver.3.2.0
<string>MONSTER HUNTER RISE Ver.3.3.0
<string>MONSTER HUNTER RISE Ver.3.4.0
<string>MONSTER HUNTER RISE Ver.3.5.0
<string>MONSTER HUNTER RISE Ver.3.6.0
<string>MONSTER HUNTER RISE Ver.3.7.0
<string>MONSTER HUNTER RISE Ver.3.8.0
<string>MONSTER HUNTER RISE Ver.1.1.2
<string>MONSTER HUNTER RISE Ver.3.3.1
<string>MONSTER HUNTER RISE Ver.3.4.1
<string>MONSTER HUNTER RISE Ver.3.6.1
<string>MONSTER HUNTER RISE Ver.3.9.1
<string>MONSTER HUNTER RISE Ver.3.9.1.0
<string>MONSTER HUNTER RISE Ver.?.?.?
<string>MONSTER HUNTER RISE Ver.3.9.0
