<string>Sterowanie hukaczem
<string>Wyślij hukacza
<string>Menu pupila
<string>Odeślij hukacza
<string>Pogłaszcz hukacza
<string>Zmień ubranko
<string>Edytuj imię
<string>Nakarm
<string>Wybierz ubranko
<string>Zmień kolor
<string>Ryngraf Kamury
<string>Szorstki kombinezon
<string>Szata Dobrych Wieści
<string>Szczek Ukrycia
<string>Puszysty kaptur
<string>Nakręcany hukacz
<string>Powietrzny as
<string>Groźna ara
<string>Na polowaniu
<string>Mały skrzydłosmok
<string>Letni żeglarz
<string>Nadęty pingwin
<string>Reniferowa impreza
<string>Ładny prezent
<string>Kolor 1
<string>Kolor 2
