<string>大师
<string>下位/上位
<string><COLOR FF0000>#Rejected#</COLOR> Fa_ArenaCounter_Menu_03_MR
<string>挑战　下位/上位
<string><FONT 13>大师</FONT>★1
<string><FONT 13>大师</FONT>★2
<string><FONT 13>大师</FONT>★3
<string><FONT 13>大师</FONT>★4
<string><FONT 13>大师</FONT>★5
<string><FONT 13>大师</FONT>★6
<string><COLOR FF0000>#Rejected#</COLOR> Fa_ArenaCounter_Menu_11_MR
<string><FONT 13>大师</FONT>★1
<string><FONT 13>大师</FONT>★2
<string><FONT 13>大师</FONT>★3
<string><FONT 13>大师</FONT>★4
<string><FONT 13>大师</FONT>★5
<string><FONT 13>大师</FONT>★6
