<string>Master
<string>初階･進階
<string><COLOR FF0000>#Rejected#</COLOR> Fa_ArenaCounter_Menu_03_MR
<string>挑戰　初階･進階
<string><FONT 13>Ｍ</FONT>★1
<string><FONT 13>Ｍ</FONT>★2
<string><FONT 13>Ｍ</FONT>★3
<string><FONT 13>Ｍ</FONT>★4
<string><FONT 13>Ｍ</FONT>★5
<string><FONT 13>Ｍ</FONT>★6
<string><COLOR FF0000>#Rejected#</COLOR> Fa_ArenaCounter_Menu_11_MR
<string><FONT 13>Ｍ</FONT>★1
<string><FONT 13>Ｍ</FONT>★2
<string><FONT 13>Ｍ</FONT>★3
<string><FONT 13>Ｍ</FONT>★4
<string><FONT 13>Ｍ</FONT>★5
<string><FONT 13>Ｍ</FONT>★6
