guid,crc?,<EndTalk>,<NPCID>,<PlayTime>,<PlayDelay>,<VoiceID>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
9b904074-ff96-423d-b6d5-cd0846e39e3b,2215599327,0,617,1.7999999523162842,0.0,-1,ep_qn455201_000_000,フィオレーネ様！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f1f0865-e54c-4851-a6e8-2cf2767afec5,4160573566,0,501,1.5,0.0,-1,ep_qn455201_000_001,どうした？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09933bc1-481a-489d-a9e7-704fe57451e8,3180288321,0,617,6.0,0.0,-1,ep_qn455201_000_002,"こうして共に調査に出るのは、
【あの時】以来……ですね",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9184769-904a-4ff0-8896-3e18537d75b4,1154652740,0,501,2.200000047683716,0.0,-1,ep_qn455201_000_003,……そうだな,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0b03574-d515-404e-b76b-39485408fa49,216945691,0,617,7.699999809265137,0.0,-1,ep_qn455201_000_004_1,"私は王国騎士の名に恥じぬ鍛錬を
積んできたつもりですですから今回こそは……",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9409f02-66c0-4399-a6da-73f518731fc0,3307517872,0,501,4.199999809265137,0.0,-1,ep_qn455201_000_005,"私語はもういい。
調査に集中しろ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49bf3488-3a3b-4fb6-bdd4-47c09ed8eb68,2124746896,1,617,2.0,0.0,-1,ep_qn455201_000_006,は……はい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e39e103c-9df7-4c43-8ac4-2e372a953ab5,1648945748,0,501,2.5999999046325684,0.0,-1,ep_qn455201_000_007,そろそろだな,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f360023a-66c4-4ab7-bb4a-dde3ce169cce,2334697764,0,617,5.0,0.0,-1,ep_qn455201_000_008,"フィオレーネ様……
この辺り。どうも匂いますね",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823bd058-52b2-4bf3-8b62-a05bbefd0c29,1472935406,0,501,4.300000190734863,0.0,-1,ep_qn455201_000_009,"お前は鼻が利くからな。
用心しておこう",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54d04617-748b-4a18-a4df-4cfedca84d39,2904217701,0,617,4.0,0.0,-1,ep_qn455201_000_010,いざとなったら、私が盾になりますゆえ！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d374029-003d-4f21-9597-80906f131b25,273517096,0,501,4.0,0.0,-1,ep_qn455201_000_011,"お前のその言葉。
まだ成長が足りない証だな",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e2b21c8-bc77-4abc-8f0b-51920219c250,124153442,0,617,2.0,0.0,-1,ep_qn455201_000_012,うっ……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d95ef8e2-861e-4119-9ce2-a3df5ce9ca8f,2020263779,1,501,3.0,0.0,-1,ep_qn455201_000_013,さあ、調査をはじめようか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
