guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
41b0d0c1-2260-41ca-84b0-1107d52fc7ae,1798586026,A_Arm_300_Explain,"より洗練された里の腕用防具。
様々な金属が緻密に束ね合わ
されており、とても軽く丈夫。","Refined vambraces bundling
various metals together,
making them light yet tough.","Avant-bras raffinés alliant
divers métaux qui offrent
robustesse et légèreté.","Eleganti protezioni
in una lega metallica
leggera ma resistente.","Raffinierte Armschienen aus
verschiedenen Metallen.
Leicht aber robust.","Una aleación de metales les
brinda su exquisito diseño,
ligero a la par que robusto.","Улучшенные наручи из сплава
разных металлов. Легкие, но
прочные.","Wzmocnione zarękawia ze
stopów metali. Są zarówno
lekkie, jak i wytrzymałe.",,,"Avambraços refinados feitos
de uma mistura de metais,
ficando leves, mas fortes.","보다 세련된 마을의 팔 방어구.
각종 금속을 치밀하게 묶어서
매우 튼튼하다.","更加洗鍊的神火村臂部防具。
各式金屬細緻緊密地組裝
在一起，非常輕盈且堅固。","经过千锤百炼的村庄臂部防具。
各种金属紧密地交织而成，非
常轻巧结实。",,,,,,,,"دروع ساعد مصقولة
من عدة معادن مختلفة،
مما يجعلها قوية رغم خفتها.",,,,,,,,,,,
2a389f8e-667d-4ad2-9694-038a8bbb0037,3456241782,A_Arm_301_Explain,"皮をベースに軽い素材で
作られた腕用装備。扱いやすさ
に重点をおいた作り。","Gloves crafted from leather
and other light materials.
Made to be easy to use.","Gants faits de cuir et
d'autres matériaux légers,
pour un usage facile.","Guanti fatti di cuoio e
altri materiali leggeri,
pensati per un uso agevole.","Handschuhe aus Leder und an-
deren leichten Materialien.
Einfach zu verwenden.","Guantes hechos de cuero y
otros materiales ligeros,
de fácil uso.","Перчатки из кожи
и других легких материалов.
Созданы для удобства.","Rękawice ze skóry i innych
lekkich materiałów. Zrobione
z myślą o wygodzie.",,,"Luvas feitas de couro e
outros materiais leves.
Feitas para serem práticas.","가죽 등의 가벼운 소재로
만든 팔 방어구. 편의성에
중점을 두고 만들었다.","以皮為基礎，
使用輕盈素材製作的臂部裝備。
製作時重視方便易用。","臂部装备，以皮为基础，
使用轻盈素材制成。
制作时重视方便易用。",,,,,,,,"قفازات مصنوعة من الجلد
ومواد خفيفة أخرى.
مصممة لتكون سهلة الاستخدام.",,,,,,,,,,,
665929bc-8032-4d0b-aada-d8a52d4ba357,1066322233,A_Arm_302_Explain,"鎖で編まれた腕用装備。
金属製のため頑丈。手入れも
しやすく人気が高い。","Sturdy gloves made of
chainmail. Popular and
easy to maintain.","Gants solides en maille.
Appréciés et faciles à
entretenir.","Robusti guanti in cotta di
maglia. Molto apprezzati e
di semplice manutenzione.","Robuste Handschuhe
aus Ketten.
Beliebt und pflegeleicht.","Guantes recios de malla.
Son fáciles de mantener
y su uso está muy extendido.","Прочные кольчужные перчатки.
Пользуются популярностью
и не требуют особого ухода.","Wytrzymałe rękawice kolcze.
Bardzo popularne
i łatwe w konserwacji.",,,"Luvas resistentes feitas
de cota de malha. Populares
e de fácil manutenção.","쇠사슬로 된 팔 방어구.
금속제라 튼튼하다.
수리도 쉬워서 인기가 많다.","以鎖鏈編成的臂部裝備。
因為是金屬製而相當堅固，
也易於保養，擁有高人氣。","臂部装备，以锁链编制而成。
由于是金属制所以相当坚固。
易于保养，人气颇高。",,,,,,,,"قفازات متينة مصنوعة من
حلقة فولاذية. شعبية
وسهلة الصيانة.",,,,,,,,,,,
38441749-56e4-493b-af2c-072c8c19490c,4045997418,A_Arm_303_Explain,"剣士の両腕を確実に防御する
ハンター用腕装備の最上位版。
多くの有名ハンターが愛用。","Top quality practical armwear
loved by many famous hunters.","Des avant-bras de haute qualité,
très appréciés des chasseurs
renommés.","Un modello molto speciale,
popolare tra i cacciatori.","Armrüstung von höchster
Qualität und daher beliebt bei
vielen erfolgreichen Jägern.","Armadura de gran calidad y
muy práctica, apreciada por
los más famosos cazadores.","Перчатки отменного качества.
Их носят многие известные
охотники. Очень практичные.","Wysokiej jakości praktyczne
naramienniki cenione przez
sławnych łowców.",,,"Braçadeira prática de alta
qualidade usada por
caçadores famosos.","검사의 양팔을 방어하는
최상급 헌터용 팔 방어구.
유명 헌터들도 애용한다.","能確實防護劍士的雙手，
為獵人臂部裝備的最高級款式。
獲得許多知名獵人的喜愛。","猎人专用臂部装备的最高级款
式。其可牢牢护住剑士的双手，
多位有名猎人对其爱不释手。",,,,,,,,"رداء ذراع عملي عالي الجودة
يحبه العديد من الصيادين المشهورين.",,,,,,,,,,,
7e4f05db-e05c-4530-bf88-c5d8d0e6b8c1,4206832037,A_Arm_304_Explain,"由来の知れぬ漆黒の骨で出来た
腕用装備。絶大な防御力は生前
強大な力を持った龍の顕現か。","Armguards made of unknown
black bones, which surely
belonged to a mighty beast.","Armure en os noirs inconnus
qui devaient appartenir à
une bête puissante.","Protezione per braccia con
ossa nere provenienti da
una belva sconosciuta.","Aus unbekannten schwarzen
Knochen, sicherlich von
einer mächtigen Bestie.","Brazales de huesos negros
no reconocibles, sin duda
de una bestia temible.","Наручи из неизвестно чьих
черных костей, наверняка
какого-то могучего зверя.","Wykonane z czarnych kości
nieznanego pochodzenia.
Musiała to być duża bestia.",,,"Cotoveleiras feitas de ossos
negros, que pertenciam
a um poderoso animal.","칠흑의 뼈로 만들어진
팔 방어구. 강대한 힘을 지닌
용처럼 방어력이 절대적이다.","以來歷不明的漆黑之骨製成的臂
部裝備。極高的防禦力是生前
擁有強大力量的龍族之顯現嗎？","来历不明的漆黑之骨制成的
臂部装备。极高的防御力是生前
拥有强大力量的龙之显现吗？",,,,,,,,"واقيات ذراع من عظام سوداء
غير معروفة، من المؤكد
أنها تنتمي لوحش عظيم.",,,,,,,,,,,
5d807ec5-da5e-4709-862c-93a2acb2c4a4,1690232667,A_Arm_305_Explain,"良質な鉱石素材を用いた
腕用装備。洗練された
デザインには無駄がない。","Armguards made with
quality ore. Their precise
design is admirable.","À base de minerai de
qualité. Le design précis
est admirable.","Parabraccia con minerali
di qualità. Apprezzati per
la purezza della linea.","Armschutz aus hochwertigem
Erz mit besonders eindrucks-
voll klarem Design.","Brazales hechos con mineral
de calidad. La perfección
de su diseño es admirable.","Наручи из высококачественной
руды. Ценятся за
ювелирное исполнение.","Wykonane z wysokiej
jakości rudy. Niesamowita
precyzja wykonania.",,,"Cotoveleiras feitas com
minério de qualidade. Sua
forma precisa é admirável.","품질 좋은 광석 소재로 만든
팔 방어구. 세련된 디자인에는
군더더기가 없다.","使用優質礦石素材
製作的臂部裝備。
俐落的設計毫無多餘之處。","臂部装备，
使用上好矿石素材制作。
精练的设计没有半点多余。",,,,,,,,"واقيات ذراع مصنوعة من
معدن خام عالي الجودة. ويتميز
تصميمها الدقيق بالروعة.",,,,,,,,,,,
2672b163-83c4-4cef-9b0a-c83f041b011e,1715849100,A_Arm_306_Explain,"上質な鉱石を選りすぐり、
腕用装備に使用。何枚もの装甲
に固められた頑丈な防具。","Armguards made of precious
ore. Their layered structure
is very sturdy.","Faits de minerai rare.
La structure en couches
est très solide.","Protezioni per braccia con
minerali preziosi. Hanno una
robusta struttura a strati.","Armschutz aus wertvollem
Erz. Dank mehrerer Schichten
äußerst stabil.","Guardabrazos de un mineral
raro. Su construcción en
capas es muy resistente.","Наручи из ценной руды.
Имеют невероятно прочную
многослойную структуру.","Wykonane ze szlachetnej
rudy. Bardzo wytrzymała
warstwowa konstrukcja.",,,"Cotoveleiras feitas com
minério precioso. As camadas
as tornam muito resistente.","양질의 광석을 엄선해 만든
팔 방어구. 장갑을 몇 겹이나
덧대서 굉장히 튼튼하다.","精選上等礦石
製作的臂部裝備。
以數層裝甲加強的堅固防具。","臂部装备，
使用上好矿石制作而成。
固定了多片装甲的结实防具。",,,,,,,,"واقيات ذراع مصنوعة من
معدن خام. ويتسم هيكلها
ذو الطبقات بالمتانة العالية.",,,,,,,,,,,
b6f541e6-0da2-40a4-85b7-6271646c5f00,910271267,A_Arm_307_Explain,"持ち主を覇道へ導くと伝えられ
る鋼鉄の甲冑。伝説とさえ
思われていた幻の防具。","Steel armor said to lead
its wearer to glory. Once
thought to be mythical.","Armure en acier qui conduit
son porteur à la gloire. On
la pensait être un mythe.","Leggendaria protezione
in acciaio. Dà gloria a chi
la indossa.","Stahlrüstung, die ihrem
Träger Ruhm einbringt.
Galt lange als mythisch.","Se dice que esta armadura
de acero, antaño un mito,
ensalza a su portador.","Эти стальные доспехи
приносят славу обладателю.
Считались мифическими.","Stalowe uzbrojenie, które
poprowadzi do zwycięstwa.
Kiedyś uważane za mistyczne.",,,"Proteção de aço capaz de
levar o usuário à glória.
Achava-se que era mítica.","주인을 패도로 이끈다고
하는 강철 갑주. 전설로
치부됐던 환상의 방어구다.","據說會引領持有者完成霸業的
鋼鐵盔甲。甚至被認為是
傳說中的夢幻防具。","钢铁盔甲，
传说会引领持有者走上霸道。
被认为是传说的梦幻防具。",,,,,,,,"درع فولاذية يُقال إنها تقود
مُرتديها نحو تحقيق المجد.
وكان يُعتقد بأنها أسطورية.",,,,,,,,,,,
ca8f9a6e-cefa-4b38-8638-cd50b87dc6bb,1085110644,A_Arm_308_Explain,"香り立つ雰囲気の腕用装備。
淡い色彩と懐かしい香りは、
老齢のハンターの涙を誘う。","This armor's faint color and
smell can bring tears to an
old hunter's eyes.","La couleur et le parfum de
cette armure arracheront une
larme aux vieux chasseurs.","Il colore chiaro e l'odore
possono far piangere un
vecchio cacciatore.","Die zarte Farbe und der Duft
bringen alte Jäger zum
Weinen.","El color y olor desvaídos de
esta armadura conmueven aun
a los cazadores veteranos.","Цвет и запах этих доспехов
могут вызвать слезы
на глазах старого охотника.","Delikatny kolor i zapach
tego uzbrojenia rozczuli
każdego starego łowcę.",,,"A cor e cheiro tênues desta
proteção podem fazer um
velho caçador lacrimejar.","냄새가 향기로운 팔 방어구.
아련한 색채와 그리운 냄새는
노령 헌터가 눈물을 쏟게한다.","有著飄香氛圍的臂部裝備。
淡淡色彩與令人懷念的香氣
讓老一輩的獵人為之落淚。","有着飘香氛围的臂部装备。
淡淡的颜色与令人怀念的香气，
让老猎人为之落泪。",,,,,,,,"يمكن للون الباهت ورائحة
هذه الدرع أن يُنزل
دموع الصيادين القدامى.",,,,,,,,,,,
ca1e1e0d-33bc-4afe-9ed7-a7554a4c3ca7,1686816077,A_Arm_309_Explain,"魚鱗から作られた装備者を
優しく守る腕用装備。その
不思議な色彩が魅力的。","Armor made from fish scales
that help protect its owner.
Its strange color is lovely.","Armure d'écailles de poisson
qui protège en douceur son
porteur. Belle couleur.","Fatte di squame di pesce che
proteggono chi le indossa.
Dal colore seducente.","Angenehme Fischschuppen-
panzerung. Die seltsame
Farbe ist bezaubernd.","Las escamas de pez protegen
al portador y tienen un tono
extraño y fascinante.","Доспехи из рыбьей чешуи для
защиты носителя. Странного,
но приятного цвета.","Wykonane z rybich łusek
dających doskonałą ochronę.
Dziwny i urzekający kolor.",,,"As escamas de peixe ajudam a
proteger o dono. Sua cor
peculiar é adorável.","비늘로 만들어 착용자를
부드럽게 보호하는 팔 방어구.
신비한 색채가 매력적.","由魚鱗製作而成，
溫柔守護裝備者的臂部裝備。
其奇特的色彩充滿魅力。","臂部装备，使用鱼鳞制作，
温柔地守护装备者。
其奇特的颜色充满魅力。",,,,,,,,"درع مصنوعة من قشور الأسماك
مما يساعد على حماية مالكها.
ولونها الغريب جميل جدًا.",,,,,,,,,,,
