guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
fa993a70-67a3-4bc2-ad90-79f05fffbcd5,918551001,A_Arm_000_Name,カムラノ装【手甲】,Kamura Braces,Avant-bras Kamura,Parabraccia Kamura,Kamura-Armschienen,Brazales Kamura,Наручи Камуры,Zarękawia Kamury,,,Braçad. de Kamura,카무라토시,神火裝【手甲】,炎火装束【手甲】,,,,,,,,تحصين كامورا,,,,,,,,,,,
52e70919-ceed-48a0-a8cb-a9edb5af62ab,3477144191,A_Arm_001_Name,カムラノ装【手甲】覇,Kamura Braces S,Avant-bras Kamura S,Parabraccia Kamura S,Kamura-Armschienen S,Brazales Kamura S,Наручи Камуры (S),Zarękawia Kamury S,,,Braçad. de Kamura S,카무라토시-패,神火裝【手甲】霸,炎火装束【手甲】霸,,,,,,,,تحصين كامورا S,,,,,,,,,,,
1e156de9-c8a6-4a08-a9ad-d29373e28627,4029054639,A_Arm_002_Name,レザーグラブ,Leather Gloves,Gants en cuir,Guanti di cuoio,Leder-Handschuhe,Guantes de cuero,Кожаные перчатки,Skórzane rękawice,,,Luvas de Couro,레더글러브,皮製手套,皮制手套,,,,,,,,قفازات جلدية,,,,,,,,,,,
6353e8c8-bace-4d15-b737-c952b474ec15,3904793029,A_Arm_003_Name,レザーＳグラブ,Leather Gloves S,Gants en cuir S,Guanti di cuoio S,Leder-Handschuhe S,Guantes de cuero S,Кожаные перчатки (S),Skórzane rękawice S,,,Luvas de Couro S,레더S글러브,皮製S手套,皮制S手套,,,,,,,,قفازات جلدية S,,,,,,,,,,,
da0ff952-22c9-4be1-826f-3b9189f79205,1249252721,A_Arm_004_Name,チェーングラブ,Chainmail Gloves,Gants de mailles,Guanti di cotta,Ketten-Handschuhe,Guantes de malla,Кольчужные перчатки,Rękawice kolcze,,,Luvas Cota de Malha,체인글러브,鎖甲手套,锁甲手套,,,,,,,,قفازا حلقي فولاذي,,,,,,,,,,,
ba2a30d8-ea22-478b-94fc-8ab52fa8e121,3634761156,A_Arm_005_Name,チェーンＳグラブ,Chainmail Gloves S,Gants de mailles S,Guanti di cotta S,Ketten-Handschuhe S,Guantes de malla S,Кольчужные пер. (S),Rękawice kolcze S,,,Luv. Cota de Malha S,체인S글러브,鎖甲S手套,锁甲S手套,,,,,,,,قفاز حلقي فولاذي S,,,,,,,,,,,
75d5cef9-157e-4d00-81c7-17d666e1e178,1594651400,A_Arm_006_Name,ハンターアーム,Hunter's Vambraces,Avt-bras de chasseur,Parabraccia cacciatore,Jäger-Armschienen,Brazales de cazador,Охотничьи наручи,Zarękawia łowcy,,,Avamb. do Caçador,헌터암,獵人腕甲,猎人腕甲,,,,,,,,درع ساعد الصياد,,,,,,,,,,,
7ef80230-f0d8-4377-973e-dbb0a2fd9653,3402465747,A_Arm_007_Name,ハンターＳアーム,Hunter's Vambraces S,Avt-bras chasseur S,Parabraccia cacciatore S,Jäger-Armschienen S,Brazales de cazador S,Охотничьи наручи (S),Zarękawia łowcy S,,,Avamb. do Caçador S,헌터S암,獵人S腕甲,猎人S腕甲,,,,,,,,درع ساعد الصياد S,,,,,,,,,,,
dfe6449a-4f2d-4105-b729-facbeab87806,2703952610,A_Arm_008_Name,ドーベルアーム,Dober Vambraces,Avant-bras Dober,Parabraccia Dober,Dober-Armschienen,Brazales de Dober,Доберовые наручи,Zarękawia z Dobera,,,Avamb. de Dober,도베르암,杜賓腕甲,杜宾腕甲,,,,,,,,درع ساعد دوبر,,,,,,,,,,,
a840f9e0-802f-44e8-8772-e8981c3556bf,830739137,A_Arm_009_Name,アロイアーム,Alloy Vambraces,Avant-bras alliage,Parabraccia in lega,LegierungsArmschiene,Brazales de aleación,Литые наручи,Zarękawia ze stopu,,,Avamb. Liga Leve,얼로이암,合金腕甲,合金腕甲,,,,,,,,درع ساعد من سبيكة,,,,,,,,,,,
