guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
62ec7752-bf5f-4788-bfc7-54030114c7b5,787921307,A_Chest_300_Name,カムラノ装【上衣】継,Kamura Legacy Garb,Tenue Héritage Kamura,Veste lascito Kamura,Kamura-Erbe-Gewand,Vestimenta dote Kamura X,Одеяние насл. Камуры,Szata dziedz. Kamury,,,Veste Legado Kamura,카무라상의-계,神火裝【上衣】繼,炎火装束【上衣】继,,,,,,,,زي تراث كامورا,,,,,,,,,,,
7dfe7969-1454-4151-a9c4-a1c597ac5a1f,671058076,A_Chest_301_Name,レザーＸベスト,Leather Vest X,Tunique en cuir X,Pettorina di cuoio X,Leder-Weste X,Chaleco de cuero X,Кожаный жилет Х,Kamizela skórzana X,,,Colete de Couro X,레더X베스트,皮製X服飾,皮制X服饰,,,,,,,,صدرية جلدية X,,,,,,,,,,,
b94e6a66-8043-49cd-8d7e-78d181e400f6,1920880040,A_Chest_302_Name,チェーンＸベスト,Chainmail Vest X,Veste de mailles X,Pettorina di cotta X,Ketten-Weste X,Cota de malla X,Кольчужный жилет X,Kolczuga X,,,Cota de Malha X,체인X베스트,鎖甲X服飾,锁甲X服饰,,,,,,,,درع صدر من حلقات معدنية X,,,,,,,,,,,
9e3006af-3fa5-48c2-b510-a2a020073613,1499090393,A_Chest_303_Name,ハンターＸメイル,Hunter's Mail X,Cotte de chasseur X,Cotta cacciatore X,Jäger-Panzer X,Cota de cazador X,Охотничий доспех Х,Zbroja łowcy X,,,Arm. de Caçador X,헌터X메일,獵人X鎧甲,猎人X铠甲,,,,,,,,درع الصياد X,,,,,,,,,,,
dd14d927-cd18-4876-a7ec-84543615468a,2290179686,A_Chest_304_Name,ドーベルＸメイル,Dober Mail X,Cotte Dober X,Cotta Dober X,Dober-Panzer X,Cota de Dober X,Доберовый доспех X,Zbroja z Dobera X,,,Arm. de Dober X,도베르X메일,杜賓X鎧甲,杜宾X铠甲,,,,,,,,درع دوبر X,,,,,,,,,,,
0b4c2aa0-38c1-4f37-8a51-e26b362f8b5d,3125357047,A_Chest_305_Name,アロイＸメイル,Alloy Mail X,Cotte en alliage X,Cotta in lega X,Legierungs-Panzer X,Cota de aleación X,Литой доспех X,Zbroja ze stopu X,,,Arm. de Liga Leve X,얼로이X메일,合金X鎧甲,合金X铠甲,,,,,,,,درع خليط معدني X,,,,,,,,,,,
5183499c-b040-44fb-91cf-2e2c8c8965ab,1871555,A_Chest_306_Name,インゴットＸメイル,Ingot Mail X,Cotte en lingot X,Cotta lingotto X,Guss-Panzer X,Cota de lingotes X,Драгоценный доспех Х,Zbroja ze sztabek X,,,Arm. de Lingote X,잉곳X메일,鑄鐵X鎧甲,铸铁X铠甲,,,,,,,,درع إنجوت X,,,,,,,,,,,
b34754b0-5b23-4197-b496-963e15ff1669,245472581,A_Chest_307_Name,ダマスクＸメイル,Damascus Mail X,Cotte Damascus X,Cotta di Damasco X,Damaskus-Panzer X,Cota de Damasco X,Дамасский доспех Х,Zbroja damasceńska X,,,Arm. Aço Damasco X,다마스크X메일,大馬士革X鎧甲,花纹钢X铠甲,,,,,,,,درع دمشقية X,,,,,,,,,,,
982975bc-c8fc-4580-8844-41fa9c2347f9,343552123,A_Chest_308_Name,メルホアＸトロンコ,Melahoa Jacket X,Veste Melahoa X,Giacca Melahoa X,Melahoa-Jacke X,Chaqueta Melahoa X,Куртка Мелахоа Х,Kubrak Melahoa X,,,Jaqueta de Melahoa X,멜호아X토론코,花瓣X枝幹,花瓣X枝干,,,,,,,,سترة ميلاهوا X,,,,,,,,,,,
1bf16519-d96e-4c5a-ba8c-a2db8fedd078,3790084705,A_Chest_309_Name,マカルパＸペプラム,Makluva Cover X,Poncho Makluva X,Copertura Makluva X,Makluva-Hülle X,Poncho Makluva X,Накидка Маклувы X,Osłona Makluva X,,,Peplum de Makluva X,마카르파X페플럼,魚鱗X洋裝,鱼鳞X洋装,,,,,,,,غطاء ماكلوفا X,,,,,,,,,,,
c86a8869-4b7e-41f2-8278-06dbf552dcaf,3586609075,A_Chest_310_Name,デスギアＸムスケル,Death Stench Muscle X,Muscle putride X,Muscolo putrefatto X,Todesgestank-MuskelX,Músculo pestilente X,Досп. злов. смерти Х,Mięsień rozkładu X,,,Músculo Putrefato X,데스기어X무스켈,死神X肌肉,死神X肌肉,,,,,,,,عضلة رائحة الموت X,,,,,,,,,,,
148d5a15-6d04-41d3-a58d-44ca85f07bf4,816877723,A_Chest_311_Name,マギュルＸトロンコ,Mosgharl Ribplate X,Corset Mosgharl X,Gabbia tor. Mosgharl X,MosgharlRippenplattX,Armazón Mosgharl X,Нагрудник Мосгарла Х,Napierś. Mosgharl X,,,Côndrios Mosgharl X,마기르X토론코,南瓜X枝幹,南瓜X枝干,,,,,,,,درع ضلوع موزجارل X,,,,,,,,,,,
30c04355-d65f-4a27-bfa4-39589dbde2a8,3441268745,A_Chest_312_Name,マギュルＸトロンコ,Mosgharl Ribplate X,Corset Mosgharl X,Gabbia tor. Mosgharl X,MosgharlRippenplattX,Armazón Mosgharl X,Нагрудник Мосгарла Х,Napierś. Mosgharl X,,,Côndrios Mosgharl X,마기르X토론코,南瓜X枝幹,南瓜X枝干,,,,,,,,درع ضلوع موزجارل X,,,,,,,,,,,
c929ec74-33d6-4810-b330-dac2d9241d3d,357458348,A_Chest_313_Name,ロワーガＸペット,Aelucanth Thorax X,Thorax Aelucanth X,Torace Aelucanth X,Aelucanth-Thorax X,Tórax Aelucanth X,Панцирь Элуканта Х,Tułów Aelucantha X,,,Tórax de Aelucanth X,르와가X펫,鍬形X上身,锹形X上身,,,,,,,,درع صدر أيلوكانث X,,,,,,,,,,,
