guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
fced7150-b11e-41bb-b72a-b0b5e693451c,3636347330,A_Head_000_Explain,"カムラの里の頭用防具。
この紺青の頭巾を巻くことが
里を護る者の第一歩とされる。","Signature Kamura headwear.
All village defenders sport
this dark blue attire.","Coiffe bleu foncé typique de
Kamura. Tous les défenseurs
du village la portent.","Copricapo simbolo di Kamura.
Il blu scuro è il colore dei
difensori del villaggio.","Typische Kopfbedeckung in
Kamura. Alle Dorfverteidiger
tragen das Blau mit Stolz.","Equipamiento para cabeza
típico de Kamura que los
defensores suelen llevar.","Знаменитый темно-синий
платок Камуры. Все защитники
деревни щеголяют в нем.","Typowe nakrycie głowy z
Kamury. Wszyscy obrońcy
wioski je noszą.",,,"Acessório típico de Kamura.
Todos os defensores da
aldeia ostentam esta peça.","카무라 마을의 머리 방어구.
남빛 두건을 두르는 것이
마을을 지키는 첫걸음이다.","神火村的頭部防具。
守護村莊的第一步，
便是纏上這個深藍色頭巾。","炎火村的头部防具。
戴上这条绀青色头巾即是
成为守护村庄者的第一步。",,,,,,,,"قبعة كامورا المميزة.
يرتدي جميع مدافعي القرية
هذا الزيّ الأزرق الداكن.",,,,,,,,,,,
cf3278d4-feaf-455a-a0bd-362bbe6e20e2,4227857847,A_Head_001_Explain,"カムラの里の頭用防具。
この紺青の頭巾を巻くことが
里を護る者の第一歩とされる。","Signature Kamura headwear.
All village defenders sport
this dark blue attire.","Coiffe bleu foncé typique de
Kamura. Tous les défenseurs
du village la portent.","Copricapo simbolo di Kamura.
Il blu scuro è il colore dei
difensori del villaggio.","Typische Kopfbedeckung in
Kamura. Alle Dorfverteidiger
tragen das Blau mit Stolz.","Equipamiento para cabeza
típico de Kamura que los
defensores suelen llevar.","Знаменитый темно-синий
платок Камуры. Все защитники
деревни щеголяют в нем.","Typowe nakrycie głowy z
Kamury. Wszyscy obrońcy
wioski je noszą.",,,"Acessório típico de Kamura.
Todos os defensores da
aldeia ostentam esta peça.","카무라 마을의 머리 방어구.
남빛 두건을 두르는 것이
마을을 지키는 첫걸음이다.","神火村的頭部防具。
守護村莊的第一步，
便是纏上這個深藍色頭巾。","炎火村的头部防具。
戴上这条绀青色头巾即是
成为守护村庄者的第一步。",,,,,,,,"قبعة كامورا المميزة.
يرتدي جميع مدافعي القرية
هذا الزيّ الأزرق الداكن.",,,,,,,,,,,
33f43500-d4da-4cdf-a333-adb556061ab1,3860485927,A_Head_002_Explain,"モンスターの毛皮をなめして
作られた頭用装備。使い手を
選ばない堅実な作りが安心。","Headgear made from tanned
monster hide. Sturdy and
suitable for anyone to use.","Coiffe en cuir tanné de
monstre. Solide et convient
à tout le monde.","Copricapo in pelle di mostro
conciata. Robusto e adatto
per essere usato da tutti.","Kopfbedeckung aus gegerbter
Monsterhaut. Robust und für
jeden benutzbar.","Cubrecabeza hecho de piel
curtida de monstruo. Fuerte
y adecuado para cualquiera.","Шлем из дубленой шкуры
монстра. Достаточно прочен
и подходит каждому.","Nakrycie głowy wykonane
z garbowanej skóry potwora.
Solidne i bardzo popularne.",,,"Elmo de couro de monstro
curtido. Robusto e adequado
para qualquer pessoa.","몬스터의 모피를 가공해 만든
머리 방어구. 착용자를 가리지
않는 견실한 구조가 안정적.","將魔物毛皮經過鞣製後
製作而成的頭部裝備。
任誰都能安心使用的牢固做工。","鞣制怪物毛皮而成的头部装备。
做工扎实、不挑使用者，
令人安心。",,,,,,,,"خوذة للرأس مصنوعة من
جلد وحش سفعته الشمس. ومتينة
ويمكن لأيّ شخص استخدامها.",,,,,,,,,,,
44fe3fad-6390-4da7-963f-2886c60f9d34,1327463903,A_Head_003_Explain,"モンスターの毛皮をなめして
作られた頭用装備。使い手を
選ばない堅実な作りが安心。","Headgear made from tanned
monster hide. Sturdy and
suitable for anyone to use.","Coiffe en cuir tanné de
monstre. Solide et convient
à tout le monde.","Copricapo in pelle di mostro
conciata. Robusto e adatto
per essere usato da tutti.","Kopfbedeckung aus gegerbter
Monsterhaut. Robust und für
jeden benutzbar.","Cubrecabeza hecho de piel
curtida de monstruo. Fuerte
y adecuado para cualquiera.","Шлем из дубленой шкуры
монстра. Достаточно прочен
и подходит каждому.","Nakrycie głowy wykonane
z garbowanej skóry potwora.
Solidne i bardzo popularne.",,,"Elmo de couro de monstro
curtido. Robusto e adequado
para qualquer pessoa.","몬스터의 모피를 가공해 만든
머리 방어구. 착용자를 가리지
않는 견실한 구조가 안정적.","將魔物毛皮經過鞣製後
製作而成的頭部裝備。
任誰都能安心使用的牢固做工。","鞣制怪物毛皮而成的头部装备。
做工扎实、不挑使用者，
令人安心。",,,,,,,,"خوذة للرأس مصنوعة من
جلد وحش سفعته الشمس. ومتينة
ويمكن لأيّ شخص استخدامها.",,,,,,,,,,,
eb1ebce4-681f-49b1-a798-bcc62ad411b5,1774265303,A_Head_004_Explain,"鉱石で作られた頭用装備。
これまで多くのハンターを
守ってきた由緒ある一品。","Sturdy head armor made from
quality ore. Reliable mail
relied on by many a hunter!","En minerai de qualité.
Maille fiable qui a protégé
de nombreux chasseurs.","Elmo affidabile, creato con
metalli di qualità e scelto
da innumerevoli cacciatori.","Kopfschutz aus hochwer-
tigem Erz. Jäger weltweit
vertrauen ihm.","Equipamiento para cabeza
hecho de mineral. Una malla
que ha protegido a muchos.","Прочный шлем из руды
высокого качества. Верный
спутник многих охотников!","Solidne nakrycie głowy z
dobrej rudy. Niezawodne
i cenione przez łowców!",,,"Elmo feito com minério de
qualidade. Preferido por
muitos caçadores!","광석으로 만든 머리 방어구.
지금까지 많은 헌터를 지켜온
유서 깊은 장비.","用礦石製作的頭部裝備。
至今為止守護了眾多獵人們，
有來歷的一件裝備。","头部装备，用矿石制成。
至今为止保护了众多猎人，
有来历的一件装备。",,,,,,,,"درع لحماية الرأس من معدن
خام. رداء من حلقات معدنية
يثق به كثير من الصيّادين!",,,,,,,,,,,
672b2599-b6c5-446b-a532-ab3d5e061ab4,397783129,A_Head_005_Explain,"鉱石で作られた頭用装備。
これまで多くのハンターを
守ってきた由緒ある一品。","Sturdy head armor made from
quality ore. Reliable mail
relied on by many a hunter!","En minerai de qualité.
Maille fiable qui a protégé
de nombreux chasseurs.","Elmo affidabile, creato con
metalli di qualità e scelto
da innumerevoli cacciatori.","Kopfschutz aus hochwer-
tigem Erz. Jäger weltweit
vertrauen ihm.","Equipamiento para cabeza
hecho de mineral. Una malla
que ha protegido a muchos.","Прочный шлем из руды
высокого качества. Верный
спутник многих охотников!","Solidne nakrycie głowy z
dobrej rudy. Niezawodne
i cenione przez łowców!",,,"Elmo feito com minério de
qualidade. Preferido por
muitos caçadores!","광석으로 만든 머리 방어구.
지금까지 많은 헌터를 지켜온
유서 깊은 장비.","用礦石製作的頭部裝備。
至今為止守護了眾多獵人們，
有來歷的一件裝備。","头部装备，用矿石制成。
至今为止保护了众多猎人，
有来历的一件装备。",,,,,,,,"درع لحماية الرأس من معدن
خام. رداء من حلقات معدنية
يثق به كثير من الصيّادين!",,,,,,,,,,,
23ef4339-1543-477b-bb91-94848d2b1441,3364303365,A_Head_006_Explain,"ハンター用に作られた頭用
装備。頑丈で機動性も高く
多くのハンターが愛用する。","Head armor made to
hunt in. Firm yet flexible;
a hunter favorite.","Conçu pour les chasseurs.
Sa solidité et sa souplesse
en font une valeur sûre.","Elmo concepito per i
cacciatori. Robusto ma
flessibile, è molto diffuso.","Spezieller Kopfschutz für
Jäger. Fest, aber beweglich.
Sehr beliebt bei Jägern.","Equipamiento para cabeza
especial para cazadores.
Firme pero flexible.","Шлем для настоящих
охотников, которые ценят его
за прочность и гибкость.","Mocny, ale elastyczny
pancerz na głowę. Uwielbiany
przez łowców.",,,"Elmo feito para caçar.
Firme mas flexível, um
dos favoritos dos caçadores.","헌터용으로 만든 머리 방어구.
튼튼하고 기동성이 좋아
많은 헌터들이 애용한다.","做給獵人用的頭部裝備。
堅固而且也具有高機動性，
受到許多獵人喜愛。","头部装备，为猎人而制作。
坚固而且也具有高机动性，
受到许多猎人喜爱。",,,,,,,,"درعٌ لحماية الرأس مصنوعة
للصيّد. صلبة ومرنة؛
وهذا ما يُفضله الصيّاد.",,,,,,,,,,,
50c3e7b5-3db6-4259-8790-e7575b6a37aa,192910176,A_Head_007_Explain,"ハンター用に作られた頭用
装備。頑丈で機動性も高く
多くのハンターが愛用する。","Head armor made to
hunt in. Firm yet flexible;
a hunter favorite.","Conçu pour les chasseurs.
Sa solidité et sa souplesse
en font une valeur sûre.","Elmo concepito per i
cacciatori. Robusto ma
flessibile, è molto diffuso.","Spezieller Kopfschutz für
Jäger. Fest, aber beweglich.
Sehr beliebt bei Jägern.","Equipamiento para cabeza
especial para cazadores.
Firme pero flexible.","Шлем для настоящих
охотников, которые ценят его
за прочность и гибкость.","Mocny, ale elastyczny
pancerz na głowę. Uwielbiany
przez łowców.",,,"Elmo feito para caçar.
Firme mas flexível, um
dos favoritos dos caçadores.","헌터용으로 만든 머리 방어구.
튼튼하고 기동성이 좋아
많은 헌터들이 애용한다.","做給獵人用的頭部裝備。
堅固而且也具有高機動性，
受到許多獵人喜愛。","头部装备，为猎人而制作。
坚固而且也具有高机动性，
受到许多猎人喜爱。",,,,,,,,"درعٌ لحماية الرأس مصنوعة
للصيّد. صلبة ومرنة؛
وهذا ما يُفضله الصيّاد.",,,,,,,,,,,
2bf08b72-e1b9-460c-8755-652519b57a55,181831508,A_Head_008_Explain,"由来の知れぬ漆黒の骨で出来た
頭用装備。その姿は強大
な力を持つ龍を連想させる。","Head armor made of unknown
black bones reminiscent of a
viciously powerful dragon.","Armure de tête faite en os
noirs inconnus. Rappelle un
dragon puissant et méchant.","Elmo con ossa nere
sconosciute. Ricorda un
drago possente e malvagio.","Aus unbekannten schwarzen
Knochen. Erinnert an einen
bösen, mächtigen Drachen.","Equipamiento para cabeza
hecho de huesos negros de
un poderoso dragón.","Шлем из неизвестно чьих
черных костей. Напоминает о
могущественном злом драконе.","Hełm wykonany z nieznanych,
czarnych kości. Być może
z jakiegoś potężnego smoka.",,,"Elmo feito de ossos negros
que restaram de um vil
e poderoso dragão.","칠흑의 뼈로 만들어진
머리 방어구. 그 모습에서
큰 힘을 지닌 용이 연상된다.","以來歷不明的漆黑之骨製成的
頭部裝備。其姿態讓人
聯想到擁有強大力量的龍族。","来历不明的漆黑之骨制成的
头部装备。其姿态让人
联想到拥有强大力量的龙族。",,,,,,,,"درعٌ لحماية الرأس مصنوعة من
عظام سوداء غير معروفة تُذكرك
بتنين بالغ القوة.",,,,,,,,,,,
4f3d074e-1d82-4ed9-8a46-dc3d40676164,1430527233,A_Head_009_Explain,"良質な鉱石素材を用いた
頭用装備。実用本位の
高い防御性能を有する。","Head armor made with quality
ore. Highly functional
defensive armor.","À base de minerai
de qualité. Hautement
pratique et efficace.","Elmo creato con metalli di
qualità. Un equipaggiamento
difensivo molto funzionale.","Kopfschutz aus hochwertigem
Erz. Ein sehr nützliches
Rüstungsteil.","Equipamiento para cabeza
hecho de mineral de calidad.
Gran poder defensivo.","Шлем из высококачественной
руды. Высокоэффективное
защитное снаряжение.","Hełm wykonany z wysokiej
jakości rudy. Niezwykle
funkcjonalny pancerz.",,,"Elmo feito com minério de
qualidade. Uma proteção
altamente funcional.","품질 좋은 광석 소재로 만든
머리 방어구. 실용성을 살려
높은 방어력을 갖고 있다.","使用優質礦石素材製成的
頭部裝備。講求實用性，
擁有較高的防禦性能。","头部装备，
使用上好矿石素材制作。
拥有以实用为主的高防御性能。",,,,,,,,"درعٌ لحماية الرأس مصنوعة من
معدن خام ممتاز. وهي درعٌ
تتميز بوظائف دفاعية عالية.",,,,,,,,,,,
