guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
6b584a89-44b5-4cd7-a687-1f4c305bcbda,953327649,A_Head_300_Explain,"より洗練された里の頭用防具。
古くから伝承される製法に、
更に工夫を加え作られた一品。","Refined headgear adding
new contrivances to ancient,
traditional methods.","Coiffe raffinée qui apporte
de nouveaux procédés
aux méthodes classiques.","Elegante copricapo che
aggiunge nuove risorse
ad antichi metodi tradizionali.","Raffinierter Kopfschutz.
Kombiniert neue Erfindungen
mit Altbewährtem.","Elegante complemento que
innova sobre una base de
técnicas ancestrales.","Улучшенный платок. Делает
древние, традиционные методы
более изощренными.","Hełm łączący nowatorskie
akcenty z prastarymi,
tradycyjnymi metodami.",,,"Elmo refinado que adiciona
criatividade a métodos
antigos e tradicionais.","보다 세련된 마을의 머리
방어구. 전승된 제작법으로
장인이 다듬어 만든 작품.","更加洗鍊的神火村頭部防具。
以自古流傳下來的製法製作，
並下了許多心思加工而成。","经过千锤百炼的村庄头部防具。
基于自古传承下来的制作方法，
进一步改良后的绝品。",,,,,,,,"خوذة مصقولة تضيف
خصائص جديدة إلى الطرق
القديمة التقليدية.",,,,,,,,,,,
c216122d-a791-41aa-b13c-c4f0c3258d08,1004818458,A_Head_301_Explain,"モンスターの毛皮をなめして
作られた頭用装備。使い手を
選ばない堅実な作りが安心。","Headgear made from tanned
monster hide. Sturdy and
suitable for anyone to use.","Coiffe en cuir tanné de
monstre. Solide et convient
à tout le monde.","Copricapo in pelle di mostro
conciata. Robusto e adatto
per essere usato da tutti.","Kopfbedeckung aus gegerbter
Monsterhaut. Robust und für
jeden benutzbar.","Cubrecabeza hecho de piel
curtida de monstruo. Fuerte
y adecuado para cualquiera.","Шлем из дубленой шкуры
монстра. Достаточно прочен
и подходит каждому.","Nakrycie głowy wykonane
z garbowanej skóry potwora.
Solidne i bardzo popularne.",,,"Elmo de couro de monstro
curtido. Robusto e adequado
para qualquer pessoa.","몬스터의 모피를 가공해 만든
머리 방어구. 착용자를 가리지
않는 견실한 구조가 안정적.","將魔物毛皮經過鞣製後
製作而成的頭部裝備。
任誰都能安心使用的牢固做工。","鞣制怪物毛皮而成的头部装备。
做工扎实、不挑使用者，
令人安心。",,,,,,,,"خوذة للرأس مصنوعة من
جلد وحش سفعته الشمس. ومتينة
ويمكن لأيّ شخص استخدامها.",,,,,,,,,,,
b78ebedf-a18d-4dc9-a54d-8e47f3e080aa,2491136483,A_Head_302_Explain,"鉱石で作られた頭用装備。
これまで多くのハンターを
守ってきた由緒ある一品。","Sturdy head armor made from
quality ore. Reliable mail
relied on by many a hunter!","En minerai de qualité.
Maille fiable qui a protégé
de nombreux chasseurs.","Elmo affidabile, creato con
metalli di qualità e scelto
da innumerevoli cacciatori.","Kopfschutz aus hochwer-
tigem Erz. Jäger weltweit
vertrauen ihm.","Equipamiento para cabeza
hecho de mineral. Una malla
que ha protegido a muchos.","Прочный шлем из руды
высокого качества. Верный
спутник многих охотников!","Solidne nakrycie głowy z
dobrej rudy. Niezawodne
i cenione przez łowców!",,,"Elmo feito com minério de
qualidade. Preferido por
muitos caçadores!","광석으로 만든 머리 방어구.
지금까지 많은 헌터를 지켜온
유서 깊은 장비.","用礦石製作的頭部裝備。
至今為止守護了眾多獵人們，
有來歷的一件裝備。","头部装备，用矿石制成。
至今为止保护了众多猎人，
有来历的一件装备。",,,,,,,,"درع لحماية الرأس من معدن
خام. رداء من حلقات معدنية
يثق به كثير من الصيّادين!",,,,,,,,,,,
6fca67eb-a130-4357-98ab-3f689e42ec68,562055177,A_Head_303_Explain,"実用性を重視した使いやすさ
が人気のハンター用頭装備。
最上位モデルはひと味違う。","Practical, easy to use and
popular with hunters. This
top model is somewhat special.","Pratique, ce modèle haut
de gamme est très apprécié
des chasseurs.","Un modello molto speciale,
pratico e popolare tra i
cacciatori.","Dieses besondere Modell
ist für seine Praktikabilität
unter Jägern äußerst beliebt.","Práctico, fácil de usar y
popular entre cazadores.
Elegante y diferente.","Охотники обожают его за
простоту, практичность и
необычность. Лучшая модель.","Praktyczny i popularny wśród
łowców. Ten model
jest dość specjalny.",,,"Prático, fácil de usar e
popular com caçadores. Este
modelo é especial.","실용적이고 편리해서 인기가
많은 헌터용 머리 방어구.
역시 최상급 모델은 다르다.","設計上重視實用性，因易於使用
而廣受歡迎的獵人頭部裝備。
為最高級的款式，獨樹一格。","猎人专用的头部装备，因其注重
实用性且便于使用而大受好评。
最高级的款式果然别具一格。",,,,,,,,"عملي وسهل الاستخدام وشائع
لدى الصيادين. هذا
النموذج الأعلى خاص إلى حد ما.",,,,,,,,,,,
47b54281-8e92-4575-862f-587607f8c366,3721595514,A_Head_304_Explain,"由来の知れぬ漆黒の骨で出来た
頭用装備。その姿は強大
な力を持つ龍を連想させる。","Head armor made of unknown
black bones reminiscent of a
viciously powerful dragon.","Armure de tête faite en os
noirs inconnus. Rappelle un
dragon puissant et méchant.","Elmo con ossa nere
sconosciute. Ricorda un
drago possente e malvagio.","Aus unbekannten schwarzen
Knochen. Erinnert an einen
bösen, mächtigen Drachen.","Equipamiento para cabeza
hecho de huesos negros de
un poderoso dragón.","Шлем из неизвестно чьих
черных костей. Напоминает о
могущественном злом драконе.","Hełm wykonany z nieznanych,
czarnych kości. Być może
z jakiegoś potężnego smoka.",,,"Elmo feito de ossos negros
que restaram de um vil
e poderoso dragão.","칠흑의 뼈로 만들어진
머리 방어구. 그 모습에서
큰 힘을 지닌 용이 연상된다.","以來歷不明的漆黑之骨製成的
頭部裝備。其姿態讓人
聯想到擁有強大力量的龍族。","来历不明的漆黑之骨制成的
头部装备。其姿态让人
联想到拥有强大力量的龙族。",,,,,,,,"درعٌ لحماية الرأس مصنوعة من
عظام سوداء غير معروفة تُذكرك
بتنين بالغ القوة.",,,,,,,,,,,
ecfab032-a18f-41af-a778-0a578c5dcd07,3245984938,A_Head_305_Explain,"良質な鉱石素材を用いた
頭用装備。実用本位の
高い防御性能を有する。","Head armor made with quality
ore. Highly functional
defensive armor.","À base de minerai
de qualité. Hautement
pratique et efficace.","Elmo creato con metalli di
qualità. Un equipaggiamento
difensivo molto funzionale.","Kopfschutz aus hochwertigem
Erz. Ein sehr nützliches
Rüstungsteil.","Equipamiento para cabeza
hecho de mineral de calidad.
Gran poder defensivo.","Шлем из высококачественной
руды. Высокоэффективное
защитное снаряжение.","Hełm wykonany z wysokiej
jakości rudy. Niezwykle
funkcjonalny pancerz.",,,"Elmo feito com minério de
qualidade. Uma proteção
altamente funcional.","품질 좋은 광석 소재로 만든
머리 방어구. 실용성을 살려
높은 방어력을 갖고 있다.","使用優質礦石素材製成的
頭部裝備。講求實用性，
擁有較高的防禦性能。","头部装备，
使用上好矿石素材制作。
拥有以实用为主的高防御性能。",,,,,,,,"درعٌ لحماية الرأس مصنوعة من
معدن خام ممتاز. وهي درعٌ
تتميز بوظائف دفاعية عالية.",,,,,,,,,,,
669ec90c-e272-4591-a72c-131bf80ef406,1615228061,A_Head_306_Explain,"上質な鉱石素材を用いた
金色に輝く頭用装備。合金の
特性が存分に活かされている。","Gleaming head armor made
of precious ore. Makes the
most of its metallic alloy.","En minerai précieux.
L'alliage métallique possède
de nombreux avantages.","Elmo lucente di minerali
preziosi. Sfrutta le doti
delle leghe metalliche.","Glänzender Kopfschutz aus
wertvollem Erz. Gelungener
Einsatz dieser Legierung.","Armadura para cabeza hecha
de un mineral preciado. Le
saca partido a su aleación.","Блестящий шлем из ценной
руды. Наиболее эффективное
применение сплава металлов.","Błyszczący hełm z cennej
rudy. Doskonale wykorzystuje
właściwości stopu metali.",,,"Elmo brilhante feito com
minério precioso. Aproveita
ao máximo sua liga metálica.","양질의 광석을 써서 금색으로
빛나는 머리 방어구. 합금의
특색이 잘 살아있다.","使用上等礦石素材所製成，
閃耀著金色光芒的頭部裝備。
充分發揮了合金的特性。","金光闪烁的头部装备，
使用上好矿石素材制作。
充分有效地利用了合金的特性。",,,,,,,,"درعٌ لامعة للرأس مصنوعة
من معدن خام نفيس. تحقق أقصى
استفادة من سبائكها المعدنية.",,,,,,,,,,,
cb4ce25a-49c8-434b-af38-9a0866a2f346,3218285839,A_Head_307_Explain,"持ち主を覇道へ導くと伝えられ
る鋼鉄の甲冑。希少な素材から
作られており世に二つとない。","One-of-a-kind steel head
protection said to lead
its wearer to glory.","Heaume unique en acier,
qui apporte la gloire
à son porteur.","Speciale protezione per
la testa in acciaio. Dà
gloria a chi la indossa.","Einzigartiger Kopfschutz aus
Stahl, der seinem Träger
Ruhm einbringt.","Protección de cabeza sin
igual que dicen llevar a su
portador hacia la gloria.","Говорят, что этот уникальный
стальной шлем приносит
славу его обладателю.","Unikatowy stalowy hełm.
Ponoć prowadzi swojego
właściciela do zwycięstwa.",,,"Um elmo de aço exclusivo,
que dizem levar o usuário
à glória.","주인을 패도로 이끈다는
강철 갑주. 희귀한 소재로
만들어 세상에 유일한 방어구.","據說會引領持有者完成霸業的
鋼鐵盔甲。以稀有素材製成，
為世上絕無僅有的一件裝備。","传说会引领持有者走上霸道的
钢铁盔甲。由稀有素材
制作而成，世上独一无二。",,,,,,,,"واقٍ للرأس فولاذي فريد
من نوعه يُقال إنه يقود
مرتديه نحو تحقيق المجد.",,,,,,,,,,,
5e5341a4-7736-4d0b-957f-51092c19cb31,1602233830,A_Head_308_Explain,"どこか懐かしい香りの漂う
頭用装備。その香りは在りし
日の恋情を思い起こす。","A hat with a dimly familiar
smell. Recalls memories
of a love from days gone.","Couvre-chef à l'odeur
familière. Rappelle un amour
du temps jadis.","Cappello con un odore
vagamente familiare. Ricorda
un vecchio amore.","Ein Hut mit seltsam
bekanntem Duft. Erinnert an
eine Liebe vergangener Tage.","Tiene un olor vagamente
familiar. Evoca recuerdos
de un amor pasado.","Шляпа с неуловимо знакомым
запахом. Заставит вспомнить
о былой любви.","Kapelusz o znajomym zapachu.
Przywołuje wspomnienia
miłości minionych dni.",,,"O cheiro ligeiramente
familiar deste chapéu traz
lembranças de um velho amor.","왠지 그리운 냄새가 나는
머리 방어구. 그 냄새는
과거의 연정을 떠오르게 한다.","飄散著令人莫名懷念香氣的
頭部裝備。
其香氣令人憶起往昔的戀情。","头部装备，
飘散着令人莫名怀念的香气。
其香气令人忆起往昔的恋情。",,,,,,,,"قبعة لها رائحة
خافتة مألوفة. تستحضر ذكريات
الحب من الأيام التي ولّت.",,,,,,,,,,,
1239aeaa-8ee2-40a2-a014-9f69b3c9429a,1323549680,A_Head_309_Explain,"魚鱗から作られた頭部をスッ
ポリと覆う頭巾。頑丈なのに
柔らかい、不思議な防具。","A scale hood that covers
the head entirely. Firm, yet
soft; truly strange armor.","À base d'écailles de poisson
recouvrant toute la tête.
Ferme et souple à la fois.","Morbido ma solido cappuccio
di squame di pesce. Copre
completamente la testa.","Eine Kapuze aus Fisch-
schuppen. Robust und
dennoch erstaunlich weich.","Escamas que cubren la cabeza
al completo. Firme pero
suave. Difícil de encontrar.","Капюшон из чешуи, полностью
покрывающий голову. Прочный
и мягкий. Странная вещь.","Kaptur z łusek zakrywający
głowę. Miękki, ale mocny.
Naprawdę osobliwy pancerz.",,,"Um capuz de escamas que
cobre toda a cabeça. Firme,
mas macio.","비늘로 만들어 머리를 살포시
감싸주는 두건. 튼튼하면서도
부드러운 신기한 방어구.","由魚鱗製作而成，
包覆整個頭部的頭巾。
堅固卻柔軟的奇特防具。","头部装备，使用鱼鳞制作，
包裹整个头部。
坚固却柔软的奇特防具。",,,,,,,,"قلنسوة قشرية تغطي الرأس
بأكمله. درعٌ غريبة وصلبة
وناعمة في الوقت ذاته.",,,,,,,,,,,
68a4d1ec-2702-4a5d-8f98-a943b897821b,3788079131,A_Head_310_Explain,"死を運ぶ、呪われた頭用装備。
装備中、時折殺めた者の
断末魔が聞こえる…。","Said to take one to the
netherworld. You can faintly
hear the sobs of the dead...","Censé vous emmener dans
l'au-delà pour entendre la
souffrance des mourants.","Si dice che conduca nel
regno dei morti. Puoi
sentire l'agonia dei morti.","Soll dich ins Jenseits
befördern. Hörst du die
gequälten Schreie der Toten?","Se dice que te lleva al más
allá, donde escucharás
la agonía de los muertos.","Говорят, может перенести
в загробный мир. Можно
услышать стоны усопших...","Ponoć przenosi w zaświaty.
Można usłyszeć jęki
umarłych...",,,"Dizem que o leva ao
submundo. É possível ouvir o
choro abafado dos mortos...","저주받은 죽음의 머리 방어구.
장비 중에 때때로 전에
죽인 자의 비명이 들려온다…","帶來死亡、被詛咒的頭部裝備。
在裝備時，偶爾能聽見被殺者
臨終痛苦的聲音……","带来死亡、被诅咒的头部装备。
装备时，偶尔能听见
被杀者临终痛苦的喊叫……",,,,,,,,"يُقال إنها تسحب الشخص إلى
العالم الآخر. تُمكّنك من
سماع نحيب الموتى بصوت خافت.",,,,,,,,,,,
d924224d-3be1-4f78-8857-bb9798e9b0b4,2027703244,A_Head_311_Explain,"不思議なカボチャでできた頭用
装備。頭の中で声がして、狩り
の助言をくれるという。","Headgear made from strange
pumpkins. Speaks telepathic
words of hunting wisdom.","À base de potirons étranges.
Transmet des messages
de sagesse par télépathie.","Copricapo ricavato da strane
zucche; chi lo indossa sente
voci dare dritte di caccia.","Kopfbedeckung aus seltsamen
Kürbissen. Eine Stimme gibt
dem Träger Jagdratschläge.","Cubrecabeza hecho de raras
calabazas. Otorga sabiduría
al portador por telepatía.","Странный тыквенный
шлем. Транслирует в голове
разные охотничьи мудрости.","Nakrycie głowy z dziwnych
dyń. Telepatycznie
przekazuje mądrość łowiecką.",,,"Elmo feito de abóboras
estranhas. Profere palavras
telepáticas de sabedoria.","신기한 호박으로 만든 머리
방어구. 머릿속에 소리가 들려
사냥 조언을 해 준다고 한다.","以奇特的南瓜製作的頭部裝備。
據說腦海裡會出現聲音，
給予狩獵的建議。","使用奇特南瓜制作的头部装备。
据说脑里会出现声音，
给予狩猎的建议。",,,,,,,,"خوذة مصنوعة من يقطين
عجيب. تتلفظ بخواطر
عن حكمة الصيّد.",,,,,,,,,,,
0da9b108-7e30-422c-8519-46ddd5cab0b9,1319117492,A_Head_312_Explain,"不思議なカボチャでできた頭用
装備。精霊の声が聞こえると
いうが、本当だと怖い…。","Headgear crafted from weird
pumpkins. They say those
who wear it can hear voices...","À base d'étranges potirons.
On dit que celui qui le
porte entend des voix.","Copricapo ricavato da
strane zucche; chi lo
indossa sente delle voci...","Kopfbedeckung aus seltsamen
Kürbissen. Man sagt, der
Träger hört Stimmen.","Cubrecabeza hecho de raras
calabazas. Se dice que hace
que el portador oiga voces.","Странный шлем из тыквы.
Говорят, его владелец может
слышать голоса...","Nakrycie głowy z dziwnych
dyń. Ponoć noszący je słyszą
głosy...",,,"Elmo feito de abóboras
estranhas. Dizem que quem o
usa pode ouvir vozes...","신기한 호박으로 만든 머리
방어구. 정령의 목소리가
들린다는데 왠지 무섭다…","用神奇的南瓜做成的頭部裝備。
據說能聽見精靈的聲音，
如果是真的，那就太可怕了……","使用神奇南瓜制成的头部装备。
据说能听见精灵的声音，
若是真的就吓人了……",,,,,,,,"خوذة مصنوعة من
يقطين غريب. يقولون إن من
يرتديها يستطيع سماع أصوات...",,,,,,,,,,,
9b63a3fd-43f9-4dcf-9b72-520ffab329dd,1099220838,A_Head_313_Explain,"昆虫の素材を使った頭用装備。
天を衝く大アゴは、
昆虫たちの覇者の証となる。","Head armor made from bug
parts. It attests to one's
power in the insect kingdom.","À base d'insectes.
Il atteste l'excellence dans
le domaine entomologique.","Elmo realizzato con parti di
insetto; è simbolo di
potenza tra gli insetti.","Kopfschutz aus Käferteilen.
Beweist den Mut des Trägers
im Insektenreich.","Hecho con partes de insecto.
Demuestra tu poder en el
reino de los insectos.","Шлем из останков жуков.
Показывает власть владельца
в царстве насекомых.","Hełm wykonany z części
robaków. Świadczy o mocy
w królestwie owadów.",,,"Elmo feito de partes de
insetos. Atesta o seu poder
no reino dos insetos.","곤충 소재를 쓴 머리 방어구.
하늘을 찌를 듯 솟은 턱은
곤충들의 패자임을 뜻한다.","使用昆蟲素材的
頭部裝備。
衝天的大顎是昆蟲霸王之證。","头部装备，
使用昆虫素材制成。
冲天的大颚是昆虫霸王的证明。",,,,,,,,"درعٌ لحماية الرأس مصنوعة من
أجزاء حشرة. وتُبرهن على قوة
الشخص في مملكة الحشرات.",,,,,,,,,,,
