guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
98863774-a399-4173-8e4a-466f71b63707,150195077,A_Head_300_Name,カムラノ装【頭巾】継,Kamura Legacy Head Scarf,Turban Héritage Kamura,Bandana lascito Kamura,Kamura-Erbe-Kopftuch,Bandana dote Kamura X,Платок насл. Камуры,Chustka dziedz. Kamury,,,Lenço Legado Kamura,카무라두건-계,神火裝【頭巾】繼,炎火装束【头巾】继,,,,,,,,وشاح تراث كامورا,,,,,,,,,,,
67682921-92e2-4359-9e32-0af68cdf62cb,458759480,A_Head_301_Name,レザーＸヘッド,Leather Headgear X,Coiffe en cuir X,Copricapo di cuoio X,Leder-KopfbedeckungX,Lentes de cuero X,Кожаный шлем Х,Skórzany kaptur X,,,Elmo de Couro X,레더X헤드,皮製X頭飾,皮制X头饰,,,,,,,,خوذة جلدية X,,,,,,,,,,,
115f47a7-3b62-4edf-a37f-efd10baa356d,621648679,A_Head_302_Name,チェーンＸヘッド,Chainmail Headgear X,Protection de mailles X,Elmo di cotta X,KettenKopfbedeckungX,Yelmo de malla X,Кольчужный шлем X,Hełm kolczy X,,,Elmo de Cota X,체인X헤드,鎖甲X頭飾,锁甲X头饰,,,,,,,,خوذة من حلقات معدنية X,,,,,,,,,,,
caac6418-dfbf-473e-a324-347ba16bf6e9,2107394942,A_Head_303_Name,ハンターＸヘルム,Hunter's Helm X,Heaume de chasseur X,Elmo cacciatore X,Jäger-Helm X,Casco de cazador X,Охотничий шлем X,Hełm łowcy X,,,Elmo do Caçador X,헌터X헬름,獵人X頭盔,猎人X头盔,,,,,,,,خوذة الصياد X,,,,,,,,,,,
70a2bab1-f9ff-4271-8fba-215c62e0fac5,378391197,A_Head_304_Name,ドーベルＸヘルム,Dober Helm X,Heaume Dober X,Elmo Dober X,Dober-Helm X,Yelmo de Dober X,Доберовый шлем X,Hełm z Dobera X,,,Elmo de Dober X,도베르X헬름,杜賓X頭盔,杜宾X头盔,,,,,,,,خوذة دوبر X,,,,,,,,,,,
04702391-e6e0-421e-98ea-4ef9971843e0,158490400,A_Head_305_Name,アロイＸヘルム,Alloy Helm X,Heaume en alliage X,Elmo in lega X,Legierungs-Helm X,Yelmo de aleación X,Литой шлем X,Hełm ze stopu X,,,Elmo de Liga Leve X,얼로이X헬름,合金X頭盔,合金X头盔,,,,,,,,خوذة من خليط معدني X,,,,,,,,,,,
e3127cf0-4301-466e-859f-5aaca990b261,430322400,A_Head_306_Name,インゴットＸヘルム,Ingot Helm X,Heaume en lingot X,Elmo lingotto X,Guss-Helm X,Yelmo de lingotes X,Драгоценный шлем X,Hełm ze sztabek X,,,Elmo de Lingote X,잉곳X헬름,鑄鐵X頭盔,铸铁X头盔,,,,,,,,خوذة إنجوت X,,,,,,,,,,,
dbaaf922-09ad-4fce-822f-6935dfbc2977,3122304491,A_Head_307_Name,ダマスクＸヘルム,Damascus Helm X,Heaume Damascus X,Elmo di Damasco X,Damaskus-Helm X,Yelmo de Damasco X,Дамасский шлем X,Hełm damasceński X,,,Elmo Aço Damasco X,다마스크X헬름,大馬士革X頭盔,花纹钢X头盔,,,,,,,,خوذة دمشقية X,,,,,,,,,,,
4c2f9c4e-19aa-4ebc-b55c-ddcef724c66c,1388031114,A_Head_308_Name,メルホアＸフロール,Melahoa Hat X,Coiffe Melahoa X,Cappello Melahoa X,Melahoa-Hut X,Sombrero Melahoa X,Шапка Мелахоа X,Kapelusz Melahoa X,,,Chapéu de Melahoa X,멜호아X프롤,花瓣X綻放,花瓣X绽放,,,,,,,,قبعة ميلاهوا X,,,,,,,,,,,
f680ed62-7c3f-478e-9626-716bacae1938,3533835348,A_Head_309_Name,マカルパＸフード,Makluva Hood X,Capuchon Makluva X,Cappuccio Makluva X,Makluva-Kapuze X,Capucha Makluva X,Капюшон Маклувы X,Kaptur Makluva X,,,Capuz de Makluva X,마카르파X후드,魚鱗X兜帽,鱼鳞X兜帽,,,,,,,,غطاء رأس ماكلوفا X,,,,,,,,,,,
0c380486-a28c-4717-87cc-fc8cdad8eceb,3429814443,A_Head_310_Name,デスギアＸゲヒル,Death Stench Brain X,Cerveau putride X,Cervello putrefatto X,Todesgestank-Hirn X,Cerebro pestilente X,Капюш. злов. смерти X,Mózg rozkładu X,,,Cérebro Putrefato X,데스기어X게힐,死神X首腦,死神X首脑,,,,,,,,درع رأس رائحة الموت X,,,,,,,,,,,
8f2c6f1d-3d0b-41dc-9388-676b123cdd4d,4145177272,A_Head_311_Name,マギュルＸフロール,Mosgharl Vizor X,Visière Mosgharl X,Visiera Mosgharl X,Mosgharl-Visier X,Visera Mosgharl X,Шляпа Мосгарла X,Przyłbica Mosgharl X,,,Viseira Mosgharl X,마기르X프롤,南瓜X綻放,南瓜X绽放,,,,,,,,قناع موزجارل X,,,,,,,,,,,
fd03beda-be0e-4d55-b482-4e3bc86ec9f2,419240485,A_Head_312_Name,マギュルＸフロール,Mosgharl Vizor X,Visière Mosgharl X,Visiera Mosgharl X,Mosgharl-Visier X,Visera Mosgharl X,Шляпа Мосгарла X,Przyłbica Mosgharl X,,,Viseira Mosgharl X,마기르X프롤,南瓜X綻放,南瓜X绽放,,,,,,,,قناع موزجارل X,,,,,,,,,,,
3ecffaf0-e0e1-4eba-ade2-eb587a1dc601,157074753,A_Head_313_Name,ロワーガＸテスタ,Aelucanth Vertex X,Vertex Aelucanth X,Zenith Aelucanth X,Aelucanth-Vertex X,Vértice Aelucanth X,Нашлемник Элуканта X,Czub Aelucantha X,,,Vértice Aelucanth X,르와가X테스타,鍬形X護頭,锹形X护头,,,,,,,,قمة رأس أيلوكانث X,,,,,,,,,,,
9214effe-c080-469d-a519-f09733069c3f,989094916,A_Head_314_Name,ファルメルＸテスタ,Rhopessa Vertex X,Vertex Rhopessa X,Zenith Rhopessa X,Rhopessa-Vertex X,Vértice Rhopessa X,Нашлемник Ропессы X,Czub Rhopessy X,,,Vértice Rhopessa X,파르메르X테스타,鳳蝶X護頭,凤蝶X护头,,,,,,,,قمة رأس روبيسا X,,,,,,,,,,,
57023353-6a37-4d6f-88c1-a8efff8e29d0,1418675388,A_Head_315_Name,ヴァイクＸヘルム,Vaik Helm X,Heaume Vaik X,Elmo Vaik X,Vaik-Helm X,Casco Vaik X,Шлем Вайка X,Hełm Vaik X,,,Elmo de Vaik X,바이크X헬름,海境X頭盔,海境X头盔,,,,,,,,خوذة فايك X,,,,,,,,,,,
