guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
aa8335fa-e637-4a7a-9ea3-d0402c90a2c8,3925038422,A_Leg_000_Explain,"カムラの里の脚用防具。
里で生産された鉄や布を用い、
使い手ごとに調整された一品。","Leg armor that fits the user
like a glove...for the foot.
Made of local materials.","Vous ira comme un gant...
mais pour le pied.
En matériaux locaux.","Gambali che vestono come un
guanto... per i piedi.
Fatti con materiali locali.","Rüstung, die sich geradezu
ans Bein schmiegt. Aus
regionalen Materialien.","Van como un guante..., pero
en los pies. Están hechos con
productos locales.","Поножи, сидящие на ногах
как перчатки... Изготовлены
из местных материалов.","Pancerz na nogi. Doskonale
układa się na nodze.
Z lokalnych materiałów.",,,"Proteção de pernas que serve
no usuário como uma luva...
para as pernas.","카무라 마을의 다리 방어구.
마을에서 만든 철과 천으로
착용자에 맞춰 만든 물건.","神火村的足部防具。
使用村裡生產的鐵與布製作，
可依不同穿著者進行調整。","炎火村的脚部防具。
使用了村里生产的铁与布，
根据使用者进行调整的绝品。",,,,,,,,"درع للقدم تناسب حجم
مُستخدمها تمامًا.
مصنوعة من مواد محلية.",,,,,,,,,,,
ea1b1830-c8ad-4c19-a307-9d8ab2250655,3534498378,A_Leg_001_Explain,"カムラの里の脚用防具。
里で生産された鉄や布を用い、
使い手ごとに調整された一品。","Leg armor that fits the user
like a glove...for the foot.
Made of local materials.","Vous ira comme un gant...
mais pour le pied.
En matériaux locaux.","Gambali che vestono come un
guanto... per i piedi.
Fatti con materiali locali.","Rüstung, die sich geradezu
ans Bein schmiegt. Aus
regionalen Materialien.","Van como un guante..., pero
en los pies. Están hechos con
productos locales.","Поножи, сидящие на ногах
как перчатки... Изготовлены
из местных материалов.","Pancerz na nogi. Doskonale
układa się na nodze.
Z lokalnych materiałów.",,,"Proteção de pernas que serve
no usuário como uma luva...
para as pernas.","카무라 마을의 다리 방어구.
마을에서 만든 철과 천으로
착용자에 맞춰 만든 물건.","神火村的足部防具。
使用村裡生產的鐵與布製作，
可依不同穿著者進行調整。","炎火村的脚部防具。
使用了村里生产的铁与布，
根据使用者进行调整的绝品。",,,,,,,,"درع للقدم تناسب حجم
مُستخدمها تمامًا.
مصنوعة من مواد محلية.",,,,,,,,,,,
0d120767-913c-4cf3-ae8b-85e84c9cdb05,2474497107,A_Leg_002_Explain,"ハンターの基本として
親しまれる脚用装備。
軽くて動きやすい。","Leg armor preferred as
basic hunter equipment.
Light and easy to move in.","Armure de base pour les
jambes. À la fois légère et
confortable.","Schinieri apprezzati come
dotazione di base per la
caccia. Agili e leggeri.","Beinschutz, bei Jägern als
Grundausrüstung beliebt.
Leicht, gute Beweglichkeit.","Armadura para piernas. Parte
del equipo básico de caza.
Ligera y fácil de manejar.","Штаны, предпочитаемые
многими охотниками. Легкие
и не стесняют движения.","Pancerz na nogi stanowiący
podstawowy sprzęt łowcy.
Lekki, nie ogranicza ruchów.",,,"Proteção básica bastante
popular. Leve, com liberdade
de movimento.","헌터의 기본 방어구로 친숙한
다리 방어구. 가벼워서
움직이기 편하다.","作為獵人基本裝備
而為人所熟悉的足部裝備。
輕盈又便於活動。","作为猎人的基本装备
而为人所知的脚部装备。
轻盈又便于活动。",,,,,,,,"درع للقدم مُفضلة ضمن
معدات الصيّاد الأساسية. يمكن
التنقل بها بخِفة وسهولة.",,,,,,,,,,,
e2a2db25-4e4b-430d-a4de-fb24e92ddf4f,361678829,A_Leg_003_Explain,"ハンターの基本として
親しまれる脚用装備。
軽くて動きやすい。","Leg armor preferred as
basic hunter equipment.
Light and easy to move in.","Armure de base pour les
jambes. À la fois légère et
confortable.","Schinieri apprezzati come
dotazione di base per la
caccia. Agili e leggeri.","Beinschutz, bei Jägern als
Grundausrüstung beliebt.
Leicht, gute Beweglichkeit.","Armadura para piernas. Parte
del equipo básico de caza.
Ligera y fácil de manejar.","Штаны, предпочитаемые
многими охотниками. Легкие
и не стесняют движения.","Pancerz na nogi stanowiący
podstawowy sprzęt łowcy.
Lekki, nie ogranicza ruchów.",,,"Proteção básica bastante
popular. Leve, com liberdade
de movimento.","헌터의 기본 방어구로 친숙한
다리 방어구. 가벼워서
움직이기 편하다.","作為獵人基本裝備
而為人所熟悉的足部裝備。
輕盈又便於活動。","作为猎人的基本装备
而为人所知的脚部装备。
轻盈又便于活动。",,,,,,,,"درع للقدم مُفضلة ضمن
معدات الصيّاد الأساسية. يمكن
التنقل بها بخِفة وسهولة.",,,,,,,,,,,
602ed664-6a21-421c-b428-e84111087aa5,931887211,A_Leg_004_Explain,"丈夫な作りの脚用装備。
金属の使用を最小限に押さえ
て、動きやすさを確保。","Sturdy leg armor. Made with
as little metal as possible,
so as to be easy to wear.","Jambières solides. Avec
le moins de métal possible
pour un port aisé.","Robusti schinieri che hanno
poche parti in metallo per
migliorare il comfort.","Robuster Beinschutz. Für den
Tragekomfort aus möglichst
wenig Metall gefertigt.","Fuerte armadura para piernas.
Hecha con poco metal para
ganar mayor comodidad.","Прочные штаны. Содержат
минимум металла, что делает
их комфортабельными.","Solidny pancerz na nogi.
Z niewielkiej ilości metalu,
co ułatwia noszenie.",,,"Proteção resistente. Feita
com o mínimo de metal
possível, para melhor uso.","튼튼한 만듦새의 다리 방어구.
금속을 최대한 적게 사용해
움직임에 방해되지 않는다.","構造堅固的足部裝備。
將金屬使用量控制在最低限度，
以確保活動便利性。","脚部装备，构造坚固。
将金属的使用量控制在最少，
以确保行动的便利性。",,,,,,,,"درع متينة للقدم. يدخل في
صناعتها نسبة ضئيلة جدًا من
المعادن كي يسهل ارتداؤها.",,,,,,,,,,,
701dee3e-caad-4165-83fa-368e32daa1aa,687168501,A_Leg_005_Explain,"丈夫な作りの脚用装備。
金属の使用を最小限に押さえ
て、動きやすさを確保。","Sturdy leg armor. Made with
as little metal as possible,
so as to be easy to wear.","Jambières solides. Avec
le moins de métal possible
pour un port aisé.","Robusti schinieri che hanno
poche parti in metallo per
migliorare il comfort.","Robuster Beinschutz. Für den
Tragekomfort aus möglichst
wenig Metall gefertigt.","Fuerte armadura para piernas.
Hecha con poco metal para
ganar mayor comodidad.","Прочные штаны. Содержат
минимум металла, что делает
их комфортабельными.","Solidny pancerz na nogi.
Z niewielkiej ilości metalu,
co ułatwia noszenie.",,,"Proteção resistente. Feita
com o mínimo de metal
possível, para melhor uso.","튼튼한 만듦새의 다리 방어구.
금속을 최대한 적게 사용해
움직임에 방해되지 않는다.","構造堅固的足部裝備。
將金屬使用量控制在最低限度，
以確保活動便利性。","脚部装备，构造坚固。
将金属的使用量控制在最少，
以确保行动的便利性。",,,,,,,,"درع متينة للقدم. يدخل في
صناعتها نسبة ضئيلة جدًا من
المعادن كي يسهل ارتداؤها.",,,,,,,,,,,
03510e8f-0643-480d-8850-028463db65cc,3110574613,A_Leg_006_Explain,"ハンター用に作られた脚用
装備。動きやすさを重視した
丈夫な防具。","Leg armor made especially
for hunters. Stout equipment
made for maneuverability.","Spécialement conçues pour
chasseurs. Épaisses et très
adaptées aux déplacements.","Schinieri concepiti per i
cacciatori. Robusti ma con
una buona manovrabilità.","Spezieller Beinschutz für
Jäger. Robuste Ausrüstung
für gute Beweglichkeit.","Armadura para piernas
especial para cazadores.
Sólida pero manejable.","Специальные поножи для
охотников. Невероятно
прочные и удобные.","Specjalny pancerz na nogi
dla łowców. Mocny, ale
nie ogranicza ruchów.",,,"Proteção feita especialmente
para caçadores. Equipamento
robusto, mas articulado.","헌터용으로 만든 다리 방어구.
편한 움직임을 중시한
튼튼한 방어구.","做給獵人用的足部裝備。
重視活動便利性的
堅固防具。","脚部装备，为猎人而制作。
重视活动便利性的坚固防具。",,,,,,,,"درع للقدم مصنوعة بشكل خاص
للصيّادين. معدات قوية
صُنعت للقدرة على المناورة.",,,,,,,,,,,
3f583480-9a77-48df-8bc2-46e109c0d865,3168914053,A_Leg_007_Explain,"ハンター用に作られた脚用
装備。動きやすさを重視した
丈夫な防具。","Leg armor made especially
for hunters. Stout equipment
made for maneuverability.","Spécialement conçues pour
chasseurs. Épaisses et très
adaptées aux déplacements.","Schinieri concepiti per i
cacciatori. Robusti ma con
una buona manovrabilità.","Spezieller Beinschutz für
Jäger. Robuste Ausrüstung
für gute Beweglichkeit.","Armadura para piernas
especial para cazadores.
Sólida pero manejable.","Специальные поножи для
охотников. Невероятно
прочные и удобные.","Specjalny pancerz na nogi
dla łowców. Mocny, ale
nie ogranicza ruchów.",,,"Proteção feita especialmente
para caçadores. Equipamento
robusto, mas articulado.","헌터용으로 만든 다리 방어구.
편한 움직임을 중시한
튼튼한 방어구.","做給獵人用的足部裝備。
重視活動便利性的
堅固防具。","脚部装备，为猎人而制作。
重视活动便利性的坚固防具。",,,,,,,,"درع للقدم مصنوعة بشكل خاص
للصيّادين. معدات قوية
صُنعت للقدرة على المناورة.",,,,,,,,,,,
fac11b34-e4d4-4a6a-898d-bf1154fd6bf3,1867983400,A_Leg_008_Explain,"由来の知れぬ漆黒の骨で出来た
脚用装備。遙かな時の流れでも
龍を葬る事は出来なかった。","Leg armor made of unknown
black bones. Countless moons
could not quell the beast.","Armure de jambes en os noirs
inconnus. Rien ne pouvait
dompter le monstre.","Gambali con ossa nere
sconosciute. Impossibile
domare la bestia.","Aus unbekannten schwarzen
Knochen. Die Bestie hat
zahllosen Monden getrotzt.","Armadura para piernas de
huesos negros desconocidos.
Nada calma a la bestia.","Поножи из неизвестных черных
костей. Долгие лунные ночи
не смогли усмирить зверя.","Pancerz na nogi wykonany z
tajemniczych, czarnych kości.
Bestia była nieposkromiona.",,,"Feita de ossos negros
desconhecidos. Inúmeras luas
nunca acalmaram a fera.","칠흑의 뼈로 만들어진
다리 방어구. 세월이 아무리
흘러도 용을 죽일 수 없었다.","以來歷不明的漆之骨頭製成的
足部裝備。即便經歷漫長的時光
亦無法掩埋龍的存在。","来历不明的漆黑之骨制成的
脚部装备。纵使时光流逝，
龙依旧无法被埋没。",,,,,,,,"درع للقدم مصنوعة من عظام
سوداء مجهولة. لا يمكن لعدة
أقمار كبح الوحش.",,,,,,,,,,,
d905ec53-241a-4766-9cb8-d0ad2e126199,1017011768,A_Leg_009_Explain,"良質な鉱石素材を用いた
脚用装備。きわめて
実用的な思想の防具。","Leg armor made with
quality ore. Its design
is extremely practical.","À base de minerai de
qualité. Le design est très
pratique.","Schinieri fatti con minerali
di qualità. Una dotazione
votata alla praticità.","Beinschutz aus hochwertigem
Erz. Sein Design ist extrem
praktisch.","Armadura para piernas hecha
con minerales de calidad.
Su diseño es muy práctico.","Поножи из высокоценной
руды. Славятся
невероятной практичностью.","Pancerz na nogi z wysokiej
jakości rudy. Wyjątkowo
praktyczna konstrukcja.",,,"Proteção feita com minério
de qualidade. Seu design
é extremamente prático.","품질 좋은 광석 소재로 만든
다리 방어구. 굉장히 실용적인
설계 사상을 가진 방어구.","使用優質礦石素材
製成的足部裝備。
極度講求實用性的防具。","脚部装备，
使用上好矿石素材制作。
实用理念极深的防具。",,,,,,,,"درع للقدم مصنوعة من
معدن خام ممتاز. لها
تصميم عملي جدًا.",,,,,,,,,,,
