guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
fa26d8bc-de3c-4ade-9b62-8d198f76ad1d,988509305,A_Leg_300_Explain,"より洗練された里の脚用防具。
どれだけ地を飛び駆けようとも
決して傷つく事は無い。","Refined armor that never
gets scratched no matter how
much the wearer runs around.","Armure raffinée qui ne
s'abîme pas malgré
les combats de son porteur.","Elegante armatura che mai
viene scalfita, a prescindere
da quanto venga indossata.","Raffinierte Rüstung. Absolut
kratzerfrei, selbst nach den
strapaziösesten Einsätzen.","Esta elegante prenda jamás
recibirá ni un solo rasguño,
por mucho trote que le des.","Улучшенные поножи. Не
царапаются даже при
длительном использовании.","Wytrzymały pancerz nie
do zarysowania. Można go
używać bez końca.",,,"Armadura refinada que nunca
fica arranhada não importa o
quanto dono correr.","보다 세련된 마을의 다리
방어구. 마음껏 달려도
상처가 나는 일이 없다.","更加洗鍊的神火村腳部防具，
無論在原野上奔馳得多快，
也絕對不會損壞。","经过千锤百炼的村庄脚部防具。
无论疾驰多远的距离，
都绝不会有丝毫损坏。",,,,,,,,"درع مصقول لا يتعرض
للخدش أبدًا مهما يتعرض مرتديه
من ظروف قاسية.",,,,,,,,,,,
05d24807-b033-4a84-b9e6-03bf68d6a46b,3654509905,A_Leg_301_Explain,"ハンターの基本として
親しまれる脚用装備。
軽くて動きやすい。","Leg armor preferred as
basic hunter equipment.
Light and easy to move in.","Armure de base pour les
jambes. À la fois légère et
confortable.","Schinieri apprezzati come
dotazione di base per la
caccia. Agili e leggeri.","Beinschutz, bei Jägern als
Grundausrüstung beliebt.
Leicht, gute Beweglichkeit.","Armadura para piernas. Parte
del equipo básico de caza.
Ligera y fácil de manejar.","Штаны, предпочитаемые
многими охотниками. Легкие
и не стесняют движения.","Pancerz na nogi stanowiący
podstawowy sprzęt łowcy.
Lekki, nie ogranicza ruchów.",,,"Proteção básica bastante
popular. Leve, com liberdade
de movimento.","헌터의 기본 방어구로 친숙한
다리 방어구. 가벼워서
움직이기 편하다.","作為獵人基本裝備
而為人所熟悉的足部裝備。
輕盈又便於活動。","作为猎人的基本装备
而为人所知的脚部装备。
轻盈又便于活动。",,,,,,,,"درع للقدم مُفضلة ضمن
معدات الصيّاد الأساسية. يمكن
التنقل بها بخِفة وسهولة.",,,,,,,,,,,
89467086-0376-4854-9b18-b7db0d807279,3142977879,A_Leg_302_Explain,"丈夫な作りの脚用装備。
金属の使用を最小限に押さえ
て、動きやすさを確保。","Sturdy leg armor. Made with
as little metal as possible,
so as to be easy to wear.","Jambières solides. Avec
le moins de métal possible
pour un port aisé.","Robusti schinieri che hanno
poche parti in metallo per
migliorare il comfort.","Robuster Beinschutz. Für den
Tragekomfort aus möglichst
wenig Metall gefertigt.","Fuerte armadura para piernas.
Hecha con poco metal para
ganar mayor comodidad.","Прочные штаны. Содержат
минимум металла, что делает
их комфортабельными.","Solidny pancerz na nogi.
Z niewielkiej ilości metalu,
co ułatwia noszenie.",,,"Proteção resistente. Feita
com o mínimo de metal
possível, para melhor uso.","튼튼한 만듦새의 다리 방어구.
금속을 최대한 적게 사용해
움직임에 방해되지 않는다.","構造堅固的足部裝備。
將金屬使用量控制在最低限度，
以確保活動便利性。","脚部装备，构造坚固。
将金属的使用量控制在最少，
以确保行动的便利性。",,,,,,,,"درع متينة للقدم. يدخل في
صناعتها نسبة ضئيلة جدًا من
المعادن كي يسهل ارتداؤها.",,,,,,,,,,,
709a260a-814e-47ae-8d9c-4d7dc2352636,3314294352,A_Leg_303_Explain,"様々な局面を想定して作られ
た、汎用性の高いハンター用
脚装備。非常に頼れる防具。","Every aspect of this armor
is crafted for versatility and
reliability.","Une pièce d'armure conçue
pour être aussi fiable que
polyvalente.","Ottimi come protezioni, sono
pensati per vari utilizzi.
Popolari tra i cacciatori.","Bei jedem Detail dieser Rüstung
wurde größter Wert auf Flexibi-
lität und Verlässlichkeit gelegt.","Todos sus aspectos buscan la
mayor versatilidad y
fiabilidad.","Максимально универсальные
и надежные поножи.","Każdy aspekt tego pancerza
zapewnia wszechstronność
i niezawodność.",,,"Tudo nesta armadura é feito
para ser versátil e confiável.","다양한 환경을 고려해서
만들어진 헌터용 다리
방어구. 마음이 든든하다.","預先設想各種場面後製作而成，
用途廣泛的獵人足部裝備。
是非常值得信賴的防具。","猎人专用的脚部装备，用途多
种多样，能应付多种局面，十
分可靠。",,,,,,,,"صُنع كل جانب
من جوانب هذه الدرع لتعدد
الاستخدامات والموثوقية.",,,,,,,,,,,
cb416b39-fd62-42d3-ace7-5d3ace69e48a,1011680047,A_Leg_304_Explain,"由来の知れぬ漆黒の骨で出来た
脚用装備。遙かな時の流れでも
龍を葬る事は出来なかった。","Leg armor made of unknown
black bones. Countless moons
could not quell the beast.","Armure de jambes en os noirs
inconnus. Rien ne pouvait
dompter le monstre.","Gambali con ossa nere
sconosciute. Impossibile
domare la bestia.","Aus unbekannten schwarzen
Knochen. Die Bestie hat
zahllosen Monden getrotzt.","Armadura para piernas de
huesos negros desconocidos.
Nada calma a la bestia.","Поножи из неизвестных черных
костей. Долгие лунные ночи
не смогли усмирить зверя.","Pancerz na nogi wykonany z
tajemniczych, czarnych kości.
Bestia była nieposkromiona.",,,"Feita de ossos negros
desconhecidos. Inúmeras luas
nunca acalmaram a fera.","칠흑의 뼈로 만들어진
다리 방어구. 세월이 아무리
흘러도 용을 죽일 수 없었다.","以來歷不明的漆之骨頭製成的
足部裝備。即便經歷漫長的時光
亦無法掩埋龍的存在。","来历不明的漆黑之骨制成的
脚部装备。纵使时光流逝，
龙依旧无法被埋没。",,,,,,,,"درع للقدم مصنوعة من عظام
سوداء مجهولة. لا يمكن لعدة
أقمار كبح الوحش.",,,,,,,,,,,
99581826-b32f-4ece-b5c1-1e67a05939e7,864936920,A_Leg_305_Explain,"良質な鉱石素材を用いた
脚用装備。きわめて
実用的な思想の防具。","Leg armor made with
quality ore. Its design
is extremely practical.","À base de minerai de
qualité. Le design est très
pratique.","Schinieri fatti con minerali
di qualità. Una dotazione
votata alla praticità.","Beinschutz aus hochwertigem
Erz. Sein Design ist extrem
praktisch.","Armadura para piernas hecha
con minerales de calidad.
Su diseño es muy práctico.","Поножи из высокоценной
руды. Славятся
невероятной практичностью.","Pancerz na nogi z wysokiej
jakości rudy. Wyjątkowo
praktyczna konstrukcja.",,,"Proteção feita com minério
de qualidade. Seu design
é extremamente prático.","품질 좋은 광석 소재로 만든
다리 방어구. 굉장히 실용적인
설계 사상을 가진 방어구.","使用優質礦石素材
製成的足部裝備。
極度講求實用性的防具。","脚部装备，
使用上好矿石素材制作。
实用理念极深的防具。",,,,,,,,"درع للقدم مصنوعة من
معدن خام ممتاز. لها
تصميم عملي جدًا.",,,,,,,,,,,
18365e40-cc7e-48ec-8517-5f60edbbce9b,128246427,A_Leg_306_Explain,"金色に輝く脚用装備。
上質な鉱石素材を
ふんだんに使用している。","Leg armor that makes
lavish use of high quality
ore that glints gold.","Armure dorée pour laquelle
on a dépensé sans compter
un minerai de qualité.","Gambali forgiati con
lussuosi minerali dai
riflessi dorati.","Golden glänzender Bein-
schutz, bei dem nicht an
feinstem Erz gespart wurde.","Armadura para piernas hecha
con minerales de calidad que
brillan como el oro.","Поножи с высоким содержанием
особо качественной руды.
Имеют золотистый блеск.","Pancerz na nogi bogaty
w wysokiej jakości rudę
błyszczącą złotem.",,,"Proteção feita com minério
de alta qualidade.
Brilha como ouro.","금색으로 빛나는 다리 방어구.
양질의 광석을 충분히
사용했다.","散發著金色光芒的足部裝備。
使用了大量的
上等礦石素材打造而成。","金光闪烁的脚部装备。
大量使用上好矿石素材。",,,,,,,,"درع للقدم تستخدم كمية كبيرة
من معدن خام ممتاز
يجعلها تلمع كالذهب.",,,,,,,,,,,
59bf8916-cff4-46a7-b50b-b918745a086d,3583772348,A_Leg_307_Explain,"持ち主を覇道へと導くと伝えら
れる鋼鉄の甲冑。全身から猛々
しき覇気がみなぎっている。","Steel armor said to lead
its wearer to glory. Emits a
ferocious aura of victory.","Armure en acier qui conduit
son porteur à la gloire.
Émet une aura victorieuse.","Armatura d'acciaio che emana
una feroce aura di vittoria.
Dà gloria a chi la indossa.","Stahlrüstung, die ihrem
Träger Ruhm einbringt. Hat
eine starke Aura des Sieges.","Hay quien dice que llevan a
su portador hasta la gloria.
Emanan un aura de victoria.","Говорят, эти стальные
доспехи приносят славу.
Источают мощную ауру победы.","Stalowy pancerz, który
poprowadzi do chwały.
Emanuje aurą zwycięstwa.",,,"Proteção de aço capaz de
levar o usuário à glória.
Emite uma aura de vitória.","주인을 패도의 길로 이끈다는
강철 갑주. 전신에서 용맹한
패기가 넘쳐흐른다.","據說會引領持有者完成霸業的
鋼鐵盔甲。
渾身散發著強悍的霸氣。","钢铁盔甲，
传说会引领持有者走上霸道。
全身充满了勇猛的雄心。",,,,,,,,"درع فولاذية يُقال إنها تقود
مُرتديها نحو تحقيق المجد.
تنضح بهالة انتصار ضارية.",,,,,,,,,,,
bacd0ca7-02bc-4978-9648-d3d609727eff,3051300558,A_Leg_308_Explain,"香り立つ雰囲気の脚用装備。
どこか懐かしいその香りに酔
いしれ、衝動買いしたくなる。","Armor with a lovely aroma.
Its intoxicating fragrance
can make one impulsive.","Armure à l'arôme délicieux.
Son parfum capiteux peut
rendre impulsif.","Protezione profumata. La sua
fragranza intossicante rende
impulsivi.","Ein Panzer mit lieblichem
Duft, der in so manchem
die Leidenschaft erweckt.","Desprende un agradable olor,
pero su fragancia es tóxica y
puede hacerte más impulsivo.","Доспехи с чудесным ароматом.
Их дурманящий запах толкает
на импульсивные поступки.","Pancerz o cudownym aromacie.
Odurzający zapach może
pobudzić do działania.",,,"Proteção com aroma adorável.
A fragrância inebriante pode
tornar alguém impulsivo.","냄새가 향기로운 다리 방어구.
그리운 그 향기에 이끌려
충동구매를 하게 된다.","有著飄香氛圍的足部裝備。
那種莫名感到懷念的香氣
令人沉醉，產生想搶購的衝動。","有着飘香氛围的脚部装备。
莫名怀念的香气令人沉醉，
不禁产生购物的冲动。",,,,,,,,"درع لها رائحة عطرة.
يمكن لرائحتها المثيرة
دفع المرء للتهور.",,,,,,,,,,,
fcba6518-d1fb-4257-9025-0730991f5b5d,2874610215,A_Leg_309_Explain,"魚鱗から作られた脚用装備。
柔らかな質感で、地面の起伏
が良くわかる。","Armor made from fish scales.
Soft material allows you to
feel the earth underfoot.","En écailles de poisson.
Assez souple pour sentir
la terre sous vos pieds.","Fatti di squame di pesce.
Tanto leggeri da sentire
la terra sotto ai piedi.","Eine Hose aus Fischschuppen.
Dank des weichen Materials
angenehm zu tragen.","Armadura de escamas.
El suave material permite
sentir la tierra al andar.","Доспехи из рыбьей чешуи.
Мягкий материал позволяет
ощущать землю под ногами.","Pancerz z rybich łusek.
Miękki materiał pozwala
poczuć ziemię pod stopami.",,,"Proteção feita de escamas de
peixe. O material macio
mantém o tato dos pés.","비늘로 만든 다리 방어구.
부드러운 재질로 지면의
기복을 쉽게 느낄 수 있다.","由魚鱗製作而成的足部裝備。
柔軟的質感，
可以清楚感受到地面的起伏。","脚部装备，使用鱼鳞制作。
柔软的质感，
可以清楚感受到地面的起伏。",,,,,,,,"درع مصنوعة من قشور السمك.
تتيح المادة الناعمة الشعور
بملمس الأرض تحت قدميك.",,,,,,,,,,,
