guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
34270814-7758-4b11-b191-eab0f4b5775a,1582766680,A_Leg_000_Name,カムラノ装【脚絆】,Kamura Leggings,Jambières Kamura,Gambali Kamura,Kamura-Gamaschen,Leotardos Kamura,Поножи Камуры,Nogawice Kamury,,,Pern. de Kamura,카무라각반,神火裝【綁腿】,炎火装束【绑腿】,,,,,,,,سروال كامورا,,,,,,,,,,,
ddd833f9-dbb4-49ff-a934-9cec8a774e8b,2732584322,A_Leg_001_Name,カムラノ装【脚絆】覇,Kamura Leggings S,Jambières Kamura S,Gambali Kamura S,Kamura-Gamaschen S,Leotardos Kamura S,Поножи Камуры (S),Nogawice Kamury S,,,Pern. de Kamura S,카무라각반-패,神火裝【綁腿】霸,炎火装束【绑腿】霸,,,,,,,,سروال كامورا S,,,,,,,,,,,
5207aa6d-b5b4-422d-b0e4-4368a97b2a0a,1391233848,A_Leg_002_Name,レザーパンツ,Leather Pants,Pantalon en cuir,Braghe di cuoio,Lederhose,Pantalones de cuero,Кожаные штаны,Skórzane spodnie,,,Calças de Couro,레더팬츠,皮製長褲,皮制长裤,,,,,,,,بنطال جلدي,,,,,,,,,,,
52e6fbcd-7af8-44e7-8770-7206daa5f35e,2042810221,A_Leg_003_Name,レザーＳパンツ,Leather Pants S,Pantalon en cuir S,Braghe di cuoio S,Lederhose S,Pantalones de cuero S,Кожаные штаны (S),Skórzane spodnie S,,,Calças de Couro S,레더S팬츠,皮製S長褲,皮制S长裤,,,,,,,,بنطال جلدي S,,,,,,,,,,,
47c13c6c-81b0-4677-9b23-cb80d7c2483e,283448927,A_Leg_004_Name,チェーンパンツ,Chainmail Pants,Pantalon en mailles,Pantaloni di cotta,Kettenhose,Pantalones de malla,Кольчужные штаны,Spodnie kolcze,,,Calças C. de Malha,체인팬츠,鎖甲長褲,锁甲长裤,,,,,,,,بنطال فولاذي,,,,,,,,,,,
f055b928-16ea-49b0-9f59-e7fbab20a738,3827667367,A_Leg_005_Name,チェーンＳパンツ,Chainmail Pants S,Pantalon en mailles S,Pantaloni di cotta S,Kettenhose S,Pantalones de malla S,Кольчужные штаны (S),Spodnie kolcze S,,,Calças C. de Malha S,체인S팬츠,鎖甲S長褲,锁甲S长裤,,,,,,,,بنطال فولاذي S,,,,,,,,,,,
1bb46613-bb9e-47b5-8896-9ddeada08901,2787994661,A_Leg_006_Name,ハンターグリーヴ,Hunter's Greaves,Grèves de chasseur,Schinieri cacciatore,Jäger-Beinschienen,Grebas de cazador,Охотничьи поножи,Nagolenice łowcy,,,Grevas de Caçador,헌터그리브,獵人護腿,猎人护腿,,,,,,,,دروع ساق الصياد,,,,,,,,,,,
2e796c09-e9d6-4c17-9479-dd8624c47136,2601180711,A_Leg_007_Name,ハンターＳグリーヴ,Hunter's Greaves S,Grèves de chasseur S,Schinieri cacciatore S,Jäger-Beinschienen S,Grebas de cazador S,Охотничьи поножи (S),Nagolenice łowcy S,,,Grevas de Caçador S,헌터S그리브,獵人S護腿,猎人S护腿,,,,,,,,دروع ساق الصياد S,,,,,,,,,,,
b813dd5b-2e83-4cee-b2f0-896457d2a491,1291783605,A_Leg_008_Name,ドーベルグリーヴ,Dober Greaves,Grèves Dober,Schinieri Dober,Dober-Beinschienen,Grebas de Dober,Доберовые поножи,Nagolenice z Dobera,,,Grevas de Dober,도베르그리브,杜賓護腿,杜宾护腿,,,,,,,,دروع ساق دوبر,,,,,,,,,,,
d32c1d51-65d9-40dd-92d6-43001b8cd9f7,1804331837,A_Leg_009_Name,アロイグリーヴ,Alloy Greaves,Grèves en alliage,Schinieri in lega,LegierungsBeinschien,Grebas de aleación,Литые поножи,Nagolenice ze stopu,,,Grevas de L. Leve,얼로이그리브,合金護腿,合金护腿,,,,,,,,درع ساق خليط معدني,,,,,,,,,,,
