guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
811bb93b-5d62-47f3-b29d-6a2434b9714e,4114378607,A_Waist_000_Explain,"カムラの里の腰用防具。
無駄を省いた設計によって、
狩猟道具を多く忍ばせている。","A sash that can conceal
all manner of hunting tools
via a no-nonsense design.","Écharpe pouvant dissimuler
toutes sortes d'outils
grâce à son design simple.","Fascia che nasconde
ogni strumento di caccia
grazie alla linea studiata.","Schnörkellose Schärpe, in
der man alle möglichen Jagd-
werkzeuge verstauen kann.","Este obi de extraño diseño
puede guardar en su interior
todo tipo de accesorios.","Максимально практичный
пояс для ношения
охотничьего снаряжения.","Prosta przepaska, która
ukryje cały sprzęt
potrzebny przy polowaniu.",,,"Uma faixa que pode esconder
todo tipo de ferramenta de
caça com seu design peculiar.","카무라 마을의 허리 방어구.
실용성을 중시한 설계로
사냥 도구가 숨겨져 있다.","神火村的腰部防具。
透過省去多餘的設計，
可攜帶許多狩獵道具。","炎火村的腰部防具。
设计没有丝毫累赘，
暗藏诸多狩猎道具。",,,,,,,,"وشاح يمكنه إخفاء
كل أنواع أدوات الصيد
من خلال تصميم عملي.",,,,,,,,,,,
42d9cfef-5124-4fe2-a646-14e80ff30f61,1227694281,A_Waist_001_Explain,"カムラの里の腰用防具。
無駄を省いた設計によって、
狩猟道具を多く忍ばせている。","A sash that can conceal
all manner of hunting tools
via a no-nonsense design.","Écharpe pouvant dissimuler
toutes sortes d'outils
grâce à son design simple.","Fascia che nasconde
ogni strumento di caccia
grazie alla linea studiata.","Schnörkellose Schärpe, in
der man alle möglichen Jagd-
werkzeuge verstauen kann.","Este obi de extraño diseño
puede guardar en su interior
todo tipo de accesorios.","Максимально практичный
пояс для ношения
охотничьего снаряжения.","Prosta przepaska, która
ukryje cały sprzęt
potrzebny przy polowaniu.",,,"Uma faixa que pode esconder
todo tipo de ferramenta de
caça com seu design peculiar.","카무라 마을의 허리 방어구.
실용성을 중시한 설계로
사냥 도구가 숨겨져 있다.","神火村的腰部防具。
透過省去多餘的設計，
可攜帶許多狩獵道具。","炎火村的腰部防具。
设计没有丝毫累赘，
暗藏诸多狩猎道具。",,,,,,,,"وشاح يمكنه إخفاء
كل أنواع أدوات الصيد
من خلال تصميم عملي.",,,,,,,,,,,
2792a6a9-c2c2-495a-a6a1-73d394aed94f,2204550070,A_Waist_002_Explain,"皮をベースに軽い素材で
作られた腰用装備。基本を
押さえた万人向けの作り。","A belt made from leather
and other light materials.
Basic general equipment.","Ceinture faite de cuir et
d'autres matériaux légers.
Équipement général de base.","Cintura fatta di cuoio e
altri materiali leggeri. Una
dotazione generica di base.","Ein Gürtel aus Leder und an-
deren leichten Materialien.
Normale Grundausrüstung.","Cinturón hecho de cuero
y otros materiales ligeros.
Equipamiento general básico.","Пояс из кожи
и других легких материалов.
Базовый элемент снаряжения.","Pas wykonany ze skóry
i lekkich materiałów.
Podstawowy ekwipunek.",,,"Um cinto de couro e outros
materiais leves.
Equipamento geral básico.","가죽 등의 가벼운 소재로
만든 허리 방어구. 기본에
충실해 누구나 쓸 수 있다.","以皮為基礎，
使用輕盈素材製作的腰部裝備。
是具備基本功能的大眾化設計。","腰部装备，以皮为基础，
使用轻盈素材制成。
具备基本功能的大众化样式。",,,,,,,,"حزام مصنوع من الجلد
وغيره من المواد الخفيفة.
من المعدات الأساسية العامة.",,,,,,,,,,,
4d2bfe92-0c89-46ee-a284-721f501187d9,1465457537,A_Waist_003_Explain,"皮をベースに軽い素材で
作られた腰用装備。基本を
押さえた万人向けの作り。","A belt made from leather
and other light materials.
Basic general equipment.","Ceinture faite de cuir et
d'autres matériaux légers.
Équipement général de base.","Cintura fatta di cuoio e
altri materiali leggeri. Una
dotazione generica di base.","Ein Gürtel aus Leder und an-
deren leichten Materialien.
Normale Grundausrüstung.","Cinturón hecho de cuero
y otros materiales ligeros.
Equipamiento general básico.","Пояс из кожи
и других легких материалов.
Базовый элемент снаряжения.","Pas wykonany ze skóry
i lekkich materiałów.
Podstawowy ekwipunek.",,,"Um cinto de couro e outros
materiais leves.
Equipamento geral básico.","가죽 등의 가벼운 소재로
만든 허리 방어구. 기본에
충실해 누구나 쓸 수 있다.","以皮為基礎，
使用輕盈素材製作的腰部裝備。
是具備基本功能的大眾化設計。","腰部装备，以皮为基础，
使用轻盈素材制成。
具备基本功能的大众化样式。",,,,,,,,"حزام مصنوع من الجلد
وغيره من المواد الخفيفة.
من المعدات الأساسية العامة.",,,,,,,,,,,
8b33d35a-370a-4689-bfc2-71c8ea37e85c,2012098460,A_Waist_004_Explain,"シンプルなベルトだが、
特殊な加工が施されている。
幅が狭いので腰周りが軽い。","Sturdy waist armor crafted
with a special process.
Thin and light on the hips.","Ceinture simple créée par un
procédé spécial. Fine et
légère sur les hanches.","Cintura semplice ma lavorata
in maniera speciale. Sottile
e leggera sulla vita.","Robuster Hüftschutz mit
besonderer Verarbeitung;
fühlt sich sehr leicht an.","Sencilla pieza de armadura,
pero con un diseño peculiar.
Ligera sobre las caderas.","Прочный пояс, изготовленный
по специальной технологии.
Тонкий и почти невесомый.","Specjalnie wytwarzany
solidny pancerz biodrowy.
Cienki i lekki.",,,"Proteção de cintura robusta
fabricada de forma especial.
Fina e leve nos quadris.","심플한 벨트지만
특수한 가공을 거쳤다.
폭이 좁아 허리춤이 가볍다.","雖是簡單的腰帶，但經過特殊
加工後，減少了腰帶寬度，
因此減輕了腰部的負擔。","简单的皮带，
但进行了特殊加工。
带宽较窄，所以负担较轻。",,,,,,,,"درع متينة للخصر صُنعت
بطريقة خاصة. رقيقة
وخفيفة على الردفين.",,,,,,,,,,,
fa768a16-cd90-44d7-9cfa-8e10a74dbec7,2965291131,A_Waist_005_Explain,"シンプルなベルトだが、
特殊な加工が施されている。
幅が狭いので腰周りが軽い。","Sturdy waist armor crafted
with a special process.
Thin and light on the hips.","Ceinture simple créée par un
procédé spécial. Fine et
légère sur les hanches.","Cintura semplice ma lavorata
in maniera speciale. Sottile
e leggera sulla vita.","Robuster Hüftschutz mit
besonderer Verarbeitung;
fühlt sich sehr leicht an.","Sencilla pieza de armadura,
pero con un diseño peculiar.
Ligera sobre las caderas.","Прочный пояс, изготовленный
по специальной технологии.
Тонкий и почти невесомый.","Specjalnie wytwarzany
solidny pancerz biodrowy.
Cienki i lekki.",,,"Proteção de cintura robusta
fabricada de forma especial.
Fina e leve nos quadris.","심플한 벨트지만
특수한 가공을 거쳤다.
폭이 좁아 허리춤이 가볍다.","雖是簡單的腰帶，但經過特殊
加工後，減少了腰帶寬度，
因此減輕了腰部的負擔。","简单的皮带，
但进行了特殊加工。
带宽较窄，所以负担较轻。",,,,,,,,"درع متينة للخصر صُنعت
بطريقة خاصة. رقيقة
وخفيفة على الردفين.",,,,,,,,,,,
91231802-d466-4fa3-8bd5-eb55d9afe7f2,2532301603,A_Waist_006_Explain,"ハンター用に作られた腰用
装備。丈夫で柔軟性が高く
多くのハンターが着用。","Waist armor made
especially for hunters.
Pliant yet durable.","Spécialement conçue pour
les chasseurs. Flexible
et solide.","Fiancale concepito
apposta per i cacciatori.
Flessibile ma resistente.","Spezieller Hüftschutz für
Jäger. Biegsam und haltbar.","Armadura de cintura especial
para cazadores. Flexible
pero duradera.","Специальный пояс для
охотников. Гибкий и
долговечный.","Specjalny pancerz biodrowy
dla łowców. Giętki,
lecz wytrzymały.",,,"Proteção de cintura feita
para caçadores.
É flexível e resistente.","헌터용으로 만든 허리 방어구.
튼튼하고 유연성이 좋아
않은 헌터들이 착용한다.","做給獵人用的腰部裝備。
堅固而且具高柔軟性，
為許多獵人所穿著。","腰部装备，为猎人而制作。
坚固且柔软度高，
为许多猎人所使用。",,,,,,,,"درع للخصر صُنعت
خصوصًا للصيّادين. لينة
ومتينة في الوقت ذاته.",,,,,,,,,,,
f3c4aaef-9bf6-413c-8091-52c6b5657915,346289720,A_Waist_007_Explain,"ハンター用に作られた腰用
装備。丈夫で柔軟性が高く
多くのハンターが着用。","Waist armor made
especially for hunters.
Pliant yet durable.","Spécialement conçue pour
les chasseurs. Flexible
et solide.","Fiancale concepito
apposta per i cacciatori.
Flessibile ma resistente.","Spezieller Hüftschutz für
Jäger. Biegsam und haltbar.","Armadura de cintura especial
para cazadores. Flexible
pero duradera.","Специальный пояс для
охотников. Гибкий и
долговечный.","Specjalny pancerz biodrowy
dla łowców. Giętki,
lecz wytrzymały.",,,"Proteção de cintura feita
para caçadores.
É flexível e resistente.","헌터용으로 만든 허리 방어구.
튼튼하고 유연성이 좋아
않은 헌터들이 착용한다.","做給獵人用的腰部裝備。
堅固而且具高柔軟性，
為許多獵人所穿著。","腰部装备，为猎人而制作。
坚固且柔软度高，
为许多猎人所使用。",,,,,,,,"درع للخصر صُنعت
خصوصًا للصيّادين. لينة
ومتينة في الوقت ذاته.",,,,,,,,,,,
48599509-2867-4e5d-a14b-eacfbd313871,4237447205,A_Waist_008_Explain,"由来の知れぬ漆黒の骨で出来た
腰用装備。黒き骨の持ち主は
かつて栄えた龍の王か。","Waist armor made of unknown
black bones, perhaps from an
ancient dragon king.","Armure de taille en os noirs
inconnus, venant peut-être
d'un ancien roi dragon.","Fiancale con ossa nere
sconosciute, forse tratte
da un vecchio re drago.","Aus unbekannten schwarzen
Knochen, vielleicht von
einem alten Drachenkönig.","Armadura de cintura de
huesos negros desconocidos.
Quizá sean de un rey dragón.","Пояс из неизвестно чьих
черных костей, возможно,
древнего владыки драконов.","Pancerz biodrowy z czarnych
kości, być może
starożytnego smoczego króla.",,,"Proteção de cintura feita de
ossos pretos desconhecidos,
talvez de algum rei-dragão.","칠흑의 뼈로 만들어진
허리 방어구. 검은 뼈는 과거
번창한 용족 왕의 유골일지도.","以來歷不明的漆黑之骨製成的
腰部裝備。黑骨之主
是曾經顯赫一時的龍王嗎？","来历不明的漆黑之骨制成的
腰部装备。黑骨之主
是曾经显赫一时的龙王吗？",,,,,,,,"درع للخصر مصنوعة من عظام
سوداء مجهولة، ربما تعود
إلى ملك التنانين القديم.",,,,,,,,,,,
699293dc-0639-4c1e-b577-b4b5245770c1,1777360955,A_Waist_009_Explain,"良質な鉱石素材を用いた
腰用装備。計算された
デザインが美しい。","Waist armor made with
quality machalite ore. Its
sleek design is real nice.","Armure à base de machalite.
Son design élégant
est vraiment beau.","Fiancale con machalite
di qualità. Ha una linea
raffinata e stupenda.","Hüftschutz aus hochwertigem
Machalit-Erz. Schickes,
schlankes Design.","Armadura de cintura hecha
de machalita. Su diseño
elegante queda genial.","Пояс из высококачественной
махалитовой руды. Стильный
и элегантный дизайн.","Pancerz biodrowy z
dobrej rudy machalitu.
Bardzo elegancki.",,,"Proteção de cintura feita de
malaquita de qualidade. Seu
design elegante é muito bom.","품질 좋은 광석 소재로 만든
허리 방어구. 치밀하게 계산된
디자인이 아름답다.","使用優質礦石素材製成的
腰部裝備。
經過考量的設計相當美麗。","腰部装备，
使用上好矿石素材制作。
经过计算的设计很美。",,,,,,,,"درع للخصر مصنوعة من
خام ماكالايت ممتاز. لها
تصميم ناعم غاية في الروعة.",,,,,,,,,,,
