guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
ceb89e4e-917b-4efd-a512-ed2d10cff2ec,570691037,A_Waist_300_Name,カムラノ装【腰巻】継,Kamura Legacy Obi,Obi Héritage Kamura,Obi lascito Kamura,Kamura-Erbe-Obi,Obi dote Kamura X,Оби наслед. Камуры,Obi dziedzic. Kamury,,,Obi Legado Kamura,카무라허리띠-계,神火裝【腰卷】繼,炎火装束【腰卷】继,,,,,,,,درع تراث كامورا أوبي,,,,,,,,,,,
dcde96ce-ae6b-417f-a7b0-3eda7c17930e,2883473905,A_Waist_301_Name,レザーＸベルト,Leather Belt X,Ceinture en cuir X,Cintura di cuoio X,Leder-Gürtel X,Muslera de cuero X,Кожаный пояс Х,Pas skórzany X,,,Cinto de Couro X,레더X벨트,皮製X腰帶,皮制X腰带,,,,,,,,حزام جلدي X,,,,,,,,,,,
989c8b5b-f06f-4931-85b6-34f45acc21b4,555399888,A_Waist_302_Name,チェーンＸベルト,Chainmail Belt X,Ceinture de mailles X,Cintura di cotta X,Ketten-Gürtel X,Muslera de malla X,Кольчужный пояс Х,Pas kolczy X,,,Cin. Cota de Malha X,체인X벨트,鎖甲X腰帶,锁甲X腰带,,,,,,,,لفيفة من حلقات معدنية X,,,,,,,,,,,
71144099-849f-4157-88ef-d4e9ba51f55f,3962269169,A_Waist_303_Name,ハンターＸコイル,Hunter's Coil X,Boucle de chasseur X,Spira cacciatore X,Jäger-Hüftring X,Faja de cazador X,Охотничий пояс Х,Pas łowcy X,,,Cint. do Caçador X,헌터X코일,獵人X腰甲,猎人X腰甲,,,,,,,,لفيفة الصياد X,,,,,,,,,,,
438165c5-4bda-4315-bd61-d32f274dd986,3523691125,A_Waist_304_Name,ドーベルＸコイル,Dober Coil X,Boucle Dober X,Spira Dober X,Dober-Hüftring X,Faja de Dober X,Доберовый пояс X,Pas z Dobera X,,,Cinturão de Dober X,도베르X코일,杜賓X腰甲,杜宾X腰甲,,,,,,,,لفيفة دوبر X,,,,,,,,,,,
1f13915d-cb04-465d-8418-5c8f5fd8ef96,2094341676,A_Waist_305_Name,アロイＸコイル,Alloy Coil X,Boucle en alliage X,Spira in lega X,Legierungs-HüftringX,Faja de aleación X,Литой пояс X,Pas ze stopu X,,,Cint. de Liga Leve X,얼로이X코일,合金X腰甲,合金X腰甲,,,,,,,,لفيفة من خليط معدني X,,,,,,,,,,,
00ebadba-a8c9-4f3e-966b-705ba2e05a96,3313113232,A_Waist_306_Name,インゴットＸコイル,Ingot Coil X,Boucle en lingot X,Spira lingotto X,Guss-Hüftring X,Faja de lingotes X,Драгоценный пояс Х,Pas ze sztabek X,,,Cint. de Lingote X,잉곳X코일,鑄鐵X腰甲,铸铁X腰甲,,,,,,,,لفيفة إنجوت X,,,,,,,,,,,
dcc7942e-855b-4563-823d-84186d1cbbb9,628307354,A_Waist_307_Name,ダマスクＸコイル,Damascus Coil X,Boucle Damascus X,Spira di Damasco X,Damaskus-Hüftring X,Faja de Damasco X,Дамасский пояс Х,Pas damasceński X,,,Cint. Aço Damasco X,다마스크X코일,大馬士革X腰甲,花纹钢X腰甲,,,,,,,,لفيفة دمشقية X,,,,,,,,,,,
11ac5109-06a5-4abf-9067-52bf3792d979,824829069,A_Waist_308_Name,メルホアＸオッハ,Melahoa Folia X,Jupe Melahoa X,Foglie Melahoa X,Melahoa-Rock X,Falda Melahoa X,Листва Мелахоа Х,Listowie Melahoa X,,,Folha de Melahoa X,멜호아X오하,花瓣X葉片,花瓣X叶片,,,,,,,,درع صفائح ميلاهوا X,,,,,,,,,,,
0efb1b94-6beb-463a-9480-93950e3cad14,4087153581,A_Waist_309_Name,マカルパＸコイル,Makluva Coil X,Boucle Makluva X,Spira Makluva X,Makluva-Hüftring X,Cota Makluva X,Пояс Маклувы Х,Pas Makluva X,,,Cint. de Makluva X,마카르파X코일,魚鱗X腰甲,鱼鳞X腰甲,,,,,,,,لفيفة ماكلوفا X,,,,,,,,,,,
