guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
88b13b20-18a4-45c9-817e-1783c5bc1b1c,482538865,ArmorSeries_Hunter_000,カムラノ装,Kamura,Kamura,Kamura,Kamura-Set,Kamura,Камура,Kamura,,,Kamura,카무라,神火裝,炎火装束,,,,,,,,كامورا,,,,,,,,,,,
d6912126-d623-4753-9c7c-b3a714685334,3849475778,ArmorSeries_Hunter_001,カムラノ装・覇,Kamura S,Kamura S,Kamura S,Kamura-Set S,Kamura S,Камура (S),Kamura S,,,Kamura S,카무라-패,神火裝･霸,炎火装束・霸,,,,,,,,كامورا S,,,,,,,,,,,
f49c5cbb-c4e7-42fe-8993-b3d7847a4635,1515891020,ArmorSeries_Hunter_002,レザー,Leather,Cuir,Cuoio,Leder-Set,Cuero,Кожаные,Skóra,,,Couro,레더,皮製,皮制,,,,,,,,جلدي,,,,,,,,,,,
7736474e-4985-440d-bc04-ab73321afa6f,2529812435,ArmorSeries_Hunter_003,レザーＳ,Leather S,Cuir S,Cuoio S,Leder-Set S,Cuero S,Кожаные (S),Skóra S,,,Couro S,레더S,皮製S,皮制S,,,,,,,,جلدي S,,,,,,,,,,,
4d5f45b7-ac77-4c3d-b4b1-01de1a567059,1865915734,ArmorSeries_Hunter_004,チェーン,Chainmail,Mailles,Maglia,Ketten-Set,Malla,Кольчужные,Kolczy,,,Cota de Malha,체인,鎖甲,锁甲,,,,,,,,فولاذي,,,,,,,,,,,
6cb2fec4-94a9-4a86-ac5a-ed43e558fd88,3694149022,ArmorSeries_Hunter_005,チェーンＳ,Chainmail S,Mailles S,Maglia S,Ketten-Set S,Malla S,Кольчужные (S),Kolczy S,,,Cota de Malha S,체인S,鎖甲S,锁甲S,,,,,,,,فولاذي S,,,,,,,,,,,
40ed7cec-51ec-4014-8c5c-99c1e99024a2,211242653,ArmorSeries_Hunter_006,ハンター,Hunter,Chasseur,Cacciatore,Jäger-Set,Cazador,Охотничьи,Łowca,,,Caçador,헌터,獵人,猎人,,,,,,,,الصياد,,,,,,,,,,,
b477d3a5-d770-446c-a0be-463e323aa11f,1957370559,ArmorSeries_Hunter_007,ハンターＳ,Hunter S,Chasseur S,Cacciatore S,Jäger-Set S,Cazador S,Охотничьи (S),Łowca S,,,Caçador S,헌터S,獵人S,猎人S,,,,,,,,الصياد S,,,,,,,,,,,
5ef6a96d-612b-4b7e-bed9-296faa5d82ae,103176037,ArmorSeries_Hunter_008,ドーベル,Dober,Dober,Dober,Dober-Set,Dober,Доберовые,Dober,,,Dober,도베르,杜賓,杜宾,,,,,,,,دوبر,,,,,,,,,,,
bcc4135b-e507-4c44-aa75-4a5f03a2571c,1490831851,ArmorSeries_Hunter_009,アロイ,Alloy,Alliage,Lega,Legierungs-Set,Aleación,Литые,Stop,,,Liga Leve,얼로이,合金,合金,,,,,,,,خليط معدني,,,,,,,,,,,
79c9e6ce-38d9-4463-9c76-b5d3f95b7839,207007818,ArmorSeries_Hunter_010,アロイＳ,Alloy S,Alliage S,Lega S,Legierungs-Set S,Aleación S,Литые (S),Stop S,,,Liga Leve S,얼로이S,合金S,合金S,,,,,,,,خليط معدني S,,,,,,,,,,,
0fdcb9e1-b4e4-49be-bfa4-413c56f3fe3e,161914819,ArmorSeries_Hunter_011,インゴット,Ingot,Lingot,Lingotto,Guss-Set,Lingotes,Драгоценные,Sztabki,,,Lingote,잉곳,鑄鐵,铸铁,,,,,,,,إنجوت,,,,,,,,,,,
d639186c-a002-4be1-809f-7248574376ab,3756782077,ArmorSeries_Hunter_012,インゴットＳ,Ingot S,Lingot S,Lingotto S,Guss-Set S,Lingotes S,Драгоценные (S),Sztabki S,,,Lingote S,잉곳S,鑄鐵S,铸铁S,,,,,,,,إنجوت S,,,,,,,,,,,
e4c29384-5a29-46a0-8964-51d554f64d60,3923327555,ArmorSeries_Hunter_013,ダマスク,Damascus,Damascus,Damasco,Damaskus-Set,Damasco,Дамасские,Damasceński,,,Damasco,다마스크,大馬士革,花纹钢,,,,,,,,دمشقي,,,,,,,,,,,
db622f50-3527-48dd-bf05-0b0afa3c0570,1529745980,ArmorSeries_Hunter_014,メルホア,Melahoa,Melahoa,Melahoa,Melahoa-Set,Melahoa,Мелахоа,Melahoa,,,Melahoa,멜호아,花瓣,花瓣,,,,,,,,ميلاهوا,,,,,,,,,,,
c35dcf07-12ce-4675-b6e0-fabe3fba5402,962111329,ArmorSeries_Hunter_015,メルホアＳ,Melahoa S,Melahoa S,Melahoa S,Melahoa-Set S,Melahoa S,Мелахоа (S),Melahoa S,,,Melahoa S,멜호아S,花瓣S,花瓣S,,,,,,,,ميلاهوا S,,,,,,,,,,,
7f268cc2-547b-4383-b497-ba0b6903f952,2531299583,ArmorSeries_Hunter_016,マカルパ,Makluva,Makluva,Makluva,Makluva-Set,Makluva,Маклува,Makluva,,,Makluva,마카르파,魚鱗,鱼鳞,,,,,,,,ماكلوفا,,,,,,,,,,,
0883b270-a24e-43f8-8829-e5e805b8e683,2404994019,ArmorSeries_Hunter_017,マカルパＳ,Makluva S,Makluva S,Makluva S,Makluva-Set S,Makluva S,Маклува (S),Makluva S,,,Makluva S,마카르파S,魚鱗S,鱼鳞S,,,,,,,,ماكلوفا S,,,,,,,,,,,
7d90cade-c944-44f8-9f7e-38d0ef88f322,609582453,ArmorSeries_Hunter_018,デスギア,Death Stench,Putride,Putrefatto,Todesgestank-Set,Pestilente,Зловоние смерти,Rozkład,,,Putrefato,데스기어,死神,死神,,,,,,,,رائحة الموت,,,,,,,,,,,
fa20cb7d-0f8f-4b85-97db-bfe68295f21f,1025470248,ArmorSeries_Hunter_019,デスギアＳ,Death Stench S,Putride S,Putrefatto S,Todesgestank-Set S,Pestilente S,Злов. смерти (S),Rozkład S,,,Putrefato S,데스기어S,死神S,死神S,,,,,,,,رائحة الموت S,,,,,,,,,,,
2eca6c18-6f19-4216-a8b5-eb90464266e6,3701001716,ArmorSeries_Hunter_020,マギュル,Mosgharl,Mosgharl,Mosgharl,Mosgharl-Set,Mosgharl,Мосгарл,Mosgharl,,,Mosgharl,마기르,南瓜,南瓜,,,,,,,,موزجارل,,,,,,,,,,,
65aaab88-ac36-4c16-bf7d-d9b8cd397be8,3199910927,ArmorSeries_Hunter_021,マギュルＳ,Mosgharl S,Mosgharl S,Mosgharl S,Mosgharl-Set S,Mosgharl S,Мосгарл (S),Mosgharl S,,,Mosgharl S,마기르S,南瓜S,南瓜S,,,,,,,,موزجارل S,,,,,,,,,,,
e9ae5ac8-88be-4094-a571-fbb855b2303d,2307656928,ArmorSeries_Hunter_022,マギュル,Mosgharl,Mosgharl,Mosgharl,Mosgharl-Set,Mosgharl,Мосгарл,Mosgharl,,,Mosgharl,마기르,南瓜,南瓜,,,,,,,,موزجارل,,,,,,,,,,,
7d6d7ffe-665d-48ae-90f1-d26156601fd4,91497658,ArmorSeries_Hunter_023,マギュルＳ,Mosgharl S,Mosgharl S,Mosgharl S,Mosgharl-Set S,Mosgharl S,Мосгарл (S),Mosgharl S,,,Mosgharl S,마기르S,南瓜S,南瓜S,,,,,,,,موزجارل S,,,,,,,,,,,
79a3ac64-938e-43a5-9add-e060f9c4ac31,569448634,ArmorSeries_Hunter_024,ロワーガ,Aelucanth,Aelucanth,Aelucanth,Aelucanth-Set,Aelucanth,Элукант,Aelucanth,,,Aelucanth,르와가,鍬形,锹形,,,,,,,,أيلوكانث,,,,,,,,,,,
dd83f23e-2703-4c39-8620-8f000959512a,3561406237,ArmorSeries_Hunter_025,ロワーガＳ,Aelucanth S,Aelucanth S,Aelucanth S,Aelucanth-Set S,Aelucanth S,Элукант (S),Aelucanth S,,,Aelucanth S,르와가S,鍬形S,锹形S,,,,,,,,أيلوكانث S,,,,,,,,,,,
73d77cd4-9c17-4a5e-a8d2-774bb6ec5a7e,1847152537,ArmorSeries_Hunter_026,ファルメル,Rhopessa,Rhopessa,Rhopessa,Rhopessa-Set,Rhopessa,Ропесса,Rhopessa,,,Rhopessa,파르메르,鳳蝶,凤蝶,,,,,,,,روبيسا,,,,,,,,,,,
ceb772ce-ca1e-4c52-aaac-2f953b0f18ec,4198738568,ArmorSeries_Hunter_027,ファルメルＳ,Rhopessa S,Rhopessa S,Rhopessa S,Rhopessa-Set S,Rhopessa S,Ропесса (S),Rhopessa S,,,Rhopessa S,파르메르S,鳳蝶S,凤蝶S,,,,,,,,روبيسا S,,,,,,,,,,,
3bd6faaf-09e8-461d-9983-8864501668e4,1118187178,ArmorSeries_Hunter_028,ヴァイク,Vaik,Vaik,Vaik,Vaik-Set,Vaik,Вайк,Vaik,,,Vaik,바이크,海境,海境,,,,,,,,فايك,,,,,,,,,,,
cb22068d-7e3a-4dbd-8a2d-094ddfd3ee59,1290029174,ArmorSeries_Hunter_029,ヴァイクＳ,Vaik S,Vaik S,Vaik S,Vaik-Set S,Vaik S,Вайк (S),Vaik S,,,Vaik S,바이크S,海境S,海境S,,,,,,,,فايك S,,,,,,,,,,,
a7dbd616-75c8-4f9f-8c87-eb22924798c5,2420482477,ArmorSeries_Hunter_030,混沌,Chaos,Chaos,Caos,Chaos-Set,Caos,Хаос,Chaos,,,Caos,혼돈,混沌,混沌,,,,,,,,الفوضى,,,,,,,,,,,
dd92c27e-700c-4c8b-9f77-10dfc536ae2c,1093567105,ArmorSeries_Hunter_031,混沌・覇,Chaos S,Chaos S,Caos S,Chaos-Set S,Caos S,Хаос S,Chaos S,,,Caos S,혼돈-패,混沌･霸,混沌・霸,,,,,,,,الفوضى S,,,,,,,,,,,
