guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
0d504dd4-ed57-4425-b4ca-564dab11f875,150493085,ArmorSeries_Hunter_300,カムラノ装・継,Kamura Legacy,Héritage Kamura,Lascito Kamura,Kamura-Erbe,Dote de Kamura,Наследие Камуры,Dziedzictwo Kamury,,,Legado Kamura,카무라-계,神火裝･繼,炎火装束・继,,,,,,,,تراث كامورا,,,,,,,,,,,
7a725399-8173-41f6-ac51-4e9be8eb8e8d,3994429881,ArmorSeries_Hunter_301,レザーＸ,Leather X,Cuir X,Cuoio X,Leder-Set X,Cuero X,Кожаные Х,Skóra X,,,Couro X,레더X,皮製X,皮制X,,,,,,,,جلد X,,,,,,,,,,,
8370e6ec-a691-46d4-bdfb-9c4d5a7d2b53,2505097824,ArmorSeries_Hunter_302,チェーンＸ,Chainmail X,Mailles X,Cotta di maglia X,Ketten-Set X,Malla X,Кольчужные Х,Kolczy X,,,Cota de Malha X,체인X,鎖甲X,锁甲X,,,,,,,,درع من حلقات معدنية X,,,,,,,,,,,
c22dc8db-95f6-4895-9713-be9b8656842a,2578499978,ArmorSeries_Hunter_303,ハンターＸ,Hunter X,Chasseur X,Cacciatore X,Jäger-Set X,Cazador X,Охотничьи Х,Łowca X,,,Caçador X,헌터X,獵人X,猎人X,,,,,,,,الصياد X,,,,,,,,,,,
a8fa9de5-594d-4929-b51c-3037fe58fbb0,2453961148,ArmorSeries_Hunter_304,ドーベルＸ,Dober X,Dober X,Dober X,Dober-Set X,Dober X,Доберовые X,Dober X,,,Dober X,도베르X,杜賓X,杜宾X,,,,,,,,دوبر X,,,,,,,,,,,
1c5846af-973e-4242-a027-3912733fed7e,2611356054,ArmorSeries_Hunter_305,アロイＸ,Alloy X,Alliage X,Lega X,Legierungs-Set X,Aleación X,Литые X,Stop X,,,Liga Leve X,얼로이X,合金X,合金X,,,,,,,,خليط معدني X,,,,,,,,,,,
3f1c3242-dad7-4792-9b5f-06be028eb48f,3553643427,ArmorSeries_Hunter_306,インゴットＸ,Ingot X,Lingot X,Lingotto X,Guss-Set X,Lingotes X,Драгоценные Х,Sztabki X,,,Lingote X,잉곳X,鑄鐵X,铸铁X,,,,,,,,إنجوت X,,,,,,,,,,,
e74ab2e1-3614-436f-bd16-3288950ea8a4,1243584,ArmorSeries_Hunter_307,ダマスクＸ,Damascus X,Damascus X,Damasco X,Damaskus-Set X,Damasco X,Дамасские Х,Damasceński X,,,Damasco X,다마스크X,大馬士革X,花纹钢X,,,,,,,,دمشقي X,,,,,,,,,,,
11863f66-6ccf-46b3-a1d6-3d5ed05bc567,3911546242,ArmorSeries_Hunter_308,メルホアＸ,Melahoa X,Melahoa X,Melahoa X,Melahoa-Set X,Melahoa X,Мелахоа Х,Melahoa X,,,Melahoa X,멜호아X,花瓣X,花瓣X,,,,,,,,ميلاهوا X,,,,,,,,,,,
b4e4cdf1-8067-4de7-8389-205767fbc0c8,1451580889,ArmorSeries_Hunter_309,マカルパＸ,Makluva X,Makluva X,Makluva X,Makluva-Set X,Makluva X,Маклува Х,Makluva X,,,Makluva X,마카르파X,魚鱗X,鱼鳞X,,,,,,,,ماكلوفا X,,,,,,,,,,,
