guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
5146e3b1-5e9d-4442-a13a-bc247a8f7c6f,596658569,ArmorSeries_OtAirou_000_Name,カムラネコ,Felyne Kamura,Felyne Kamura,Kamura Felyne,F Kamura-Set,Kamura Felyne,Камура К,Felin Kamura,,,Kamura Felyno,카무라고양이,神火貓,炎火猫,,,,,,,,كامورا فيلاين,,,,,,,,,,,
7e64c1f0-284f-47d5-bdc9-1f24a7363b3a,3150780043,ArmorSeries_OtAirou_001_Name,どんぐりネコ,Felyne Acorn,Felyne Châtaigne,Ghianda Felyne,F Eichel-Set,Bellota Felyne,Желудевые К,Felin Żołądź,,,Noz Felyna,도토리고양이,橡實貓,橡子猫,,,,,,,,بلوط فيلاين,,,,,,,,,,,
7c5c2b9e-34b4-426f-b456-f56a893dc9e6,2548341409,ArmorSeries_OtAirou_002_Name,肉球ネコ,Felyne Paws,Felyne Pattes,Zampe Felyne,F Pfoten-Set,Garras Felyne,Лапы К,Felin Łapy,,,Pata Felyna,고양이발,肉球貓,肉球猫,,,,,,,,مخالب فيلاين,,,,,,,,,,,
750d163a-90ff-4231-bc75-59e54fc5094a,3600834446,ArmorSeries_OtAirou_003_Name,ボーンネコ,Felyne Bone,Felyne Os,Osso Felyne,F Knochen-Set,Hueso Felyne,Костяные К,Felin Kość,,,Osso Felyno,본고양이,骨製貓,骨制猫,,,,,,,,عظم فيلاين,,,,,,,,,,,
1a82a307-4026-42a6-877d-5d304b52c687,1330716718,ArmorSeries_OtAirou_004_Name,アロイネコ,Felyne Alloy,Felyne Alliage,Lega Felyne,F Legierungs-Set,Aleación Felyne,Литые К,Felin Stop,,,Liga Leve Felyna,얼로이고양이,合金貓,合金猫,,,,,,,,سبيكة فيلاين,,,,,,,,,,,
bc472fef-5f4c-452f-b679-df6223111eb8,2447108352,ArmorSeries_OtAirou_005_Name,ガーグァネコ,Felyne Gargwa,Felyne Gargwa,Gargwa Felyne,F Gargwa-Set,Gargwa Felyne,Гаргва К,Felin Gargwa,,,Gargwa  Felyno,가구아고양이,丸鳥貓,丸鸟猫,,,,,,,,جارجوا فيلاين,,,,,,,,,,,
1124f236-40e6-4174-8e12-10ae1e085821,1934633392,ArmorSeries_OtAirou_006_Name,オルタネコ,Felyne Altaroth,Felyne Altaroth,Altaroth Felyne,F Altaroth-Set,Altaroth Felyne,Алтарот К,Felin Altaroth,,,Altaroth Felyno,오르타고양이,變化貓,变化猫,,,,,,,,ألتاروث فيلاين,,,,,,,,,,,
83e8848b-d163-4d5e-8b53-33313dcc0c9a,3624434937,ArmorSeries_OtAirou_007_Name,ブナハネコ,Felyne Bnahabra,Felyne Bnahabra,Bnahabra Felyne,F Bnahabra-Set,Bnahabra Felyne,Бнахабра К,Felin Bnahabra,,,Bnahabra Felyno,브나하고양이,飛甲蟲貓,飞甲虫猫,,,,,,,,بنهابرا فيلاين,,,,,,,,,,,
c275f59e-eb9f-4580-957e-fa67e05f9e87,3297099273,ArmorSeries_OtAirou_008_Name,ポポネコ,Felyne Popo,Felyne Popo,Popo Felyne,F Pepe-Set,Popo Felyne,Попо К,Felin Popo,,,Pôpo Felyno,포포고양이,波波貓,波波猫,,,,,,,,بوبو فيلاين,,,,,,,,,,,
fe9ce16d-2c53-4559-8ece-979fc42836b0,3259180680,ArmorSeries_OtAirou_009_Name,アシラネコ,Felyne Arzuros,Felyne Arzuros,Arzuros Felyne,F Arzuros-Set,Arzuros Felyne,Арзурос К,Felin Arzuros,,,Arzuros Felyno,아시라고양이,青熊獸貓,青熊兽猫,,,,,,,,أرزوروس فيلاين,,,,,,,,,,,
d0e1f040-a0cd-4778-89b3-6097f9dbe4f7,2558984704,ArmorSeries_OtAirou_010_Name,バギィネコ,Felyne Baggi,Felyne Baggi,Baggi Felyne,F Baggi-Set,Baggi Felyne,Багги К,Felin Baggi,,,Baggi Felyno,바기고양이,眠狗龍貓,眠狗龙猫,,,,,,,,باجي فيلاين,,,,,,,,,,,
cb016d4b-0c2e-411b-84fc-61eb1f0d250d,229105046,ArmorSeries_OtAirou_011_Name,ウルクネコ,Felyne Lagombi,Felyne Lagombi,Lagombi Felyne,F Lagombi-Set,Lagombi Felyne,Лагомби К,Felin Lagombi,,,Lagombi Felyno,울크고양이,白兔獸貓,白兔兽猫,,,,,,,,لاجومبي فيلاين,,,,,,,,,,,
59d71d4d-c97d-4b09-b17d-b9aa5ba39f84,1567123957,ArmorSeries_OtAirou_012_Name,イズチネコ,Felyne Izuchi,Felyne Izuchi,Izuchi Felyne,F Izuchi-Set,Izuchi Felyne,Идзути К,Felin Izuchi,,,Izuchi Felyno,이즈치고양이,鐮鼬龍貓,镰鼬龙猫,,,,,,,,إيزوتشي فيلاين,,,,,,,,,,,
