guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
e7c7e87b-b035-4e32-9f15-9a2c760db5e6,2328339893,ArmorSeries_OtAirou_200_Name,カムラネコ・継,F Kamura Legacy,Héritage Kamura F,Lascito Kamura F,F Kamura-Erbe,Dote de Kamura F X,Камура К (Х),Felin Dziedzictwo Kamury,,,Kamura F,카무라고양이-계,神火貓･繼,炎火猫・继,,,,,,,,درع ساق فايك,,,,,,,,,,,
854e961b-5fb6-44df-bcdf-03826d4196e9,37354524,ArmorSeries_OtAirou_201_Name,どんぐりＸネコ,Felyne Acorn X,Felyne Châtaigne X,Ghianda Felyne X,F Eichel-Set X,Bellota Felyne X,Желудевые К (Х),Felin Żołądź X,,,Noz Felyna X,도토리X고양이,橡實X貓,橡子X猫,,,,,,,,بلوط فيلاين X,,,,,,,,,,,
ef2a2a65-f7ae-4809-aa2f-4ab1545587b9,526200116,ArmorSeries_OtAirou_202_Name,肉球Ｘネコ,Felyne Paws X,Felyne Pattes X,Zampe Felyne X,F Pfoten-Set X,Garras Felyne X,Лапы К (Х),Felin Łapy X,,,Patas Felynas X,고양이발X,肉球X貓,肉球X猫,,,,,,,,مخالب فيلاين X,,,,,,,,,,,
a8feb79c-bbb7-499a-b2b0-b1d7f6452d61,3982973797,ArmorSeries_OtAirou_203_Name,ボーンＸネコ,Felyne Bone X,Felyne Os X,Osso Felyne X,F Knochen-Set X,Hueso Felyne X,Костяные К (Х),Felin Kość X,,,Osso Felyno X,본X고양이,骨製X貓,骨制X猫,,,,,,,,عظم فيلاين X,,,,,,,,,,,
31f67074-e26a-4313-9461-70a9e5795258,2647982242,ArmorSeries_OtAirou_204_Name,アロイＸネコ,Felyne Alloy X,Felyne Alliage X,Lega Felyne X,F Legierungs-Set X,Aleación Felyne X,Литые К (Х),Felin Stop X,,,Liga Felyna X,얼로이X고양이,合金X貓,合金X猫,,,,,,,,سبيكة فيلاين X,,,,,,,,,,,
a14dee6a-4036-44a6-a03a-085f5add608c,2749052989,ArmorSeries_OtAirou_205_Name,ガーグァＸネコ,Felyne Gargwa X,Felyne Gargwa X,Gargwa Felyne X,F Gargwa-Set X,Gargwa Felyne X,Гаргва К (Х),Felin Gargwa X,,,Gargwa Felyno X,가구아X고양이,丸鳥X貓,丸鸟X猫,,,,,,,,جارجوا فيلاين X,,,,,,,,,,,
9abb5e87-71c2-42c1-9eca-ffc15f35f048,3507115283,ArmorSeries_OtAirou_206_Name,オルタＸネコ,Felyne Altaroth X,Felyne Altaroth X,Altaroth Felyne X,F Altaroth-Set X,Altaroth Felyne X,Алтарот К (Х),Felin Altaroth X,,,Altaroth Felyno X,오르타X고양이,變化X貓,变化X猫,,,,,,,,ألتاروث فيلاين X,,,,,,,,,,,
df83c323-eb8d-4e94-bfb9-43280652d385,3591216527,ArmorSeries_OtAirou_207_Name,ブナハＸネコ,Felyne Bnahabra X,Felyne Bnahabra X,Bnahabra Felyne X,F Bnahabra-Set X,Bnahabra Felyne X,Бнахабра К (Х),Felin Bnahabra X,,,Bnahabra Felyno X,브나하X고양이,飛甲蟲X貓,飞甲虫X猫,,,,,,,,بنهابرا فيلاين X,,,,,,,,,,,
6ea20c6d-a062-439d-a733-c7cea39a5df8,994849209,ArmorSeries_OtAirou_208_Name,ポポＸネコ,Felyne Popo X,Felyne Popo X,Popo Felyne X,F Pepe-Set X,Popo Felyne X,Попо К (Х),Felin Popo X,,,Popo Felyno X,포포X고양이,波波X貓,波波X猫,,,,,,,,بوبو فيلاين X,,,,,,,,,,,
7c1144b1-f6fd-4c5d-92e8-534b0a546fb7,3566794561,ArmorSeries_OtAirou_209_Name,イズチＸネコ,Felyne Izuchi X,Felyne Izuchi X,Izuchi Felyne X,F Izuchi-Set X,Izuchi Felyne X,Идзути К (Х),Felin Izuchi X,,,Izuchi Felyno X,이즈치X고양이,鐮鼬龍X貓,镰鼬龙X猫,,,,,,,,إيزوتشي فيلاين X,,,,,,,,,,,
