guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
e9166b2b-ee17-40af-afd4-faa54f2be143,2872031900,ArmorSeries_OtDog_000_Name,カムラガル,Canyne Kamura,Canyne Kamura,Kamura Canyne,C Kamura-Set,Kamura Canyne,Камура С,Kynos Kamura,,,Kamura Canyno,카무라가루,神火犬,炎火犬,,,,,,,,كامورا كناين,,,,,,,,,,,
09195737-60ea-4c60-853b-9531a2095639,2249022541,ArmorSeries_OtDog_001_Name,ボーンガル,Canyne Bone,Canyne Os,Osso Canyne,C Knochen-Set,Hueso Canyne,Костяные С,Kynos Kość,,,Osso Canyno,본가루,骨製犬,骨制犬,,,,,,,,عظم كناين,,,,,,,,,,,
913d2208-1c18-47a6-9d18-6d09e081c530,3871389931,ArmorSeries_OtDog_002_Name,アロイガル,Canyne Alloy,Canyne Alliage,Lega Canyne,C Legierungs-Set,Aleación Canyne,Литые С,Kynos Stop,,,Liga Leve Canyna,얼로이가루,合金犬,合金犬,,,,,,,,سبيكة كناين,,,,,,,,,,,
db596c83-58ae-45ac-afc3-cfa66d6b2775,67934753,ArmorSeries_OtDog_003_Name,アシラガル,Canyne Arzuros,Canyne Arzuros,Arzuros Canyne,C Arzuros-Set,Arzuros Canyne,Арзурос С,Kynos Arzuros,,,Arzuros Canyno,아시라가루,青熊獸犬,青熊兽犬,,,,,,,,أرزوروس كناين,,,,,,,,,,,
3199f822-ecd9-4be2-9597-e0feed050750,1546245895,ArmorSeries_OtDog_004_Name,バギィガル,Canyne Baggi,Canyne Baggi,Baggi Canyne,C Baggi-Set,Baggi Canyne,Багги С,Kynos Baggi,,,Baggi Canyno,바기가루,眠狗龍犬,眠狗龙犬,,,,,,,,باجي كناين,,,,,,,,,,,
527f7f62-0009-4e3d-b9f8-4015eef95fa4,3486124436,ArmorSeries_OtDog_005_Name,ウルクガル,Canyne Lagombi,Canyne Lagombi,Lagombi Canyne,C Lagombi-Set,Lagombi Canyne,Лагомби С,Kynos Lagombi,,,Lagombi Canyno,울크가루,白兔獸犬,白兔兽犬,,,,,,,,لاجومبي كناين,,,,,,,,,,,
f2dd5665-3646-4767-ba5e-259d6c062681,3629808680,ArmorSeries_OtDog_006_Name,イズチガル,Canyne Izuchi,Canyne Izuchi,Izuchi Canyne,C Izuchi-Set,Izuchi Canyne,Идзути С,Kynos Izuchi,,,Izuchi Canyno,이즈치가루,鐮鼬龍犬,镰鼬龙犬,,,,,,,,إيزوتشي كناين,,,,,,,,,,,
fe128a47-05a5-4765-9d47-d14168d6f250,163091128,ArmorSeries_OtDog_007_Name,混沌ガル,Canyne Chaos,Canyne Chaos,Caos Canyne,C Chaos-Set,Caos Canyne,Хаос С,Kynos Chaos,,,Caos Canyno,혼돈가루,混沌犬,混沌犬,,,,,,,,فوضى كناين,,,,,,,,,,,
f68d4011-b292-4ead-8de7-91e0be887622,210957346,ArmorSeries_OtDog_008_Name,エーデルガル,Canyne Edel,Canyne Edel,Edel Canyne,C Edel-Set,Edel Canyne,Эдель С,Kynos Edel,,,Edel Canyno,에델가루,高貴犬,雪绒花犬,,,,,,,,إيدل كناين,,,,,,,,,,,
9b8f1716-076d-4a99-87d2-705199d6e7ad,3197001910,ArmorSeries_OtDog_009_Name,ヨツミガル,Canyne Tetra,Canyne Tetra,Tetra Canyne,C Tetranadon-Set,Tetranadon Canyne,Тетранадон С,Kynos Tetra,,,Tetra Canyno,요츠미가루,河童蛙犬,河童蛙犬,,,,,,,,تيترا كناين,,,,,,,,,,,
60ebf7c8-1134-4570-b461-780856ae5b2b,1000226388,ArmorSeries_OtDog_010_Name,フルフルガル,Canyne Khezu,Canyne Khezu,Khezu Canyne,C Khezu-Set,Khezu Canyne,Кезу С,Kynos Khezu,,,Khezu Canyno,푸루가루,奇怪龍犬,奇怪龙犬,,,,,,,,خيزو كناين,,,,,,,,,,,
6d4492bf-2601-425b-b433-9ce93a602808,3843898578,ArmorSeries_OtDog_011_Name,クルルガル,Canyne Kulu,Canyne Kulu,Kulu Canyne,C Kulu-Set,Kulu-Ya-Ku Canyne,Кулу С,Kynos Kulu,,,Kulu Canyno,쿠루루가루,搔鳥犬,搔鸟犬,,,,,,,,كولو كناين,,,,,,,,,,,
023f1619-8f8f-4f62-b6e3-0b9c635ce62f,3477664662,ArmorSeries_OtDog_012_Name,ボロスガル,Canyne Barroth,Canyne Barroth,Barroth Canyne,C Barroth-Set,Barroth Canyne,Баррот С,Kynos Barroth,,,Barroth Canyno,보로스가루,土砂龍犬,土砂龙犬,,,,,,,,باروث كناين,,,,,,,,,,,
6d2d0291-4237-43d5-a7db-f910c96ab6df,1616084688,ArmorSeries_OtDog_013_Name,フロギィガル,Canyne Wroggi,Canyne Wroggi,Wroggi Canyne,C Wroggi-Set,Wroggi Canyne,Врогги С,Kynos Wroggi S,,,Wroggi Canyno,프로기가루,毒狗龍犬,毒狗龙犬,,,,,,,,روجي كناين,,,,,,,,,,,
