guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
a246c2b5-bd0d-47c9-8e18-798363a638c3,1609554605,ArmorSeries_OtDog_200_Name,カムラガル・継,C Kamura Legacy,C Héritage Kamura,Lascito Kamura C,C Kamura-Erbe,Dote de Kamura C,Наследие Камуры С,K Dziedz. Kamury,,,Legado Kamura C,카무라가루-계,神火犬･繼,炎火犬・继,,,,,,,,تراث كامورا ك,,,,,,,,,,,
749e1534-ee09-4103-98c3-6f47ec352036,2219746099,ArmorSeries_OtDog_201_Name,ボーンXガル,Canyne Bone X,Canyne Os X,Osso Canyne X,C Knochen-Set X,Hueso Canyne X,Костяные С (Х),Kynos Kość X,,,Osso Canyno X,본X가루,骨製X犬,骨制X犬,,,,,,,,عظم كناين X,,,,,,,,,,,
0e45b8ca-e3ac-4193-880b-426daadd7d27,1004536391,ArmorSeries_OtDog_202_Name,アロイXガル,Canyne Alloy X,Canyne Alliage X,Lega Canyne X,C Legierungs-Set X,Aleación Canyne X,Литые С (Х),Kynos Stop X,,,Liga Leve Canyna X,얼로이X가루,合金X犬,合金X犬,,,,,,,,سبيكة كناين X,,,,,,,,,,,
3cbdda10-4bb0-4ef4-9542-840d7bfdca7a,1596220533,ArmorSeries_OtDog_203_Name,イズチXガル,Canyne Izuchi X,Canyne Izuchi X,Izuchi Canyne X,C Izuchi-Set X,Izuchi Canyne X,Идзути С (Х),Kynos Izuchi X,,,Izuchi Canyno X,이즈치X가루,鐮鼬龍X犬,镰鼬龙X犬,,,,,,,,إيزوتشي كناين X,,,,,,,,,,,
1f39a778-a8f5-42c8-8190-5ab617869a58,1855210124,ArmorSeries_OtDog_204_Name,アシラXガル,Canyne Arzuros X,Canyne Arzuros X,Arzuros Canyne X,C Arzuros-Set X,Arzuros Canyne X,Арзурос С (Х),Kynos Arzuros X,,,Arzuros Canyno X,아시라X가루,青熊獸X犬,青熊兽X犬,,,,,,,,أرزوروس كناين X,,,,,,,,,,,
641fa5f8-3774-440a-ae64-42d051f5c6e8,3690253094,ArmorSeries_OtDog_205_Name,バギィXガル,Canyne Baggi X,Canyne Baggi X,Baggi Canyne X,C Baggi-Set X,Baggi Canyne X,Багги С (Х),Kynos Baggi X,,,Baggi Canyno X,바기X가루,眠狗龍X犬,眠狗龙X犬,,,,,,,,باجي كناين X,,,,,,,,,,,
c30b33c8-ab8c-4151-9d63-0975fbf214f3,929662766,ArmorSeries_OtDog_206_Name,ウルクXガル,Canyne Lagombi X,Canyne Lagombi X,Lagombi Canyne X,C Lagombi-Set X,Lagombi Canyne X,Лагомби С (Х),Kynos Lagombi X,,,Lagombi Canyno X,울크X가루,白兔獸X犬,白兔兽X犬,,,,,,,,لاجومبي كناين X,,,,,,,,,,,
e6c2bf51-fc92-4e5a-b4a8-80d1a27c8524,1101512539,ArmorSeries_OtDog_207_Name,アケノXガル,Canyne Aknosom X,Canyne Aknosom X,Aknosom Canyne X,C Aknosom-Set X,Aknosom Canyne X,Акносом С (Х),Kynos Aknosom X,,,Aknosom Canyno X,아케노X가루,傘鳥X犬,伞鸟X犬,,,,,,,,أكنوسوم كناين X,,,,,,,,,,,
82aa9fa6-3ecb-405f-95d0-9bf17b9daaac,997541831,ArmorSeries_OtDog_208_Name,クルルXガル,Canyne Kulu X,Canyne Kulu X,Kulu Canyne X,C Kulu-Set X,Kulu-Ya-Ku Canyne X,Кулу С (Х),Kynos Kulu X,,,Kulu Canyno X,쿠루루X가루,搔鳥X犬,搔鸟X犬,,,,,,,,كولو كناين X,,,,,,,,,,,
d150d708-2ec8-4c3e-84e7-44371cbf156b,3971022560,ArmorSeries_OtDog_209_Name,ヨツミXガル,Canyne Tetra X,Canyne Tetra X,Tetra Canyne X,C Tetranadon-Set X,Tetranadon Canyne X,Тетранадон С (Х),Kynos Tetra X,,,Tetra Canyno X,요츠미X가루,河童蛙X犬,河童蛙X犬,,,,,,,,تيترا كناين X,,,,,,,,,,,
ff06fa10-c468-4ccd-af33-489e2cb2831b,445369647,ArmorSeries_OtDog_210_Name,フロギィXガル,Canyne Wroggi X,Canyne Wroggi X,Wroggi Canyne X,C Wroggi-Set X,Wroggi Canyne X,Врогги С (Х),Kynos Wroggi X,,,Wroggi Canyno X,프로기X가루,毒狗龍X犬,毒狗龙X犬,,,,,,,,روجي كناين X,,,,,,,,,,,
df35a809-a085-404c-abdb-74dc15e28a6f,1234986683,ArmorSeries_OtDog_211_Name,フルフルXガル,Canyne Khezu X,Canyne Khezu X,Khezu Canyne X,C Khezu-Set X,Khezu Canyne X,Кезу С (Х),Kynos Khezu X,,,Khezu Canyno X,푸루푸루X가루,奇怪龍X犬,奇怪龙X犬,,,,,,,,خيزو كناين X,,,,,,,,,,,
486c0322-a7d0-465d-a9f4-a3ed1f453f61,2300526192,ArmorSeries_OtDog_212_Name,混沌ガル・真,Canyne True Chaos,Canyne vrai Chaos,Vero caos Canyne,C Echtes Chaos-Set,Caos puro Canyne,Истинный хаос С,Kynos Prawdz. Chaos,,,Verdadeiro Caos C,혼돈가루-진,混沌犬･真,混沌犬・真,,,,,,,,فوضى كناين الحقيقية,,,,,,,,,,,
57d73eb9-06df-447f-91f0-0af20dd95940,3617053621,ArmorSeries_OtDog_213_Name,エーデルXガル,Canyne Edel X,Canyne Edel X,Edel Canyne X,C Edel-Set X,Edel Canyne X,Эдель С (Х),Kynos Edel X,,,Edel Canyno X,에델X가루,高貴X犬,雪绒花X犬,,,,,,,,إيدل كناين X,,,,,,,,,,,
a69dd07f-b992-4903-8bb6-49f2405cb3d2,391350323,ArmorSeries_OtDog_214_Name,ルドロスXガル,Canyne Ludroth X,Canyne Ludroth X,Ludroth Canyne X,C Ludroth-Set X,Ludroth Canyne X,Лудрот С (Х),Kynos Ludroth X,,,Ludroth Canyno X,루드로스X가루,水獸X犬,水兽X犬,,,,,,,,لودروث كناين X,,,,,,,,,,,
9000659a-b0b6-44b7-94ea-8259bebc3a65,2645280955,ArmorSeries_OtDog_215_Name,ボロスXガル,Canyne Barroth X,Canyne Barroth X,Barroth Canyne X,C Barroth-Set X,Barroth Canyne X,Баррот С (Х),Kynos Barroth X,,,Barroth Canyno X,보로스X가루,土砂龍X犬,土砂龙X犬,,,,,,,,باروث كناين X,,,,,,,,,,,
7e2575c1-44be-47eb-b730-ec62d512b21f,4110587609,ArmorSeries_OtDog_216_Name,ラングロXガル,Canyne Volvidon X,Canyne Volvidon X,Volvidon Canyne X,C Volvidon-Set X,Volvidon Canyne X,Собакк Вольвидон Х,Kynos Volvidon X,,,Canyno Volvidon X,랑그로X가루,赤甲獸X犬,赤甲兽X犬,,,,,,,,فولفيدون كناين X,,,,,,,,,,,
2751ac42-0749-48e2-805f-6eeeaad53418,2171371883,ArmorSeries_OtDog_217_Name,テンゴXガル,Canyne Bishaten X,Canyne Bishaten X,Bishaten Canyne X,C Bishaten-Set X,Bishaten Canyne X,Бисятэн С (Х),Kynos Bishaten X,,,Bishaten Canyno X,텐고X가루,天狗獸X犬,天狗兽X犬,,,,,,,,بيشاتن كناين X,,,,,,,,,,,
