guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
aaaa7dd2-2879-4bfe-afc4-60593db21b29,2966739962,W_Bow_000_Explain,"鉄製弓の源流ともいえる武器。
工学的な観点から設計され、
扱いやすい構造を成している。","The forerunner of iron bows,
designed from the ground up
to be easy to handle.","Précurseur des arcs en fer.
Conçu avant tout pour être
facile à manier.","Il precursore degli archi
di ferro. Progettato per
garantire maneggevolezza.","Vorläufer der Eisenbogen.
Speziell zum Zwecke leichter
Handhabung gestaltet.","Predecesor de los arcos de
hierro, diseñado con cuidado
para que sea fácil de usar.","Предтеча железных луков.
Спроектирован так, чтобы
быть удобным в обращении.","Prekursor żelaznych łuków.
Zaprojektowany tak,
aby był łatwy w obsłudze.",,,"Precursor dos arcos de
ferro, projetado para
fácil manuseio.","강철 활의 원조 격인 무기.
공학적 관점에서 설계되어
쓰기 쉬운 구조를 띠고 있다.","可謂是鐵製弓源頭的武器。
採用工學角度設計，
構造好用易上手。","此武器可谓是第一把铁制弓。
从工学角度进行设计，
其构造便于操作。",,,,,,,,"الجزء الأمامي من الأقواس
الحديدية، المُصمم من البداية
للنهاية ليسهل استخدامه.",,,,,,,,,,,
a9c97835-d6f5-4f14-abe4-601006ad91ea,1035214319,W_Bow_001_Explain,"鉄製弓の源流ともいえる武器。
工学的な観点から設計され、
扱いやすい構造を成している。","The forerunner of iron bows,
designed from the ground up
to be easy to handle.","Précurseur des arcs en fer.
Conçu avant tout pour être
facile à manier.","Il precursore degli archi
di ferro. Progettato per
garantire maneggevolezza.","Vorläufer der Eisenbogen.
Speziell zum Zwecke leichter
Handhabung gestaltet.","Predecesor de los arcos de
hierro, diseñado con cuidado
para que sea fácil de usar.","Предтеча железных луков.
Спроектирован так, чтобы
быть удобным в обращении.","Prekursor żelaznych łuków.
Zaprojektowany tak,
aby był łatwy w obsłudze.",,,"Precursor dos arcos de
ferro, projetado para
fácil manuseio.","강철 활의 원조 격인 무기.
공학적 관점에서 설계되어
쓰기 쉬운 구조를 띠고 있다.","可謂是鐵製弓源頭的武器。
採用工學角度設計，
構造好用易上手。","此武器可谓是第一把铁制弓。
从工学角度进行设计，
其构造便于操作。",,,,,,,,"الجزء الأمامي من الأقواس
الحديدية، المُصمم من البداية
للنهاية ليسهل استخدامه.",,,,,,,,,,,
e62a3706-e71b-4b3b-aef3-033df1ec5018,1941002159,W_Bow_002_Explain,"狩猟弓の王道ともいえる、
パワーハンターボウの強化形。
威力、性能ともに一級品。","Upgraded version of the
Hunter's Stoutbow, featuring
ample power and potential.","Puissance et efficacité
hors norme. Base :
Arc courbé du chasseur","Superarco cacciatore
potenziato. Garantisce forza
e prestazioni ottimali.","Verbesserter Jäger-Kraftbo-
gen. Zeichnet sich durch
Stärke und Leistung aus.","Arco recio de cazador
mejorado, poderoso y con
gran potencial.","Улучшенная разновидность
Крепкого лука охотника.
Мощное оружие.","Ulepszona wersja
dzielnołuku łowcy o dość
dużej mocy i skuteczności.",,,"Versão melhorada do Arco
Forte Caçador, com ainda
mais força e potencial.","사냥용 활의 왕도라고 할 수
있는 파워헌터보우의 강화형.
위력, 성능도 일등급.","可謂是狩獵弓的王道，
能量獵弓的強化型態。
無論威力、性能都是上級品。","可谓是狩猎弓的王道，
强力猎弓的强化形态。
无论威力或性能都是最高级。",,,,,,,,"نسخة تمت ترقيتها من قوس
الصيّاد المُدبب الذي يتميز
بقوة وإمكانيات لا حصر لها.",,,,,,,,,,,
35b2acb2-abb1-4896-a423-005f47c93d04,1253459561,W_Bow_003_Explain,"結晶を纏った弓。美しき氷の花
に目を奪われれば最後、
放たれた矢に命を射抜かれる。","A crystal-encrusted bow.
As powerful as its arrows'
icy filigree is distracting.","Arc incrusté de cristal. La
mort est imminente pour ceux
qui admirent ses flèches.","Arco ricoperto di cristalli.
La filigrana glaciale delle
frecce sorprende il nemico.","Bogen mit Kristallbesatz.
So mächtig, wie die eisig
filigranen Pfeile ablenken.","Arco con incrustaciones de
cristal y temibles flechas
de gélida filigrana.","Лук, украшенный кристаллами.
Мощный лук, чьи стрелы
отделаны ледяной филигранью.","Potężny łuk z kryształami.
Lodowe filigrany
na strzałach odwrócą uwagę.",,,"Arco de cristal. Seu poder é
proporcional à beleza das
filigranas de suas flechas.","결정을 감싼 활. 얼음꽃에
마음을 빼앗기면 끝. 쏘아
올린 화살이 목숨을 꿰뚫는다.","纏有結晶的弓。
被美麗的冰花吸引視線的話，
放出的箭將奪去你的性命。","缠有结晶的弓。
一旦被美丽冰花吸引住视线，
其放出的箭将夺去你的性命。",,,,,,,,"قوس مُرصع بالكريستال. قوي
بالقدر الذي تُشتت به النقوش
الثلجية لسهامه الانتباه.",,,,,,,,,,,
da4a9837-ad97-4b6f-93a5-d05ef536ab5b,842944496,W_Bow_004_Explain,"結晶を纏った弓。美しき氷の花
に目を奪われれば最後、
放たれた矢に命を射抜かれる。","A crystal-encrusted bow.
As powerful as its arrows'
icy filigree is distracting.","Arc incrusté de cristal. La
mort est imminente pour ceux
qui admirent ses flèches.","Arco ricoperto di cristalli.
La filigrana glaciale delle
frecce sorprende il nemico.","Bogen mit Kristallbesatz.
So mächtig, wie die eisig
filigranen Pfeile ablenken.","Arco con incrustaciones de
cristal y temibles flechas
de gélida filigrana.","Лук, украшенный кристаллами.
Мощный лук, чьи стрелы
отделаны ледяной филигранью.","Potężny łuk z kryształami.
Lodowe filigrany
na strzałach odwrócą uwagę.",,,"Arco de cristal. Seu poder é
proporcional à beleza das
filigranas de suas flechas.","결정을 감싼 활. 얼음꽃에
마음을 빼앗기면 끝. 쏘아
올린 화살이 목숨을 꿰뚫는다.","纏有結晶的弓。
被美麗的冰花吸引視線的話，
放出的箭將奪去你的性命。","缠有结晶的弓。
一旦被美丽冰花吸引住视线，
其放出的箭将夺去你的性命。",,,,,,,,"قوس مُرصع بالكريستال. قوي
بالقدر الذي تُشتت به النقوش
الثلجية لسهامه الانتباه.",,,,,,,,,,,
144f53de-091a-4de9-8f1d-956394065edd,79009358,W_Bow_005_Explain,"六花晶弓の強化形態。天に咲く
花と謳われる弓。射抜かれれば
その身は美しい結晶となる。","Upgraded Crystalline Flower.
It encases foes in a divine,
blossom-like crystal.","Peut piéger l'ennemi dans
un cristal de toute beauté.
Base : Fleur cristalline","Fiore cristallino potenziato
che avvolge i nemici in
fiori di cristallo celeste.","Verbesserte Kristallblüte.
Schließt Feinde in einem
blütenförmigen Kristall ein.","Flor cristalina mejorada.
Encierra a los enemigos en
una flor de cristal divina.","Улучшенный Хрустальный
цветок. Заключает врагов
в цветок из кристалла.","Ulepszony Kryształowy Kwiat.
Unieruchamia wrogów w boskim
kwiecie z kryształu.",,,"Flor Cristalina melhorada.
Ela envolve os inimigos em
uma divina flor de cristal.","육화정궁의 강화 형태. 천상의
꽃이라 칭송받는 활. 꿰뚫리면
몸은 아름다운 결정이 된다.","六花晶弓的強化型態。被譽為
盛開於天際的花的弓。一旦被
射穿，就會化為美麗的結晶。","六花晶弓的强化形态。
被誉为绽于天际之花的弓。
遭其射穿就会化身为美丽结晶。",,,,,,,,"تمت ترقية الزهرة البلورية.
تُغلف الخصوم في بلورة
رائعة تُشبه الزهرة.",,,,,,,,,,,
05ba1c2c-00c5-4a2f-a473-44cc5813a01b,3418985504,W_Bow_006_Explain,"量産型の鉄弓。定石に即した
構造だが、それ故に扱いやすく
ビギナーに愛用されている。","Mass-produced Iron Bow. The
stock-standard construction
makes it easy to use.","Arc en fer produit en masse.
Très facile à manier pour
être accessible à tous.","Arco di ferro prodotto in
serie. Con caratteristiche
standard. Facile da usare.","Eisenbogen aus Massenferti-
gung. Dank der Standardbau-
weise einfach anzuwenden.","Arco de hierro industrial.
La fabricación en masa lo
hace manejable.","Массовый железный лук.
Обычная конструкция, легок
в обращении.","Żelazny łuk masowej
produkcji. Standardowa
konstrukcja ułatwia obsługę.",,,"Arco de Ferro produzido em
massa. O formato padrão do
punho facilita o manuseio.","양산형 철제 활. 정석에 따른
구조로 만들어져 다루기 쉽기
때문에 초보들이 애용한다.","量產型的鐵弓。
構造皆按照相同的標準製作，
但因容易使用而受初學者喜愛。","量产型铁弓。
传承经典的标准构造，
简单易用，新手猎人的好朋友。",,,,,,,,"قوس حديدي منتج بكميات كبيرة.
تُسهّل بنيته القياسية
للتخزين من استخدامه.",,,,,,,,,,,
fe6d9c65-599c-4f94-a754-ade64a966a2f,584521292,W_Bow_007_Explain,"量産型の鉄弓。定石に即した
構造だが、それ故に扱いやすく
ビギナーに愛用されている。","Mass-produced Iron Bow. The
stock-standard construction
makes it easy to use.","Arc en fer produit en masse.
Très facile à manier pour
être accessible à tous.","Arco di ferro prodotto in
serie. Con caratteristiche
standard. Facile da usare.","Eisenbogen aus Massenferti-
gung. Dank der Standardbau-
weise einfach anzuwenden.","Arco de hierro industrial.
La fabricación en masa lo
hace manejable.","Массовый железный лук.
Обычная конструкция, легок
в обращении.","Żelazny łuk masowej
produkcji. Standardowa
konstrukcja ułatwia obsługę.",,,"Arco de Ferro produzido em
massa. O formato padrão do
punho facilita o manuseio.","양산형 철제 활. 정석에 따른
구조로 만들어져 다루기 쉽기
때문에 초보들이 애용한다.","量產型的鐵弓。
構造皆按照相同的標準製作，
但因容易使用而受初學者喜愛。","量产型铁弓。
传承经典的标准构造，
简单易用，新手猎人的好朋友。",,,,,,,,"قوس حديدي منتج بكميات كبيرة.
تُسهّل بنيته القياسية
للتخزين من استخدامه.",,,,,,,,,,,
e5c34b4c-1df1-4c2a-aaab-9178181d2c50,4211649179,W_Bow_008_Explain,"希少な鋼鉄を練磨して造られた
弓。扱いやすさを重視しつつ
各部を補強し強靭さを高めた。","This bow is both wieldy and
strong thanks to its use
of precious refined steel.","Facile à manier et puissant
grâce à son acier raffiné.
Base : Arc en fer","Arco robusto e maneggevole
grazie all'utilizzo di
prezioso acciaio raffinato.","Dank wertvollen Edelstahls,
aus dem er gefertigt wurde,
ist er handlich und stark.","Este arco es manejable y
fuerte gracias al preciado
acero refinado.","Удобный и мощный лук,
выкованный из ценной
очищенной стали.","Łuk jest zarówno poręczny,
jak i mocny, dzięki użyciu
szlachetnej stali.",,,"Este arco é forte e
confortável, graças ao uso
de precioso aço refinado.","희귀한 강철을 연마해 만든
활. 다루기 쉽게 하면서도
각 부위를 보강해 튼튼하다.","將稀有鋼鐵千錘百煉製成的弓。
重視操作上的便利性，同時
加強各部位，並提升強韌度。","用稀少钢铁锻造而成的弓。
重视易用性的同时增补各处，
提高了本身强度。",,,,,,,,"يجمع هذا القوس بين سهولة
الحمل والقوة بفضل استخدامه
للفولاذ المصقول والنفيس.",,,,,,,,,,,
d92998bf-f561-446e-a9d0-2baa78751662,2073693051,W_Bow_009_Explain,"優美な外観が印象的な大弓。
かつて覇道を極めたと称される
王が携えていたという。","A large bow, beautiful to
behold; said to have been
drawn by great kings of old.","Arc imposant et élégant, qui
aurait jadis été utilisé par
de grands seigneurs.","Grosso arco dall'aspetto
sontuoso, forse appartenuto
a sovrani del passato.","Großer, prächtiger Bogen.
Wurde angeblich von großen
Königen alter Zeit geführt.","Arco grande y hermoso del
cual se dice lo tensaron
grandes reyes del pasado.","Большой и красивый лук.
Говорят, такие носили
великие короли прошлого.","Wielki, piękny łuk.
Ponoć używany przez wielkich
królów w dawnych czasach.",,,"Um enorme e belíssimo arco.
Dizem que ele era usado por
grandes reis da antiguidade.","우아한 외형이 인상적인 활.
과거에 패도를 걸었던 왕이
사용했다고 전해진다.","以優美外觀為其印象的大弓。
據傳曾是稱霸了霸者之路的
王之所有物。","令人深觉外观优美的大弓。
相传是称霸天下的王
曾使用过的弓。",,,,,,,,"قوس كبير، يأسر الأنظار،
يُقال إن أعظم الملوك
القُدامى قد سحبه.",,,,,,,,,,,
