guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
02d8edb6-7e12-4212-921b-d84c4658c086,1432305272,W_Bow_300_Explain,"カムラの里が研究を重ねて
たどり着いた高品質の鉄弓。
災禍を射抜き平穏をもたらす。","Stamp out the Rampage
with this high-precision,
high-quality iron bow.","Sa précision est parfaite
pour repousser la Calamité.
Base : Arc en fer Kamura","Metti fine alla furia con
questo arco di ferro di
qualità altamente preciso.","Merze die Randale mit der
hohen Präzision dieses hoch-
wertigen Eisenbogens aus.","Pon fin al Frenesí con este
preciso y magnífico arco de
hierro.","Этот качественный и точный
лук поможет вам искоренить
Буйство.","Stłum Furię tym bardzo
precyzyjnym żelaznym
łukiem wysokiej jakości.",,,"Domine o Frenesi com
este arco de ferro de
alta precisão e qualidade.","카무라 마을이 연구를 거듭한
끝에 만들어낸 고품질 철궁.
재앙을 쏘아 평온을 되찾는다.","神火村經過不斷研究後，
才研發出來的高品質鐵弓。
能射穿災禍，帶來和平的生活。","炎火村经过长期研究才完成的
高品质铁弓。它能驱逐灾祸，
还一方安宁。",,,,,,,,"استأصل الغضبَ العارم
باستخدام هذا القوس الحديدي
عالي الدقة والجودة.",,,,,,,,,,,
73d4d324-782a-4dbe-9159-f632fbccbfea,3060206822,W_Bow_301_Explain,"カムラの里が研究を重ねて
たどり着いた高品質の鉄弓。
災禍を射抜き平穏をもたらす。","Stamp out the Rampage
with this high-precision,
high-quality iron bow.","Sa précision est parfaite
pour repousser la Calamité.
Base : Arc en fer Kamura","Metti fine alla furia con
questo arco di ferro di
qualità altamente preciso.","Merze die Randale mit der
hohen Präzision dieses hoch-
wertigen Eisenbogens aus.","Pon fin al Frenesí con este
preciso y magnífico arco de
hierro.","Этот качественный и точный
лук поможет вам искоренить
Буйство.","Stłum Furię tym bardzo
precyzyjnym żelaznym
łukiem wysokiej jakości.",,,"Domine o Frenesi com
este arco de ferro de
alta precisão e qualidade.","카무라 마을이 연구를 거듭한
끝에 만들어낸 고품질 철궁.
재앙을 쏘아 평온을 되찾는다.","神火村經過不斷研究後，
才研發出來的高品質鐵弓。
能射穿災禍，帶來和平的生活。","炎火村经过长期研究才完成的
高品质铁弓。它能驱逐灾祸，
还一方安宁。",,,,,,,,"استأصل الغضبَ العارم
باستخدام هذا القوس الحديدي
عالي الدقة والجودة.",,,,,,,,,,,
dd385614-669e-4a8d-9e4a-47b1edfaa261,3644342126,W_Bow_302_Explain,"里の英雄のたすけとなるよう
生み出された弓。放たれた矢は
あらゆる災禍を瞬時に射抜く。","Made to aid a village hero,
this bow fires arrows that
fly true, amid any calamity.","Conçu pour aider un héros, cet
arc tire des flèches qui
atteignent toujours leur cible.","Arco creato per aiutare
l'eroe del villaggio. Non
teme alcuna calamità.","Zur Unterstützung eines
Dorfhelden gefertigter Bogen,
der in jeder Not trifft.","Hecho para ayudar al héroe
de la aldea. Sus certeras
flechas espantan el mal.","Созданный в помощь герою
деревни, этот лук стреляет
метко в любой ситуации.","Łuk bohatera wioski. Jego
strzały lecą prosto
na spotkanie każdej groźby.",,,"Feito para ajudar um herói
aldeão, com flechas precisas
em qualquer calamidade.","마을의 영웅을 돕기 위해
만든 활. 쏜 화살은 온갖
재앙을 순식간에 꿰뚫는다.","為協助村莊的英雄而製造的弓。
射出的箭矢能在一瞬間
貫穿任何災禍。","为助村庄英雄一臂之力而
制作的弓。离弦之箭能够
瞬间击穿任何灾祸。",,,,,,,,"صُنع هذا القوس لمساعدة بطل
القرية، فيطلق سهامًا تطير
بسرعة وسط أي كارثة.",,,,,,,,,,,
856724e7-f11a-40b0-8272-7b5f52bffee9,4249643489,W_Bow_303_Explain,"コウモリのような形状が特徴の
爵銀龍の弓。その矢は一陣の
風となり、闇夜を切り裂く。","A bat-shaped Malzeno bow,
its arrows tear through the
moonlit night like the wind.","Arc Malzeno en forme de
chauve-souris. Ses flèches transpercent
la nuit comme le vent.","Arco di Malzeno a forma di
pipistrello. Le sue frecce
squarciano la notte.","Ein Malzeno-Bogen in Form einer
Fledermaus. Sein Pfeil saust wie der
Wind durch die mondhelle Nacht.","Arco de Malzeno en forma de
murciélago que perfora como
el viento la noche estrellada.","Лук Малзено в форме летучей
мыши. Его стрелы летят
в ночи подобно ветру.","Łuk z Malzeno w kształcie
nietoperza. Rozrywa światło
księżyca jak wiatr.",,,"Arco de Malzeno em forma de
morcego, as flechas voam na
noite enluarada como o vento.","박쥐 같은 형상이 특징인
은작룡의 활. 화살은 바람이
되어 밤하늘을 꿰뚫는다.","外型宛如蝙蝠的爵銀龍之弓。
射出的箭矢將化為一陣暴風，
撕裂黑夜。","特征是蝙蝠般的形状的
爵银龙弓。离弦之箭会
化作一阵风，撕裂夜幕。",,,,,,,,"قوس مالزينو على شكل خفاش،
سهامه تخترق
الليل المقمر كالريح.",,,,,,,,,,,
92c711c2-9d0b-4218-bafd-a07f470a1ad3,3906677491,W_Bow_304_Explain,"血染めの弓から放たれた矢は、
まるで意志を持っているかの
ように獲物を求め彷徨い飛ぶ。","Arrows from this blood-red
bow seek out prey as if
through a will of their own.","Les flèches de cet arc rouge sang
atteignent leur cible comme
par enchantement.","Le frecce di questo arco
rosso sangue cercano la
preda con volontà propria.","Pfeile dieses blutroten Bogens
suchen ihr Ziel als hätten sie
einen eigenen Willen.","Las flechas de este arco
sanguinolento persiguen con
voluntad propia a sus presas.","Стрелы этого кроваво-
красного лука находят цель
словно по собственной воле.","Strzały z tego łuku w
kolorze krwistej czerwieni
same wyszukują swe ofiary.",,,"Flechas deste arco vermelho-
sangue buscam a presa como
se tivessem uma mente.","피에 물든 활에서 쏜 화살은
마치 살아 있는 것처럼
사냥감을 찾아다닌다.","此染血之弓射出的箭矢
彷彿擁有自己的意識，
渴求著獵物飛行於空中。","染血之弓射出的箭仿佛
拥有意志一般，为追寻
猎物而四处彷徨。",,,,,,,,"سهام هذا القوس
الأحمر-الدامي تبحث عن الفريسة
كأنها تتحرك بإرادتها.",,,,,,,,,,,
d873d035-751c-4687-a1b3-14566f1fdac7,980626389,W_Bow_305_Explain,"己が行いの報いを受けよ、凶刃
に倒れし花嫁の呪いを受けよ。
去ね、逃れえぬ苦痛の螺旋へ。","Accept the curse of a bride
who reaps vengeance.
Welcome to the spiral of pain.","Acceptez l'ire d'une épouse
avide de vengeance.
La douleur est là.","Accetta la maledizione di una
sposa che cerca vendetta.
Entra nella spirale di dolore.","Nimm den Fluch einer Braut an,
die Rache erntet. Willkommen
in der Schmerzspirale.","Acepta la maldición de una
novia vengativa. La espiral
de dolor te saluda.","Примите проклятие мстящей
невесты. Добро пожаловать
в спираль боли.","Przyjmij klątwę narzeczonej
żądnej zemsty. Witaj
w spirali bólu.",,,"Aceite a maldição de uma
noiva que colhe vingança.
Boas-vindas à espiral de dor.","자기 행동에 응보를 받아라.
쓰러진 신부의 저주를 받아라.
끝없는 고통의 나선으로.","為自己的作為付出代價，
倒於凶刃之下並受新娘詛咒。
墜入無法逃離的痛苦螺旋吧。","为自身的所作所为付出代价吧！
遭到刀下丧命的新娘的诅咒吧！
坠入那无处可逃的痛苦漩涡吧。",,,,,,,,"تقبل لعنة العروس التي
تحصد الانتقام. مرحبًا بكم
في دوامة الألم.",,,,,,,,,,,
ba28c87e-db81-4a43-994b-de174db7e5dc,2515532555,W_Bow_306_Explain,"己が行いの報いを受けよ、凶刃
に倒れし花嫁の呪いを受けよ。
去ね、逃れえぬ苦痛の螺旋へ。","Accept the curse of a bride
who reaps vengeance.
Welcome to the spiral of pain.","Acceptez l'ire d'une épouse
avide de vengeance.
La douleur est là.","Accetta la maledizione di una
sposa che cerca vendetta.
Entra nella spirale di dolore.","Nimm den Fluch einer Braut an,
die Rache erntet. Willkommen
in der Schmerzspirale.","Acepta la maldición de una
novia vengativa. La espiral
de dolor te saluda.","Примите проклятие мстящей
невесты. Добро пожаловать
в спираль боли.","Przyjmij klątwę narzeczonej
żądnej zemsty. Witaj
w spirali bólu.",,,"Aceite a maldição de uma
noiva que colhe vingança.
Boas-vindas à espiral de dor.","자기 행동에 응보를 받아라.
쓰러진 신부의 저주를 받아라.
끝없는 고통의 나선으로.","為自己的作為付出代價，
倒於凶刃之下並受新娘詛咒。
墜入無法逃離的痛苦螺旋吧。","为自身的所作所为付出代价吧！
遭到刀下丧命的新娘的诅咒吧！
坠入那无处可逃的痛苦漩涡吧。",,,,,,,,"تقبل لعنة العروس التي
تحصد الانتقام. مرحبًا بكم
في دوامة الألم.",,,,,,,,,,,
f7095c64-fc91-4efb-a11b-dda58efeaa4a,752711642,W_Bow_307_Explain,"愚かさを虚しさを嘆く。死して
尚、尽きぬ魂がこの胸を締め
付け、暗闇の底に堕ちていく。","Regret futility and foolishness.
Fallen souls sink into darkness,
inexhaustible.","Regrettez la futilité.
Les âmes perdues plongent
dans des ténèbres infinies.","Rimpiangi le cose sciocche e
futili. Le anime sprofondano
nel buio inesauribile.","Bedaure Sinnlosigkeit und
Narretei. Gefallene Seelen
versinken in Dunkelheit.","Lamenta lo inane y lo necio.
Almas caídas se hunden en la
oscuridad sin agotarse.","Отринь тщету и глупость.
Павшие души тонут во тьме,
они неистощимы.","Godna pożałowania marność
i głupota. Upadłe dusze
ogarnia bezkresna ciemność.",,,"Arrependa-se da futilidade e
tolice. Almas caídas afundam
em treva, inesgotáveis.","어리석고 허무함을 한탄한다.
죽어도 사라지지 않는 혼이
어둠 깊은 곳으로 타락한다.","怨嘆愚蠢與空虛。即便亡歿，
不滅的靈魂仍然緊繫於心，
使其墜向黑暗深淵。","哀叹愚蠢与空虚。纵使身死，
不灭的灵魂仍撕心裂肺，坠入
黑暗的深渊。",,,,,,,,"الندم على العبث والحماقة.
تغرق النفوس الساقطة في الظلمة
التي لا تنضب.",,,,,,,,,,,
ed08652d-7cbe-4a12-bcad-89a573a25925,3234369591,W_Bow_308_Explain,"情熱に紅く色づく見目麗しい
熾妃蜘蛛の弓。手にした者を
虜にする魔性の魅惑を放つ。","A brilliant crimson Pyre Rakna-
Kadaki bow, beguiling its wielder
with its devilish charm.","Arc de Rakna-Kadaki de feu,
parant celui qui le manie
d'un charme diabolique.","Arco di Rakna-Kadaki igneo.
Usa il suo fascino diabolico
per sedurre chi lo brandisce.","Karmesiner Pyro-Kadaki-
Bogen, der mit teuflischer
Anmut bezaubert.","Brillante arco carmesí de
Rakna-Kadaki Pira. Su poder
demoníaco es cautivador.","Сияющий алый лук пламенного
Ракна-Кадаки очаровывает
своего владельца.","Świetlisty, karmazynowy łuk
z Pyre Rakna-Kadaki. Zwodzi
dzierżącego czarcim urokiem.",,,"Arco Rakna-Kadaki Pírico
rubro, seduz o dono com
charme diabólico.","정열에 붉게 물든 아름다운
치비지주의 활. 손에 든 자를
노예로 만드는 마성의 매혹.","色澤熱情火紅，外觀華美亮麗的
熾妃蜘蛛之弓。散發著充滿魔性
的魅力，能擄獲使用者的心。","染上热情之红的华美炽妃蜘蛛
之弓。释放出令执弓者神魂颠
倒的魔性魅力。",,,,,,,,"قوس راكنا-كاداكي الحارق
القرمزي اللامع، يخدع
حامله بسحره الشيطاني.",,,,,,,,,,,
10a0238e-b31f-4b79-9bd1-175aa5023bf2,945491692,W_Bow_309_Explain,"心を射止める矢を放つのは、
運命の糸か、それとも獲物を
捕らえる蜘蛛の糸か…。","Are the fatal shots of this bow
loosed by a thread of fate, or by
the strands of an ensnaring web?","Est-ce le fil du destin ou
celui d'une araignée qui
libère la flèche fatale ?","La corda che scaglia la freccia
fatale... è il filo del destino
o la tela di un ragno?","Stammen die tödlichen Schüsse
dieses Bogens von Spinnen-
oder Schicksalsfäden?","¿Es una cuerda del destino la que
impulsa estas flechas, o un hilo de
una telaraña traicionera?","Тетива, выпустившая роковую
стрелу... Нить судьбы или
паучья нить?","Cięciwa uwalnia zabójczą
strzałę... Czy to nić
przeznaczenia, czy pajęcza?",,,"A corda que solta a flecha
fatal... É um fio do destino
ou o filamento da aranha?","마음을 꿰뚫는 화살을 쏘는
건 운명의 실인가, 사냥감을
사로잡는 거미줄인가…","此弓能射出擄獲心智的箭矢。
其弦究竟是命運的絲線，
還是捕捉獵物的蛛絲……？","心被箭所射中，射出箭的是命运
之线？还是捕猎的蛛丝……？",,,,,,,,"الوتر الذي يطلق السهم
القاتل... هل هو خيط
القدر، أم خيط عنكبوت؟",,,,,,,,,,,
