guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
80e6f63a-7a9d-40ad-9d55-6314e8572b4c,2199302321,W_Bow_000_Name,パワーハンターボウⅠ,Hunter's Stoutbow I,Arc courbé du chas.,Superarco cacciatore I,Jäger-Kraftbogen I,Arco recio de cazador I,Крепкий лук охотника 1,Dzielnołuk łowcy I,,,Arco Forte Caçador I,파워헌터보우Ⅰ,能量獵弓Ⅰ,强力猎弓Ⅰ,,,,,,,,قوس الصيّاد الضخم 1,,,,,,,,,,,
11a20bda-fa3b-47bf-a437-d4050d9a948e,231895556,W_Bow_001_Name,パワーハンターボウⅡ,Hunter's Stoutbow II,Arc courbé du chas. II,Superarco cacciatore II,Jäger-Kraftbogen II,Arco recio de cazador II,Крепкий лук охотника 2,Dzielnołuk łowcy II,,,Arco Forte Caçador II,파워헌터보우Ⅱ,能量獵弓Ⅱ,强力猎弓Ⅱ,,,,,,,,قوس الصيّاد الضخم 2,,,,,,,,,,,
2cec3491-6302-4f7d-81d2-20ecd4728a45,3222153876,W_Bow_002_Name,ブレイブハンターボウ,Hunter's Proudbow,Arc fier de chasseur,Fierarco cacciatore,Jäger-Stolzbogen,Arco Honra de cazador,Гордый лук охотника,Dumnołuk łowcy,,,Arco Digno do Caçador,브레이브헌터보우,勇氣獵弓,勇气猎弓,,,,,,,,قوس الصيّاد الفاخر,,,,,,,,,,,
bc2d5ad0-059f-4d92-b7b1-d54218be5225,68778856,W_Bow_003_Name,六花晶弓Ⅰ,Crystalline Flower I,Fleur cristalline,Fiore cristallino I,Kristallblüte I,Flor cristalina I,Хрустальный цветок 1,Kryształowy Kwiat I,,,Flor Cristalina I,육화정궁Ⅰ,六花晶弓Ⅰ,六花晶弓Ⅰ,,,,,,,,الزهرة البلورية 1,,,,,,,,,,,
66f60523-9e29-448c-ab51-6161db7eb3f8,2142409943,W_Bow_004_Name,六花晶弓Ⅱ,Crystalline Flower II,Fleur cristalline II,Fiore cristallino II,Kristallblüte II,Flor cristalina II,Хрустальный цветок 2,Kryształowy Kwiat II,,,Flor Cristalina II,육화정궁Ⅱ,六花晶弓Ⅱ,六花晶弓Ⅱ,,,,,,,,الزهرة البلورية 2,,,,,,,,,,,
f6bf35c7-ad4e-44c9-a3c2-a96fb1f6fed9,3750413916,W_Bow_005_Name,天華晶弓,Heaven's Glaze,Givre céleste,Paradiso vitreo,Himmelsglasur,Mirada celestial,Небесная глазурь,Błysk Niebios,,,Cobertura dos Céus,천화정궁,天華晶弓,天华晶弓,,,,,,,,طلاء سماوي,,,,,,,,,,,
fce88b2d-699e-4338-b261-7fd7c494f1c0,993866179,W_Bow_006_Name,鉄弓Ⅰ,Iron Bow I,Arc en fer,Arco di ferro I,Eisenbogen I,Arco Férreo I,Железный лук 1,Żelazny łuk I,,,Arco de Ferro I,철궁Ⅰ,鐵弓Ⅰ,铁弓Ⅰ,,,,,,,,القوس الحديدي 1,,,,,,,,,,,
08b15679-7483-4dcf-a626-21a1b2918e5c,125377074,W_Bow_007_Name,鉄弓Ⅱ,Iron Bow II,Arc en fer II,Arco di ferro II,Eisenbogen II,Arco Férreo II,Железный лук 2,Żelazny łuk II,,,Arco de Ferro II,철궁Ⅱ,鐵弓Ⅱ,铁弓Ⅱ,,,,,,,,القوس الحديدي 2,,,,,,,,,,,
59935bc0-c3c8-40a8-a118-64b6d0848a1f,2068533783,W_Bow_008_Name,鋼鉄弓,Steel Bow,Arc en acier,Arco d'acciaio,Stahlbogen,Arco Acerado,Стальной лук,Stalowy łuk,,,Arco de Aço,강철궁,鋼鐵弓,钢铁弓,,,,,,,,القوس المعدني,,,,,,,,,,,
2cf5d86e-4aee-4316-8267-1e008fabd9ed,3062234567,W_Bow_009_Name,エクラアルクⅠ,Yekla Arc I,Arc Yekla,Arco Yekla I,Yekla-Bogen I,Arco de Yekla I,Дуга Еклы 1,Łuk Yekla I,,,Arco Yekla I,에크라알크Ⅰ,耀金弓Ⅰ,耀金弓Ⅰ,,,,,,,,قوس يكلا 1,,,,,,,,,,,
