guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
24b5228a-5e6f-4ebf-abcd-9d2c78c74fa3,3512722366,W_ChargeAxe_000_Explain,"広く流通している初心者向けの
盾斧。量産型のためやや粗さが
残るが、丈夫で扱いやすい。","A mass-produced model
that's not fancy, but gets
the job done.","Un modèle produit en masse.
Il n'a rien d'élégant, mais
il fait l'affaire.","Modello prodotto in serie.
Non molto raffinato, ma
comunque efficace.","Ein Massenprodukt, das
nicht besonders schick ist,
aber seinen Zweck erfüllt.","Hecha de forma industrial y
poco atractiva, pero cumple
con su cometido.","Массовая модель. Ничего
особенного, но свою
задачу выполняет.","Masowo produkowany model.
Nic wyszukanego, ale
się sprawdza.",,,"Modelo de produção em massa.
Bastante rudimentar, mas dá
pro gasto.","널리 유통되는 초심자용
차지액스. 양산형이라 조잡해
보이지만 튼튼하고 편리하다.","常見的充能斧，適合初學者。
由於是量產型，作工較粗糙，
但是很堅固結實，容易操作。","大量流通的新手用盾斧。
因为是量产型，略微有些粗糙，
但坚固且易用。",,,,,,,,"طراز مُنتج بكميات
كبيرة رديء، ولكنه
يؤدي الغرض.",,,,,,,,,,,
c6d4dbe5-9c63-4441-81ef-c5b7200198de,2307431768,W_ChargeAxe_001_Explain,"広く流通している初心者向けの
盾斧。量産型のためやや粗さが
残るが、丈夫で扱いやすい。","A mass-produced model
that's not fancy, but gets
the job done.","Un modèle produit en masse.
Il n'a rien d'élégant, mais
il fait l'affaire.","Modello prodotto in serie.
Non molto raffinato, ma
comunque efficace.","Ein Massenprodukt, das
nicht besonders schick ist,
aber seinen Zweck erfüllt.","Hecha de forma industrial y
poco atractiva, pero cumple
con su cometido.","Массовая модель. Ничего
особенного, но свою
задачу выполняет.","Masowo produkowany model.
Nic wyszukanego, ale
się sprawdza.",,,"Modelo de produção em massa.
Bastante rudimentar, mas dá
pro gasto.","널리 유통되는 초심자용
차지액스. 양산형이라 조잡해
보이지만 튼튼하고 편리하다.","常見的充能斧，適合初學者。
由於是量產型，作工較粗糙，
但是很堅固結實，容易操作。","大量流通的新手用盾斧。
因为是量产型，略微有些粗糙，
但坚固且易用。",,,,,,,,"طراز مُنتج بكميات
كبيرة رديء، ولكنه
يؤدي الغرض.",,,,,,,,,,,
816c53b6-7d51-4dae-879f-14708a555c98,757769732,W_ChargeAxe_002_Explain,"複数の金属を掛け合わせロート
スピーダを強化。使用感はその
ままに破壊力が向上している。","Upgrade of the Hyperguard.
Uses alloys to preserve the
feel but up the damage.","Son alliage renforcé le
rend encore plus dangereux.
Base : Hyper-garde","Iperguardia potenziata.
Realizzata in lega per
infliggere più danni.","Veredelter Hyperschutz mit
Legierung zur Schadensstei-
gerung bei gleicher Haptik.","Hiperguarda mejorada.
De una aleación que conserva
lo bueno y aumenta el daño.","Улучшение Гиперстража.
Выполнен из сплава, что
увеличивает урон.","Ulepszenie Hiperstrażnika.
Wykorzystanie stopów
zwiększa zadawane obrażenia.",,,"Melhoria de Hiperguarda.
Utiliza ligas para preservar
o manejo e aumentar o dano.","많은 금속을 덧대어 강화한
로트스피더. 사용감은
유지하고 파괴력이 향상됐다.","混合了多種金屬，鋼鐵充能斧的
強化版本。延續前作容易操作的
優點，且大幅提升了破壞力。","以多种金属互相配合，提高了
使用性能。保留原本的手感，
进一步加强了破坏力。",,,,,,,,"ترقية الواقي الفائق. يستخدم
خليطًا معدنيًا لكبح
الشعور لكنه يُلحق الضرر.",,,,,,,,,,,
98f45a11-7d74-46b9-84fb-0372fde88fae,2700496257,W_ChargeAxe_003_Explain,"見事に鍛え上げられた鋼鉄の
盾斧。数々の戦果を上げた英雄
も使っていたと言われている。","A well-forged steel charge
blade. Once used by a
hero in countless battles.","Prototype de la Guilde.
Popularité croissante parmi
les rangers.","Nuovo prototipo della Gilda.
Diventa sempre più popolare
tra gli eroi.","Wohlgeschmiedete Energie-
klinge. Von einem Meister in
etlichen Schlachten geführt.","Hacha cargada de excelente
forja, antaño usada por un
héroe en muchas batallas.","Тщательно выкованный
силовой клинок. Им воевал
герой во множестве битв.","Solidne stalowe ładowane
ostrze. Pewien bohater
używał go w wielu bitwach.",,,"Obra-prima de aço forjado,
usada por um herói em
inúmeras batalhas.","잘 만들어진 강철 차지액스.
수많은 전공을 세운 영웅도
이걸 사용했다고 한다.","完美鍛造出的鋼鐵充能斧。
據說擁有無數戰果的英雄
也使用過。","完美锻造出的钢铁盾斧。
据说战果累累的英雄
也曾使用过。",,,,,,,,"نصلٌ مشحون فولاذي مُشكّل
ببراعة. استخدمه بطل ذات
مرة في معارك لا حصر لها.",,,,,,,,,,,
eeb8c9cd-3e58-4cb1-85a2-fd0d4c831c69,2796410763,W_ChargeAxe_004_Explain,"見事に鍛え上げられた鋼鉄の
盾斧。数々の戦果を上げた英雄
も使っていたと言われている。","A well-forged steel charge
blade. Once used by a
hero in countless battles.","Prototype de la Guilde.
Popularité croissante parmi
les rangers.","Nuovo prototipo della Gilda.
Diventa sempre più popolare
tra gli eroi.","Wohlgeschmiedete Energie-
klinge. Von einem Meister in
etlichen Schlachten geführt.","Hacha cargada de excelente
forja, antaño usada por un
héroe en muchas batallas.","Тщательно выкованный
силовой клинок. Им воевал
герой во множестве битв.","Solidne stalowe ładowane
ostrze. Pewien bohater
używał go w wielu bitwach.",,,"Obra-prima de aço forjado,
usada por um herói em
inúmeras batalhas.","잘 만들어진 강철 차지액스.
수많은 전공을 세운 영웅도
이걸 사용했다고 한다.","完美鍛造出的鋼鐵充能斧。
據說擁有無數戰果的英雄
也使用過。","完美锻造出的钢铁盾斧。
据说战果累累的英雄
也曾使用过。",,,,,,,,"نصلٌ مشحون فولاذي مُشكّل
ببراعة. استخدمه بطل ذات
مرة في معارك لا حصر لها.",,,,,,,,,,,
5231f51c-e80d-4a5d-b1e0-01642c8a67cd,2362710088,W_ChargeAxe_005_Explain,"精鋭討伐隊盾斧の強化形態。
より厳選に厳選を重ねた素材で
加工を施した最高級品。","The Elite Blade's upgrade.
This high-class weapon uses
only the finest materials.","Arme haut de gamme, aux
matériaux de qualité.
Base : Lame garde d'élite","Lama d'élite potenziata.
Un'arma di classe, che vanta
materiali di pregio.","Verbesserte Elite-Klinge.
Eine hochwertige Waffe
aus edelsten Materialien.","Filo de élite mejorado. Arma
de primera hecha con los
mejores materiales.","Улучшение Элитного клинка.
Оружие высшего класса
из лучших материалов.","Ulepszone elitarne ostrze.
Tę wysokiej jakości broń
wykuto z mocnych materiałów.",,,"Melhoria da Lâmina de Elite.
Esta arma usa somente os
melhores materiais.","정예토벌대순부의 강화 형태.
보다 엄선된 소재로
가공한 최고급품.","精銳討伐隊充能斧的強化型態。
再三嚴選的素材經過
加工後的最高級品。","精锐讨伐队盾斧的强化形态。
用精挑细选的素材强化而成的
最高级武器。",,,,,,,,"ترقية نصل النُخبة. لا يصنع
هذا السلاح ذو المرتبة
المرتفعة إلا بأجود المواد.",,,,,,,,,,,
39b38fe4-345b-4736-801b-666ae12eaa01,4072593039,W_ChargeAxe_006_Explain,"電光石火の勢いで敵軍を
撃退していく騎士団の隊証が
刻み込まれた由緒ある盾斧。","A noble charge blade. Bears
the sigil of a knight who
charged with electric force.","Volto-hache élégante brandie
par certaines guerrières
dans les légendes nordiques.","Lama caricata recante il
sigillo di un cavaliere che
colpiva con furia elettrica.","Energieklinge mit Siegel
eines Ritters, der Feinde mit
elektrischer Kraft angriff.","Hacha cargada con el emblema
de un caballero que cargaba
con fuerza electrizante.","Благородный силовой клинок.
Носит печать рыцаря,
атаковавшего силой молнии.","Imponujące ładowane ostrze.
Nosi pieczęć rycerza, który
nacierał z elektryczną mocą.",,,"Arma nobre, com o símbolo de
um cavaleiro imbuído da
força de um raio.","전광석화처럼 적군을
무찌른 기사단의 증표를
새겨넣은 유서 깊은 차지액스.","刻有騎士團的隊證，
能以電光火石之勢擊退敵軍，
是把有來歷的充能斧。","有来历的盾斧，
刻有以电光火石之势
击退敌军的骑士团的队徽。",,,,,,,,"نصلٌ مشحون متألق. يحمل
ختم فارس شُحن
بقوة كهربائية.",,,,,,,,,,,
ba04559d-45d8-42a2-9a3e-c36ff74465a4,951417674,W_ChargeAxe_007_Explain,"電光石火の勢いで敵軍を
撃退していく騎士団の隊証が
刻み込まれた由緒ある盾斧。","A noble charge blade. Bears
the sigil of a knight who
charged with electric force.","Volto-hache élégante brandie
par certaines guerrières
dans les légendes nordiques.","Lama caricata recante il
sigillo di un cavaliere che
colpiva con furia elettrica.","Energieklinge mit Siegel
eines Ritters, der Feinde mit
elektrischer Kraft angriff.","Hacha cargada con el emblema
de un caballero que cargaba
con fuerza electrizante.","Благородный силовой клинок.
Носит печать рыцаря,
атаковавшего силой молнии.","Imponujące ładowane ostrze.
Nosi pieczęć rycerza, który
nacierał z elektryczną mocą.",,,"Arma nobre, com o símbolo de
um cavaleiro imbuído da
força de um raio.","전광석화처럼 적군을
무찌른 기사단의 증표를
새겨넣은 유서 깊은 차지액스.","刻有騎士團的隊證，
能以電光火石之勢擊退敵軍，
是把有來歷的充能斧。","有来历的盾斧，
刻有以电光火石之势
击退敌军的骑士团的队徽。",,,,,,,,"نصلٌ مشحون متألق. يحمل
ختم فارس شُحن
بقوة كهربائية.",,,,,,,,,,,
69492519-4e58-4139-adb5-48d49f3139a3,2125736865,W_ChargeAxe_008_Explain,"強化版の騎士団隊証盾斧は、
戦乙女の名を冠する。数多の
戦争で勝利を呼び込んだ盾斧。","Enhanced K. Captain's Blade.
Named for a mighty female
knight who won many battles.","Son nom honore une déesse
guerrière célèbre.
Base : Freyja","Lama del capitano cavaliere
potenziata. Trionfa come
la donna cui deve il nome.","Verbesserte Ritterhaupt-
mannsklinge, benannt nach
einer mächtigen Kriegerin.","Filo de capitán K. mejorado.
Una guerrera que ganó mil
batallas le da nombre.","Улучшение Клинка капитана.
Назван в честь воительницы,
выигравшей множество битв.","Ulepszone ostrze kapitana.
Nazwane na cześć sławnej
rycerki.",,,"Esta arma recebeu seu nome
em homenagem a uma heroína
que venceu muitas batalhas.","기사단증표순부의 강화판.
발키리의 이름으로 수많은
전쟁을 승리로 이끈 차지액스.","強化版本的騎士團隊證充能斧，
冠有女武神之名。在諸多戰役上
帶來勝利的充能斧。","强化版的骑士团队证盾斧，
冠有女武神之名。
在战场上屡屡带来胜利的盾斧。",,,,,,,,"نصل قائدة الفرسان المُعزز.
سُمي تيمنًا بفارسة مغوارة
ربحت معارك كثيرة.",,,,,,,,,,,
121b5910-54ff-4a45-91e9-80971b1fd04a,113826349,W_ChargeAxe_009_Explain,"モンスターの骨から削られた
シンプルな盾斧。荒々しい一撃
が持ち味の骨製盾斧の源流。","A simple charge blade carved
from monster bone. Inspired
many similar weapon designs.","Volto-hache taillée dans
l'os d'un monstre, comme
d'autres d'armes similaires.","Semplice lama caricata.
Come altre armi, nasce da un
osso di mostro intagliato.","Einfache, aus Monsterknochen
geschnitzte Energieklinge.
Basis für ähnliche Waffen.","Sencilla hacha cargada de
hueso de monstruo que dio
pie a muchos otros diseños.","Простой силовой клинок,
вырезанный из кости монстра.
Вдохновил многих мастеров.","Proste ładowane ostrze
z kości potwora. Dało
początek podobnym broniom.",,,"Uma arma simples, esculpida
em osso de monstro. Inspirou
muitas armas semelhantes.","몬스터의 뼈로 만든 심플한
차지액스. 거친 일격이 독특한
뼈로 만든 차지액스의 원조.","用魔物的骨磨製而成，
造型簡單的充能斧。狂野一擊
為其特色，骨製充能斧的起源。","怪物骨削制而成的简单盾斧，
狂野一击为其特色，
是第一个骨制盾斧。",,,,,,,,"نصل مشحون بسيط نُحت من
عظمة وحش. استوحيت منه كثير
من تصميمات الأسلحة المشابهة.",,,,,,,,,,,
