guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
c6a6921f-9005-4a29-8810-e4031dc195ae,50080416,W_ChargeAxe_300_Explain,"改良されたカムラの盾斧。里に
立ち込める不穏な気配も、この
盾斧があれば恐れるに足らず。","An improvement on the Kamura
charge blade. Rampage got
you worried? Not anymore.","La Calamité n'a qu'à bien se
tenir face à cette arme !
Base : Volto-hache Kamura","Lama caricata Kamura
potenziata. Per affrontare
la furia senza timore.","Verbesserte Kamura-Energie-
klinge. Die Randale bereitet
dir Sorgen? Schluss damit.","Mejora del Hacha cargada
Kamura. Que el Frenesí no te
quite el sueño.","Улучшение силового клинка
Камуры. Буйства можно
больше не бояться.","Ulepszenie ładowanego
ostrza Kamury. Martwisz
się Furią? Już nie musisz.",,,"Lâmina dínamo de Kamura
melhorada. O Frenesi te
preocupa? Pode relaxar.","개량된 카무라순부. 마을에
만연한 불온한 기운도 이
차지액스 하나면 무섭지 않다.","經過改良後的神火充能斧。
只要有這把充能斧，就算動盪
氣息籠罩著村莊也無須畏懼。","改良过的炎火村盾斧。
即便村中弥漫着难言的危机感，
只要有它在，一切都不足为惧。",,,,,,,,"نسخة محسَّنة من نصل كامورا
المشحون. أيُقلقك
الغضب العارم؟ لن يحدث ذلك بعد الآن.",,,,,,,,,,,
f97a16cf-301a-485d-b73a-9bcab4ad1356,2933046284,W_ChargeAxe_301_Explain,"改良されたカムラの盾斧。里に
立ち込める不穏な気配も、この
盾斧があれば恐れるに足らず。","An improvement on the Kamura
charge blade. Rampage got
you worried? Not anymore.","La Calamité n'a qu'à bien se
tenir face à cette arme !
Base : Volto-hache Kamura","Lama caricata Kamura
potenziata. Per affrontare
la furia senza timore.","Verbesserte Kamura-Energie-
klinge. Die Randale bereitet
dir Sorgen? Schluss damit.","Mejora del Hacha cargada
Kamura. Que el Frenesí no te
quite el sueño.","Улучшение силового клинка
Камуры. Буйства можно
больше не бояться.","Ulepszenie ładowanego
ostrza Kamury. Martwisz
się Furią? Już nie musisz.",,,"Lâmina dínamo de Kamura
melhorada. O Frenesi te
preocupa? Pode relaxar.","개량된 카무라순부. 마을에
만연한 불온한 기운도 이
차지액스 하나면 무섭지 않다.","經過改良後的神火充能斧。
只要有這把充能斧，就算村莊裡
籠罩著動盪的氣息也無須畏懼。","改良过的炎火村盾斧。
即便村中弥漫着难言的危机感，
只要有它在，一切都不足为惧。",,,,,,,,"نسخة محسَّنة من نصل كامورا
المشحون. أيُقلقك
الغضب العارم؟ لن يحدث ذلك بعد الآن.",,,,,,,,,,,
2b1b030d-f42b-4776-9e0f-a0f039d3639b,4096869161,W_ChargeAxe_302_Explain,"カムラの里の思いがこもった
盾斧は、砦を思わせる堅牢さと
災禍を屠る破壊力を併せ持つ。","Kamura spirit fills this charge
blade, as tough as a fortress
and rampant as war.","L'esprit de Kamura nourrit
cette lame formidable
et sans pitié.","Lama caricata colma dello
spirito di Kamura, forte e
sfrenata come la guerra.","Kamurageist-Energieklinge.
Stark wie eine Festung,
zügellos wie der Krieg. ","Rebosante del alma de Kamura,
fuerte como un castillo y
desenfrenada como la guerra.","Дух Камуры наполняет этот
крепкий силовой клинок,
неистовый, как война.","Duch Kamury wypełnia to
ładowane ostrze, twarde jak
forteca i zajadłe jak wojna.",,,"Espírito Kamura nesta lâmina
dínamo, dura como fortaleza,
desenfreada como a guerra.","카무라 마을의 마음이 담긴
차지액스. 요새 같은 견고함과
재앙을 멸하는 파괴력을 겸비.","充滿神火村民們思念的充能斧，
具備如要塞般的堅固防禦
及足以屠戮災禍的破壞力。","承载着炎火村精神的盾斧，
既坚固得如要塞一般，破
坏力也能消灾灭祸。",,,,,,,,"روح كامورا تملأ هذا النصل
المشحون، وهو قوي مثل
الحصن، وصاخب مثل الحرب.",,,,,,,,,,,
6d822897-f77e-45c8-b14a-553a811c5d2a,1381899164,W_ChargeAxe_303_Explain,"爵銀龍の翼を象った盾斧。
高遠にして勇壮な造形は、
気位の高い者にこそ相応しい。","A charge blade modeled after
Malzeno's wings. Gallantry to
complement one's pomposity.","Volto-hache de la forme des ailes
de Malzeno. Apporte une touche
finale d'extravagance.","Lama caricata che imita
le ali di Malzeno. Audace,
dà un tocco più sfarzoso.","Eine Energieklinge wie Malzenos
Flügel. Ergänzt galant deine
Prunksucht.","Hacha cargada elaborada con
alas de Malzeno. Una nueva
muestra de ostentación.","Силовой клинок в виде крыль-
ев Малзено. Подчеркивает
величавость владельца.","Ładowane ostrze podobne do
skrzydeł Malzeno.
Gloryfikuje dzierżącego.",,,"Lâmina dínamo que imita asas
de Malzeno. Cavalheirismo
para os pomposos.","은작룡의 날개 모양 차지액스.
품위 있는 자에게 걸맞은
고매하고 웅장한 형태다.","仿照爵銀龍之翼製成的充能斧。
外型崇高遠大且壯麗，
僅品格高潔之人才能與其相襯。","模仿爵银龙之翼打造的盾斧。
远大而雄壮的造型正适合高
傲自恃之人。",,,,,,,,"نصل مشحون صُنع على غرار
أجنحة مالزينو. شجاعته
تدعم إمكانية التباهي.",,,,,,,,,,,
cf39effd-8e52-453d-ac48-8a4e485cae15,3866041375,W_ChargeAxe_304_Explain,"爵銀龍の翼を象った盾斧。
非道にして兇悪な造形は、
残忍酷薄な者にこそ相応しい。","A charge blade modeled after
Malzeno's wings. Atrocity to
complement one's brutality.","Volto-hache de la forme des ailes
de Malzeno. Apporte une touche
finale de brutalité.","Lama caricata che imita
le ali di Malzeno. Atroce,
dà un tocco più brutale.","Eine Energieklinge wie Malzenos
Flügel. Verstärken mit Gräueln
deine Brutalität.","Hacha cargada elaborada con
alas de Malzeno. Una nueva
muestra de bestialidad.","Силовой клинок в виде крыль-
ев Малзено. Подчеркивает
жестокость владельца.","Ładowane ostrze podobne do
skrzydeł Malzeno. Świadczy
o brutalności dzierżącego.",,,"Lâmina dínamo que imita asas
de Malzeno. Atrocidade
para os brutais.","은작룡의 날개 모양 차지액스.
잔인하고 냉혹한 자에 걸맞은
무도하고 흉악한 형태다.","仿照爵銀龍之翼製成的充能斧。
外型異常殘暴且凶惡，
僅殘忍冷酷之人才能與其相襯。","模仿爵银龙之翼打造的盾斧。
残暴凶恶的造型正适合残酷
无情之人。",,,,,,,,"نصل مشحون صُنع على غرار
أجنحة مالزينو. الفظائع
تستكمل وحشيته.",,,,,,,,,,,
33f28f21-cc7a-4314-9d9b-83df205b4140,1212825222,W_ChargeAxe_305_Explain,"女王の盾斧、ディア＝ルテミス
を強化。美しき佇まいは、
崇高さと厳酷さに満ちている。","A Dear Lutemis upgrade.
Its beauty is sublime
yet severe at the same time.","Sa beauté est tout à la fois
sublime et cruelle.
Base : Chère Lutémis","Lutemis sincera potenziata.
La sua bellezza è al contempo
austera e sublime.","Besserer Redlicher Lutemis.
Glänzt durch noble und
zugleich grimmige Schönheit.","Caro Lutemis mejorado.
A pesar de su sublime
belleza, es mortífero.","Улучшение Благородного
Лютемиса. Возвышенная
и грозная красота.","Ulepszenie Drogiej Lutemis.
Wysublimowane piękno
z nutą surowości.",,,"Querida Lutemis melhorada,
dotada de uma beleza sublime
e severa ao mesmo tempo.","디아루테미스를 강화했다.
아름다움 속에 숭고함과
가혹함이 넘쳐흐른다.","女王之充能斧，焰火盾斧的
強化版本。美麗的姿態
散發出高貴及冷酷。","女王之盾斧，
焰火盾斧的强化。
其美丽姿态满溢高贵与残酷。",,,,,,,,"ترقية لوتيميس القدير. له
جمال راقٍ لكنه عنيف
في الوقت ذاته.",,,,,,,,,,,
b920ccca-2af9-430e-81fe-1580db339c3f,1230725526,W_ChargeAxe_306_Explain,"女王に仇なす者には、冷厳なる
処罰を。剣は斧となり、地を焼
く猛火で、自ら刑を執行する。","To oppose the queen is to
hail death. An execution
by flame-laced axe blade.","S'opposer à la reine,
c'est mourir sous les coups
de cette hache enflammée.","Chi si oppone alla regina
accoglie la morte per mezzo
di una lama infuocata.","Der Königin zu trotzen bedeutet
den Tod herauszufordern. Hinrich-
tung mit flammender Axtklinge.","Quienes se oponen a la reina
sellan su muerte por medio de
un filo en llamas.","Всех, кто противостоит
королеве, ждет смерть. Казнь
огненным лезвием топора.","Sprzeciwienie się królowej
oznacza śmierć. Egzekucja
ognistym ostrzem topora.",,,"Opor-se à rainha é chamar a
morte. Execução por machado
em chamas.","여왕에 반하는 자에게 냉엄한
처벌을. 검은 도끼가 되어
맹화로 형을 집행한다.","凡與女王為敵之人，將受到
嚴酷的處罰。劍將轉變為斧，
以遍地烈火親自行刑。","对冒犯女王之人，需无情地惩
处。化剑为斧，以灼土之烈火，
亲手行刑。",,,,,,,,"إن معارضة الملكة تعني
مغازلة الموت. الإعدام
بشفرة فأس مشتعلة بالنيران.",,,,,,,,,,,
89a0f40a-8a08-43f8-9e0f-fc212ea46718,1484039617,W_ChargeAxe_307_Explain,"女王に仇なす者には、冷厳なる
処罰を。剣は斧となり、地を焼
く猛火で、自ら刑を執行する。","To oppose the queen is to
hail death. An execution
by flame-laced axe blade.","S'opposer à la reine,
c'est mourir sous les coups
de cette hache enflammée.","Chi si oppone alla regina
accoglie la morte per mezzo
di una lama infuocata.","Der Königin zu trotzen bedeutet
den Tod herauszufordern. Hinrich-
tung mit flammender Axtklinge.","Quienes se oponen a la reina
sellan su muerte por medio de
un filo en llamas.","Всех, кто противостоит
королеве, ждет смерть. Казнь
огненным лезвием топора.","Sprzeciwienie się królowej
oznacza śmierć. Egzekucja
ognistym ostrzem topora.",,,"Opor-se à rainha é chamar a
morte. Execução por machado
em chamas.","여왕에 반하는 자에게 냉엄한
처벌을. 검은 도끼가 되어
맹화로 형을 집행한다.","凡與女王為敵之人，將受到
嚴酷的處罰。劍將轉變為斧，
以遍地烈火親自行刑。","对冒犯女王之人，需无情地惩
处。化剑为斧，以灼土之烈火，
亲手行刑。",,,,,,,,"إن معارضة الملكة تعني
مغازلة الموت. الإعدام
بشفرة فأس مشتعلة بالنيران.",,,,,,,,,,,
07933d59-b626-4315-8e0b-2526d51c2118,190245813,W_ChargeAxe_308_Explain,"棘竜の強固な棘を使用した
盾斧。一度斬りつけられれば、
鋭い痛みが残る。","A charge blade forged with
spiky Espinas thorns. Every
cut causes stinging pain.","Lame forgée en pointes
d'Espinas. Chaque entaille
pique.","Lama caricata forgiata con
affilate punte di Espinas.
Ogni taglio è una fitta.","Eine mit Espinas-Dornen
geschmiedete Energieklinge,
die stechend schmerzt.","Hacha cargada con puntiagudas
púas de Espinas. Cada corte
provoca un dolor punzante.","Силовой клинок, усиленный
шипами Эспиназа. Каждый
порез — жгучая боль.","Ładowane ostrze wykute
z ostrych kolców Espinasa.
Cięcia powodują piekący ból.",,,"Lâmina dínamo forjada com
espinhos de Espinas. Cada
corte causa dor lancinante.","극룡의 단단한 가시를 사용한
차지액스. 한 번 베이면
날카로운 아픔이 남는다.","以棘龍的堅固棘刺製成之
充能斧。一旦擊中，
將留下難以忍受的刺痛。","用棘龙的坚固棘刺制成的盾斧。
一旦被它砍过，就会留下剧烈的
疼痛。",,,,,,,,"نصل مشحون مصنوع
بأشواك إسبيناس الشائكة.
يسبب كل جرح منه ألمًا لاذعًا.",,,,,,,,,,,
5a7fbca7-12d4-457e-ba4d-4ba7d9abaea2,2070260680,W_ChargeAxe_309_Explain,"棘竜の強固な棘を使用した
盾斧。一度斬りつけられれば、
鋭い痛みが残る。","A charge blade forged with
spiky Espinas thorns. Every
cut causes stinging pain.","Lame forgée en pointes
d'Espinas. Chaque entaille
pique.","Lama caricata forgiata con
affilate punte di Espinas.
Ogni taglio è una fitta.","Eine mit Espinas-Dornen
geschmiedete Energieklinge,
die stechend schmerzt.","Hacha cargada con puntiagudas
púas de Espinas. Cada corte
provoca un dolor punzante.","Силовой клинок, усиленный
шипами Эспиназа. Каждый
порез — жгучая боль.","Ładowane ostrze wykute
z ostrych kolców Espinasa.
Cięcia powodują piekący ból.",,,"Lâmina dínamo forjada com
espinhos de Espinas. Cada
corte causa dor lancinante.","극룡의 단단한 가시를 사용한
차지액스. 한 번 베이면
날카로운 아픔이 남는다.","以棘龍的堅固棘刺製成之
充能斧。一旦擊中，
將留下難以忍受的刺痛。","用棘龙的坚固棘刺制成的盾斧。
一旦被它砍过，就会留下剧烈的
疼痛。",,,,,,,,"نصل مشحون مصنوع
بأشواك إسبيناس الشائكة.
يسبب كل جرح منه ألمًا لاذعًا.",,,,,,,,,,,
