guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
77274523-3f48-4ec9-91fa-64baf07f7930,1109057046,W_ChargeAxe_300_Name,カムラノ武盾斧,Kamura Warrior C. Blade,Lame C guerrier Kamura,Lama Kamura,KamuraKriegerEnKlinge,Esp. c. guerrero Kamura,Сил. клинок воина Кам.,Ład. ostrze woj. Kam.,,,Lâm. Din. Guer. Kamura,카무라무순부,神火武充能斧,炎火武盾斧,,,,,,,,نصل محارب كامورا المشحون,,,,,,,,,,,
a9926b8e-66c1-45bf-8395-a1008d61bab1,1280071631,W_ChargeAxe_301_Name,カムラノ武盾斧改,Kamura Warrior C. Blade+,Lame C guerrier Kamura+,Lama Kamura+,KamuraKriegerEnKlinge+,Esp. c. guerrero Kamura+,Сил. клин. воина Кам.+,Ład. ostrze woj. Kam.+,,,Lâm. Din. Guer. Kamura+,카무라무순부+,神火武充能斧改,炎火武盾斧・改,,,,,,,,نصل محارب كامورا المشحون+,,,,,,,,,,,
c528ef32-8286-4966-b3da-6d2425594df8,1663393677,W_ChargeAxe_302_Name,カムラノ傑盾斧,Kamura Fine C. Blade,Volto-hache fine Kam.,Lama Kamura pregiata,Feine KamuraEnKlinge,Esp. c. excelsa Kamura,Отлич. сил. клин. Кам.,Ład. dosk. ost. Kamury,,,Lâmina D. Ótima Kamura,카무라걸순부,神火傑充能斧,炎火杰盾斧,,,,,,,,نصل كامورا الرائع المشحون,,,,,,,,,,,
62a5e657-e40c-4105-801f-e1ac01c00d20,3685286917,W_ChargeAxe_303_Name,デュークシルト,Duke's Shield,Bouclier du Duc,Scudo ducale,Herzog-Schild,Blindaje ducal,Щит герцога,Tarcza księcia,,,Escudo do Duque,듀크실트,公爵巨盾,公爵之盾,,,,,,,,ترس الدوق,,,,,,,,,,,
737166ee-6f69-4960-8541-33170bd9b25b,896492197,W_ChargeAxe_304_Name,血鷲のアードラ,Bloodeagle Adler,Aigle sanguinaire,Lamaquila Adler,Blutadler,Águila sangrerrapaz,Кровавый орел,Adler Krworła,,,Adler Águia Sangrenta,혈취의 애들러,紅翼之血鷹,血鹰雄雕,,,,,,,,أدلر النسر الدامي,,,,,,,,,,,
acb047bb-a4ba-42b8-ad19-ffed596a4f11,4127182729,W_ChargeAxe_305_Name,ディア＝ルテミア改,Dear Lutemia+,Chère Lutémia +,Lutemia sincera+,Redliche Lutemia+,Cara Lutemia+,Благородная Лютемия+,Droga Lutemia+,,,Querida Lutemia+,디아루테미아+,雌火盾斧改,雌火盾斧・改,,,,,,,,لوتيميا القدير+,,,,,,,,,,,
d67abfb0-dac3-4094-8fcd-66266fabefcd,3792960352,W_ChargeAxe_306_Name,ディア＝ルテミネヴァ,Dear Lutemineva,Chère Lutémineva,Lutemineva sincera,Redliche Lutemineva,Caro Lutemineva,Благородная Лютеминева,Droga Lutemineva,,,Querida Lutemineva,디아루테미네바,究極女王充能斧,女王盾斧,,,,,,,,لوتيمينيفا القدير,,,,,,,,,,,
bb24cdc9-4599-4ad0-945f-cae8e3220e56,2147347555,W_ChargeAxe_307_Name,ディア＝ルテミネヴァ改,Dear Lutemineva+,Chère Lutémineva+,Lutemineva sincera+,Redliche Lutemineva+,Caro Lutemineva+,Благородн. Лютеминева+,Droga Lutemineva+,,,Querida Lutemineva+,디아루테미네바+,究極女王充能斧改,女王盾斧・改,,,,,,,,لوتيمينيفا القدير+,,,,,,,,,,,
b481e427-83bc-4ff1-a9db-a85253610a9b,2752319954,W_ChargeAxe_308_Name,ローゼンリューペー,Rosenrupe,Rosenrupe,Rosenrupe,Rosenrupe,Rosenrupe,Розенрупе,Rosenrupe,,,Rosenrupe,로젠루페,薔薇之痛,蔷薇刺痛,,,,,,,,روزنروب,,,,,,,,,,,
2ba3e042-e74e-4b64-bf88-927e7a31296d,2796075188,W_ChargeAxe_309_Name,ローゼンリューペー改,Rosenrupe+,Rosenrupe+,Rosenrupe+,Rosenrupe+,Rosenrupe+,Розенрупе+,Rosenrupe+,,,Rosenrupe+,로젠루페+,薔薇之痛改,蔷薇刺痛・改,,,,,,,,روزنروب+,,,,,,,,,,,
