guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
c0a0c01e-d92f-4ac6-88a8-96060dd3394a,2668371472,CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> CommonSystemMessage_01
6eeeb3dd-169e-4a76-ba6f-b4ea889bc9cb,3659787997,COMN_SYS_MIX_00,調合するアイテムを選択してください。,Select an item to craft.,Sélectionnez un objet à fabriquer.,Scegli un oggetto da realizzare.,"Wähle ein Objekt, das du herstellen
möchtest.",Elige el objeto que quieres crear.,"Выбрать предмет, который нужно
изготовить.",Wybierz przedmiot do stworzenia.,,,Selecione um item para criar.,조합할 아이템을 선택하십시오.,請選擇要調合的道具。,请选择要调和的道具。,,,,,,,,تحديد العنصر المُراد تصنيعه.,,,,,,,,,,,
b0dbd6ab-67fb-4930-bbb2-bec0a8886d12,1242526646,COMN_SYS_MIX_01,"調合するアイテムを選択してください。
<COL YEL>（素材の調合ができます）</COL>","Select an item to craft.
<COL YEL>(You have the materials to craft this.)</COL>","Sélectionnez un objet à fabriquer.
<COL YEL>(Vous avez les matériaux requis.)</COL>","Scegli un oggetto da realizzare.
<COL YEL>(Hai i materiali necessari
per quest'oggetto.)</COL>","Wähle ein Objekt, das du herstellen
möchtest.
<COL YEL>(Du besitzt alle nötigen Materialien.)</COL>","Elige el objeto que quieres crear.
<COL YEL>(Tienes materiales para crear esto).</COL>","Выбрать предмет, который нужно
изготовить.
<COL YEL>(У вас есть необходимое сырье.)</COL>","Wybierz przedmiot do stworzenia.
<COL YEL>(Masz potrzebne materiały).</COL>",,,"Selecione um item para criar.
<COL YEL>(Você tem os materiais para criar isto)</COL>","조합할 아이템을 선택하십시오.
<COL YEL>(소재를 조합할 수 있습니다)</COL>","請選擇要調合的道具。
<COL YEL>（可調合素材）</COL>","请选择要调和的道具。
<COL YEL>（可进行素材的调和）</COL>",,,,,,,,"تحديد العنصر المُراد تصنيعه.
<COL YEL>(لديك المواد لصنع هذا).</COL>",,,,,,,,,,,
2d330ccc-a833-4b50-9397-070071170d01,3605187013,COMN_SYS_MIX_02,"調合するアイテムを選択してください。
<COL RED>（調合素材が足りません）</COL>","Select an item to craft.
<COL RED>(You don't have enough materials.)</COL>","Sélectionnez un objet à fabriquer.
<COL RED>Vous n'avez pas assez de matériaux.</COL>","Scegli un oggetto da realizzare.
<COL YEL>(Materiali insufficienti.)</COL>","Wähle ein Objekt, das du herstellen
möchtest.
<COL RED>(Du hast nicht genügend Materialien.)</COL>","Elige el objeto que quieres crear.
<COL RED>(No tienes suficientes materiales).</COL>","Выбрать предмет, который нужно
изготовить.
<COL RED>(У вас недостаточно сырья.)</COL>","Wybierz przedmiot do stworzenia.
<COL RED>(Nie masz wystarczająco dużo
materiałów).</COL>",,,"Selecione um item para criar.
<COL RED>(Você não tem materiais suficientes)</COL>","조합할 아이템을 선택하십시오.
<COL RED>(조합 소재가 부족합니다)</COL>","請選擇要調合的道具。
<COL RED>（調合素材不足）</COL>","请选择要调和的道具。
<COL RED>（调和素材不足）</COL>",,,,,,,,"تحديد العنصر لصناعته.
<COL RED>(لا توجد مواد كافية).</COL>",,,,,,,,,,,
25f1bfc7-2b0f-4f16-b013-fd51a4f885f5,2890829721,COMN_SYS_MIX_03,"調合するアイテムを選択してください。
<COL RED>（これ以上持てません）</COL>","Select an item to craft.
<COL RED>(You can't carry any more of these.)</COL>","Sélectionnez un objet à fabriquer.
<COL RED>Vous avez atteint le maximum
pour cet objet.</COL>","Scegli un oggetto da realizzare.
<COL RED>(Numero massimo per tipo raggiunto.)</COL>","Wähle ein Objekt, das du herstellen
möchtest. <COL RED>(Du kannst davon nicht noch
mehr tragen.)</COL>","Elige el objeto que quieres crear.
<COL RED>(No puedes llevar más de este objeto).</COL>","Выбрать предмет, который нужно
изготовить. <COL RED>(У вас максимальное количество
предметов этого типа.)</COL>","Wybierz przedmiot do stworzenia.
<COL RED>(Nie możesz nieść ich więcej).</COL>",,,"Selecione um item para criar.
<COL RED>(Você não pode carregar mais disso)</COL>","조합할 아이템을 선택하십시오.
<COL RED>(더는 가질 수 없습니다)</COL>","請選擇要調合的道具。
<COL RED>（無法持有更多道具）</COL>","请选择要调和的道具。
<COL RED>（无法持有更多）</COL>",,,,,,,,"تحديد العنصر المُراد تصنيعه.
<COL RED>(لا يُمكن حمل المزيد من هذه).</COL>",,,,,,,,,,,
80e21ec5-a81a-4630-b6bf-102a8b797136,890325870,COMN_SYS_MIX_04,"調合するアイテムを選択してください。
<COL RED>（ポーチがいっぱいです）</COL>","Select an item to craft.
<COL RED>(Your item pouch is full.)</COL>","Sélectionnez un objet à fabriquer.
<COL RED>Votre sacoche est pleine.</COL>","Scegli un oggetto da realizzare.
<COL RED>(La borsa oggetti è piena.)</COL>","Wähle ein Objekt, das du herstellen
möchtest.
<COL RED>(Dein Objektbeutel ist voll.)</COL>","Elige el objeto que quieres crear.
<COL RED>(La bolsa de objetos está llena).</COL>","Выбрать предмет, который нужно
изготовить.
<COL RED>(В вашей сумке нет места.)</COL>","Wybierz przedmiot do stworzenia.
<COL RED>(Twoja sakwa na przedmioty jest pełna).</COL>",,,"Selecione um item para criar.
<COL RED>(Sua bolsa de itens está cheia)</COL>","조합할 아이템을 선택하십시오.
<COL RED>(주머니가 가득 찼습니다)</COL>","請選擇要調合的道具。
<COL RED>（道具袋已滿）</COL>","请选择要调和的道具。
<COL RED>（道具袋已满）</COL>",,,,,,,,"تحديد العنصر المُراد تصنيعه.
<COL RED>(حقيبة العناصر ممتلئة).</COL>",,,,,,,,,,,
d98e0801-ca5f-44d3-8629-c247527f4906,3013176820,COMN_SYS_MIX_05,"調合するアイテムを選択してください。
<COL RED>（ＢＯＸがいっぱいです）</COL>","Select an item to craft.
<COL RED>(Your item box is full.)</COL>","Sélectionnez un objet à fabriquer.
<COL RED>Votre coffre est plein.</COL>","Scegli un oggetto da realizzare.
<COL RED>(La cassa oggetti è piena.)</COL>","Wähle ein Objekt, das du herstellen
möchtest.
<COL RED>(Deine Objekttruhe ist voll.)</COL>","Elige el objeto que quieres crear.
<COL RED>(Tu baúl de objetos está lleno).</COL>","Выбрать предмет, который нужно
изготовить.
<COL RED>(В вашем ящике предметов нет места.)</COL>","Wybierz przedmiot do stworzenia.
<COL RED>(Twoja skrzynka na przedmioty
jest pełna).</COL>",,,"Selecione um item para criar.
<COL RED>(Sua caixa de itens está cheia.)</COL>","조합할 아이템을 선택하십시오.
<COL RED>(BOX가 가득 찼습니다)</COL>","請選擇要調合的道具。
<COL RED>（道具箱已滿）</COL>","请选择要调和的道具。
<COL RED>（道具箱已满）</COL>",,,,,,,,"تحديد العنصر المُراد تصنيعه.
<COL RED>(صندوق العناصر ممتلئ).</COL>",,,,,,,,,,,
0edeb3c8-74cd-4911-88cc-11aee7372b5c,3768898367,COMN_SYS_MIX_06,調合を実行します。,Proceed with crafting.,Confirmer la fabrication.,Inizia a creare.,Setze die Herstellung fort.,Procede con la creación.,Приступить к изготовлению.,Zacznij tworzyć.,,,Prosseguir para criar.,조합을 실행합니다.,執行調合。,进行调和。,,,,,,,,مباشرة التصنيع.,,,,,,,,,,,
2291c649-deea-43a8-a7ba-5f69ddf99bb4,3255903686,COMN_SYS_MIX_07,選んだ素材アイテムの調合を実行します。,Craft with the selected materials.,Créer avec les matériaux sélectionnés.,Crea usando i materiali selezionati.,"Beginne die Herstellung mit den
ausgewählten Materialien.",Crea con los materiales seleccionados.,Создать из выбранных материалов.,Stwórz z wybranych materiałów.,,,Criar com os materiais selecionados.,선택한 소재 아이템을 조합합니다.,以選擇的素材道具執行調合。,调和所选择的素材道具。,,,,,,,,التصنيع بالمواد المحددة.,,,,,,,,,,,
ea9bf130-4c48-4eb9-bccc-6ab2608b87a6,2108365437,COMN_SYS_MIX_08,調合を行う個数を選択してください。,Select how many to craft.,Sélectionner le nombre à créer.,Seleziona la quantità da creare.,"Wähle, wie viele du herstellen möchtest.",Selecciona cuántos crear.,Количество изготавливаемых предметов.,"Wybierz, ile chcesz stworzyć.",,,Selecionar quantos deseja criar.,조합할 개수를 선택하십시오.,請選擇要調合的數量。,请选择要调和的个数。,,,,,,,,تحديد العدد المُراد تصنيعه.,,,,,,,,,,,
