guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
4a07ac56-aa73-47aa-8c42-75740b5ba0ac,1954838903,Dango_000_Name,サトウテキ大福,Sweetheart,Cœur tendre,Zuccherino,Liebchen,Amorcito,Прелесть,Sympatia,,,Doçura,설탕 폭탄 찹쌀떡,投擲砂糖大福,糖掷大福,,,,,,,,المحبوب,,,,,,,,,,,
bf42faa4-6b1c-4d58-8165-3d24d46fe8ad,1515561134,Dango_001_Name,秘伝・サトウテキ大福,Secretheart,Cœur fondant,Sorpresa,Geheimliebchen,Corazón secreto,Тайна,Sekret serca,,,Doce Segredo,비전 설탕 폭탄 찹쌀떡,秘傳･投擲砂糖大福,秘传・糖掷大福,,,,,,,,القلب السري,,,,,,,,,,,
f359fae9-daf8-450a-9f59-440c40dc8e61,1588036629,Dango_002_Name,ワザモモ大福,Peach Skill,Pêche,Alla pesca,Pfirsichkunst,De melocotón,Персиковый,Brzoskwinne,,,Pessegábil,서걱서걱 복숭아 찹쌀떡,彈牙蜜桃大福,弹牙桃子大福,,,,,,,,مهارة التبديل,,,,,,,,,,,
cc5f9a0a-a067-445a-82dd-7b0998beaecb,2134846099,Dango_003_Name,ビルドアップル大福,Cool-to-the-Core,Pomme fraîche,Salutare,Allmächtiger Apfel,De manzana,Круто-тесто,Megaluz,,,Gelado até a Alma,벌크업 애플 찹쌀떡,鍛鍊蘋果大福,健身苹果大福,,,,,,,,لطيف حتى النخاع,,,,,,,,,,,
b12ffede-3c5d-4fb7-aead-07f6590ba3ae,2315897718,Dango_004_Name,サイミント大福,Mint-iature,Mini menthe,Minimenta,Minziatur,Mentolado,Мятный мини-данго,Małomiętka,,,Menta-lidade,최면 민트 찹쌀떡,催眠薄荷大福,催眠薄荷大福,,,,,,,,مصغر,,,,,,,,,,,
b97e0b52-917f-4f3d-8348-ba1eba209ed6,3460501781,Dango_005_Name,サクラクラ大福,Dizzybloom,Acidulé,Vertiginoso,Schwindelblüte,Vertiginoso,Ошеломительный,Odurzokwiecie,,,Florezonzo,벚꽃 빙빙 찹쌀떡,目眩櫻花大福,樱花醉大福,,,,,,,,أزهار دوارة,,,,,,,,,,,
1c5f1f4d-e243-453e-b1ac-c2481c71a02d,1093860235,Dango_006_Name,ドッカンキツ大福,Fruitflash,Bombe fruitée,Cuordifrutta,Fruchtschock,Fogonazo,Фруктовый,Błyskowoc,,,Flash Frutado,펑펑 감귤 찹쌀떡,爆炸柑橘大福,炸汁柑橘大福,,,,,,,,وميض الفاكهة,,,,,,,,,,,
4a3814ce-e55b-4a95-b6c7-407514c3a6ac,3532688130,Dango_007_Name,あばれ豆大福,Beansplosion,Haricot,Fagioloso,Bohnität,De judías,Бобо-бах,Fasolplozja,,,Explofeijão,톡톡 콩 찹쌀떡,粗暴豆豆大福,爆豆大福,,,,,,,,انفجار الفاصوليا,,,,,,,,,,,
fe43250c-8d65-4234-9b4d-4111ad26d801,295189345,Dango_008_Name,キレもち,Sharp,Éclair,Rapido,Scharf,Fiero,Острый,Ostrość,,,Afiado,쓱싹떡,銳利麻糬,利落糯米团,,,,,,,,حاد,,,,,,,,,,,
dd0bac30-bd45-4e52-a30f-6b14be923f33,2830649496,Dango_009_Name,バクレツキレもち,Blastslash,Explosion,Fendente,Zischexplosion,Chispas,Взрывной,Ciach-bach,,,Cortexplosivo,폭렬 쓱싹떡,爆裂銳利麻糬,利落爆裂糯米团,,,,,,,,ضربة انفجارية,,,,,,,,,,,
