guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
f9174459-ccb2-432b-ad96-8f331b668bd9,797802751,Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name,<COLOR FF0000>#Rejected#</COLOR> Decorations_None_Name
0b3c8a46-e87c-4834-8395-6b9c6164ec8b,3472164479,Decorations_000_Name,攻撃珠【２】,Attack Jewel 2,Joyau attaque 2,G attacco 2,Angriff-Juwel 2,Joya de ataque 2,Самоцвет атаки 2,Klejnot ataku 2,,,Joia do Ataque 2,공격주【2】,攻擊珠【2】,攻击珠【2】,,,,,,,,حلية الهجوم 2,,,,,,,,,,,
6bc0267c-ae80-48e2-a42b-4297c133631d,469030489,Decorations_001_Name,挑戦珠【２】,Challenger Jewel 2,Joyau témérité 2,G istigatore 2,HerausfordererJwl2,Joya desafiante 2,Самоцвет вызова 2,Klej. prowokat. 2,,,Joia Desafiante 2,도전주【2】,挑戰珠【2】,挑战珠【2】,,,,,,,,حلية المتحدي 2,,,,,,,,,,,
e1ff6dbc-6e5b-4203-acf2-65693f28045c,3661349302,Decorations_002_Name,無傷珠【２】,Flawless Jewel 2,Joyau parfait 2,G forma perfetta 2,Makellos-Juwel 2,Joya del ileso 2,Безупр. самоцвет 2,Klej. perfekcji 2,,,Joia Impecável 2,무결주【2】,無傷珠【2】,无伤珠【2】,,,,,,,,حلية الكمال 2,,,,,,,,,,,
ea4b2593-a339-411b-8fd5-20393c1493e9,2040942296,Decorations_003_Name,逆上珠【２】,Furor Jewel 2,Joyau vengeance 2,G risentimento 2,Furor-Juwel 2,Joya del furor 2,Самоцвет ярости 2,Klej. poruszenia 2,,,Joia do Furor 2,역상주【2】,暴怒珠【2】,逆上珠【2】,,,,,,,,حلية الصياح 2,,,,,,,,,,,
90ad7523-6f55-4c19-8a4e-1a9f4bcc0fca,3383225294,Decorations_004_Name,窮地珠【２】,Crisis Jewel 2,Joyau sauvage 2,G rianimazione 2,Krisen-Juwel 2,Joya de crisis 2,Самоцвет кризиса 2,Klejnot kryzysu 2,,,Joia de Crise 2,궁지주【2】,絕境珠【2】,绝路珠【2】,,,,,,,,حلية الأزمات 2,,,,,,,,,,,
8ab26a16-76ff-4908-b781-4a75e43f6b56,3003358464,Decorations_005_Name,達人珠【２】,Expert Jewel 2,Joyau du maître 2,G occhio critico 2,Experten-Juwel 2,Joya del experto 2,Самоцв. эксперта 2,Klejnot eksperta 2,,,Joia do Perito 2,달인주【2】,達人珠【2】,达人珠【2】,,,,,,,,حلية الخبير 2,,,,,,,,,,,
9e9ad12c-4531-4b12-b09d-15c8d8bca57c,2680129177,Decorations_006_Name,超心珠【２】,Critical Jewel 2,Joyau du berserk 2,G bonus critico 2,Kritisches Juwel 2,Joya crítica 2,Крит. самоцвет 2,Klej. krytyczny 2,,,Joia Crítica 2,초심주【2】,超心珠【2】,超心珠【2】,,,,,,,,حلية الحسم 2,,,,,,,,,,,
0082992a-19fe-4ed3-bb28-a2020a37bb6c,1004579710,Decorations_007_Name,痛撃珠【２】,Tenderizer Jewel 2,Joyau faiblesse 2,G punto debole 2,Aufweich-Juwel 2,Joya ablandadora 2,Сам. размягчения 2,Klej. zmiękcz. 2,,,Joia Atenuadora 2,통격주【2】,痛擊珠【2】,痛击珠【2】,,,,,,,,حلية الاستغلال 2,,,,,,,,,,,
622ad76f-18ee-4300-8be6-9f4e595d0dac,3583530096,Decorations_008_Name,全開珠【２】,Throttle Jewel 2,Joyau occulte 2,G forza latente 2,Vollgas-Juwel 2,Joya del poder 2,Сам. удушения 2,Klej. przyśp. 2,,,Joia Aceleradora 2,전개주【2】,全開珠【2】,全开珠【2】,,,,,,,,حلية الخنق 2,,,,,,,,,,,
671616fe-4338-4d34-a506-3ea3ee2121a2,1180324492,Decorations_009_Name,渾身珠【２】,Mighty Jewel 2,Joy. omnipotence 2,G massima potenza 2,Mächtiges Juwel 2,Joya poderosa 2,Могучий самоцвет 2,Klejnot mocy 2,,,Joia Potente 2,혼신주【2】,渾身珠【2】,浑身珠【2】,,,,,,,,حلية العظيم 2,,,,,,,,,,,
27f1787c-0f71-4c4e-90b5-6f41e8a12aa3,911806476,Decorations_010_Name,属会珠【２】,Crit Element Jewel 2,Joyau chamanisme 2,G critico elem. 2,Krit.Element-Juwel 2,Joya crítica 2,Крит. самоцвет 2,Klej. żyw. kryt. 2,,,Joia Elemento Crít. 2,속회주【2】,屬會珠【2】,属会珠【2】,,,,,,,,حلية عنصر حاسم 2,,,,,,,,,,,
dcd16e29-4722-47c0-991e-f0c1b8cd8c7e,3331682203,Decorations_011_Name,達芸珠【２】,Mastery Jewel 2,Joyau maîtrise 2,G maestria 2,Meisterungsjuwel 2,Joya de maestría 2,Сам. мастерства 2,Klejnot mistrz. 2,,,Joia da Maestria 2,달예주【2】,達藝珠【2】,达艺珠【2】,,,,,,,,حلية السيادة 2,,,,,,,,,,,
140707e5-0dfc-4e7a-8222-cd5ade609443,4289928723,Decorations_012_Name,火炎珠【１】,Blaze Jewel 1,Joyau de feu 1,G attacco fuoco 1,Lohe-Juwel 1,Joya de fuego 1,Самоцвет пламени 1,Klejnot pożogi 1,,,Joia Chama 1,화염주【1】,火炎珠【1】,火炎珠【1】,,,,,,,,حلية اللهيب 1,,,,,,,,,,,
047ebc38-c44d-4e17-8b22-fbf5b975df77,3125597676,Decorations_013_Name,流水珠【１】,Stream Jewel 1,Joyau d'eau 1,G attacco acqua 1,Fluss-Juwel 1,Joya de agua 1,Самоцвет потока 1,Klej. strumienia 1,,,Joia Riacho 1,유수주【1】,流水珠【1】,流水珠【1】,,,,,,,,حلية التيار 1,,,,,,,,,,,
10af3f28-28e2-41f0-b1fe-f59a812d6448,2086731725,Decorations_014_Name,氷結珠【１】,Frost Jewel 1,Joyau de glace 1,G attacco ghiaccio 1,Frost-Juwel 1,Joya de hielo 1,Самоцвет мороза 1,Klejnot mrozu 1,,,Joia Geada 1,빙결주【1】,冰結珠【1】,冰结珠【1】,,,,,,,,حلية الصقيع 1,,,,,,,,,,,
5af97fea-35c3-4cfe-960d-171608501bc9,879686236,Decorations_015_Name,雷光珠【１】,Bolt Jewel 1,Joyau de foudre 1,G attacco tuono 1,Blitz-Juwel 1,Joya de rayo 1,Самоцвет молнии 1,Klejnot gromu 1,,,Joia Relâmpago 1,뇌광주【1】,雷光珠【1】,雷光珠【1】,,,,,,,,حلية الصاعقة 1,,,,,,,,,,,
37714052-abff-4b46-b54c-6bca1c912ce3,3819732744,Decorations_016_Name,破龍珠【１】,Dragon Jewel 1,Joy. tueur drag. 1,G attacco drago 1,Drachen-Juwel 1,Joya de draco 1,Самоцвет дракона 1,Klejnot smoka 1,,,Joia Dragão 1,파룡주【1】,破龍珠【1】,破龙珠【1】,,,,,,,,حلية التنين 1,,,,,,,,,,,
2d46b65d-f847-4998-9a94-b445afe0b7b5,2361579778,Decorations_017_Name,毒珠【１】,Venom Jewel 1,Joyau venin 1,G attacco veleno 1,Gift-Juwel 1,Joya venenosa 1,Самоцвет отравы 1,Klejnot jadu 1,,,Joia Veneno 1,독주【1】,毒珠【1】,毒珠【1】,,,,,,,,حلية السم 1,,,,,,,,,,,
ae305c7d-7761-4ec6-a5df-623499330e08,1633568304,Decorations_018_Name,麻痺珠【２】,Paralyzer Jewel 2,Joyau paralysant 2,G attacco paral. 2,Lähmangriff-Juwel2,Joya paralizante 2,"Сам. ""Парализ-р"" 2",Klejnot paraliżu 2,,,Joia Paralis. 2,마비주【2】,麻痺珠【2】,麻痹珠【2】,,,,,,,,حلية الشلل 2,,,,,,,,,,,
2b2a5465-449c-4e22-a601-0cfcd34a517c,237365665,Decorations_019_Name,睡眠珠【２】,Sleep Jewel 2,Joyau du sommeil 2,G attacco sonno 2,Schlaf-Juwel 2,Joya de sueño 2,Самоцвет сна 2,Klejnot snu 2,,,Joia do Sono 2,수면주【2】,睡眠珠【2】,睡眠珠【2】,,,,,,,,حلية النوم 2,,,,,,,,,,,
e671af42-f8d9-4675-8049-b7cc2c475304,292621842,Decorations_020_Name,爆破珠【２】,Blast Jewel 2,Joyau explosion 2,G attacco scoppio 2,Explosion-Juwel 2,Joya nitro 2,Самоцвет взрыва 2,Klejnot wybuchu 2,,,Joia da Explosão 2,폭파주【2】,爆破珠【2】,爆破珠【2】,,,,,,,,حلية الانفجار 2,,,,,,,,,,,
c39682f5-c4ff-4a2b-9210-bdc5f32e66c3,4033143556,Decorations_021_Name,匠珠【３】,Handicraft Jewel 3,Joyau artisanat 3,G artigiano 3,Handwerk-Juwel 3,Joya de artesanía 3,Самоцвет ремесла 3,Klej. rękodzieła 3,,,Joia Artesanato 3,장인주【3】,匠珠【3】,匠珠【3】,,,,,,,,حلية الحرفية 3,,,,,,,,,,,
