guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
020e7a4e-5c46-4426-82cf-62ce6ee438af,98573676,DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001,<COLOR FF0000>#Rejected#</COLOR> DialogMsg_001
608ca43a-7c69-4814-943c-28a0f5dcf73d,4093263227,DialogMsg_Fa_TrainingArea_001,自宅に行きますか？,Go to your room?,Aller dans votre chambre ?,Recarsi negli alloggi?,Zu deinem Raum gehen?,¿Quieres ir a tu hogar?,Отправиться в комнату?,Przejść do twojego pokoju?,,,Ir para seu quarto?,집으로 이동하시겠습니까?,要前往自家嗎？,是否前往自己家？,,,,,,,,هل تريد الذهاب إلى غرفتك؟,,,,,,,,,,,
a118c990-13b2-4681-b0f9-c06c9257f6ce,4105928711,DialogMsg_Fa_TrainingArea_002,里に行きますか？,Go to the village?,Aller au village ?,Raggiungere il villaggio?,Ins Dorf gehen?,¿Quieres ir a la aldea?,Отправиться в деревню?,Przejść do wioski?,,,Ir para a aldeia?,마을로 이동하시겠습니까?,要前往村莊嗎？,是否前往村庄？,,,,,,,,هل تريد الذهاب إلى القرية؟,,,,,,,,,,,
71646c2a-304b-4ba1-85ce-3bef3e636711,2911055601,DialogMsg_Fa_TrainingArea_003,集会所に行きますか？,Go to the Gathering Hub?,Aller au Grand-Camp ?,Accedere alla base di caccia?,Zur Versammlungsstätte gehen?,¿Quieres ir a la sala de reunión?,Отправиться в Зал собраний?,Przejść do Centrum Zgromadzeń?,,,Ir para a Área de Encontro?,집회소로 이동하시겠습니까?,要前往集會所嗎？,是否前往集会所？,,,,,,,,هل تريد الذهاب إلى مركز التجمع؟,,,,,,,,,,,
23b30af4-7502-4c1e-b0ed-3d368797a35d,2693067778,DialogMsg_Fa_MakaAlchemy_001,"素材と{0}ptsを消費して
護石を錬金します。
よろしいですか？","Use materials and {0} points
to create talismans?","Utiliser des matériaux et {0} points
pour créer des talismans ?","Usare materiali e {0} punti
per creare talismani?","Möchtest du Materialien und {0} Punkte
nutzen, um Talismane herzustellen?","Gastarás materiales y {0} puntos para
crear talismanes. ¿Quieres continuar?","Потратить сырье и {0} очк.
для создания талисманов?","Użyć materiałów i {0} pkt.,
żeby stworzyć talizmany?",,,"Usar materiais e {0} pontos
para criar talismãs?","소재와 {0}pts를 소비해
호석을 연금합니다.
그렇게 하시겠습니까?","消耗素材和{0}pts
進行護石鍊金。
確定嗎？","消耗素材及{0}点数
炼成护石。
是否确定？",,,,,,,,"هل تريد استخدام المواد و{0} من النقاط
لإنشاء التعويذات؟",,,,,,,,,,,
0d5e99a9-b2e9-4553-819b-fdb254d1011b,1241763599,DialogMsg_Fa_MakaAlchemy_002,"マイセットに登録している護石です。
選択しますか？","This talisman is registered in a set.
Proceed?","Ce talisman fait partie d'un ensemble.
Continuer ?","Questo talismano è registrato in un set.
Vuoi procedere?","Dieser Talisman ist in einem Set
registriert. Möchtest du fortfahren?","Este talismán está registrado en un set.
¿Quieres continuar?","Этот талисман зарегистрирован в наборе.
Продолжить?","Ten talizman jest zarejestrowany w
zestawie. Kontynuować?",,,"Este talismã está registrado em um
conjunto. Continuar?","마이 세트에 등록되어 있는 호석입니다.
선택하시겠습니까?","這是登錄在個人組合內的護石。
確定要選擇嗎？","已登记至个人组合的护石。
是否进行选择？",,,,,,,,"هذه التعويذة مسجلة في مجموعة.
هل تريد المتابعة؟",,,,,,,,,,,
fa5906dc-9716-493a-9853-bbe0686452bf,523551073,DialogMsg_Fa_MakaAlchemy_003,"護石と{0}ptsを消費して
護石を錬金します。
よろしいですか？","Use talismans and {0} points
to create talismans?","Utiliser des talismans et {0} points
pour créer des talismans ?","Usare talismani e {0} punti
per creare talismani?","Möchtest du Talismane und {0} Punkte
nutzen, um Talismane herzustellen?","Gastarás talismanes y {0} puntos para
crear talismanes. ¿Quieres continuar?","Потратить талисманы и {0} очк.
для создания талисманов?","Użyć talizmanów i {0} pkt.,
żeby stworzyć talizmany?",,,"Usar talismãs e {0} pontos
para criar talismãs?","호석과 {0}pts를 소비해
호석을 연금합니다.
그렇게 하시겠습니까?","消耗護石和{0}pts
進行護石鍊金。
確定嗎？","消耗护石及{0}点数
炼成护石。
是否确定？",,,,,,,,"هل تريد استخدام التعويذات و{0} من النقاط
لإنشاء التعويذات؟",,,,,,,,,,,
79973393-be78-4934-bc94-dcaec9676eb2,2912995313,DialogMes_col_01,"防具着彩の設定から抜けます。
変更を適用してよろしいですか？","Exiting armor pigment settings.
Do you want to apply the changes?","Vous quittez les paramètres de teinture.
Appliquer les modifications ?","Uscirai dalle impostazioni di colore
dell'armatura. Applicare le modifiche?","Du verlässt die Rüstungsfarben-
Einstellungen. Möchtest du diese
Änderungen anwenden?","Volverás al menú anterior.
¿Quieres que se apliquen los cambios?","Выход из настройки окраски доспеха.
Хотите применить изменения?","Opuszczasz ustawienia barwy pancerza.
Czy chcesz zastosować te zmiany?",,,"Saindo das configurações de cor
da armadura. Quer aplicar as alterações?","방어구의 채색 설정에서 나옵니다.
변경 내용을 적용하시겠습니까?","即將離開防具著色設定。
是否套用變更？","退出设置防具着色。
是否套用变更？",,,,,,,,"جارٍ الخروج من إعدادات طلاء الدرع.
هل تريد تطبيق التغييرات؟",,,,,,,,,,,
c6f3ba89-8e00-4335-a76d-6d88c4ab38b2,1575678119,DialogMes_col_02,"項目の選択に戻ります。
変更を適用してよろしいですか？","Returning to the category selection.
Do you want to apply the changes?","Retour au choix de la catégorie.
Appliquer les modifications ?","Tornerai al menu delle categorie.
Applicare le modifiche?","Rückkehr zur Kategoriewahl. Möchtest
du diese Änderungen anwenden?","Volverás a la selección de categoría.
¿Quieres que se apliquen los cambios?","Возвращение к выбору категории.
Хотите применить изменения?","Wracasz do wyboru kategorii.
Czy chcesz zastosować te zmiany?",,,"Retornando à seleção de categoria.
Quer aplicar as alterações?","항목 선택으로 돌아갑니다.
변경 내용을 적용하시겠습니까?","返回選擇項目。
是否套用變更？","返回选择项目。
是否套用变更？",,,,,,,,"جارٍ العودة إلى الفئة المختارة.
هل تريد تطبيق التغييرات؟",,,,,,,,,,,
2edf64a4-7553-4fa7-856c-1eed8122b51b,1340603589,DialogMes_tento_01,"装備変更により、報酬系スキルは無効、
スタミナの一部は失われます。
変更を適用してよろしいですか？
<COL YEL>（報酬系スキルはクエスト中の再発動不可）</COL>","This will deactivate reward skills and
reduce stamina. Proceed?
<COL YEL>(You will be unable to reactivate reward
skills during this quest.)</COL>","Cela désactive les talents de récompense
et réduit l'endurance. Continuer ?
<COL YEL>(Impossible de réactiver les talents
de récompense durant cette quête.)</COL>","Questo disattiverà le ricompense di
abilità e ridurrà la tua resistenza.
Vuoi procedere?
<COL YEL>(Non potrai più riattivare le ricompense
di abilità per questa missione.)</COL>","Deaktiviert Belohnungs-Fähigkeiten und
reduziert deine Ausdauer. Fortfahren?
<COL YEL>(Belohnungs-Fähigkeiten bleiben während
der gesamten Quest inaktiv.)</COL>","Se desactivarán las habilidades de
recompensa y bajará tu resistencia.
¿Quieres continuar? <COL YEL>(No las podrás
volver a activar durante esta misión).</COL>","Будут отключены наградные навыки и
снижена выносливость. Продолжить?
<COL YEL>(Заново активировать наградные навыки
во время этого задания невозможно).</COL>","Dezaktywuje to umiejętności nagród
i zmniejszy wytrzymałość. Kontynuować?
<COL YEL>(Nie będziesz mógł ponownie aktywować
umiejętności nagród podczas
tego zadania).</COL>",,,"Isso desativará as habilidades de
recompensa e reduzirá a resistência.
Prosseguir? <COL YEL>(Você não poderá reativar
durante esta missão)</COL>","지금 장비로 변경하시면 보수 계열 스킬이
무효화되며 스태미나 일부가 사라집니다.
변경 내용을 적용하시겠습니까?
<COL YEL>(보수 계열 스킬은 퀘스트 중 재발동 불가)</COL>","變更裝備後，報酬類技能將失效，
並失去部分耐力。
是否套用變更？
<COL YEL>（任務中無法再次發動報酬類技能）</COL>","由于变更装备，报酬类技能将失效，
并会失去一部分耐力。
是否套用变更？
<COL YEL>（报酬类技能在任务中不可再次发动）</COL>",,,,,,,,"سيؤدي هذا إلى تعطيل مهارات المكافآت
ويقلل من قوة التحمل. هل تريد المتابعة؟
<COL YEL>(لن تتمكن من إعادة تفعيل مهارات
المكافأة خلال هذه المهمة).</COL>",,,,,,,,,,,
