guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
9bc42879-1041-40a7-a722-1d4e053c7a2d,3762367972,W_DualBlades_000_Explain,"鉄製の双剣。扱いやすさを重視
したシンプルな構造。
双剣の基本となる２本である。","The most basic dual blades
that opt for ease of use
over any sort of style.","Lames doubles rudimentaires
sans style apparent, mais
très simples d'emploi.","Modello base di doppie
lame, che si distingue
per la versatilità.","Einfachste Form der Doppel-
klingen. Einfacher Gebrauch
steht klar im Vordergrund.","Las espadas dobles más
básicas. Para quien prefiere
facilidad de uso ante todo.","Простые двойные клинки.
Их главный козырь — легкость
использования.","Podstawowe bliźniacze
ostrza. Łatwe w użyciu w
dowolnym stylu walki.",,,"Duplas-Lâminas básicas, para
facilidade de manuseio
em qualquer estilo.","철제 쌍검. 편의성을 중시한
심플한 구조. 쌍검의
기본이 되는 두 자루.","鐵製的雙劍。
重視方便上手的簡單構造。
兩把劍是雙劍的基本型式。","铁制的双剑。
构造简单，注重操作的方便性。
这两把是双剑的基本款。",,,,,,,,"أهم الأنصال الثنائية التي
تُفضل سهولة الاستخدام على
أي شكل من أشكال الأناقة.",,,,,,,,,,,
73632253-1b87-4f90-bdbc-389c0436b9c7,1307857705,W_DualBlades_001_Explain,"鉄製の双剣。扱いやすさを重視
したシンプルな構造。
双剣の基本となる２本である。","The most basic dual blades
that opt for ease of use
over any sort of style.","Lames doubles rudimentaires
sans style apparent, mais
très simples d'emploi.","Modello base di doppie
lame, che si distingue
per la versatilità.","Einfachste Form der Doppel-
klingen. Einfacher Gebrauch
steht klar im Vordergrund.","Las espadas dobles más
básicas. Para quien prefiere
facilidad de uso ante todo.","Простые двойные клинки.
Их главный козырь — легкость
использования.","Podstawowe bliźniacze
ostrza. Łatwe w użyciu w
dowolnym stylu walki.",,,"Duplas-Lâminas básicas, para
facilidade de manuseio
em qualquer estilo.","철제 쌍검. 편의성을 중시한
심플한 구조. 쌍검의
기본이 되는 두 자루.","鐵製的雙劍。
重視方便上手的簡單構造。
兩把劍是雙劍的基本型式。","铁制的双剑。
构造简单，注重操作的方便性。
这两把是双剑的基本款。",,,,,,,,"أهم الأنصال الثنائية التي
تُفضل سهولة الاستخدام على
أي شكل من أشكال الأناقة.",,,,,,,,,,,
b0a86723-7df1-43b3-93c1-15706cd0fd48,1193317473,W_DualBlades_002_Explain,"より良質な鉱石を用いた双剣。
扱いやすく、双剣の醍醐味を
味わうには最適。","Dual blades made of rare
ore. Slicier, dicier, and
easier to use than ever!","Plus tranchantes, mais aussi
plus simples à manier !
Base : Dagues jumelles","Doppie lame in minerali
rari. Ancora più affilate,
taglienti e facili da usare!","Doppelklingen aus seltenem
Erz. Schärfer und leichter
zu schwingen als je zuvor!","Dagas hechas de un mineral
raro. ¡Más cortantes y
manejables que nunca!","Два клинка из редкой
руды. Острее них
еще поискать!","Bliźniacze ostrza wykonane
z rzadkiego kruszcu.
Lepiej tną i szatkują.",,,"Duplas-Lâminas feitas de
minério raro. Mais afiadas e
perigosas do que nunca!","보다 양질의 광석으로 만든
쌍검. 다루기 쉬워 쌍검만의
맛을 느끼기에는 최적.","以更優質的礦石製成的雙劍。
由於容易使用，因此最適合
用來體驗雙劍的樂趣。","更高品质矿石打造的双剑。
简单易上手，
最适合用以探索双剑的乐趣。",,,,,,,,"أنصال ثنائية مصنوعة من خام
نادر. باتت أقوى في القطع
والمجازفة وأسهل استخدامًا!",,,,,,,,,,,
c6122332-720d-4f5c-963f-7505fc0f36cb,2523870693,W_DualBlades_003_Explain,"肉を裂くことを徹底して突き
詰め、特異な形状に進化した
双剣。左右でバランスが違う。","Unusually shaped dual blades
designed for rending flesh.
One blade is heavier.","Lames doubles de forme
étrange pour déchiqueter.
Un poids différent par épée.","Doppie lame studiate per
lacerare. Ciascuna ha un
peso diverso.","Ungewöhnlich geformte
Doppelklingen. Die Schwerter
sind unterschiedlich schwer.","Espadas dobles inusualmente
estilizadas para cortar. Una
hoja pesa más que la otra.","Два клинка необычной формы.
Разрывают плоть. Один
клинок тяжелей другого.","Bliźniacze ostrza o dziwnym
kształcie. Jedno ostrze
jest cięższe.",,,"Duplas-Lâminas peculiares,
projetadas para dilacerar.
Uma delas é mais pesada.","철저히 살을 베는 걸 추구하여
특이한 형태로 진화한 쌍검.
좌우 밸런스가 다르다.","徹底鑽研能將肉一刀兩斷的
技術，而進化出的形狀特異的
雙劍。左右兩邊的重量不相等。","始终如一地追求切肉
而进化成特异形状的双剑。
左右两边的重量不等。",,,,,,,,"أنصال ثنائية مُشكّلة بصورة
استثنائية لتمزيق اللحم.
لأن نصلًا واحدًا سيصبح أثقل.",,,,,,,,,,,
68829a6d-ccf4-434d-bc09-c9e563f9789a,210347696,W_DualBlades_004_Explain,"肉を裂くことを徹底して突き
詰め、特異な形状に進化した
双剣。左右でバランスが違う。","Unusually shaped dual blades
designed for rending flesh.
One blade is heavier.","Lames doubles de forme
étrange pour déchiqueter.
Un poids différent par épée.","Doppie lame studiate per
lacerare. Ciascuna ha un
peso diverso.","Ungewöhnlich geformte
Doppelklingen. Die Schwerter
sind unterschiedlich schwer.","Espadas dobles inusualmente
estilizadas para cortar. Una
hoja pesa más que la otra.","Два клинка необычной формы.
Разрывают плоть. Один
клинок тяжелей другого.","Bliźniacze ostrza o dziwnym
kształcie. Jedno ostrze
jest cięższe.",,,"Duplas-Lâminas peculiares,
projetadas para dilacerar.
Uma delas é mais pesada.","철저히 살을 베는 걸 추구하여
특이한 형태로 진화한 쌍검.
좌우 밸런스가 다르다.","徹底鑽研能將肉一刀兩斷的
技術，而進化出的形狀特異的
雙劍。左右兩邊的重量不相等。","始终如一地追求切肉
而进化成特异形状的双剑。
左右两边的重量不等。",,,,,,,,"أنصال ثنائية مُشكّلة بصورة
استثنائية لتمزيق اللحم.
لأن نصلًا واحدًا سيصبح أثقل.",,,,,,,,,,,
be656f62-d320-4eaa-9638-7ab209e005ed,3880147771,W_DualBlades_005_Explain,"竜の堅き鱗を裂くことを目的に
改良された強化型ハリケーン。
竜巻の如き乱舞を可能にする。","The Hurricane's upgrade,
designed to mow through
even the toughest scales.","Conçu pour déchiqueter
les écailles les plus dures.
Base : Ouragan","Potenziamento dell'uragano,
in grado di lacerare anche
le scaglie più coriacee.","Verbesserte Orkane.
Sie fressen sich selbst durch
härteste Schuppenpanzer.","Huracán mejorado.
Diseñado para segar hasta
las escamas más duras.","Улучшение Урагана. Способен
разрубить самые прочные
доспехи.","Ulepszenie Huraganu,
ścina nawet
najtwardsze łuski.",,,"Melhoria de Furacão,
projetada para atravessar
as escamas mais robustas.","용의 비늘을 베기 위해 개량한
강화형 허리케인. 회오리 같은
난무를 할 수 있게 해준다.","以斬裂堅硬龍鱗為目的而改良的
強化型颶風雙劍。能作出
如同龍捲風般的亂舞攻擊。","以斩裂坚硬龙鳞为目的，
改良的强化型飓风。
能使出龙卷风般的乱舞攻击。",,,,,,,,"ترقية الإعصار، الذي
صُمم ليخترق حتى
أشد القشور صلابة.",,,,,,,,,,,
2730a2c8-6941-4580-9d00-92f4a25f8354,424802248,W_DualBlades_006_Explain,"片手用の小斧を、両手に２つ
持って戦う双剣。
一対の斧で、獲物を叩き斬る。","One hatchet by itself is
plenty scary, but with two,
you can really go places!","Une hachette peut effrayer,
alors quand on en brandit
deux... Bonjour les dégâts !","Se una singola accetta è
temibile, è con due che
inizia il vero divertimento!","Ein einzelnes Beil schafft
Möglichkeiten. Ein zweites
Ergebnisse.","Un hacha sola ya da bastante
miedo, ¡así que imagínate lo
que se puede hacer con dos!","И один такой топор выглядит
жутковато, а уж с двумя
вам все дороги открыты!","Już jedna jest straszną
bronią, a dwie to przepustka
w najtrudniejsze rejony!",,,"Uma machadinha incomoda
muita gente, duas incomodam
muito, muito mais!","한 손에 드는 작은 도끼를
양손에 들고 싸우는 쌍검.
한쌍의 도끼로 사냥감을 벤다.","兩手各拿一把單手用的小斧
所形成的雙劍，用成對的斧頭
將獵物斬殺。","两手各拿一把单手用的
小斧所形成的双剑，
用这对斧子砍杀怪物。",,,,,,,,"معول واحد مرعب جدًا في
حد ذاته، لكن ماذا لو استخدمت
معولين، حتمًا ستكتسح بجدارة!",,,,,,,,,,,
10fb9ed0-202b-4cc6-bae3-1b027773d86d,2396911405,W_DualBlades_007_Explain,"片手用の小斧を、両手に２つ
持って戦う双剣。
一対の斧で、獲物を叩き斬る。","One hatchet by itself is
plenty scary, but with two,
you can really go places!","Une hachette peut effrayer,
alors quand on en brandit
deux... Bonjour les dégâts !","Se una singola accetta è
temibile, è con due che
inizia il vero divertimento!","Ein einzelnes Beil schafft
Möglichkeiten. Ein zweites
Ergebnisse.","Un hacha sola ya da bastante
miedo, ¡así que imagínate lo
que se puede hacer con dos!","И один такой топор выглядит
жутковато, а уж с двумя
вам все дороги открыты!","Już jedna jest straszną
bronią, a dwie to przepustka
w najtrudniejsze rejony!",,,"Uma machadinha incomoda
muita gente, duas incomodam
muito, muito mais!","한 손에 드는 작은 도끼를
양손에 들고 싸우는 쌍검.
한쌍의 도끼로 사냥감을 벤다.","兩手各拿一把單手用的小斧
所形成的雙劍，用成對的斧頭
將獵物斬殺。","两手各拿一把单手用的
小斧所形成的双剑，
用这对斧子砍杀怪物。",,,,,,,,"معول واحد مرعب جدًا في
حد ذاته، لكن ماذا لو استخدمت
معولين، حتمًا ستكتسح بجدارة!",,,,,,,,,,,
d8b0b99a-1401-4afc-bcdf-1cfc630d992f,3103112419,W_DualBlades_008_Explain,"デュアルトマホークの強化形。
その一対の斧は、それだけでも
大木を斬り倒せる威力を誇る。","The Dual Hatchets's upgraded
form. One is enough to clear
a forest.","Une seule suffit à
abattre une forêt.
Base : Double hachette","Potenziamento delle accette
doppie. Una sola basta per
abbattere una foresta.","Verbesserte Doppelbeile.
Ein Paar reicht, um ganze
Wälder abzuholzen.","Hachas dobles mejoradas.
Una sola bien podría arrasar
un bosque.","Улучшенная форма двух
топоров. И одного хватит,
чтобы вырубить лес.","Ulepszone bliźniacze
siekiery. Jednym tasakiem
można by wyciąć cały las.",,,"Duplas-Machadinhas
melhoradas. Suficiente para
desmatar uma floresta.","듀얼토마호크의 강화형.
한쌍의 도끼는 거목도
잘라내는 위력을 자랑한다.","雙戰斧的強化型態。
成對的斧頭具有一揮
就將巨木砍倒的威力。","双战斧的强化形态。
那对斧头拥有可以
砍倒大树的威力。",,,,,,,,"شكل المِعول المزدوج الذي
تمت ترقيته. واحد يكفي
لإزالة غابة.",,,,,,,,,,,
9fd3ae65-82f1-4d82-acb9-a9f62f53dcde,3339861060,W_DualBlades_009_Explain,"街を守護する騎士の儀礼用装
備。儀礼用と侮る無かれ、そ
の切っ先は飛竜の甲殻を穿つ。","Dual Blades used as ritual
attire by town guardsmen.
Can pierce wyvern armor.","Servent d'armes d'apparat à
certains gardes. Percent
les wyvernes volantes.","Usate come livrea rituale
dalla guardia cittadina.
Infilzano anche i wyvern.","Rituelle Doppelklingen einer
Stadtwache. Sie durchbrechen
sogar Wyvern-Rüstungen.","Espadas dobles del atuendo
ceremonial del pueblo.
Atraviesan piel de wyvern.","Два клинка, ритуальное
оружие городской стражи.
Пробивают броню виверны.","Bliźniacze ostrza używane
rytualnie przez straż
miejską. Przebiją wiwernę.",,,"Duplas-Lâminas usadas em
rituais por sentinelas.
Perfuram armaduras de serpe.","마을을 지키는 기사의 의전용
장비. 비룡의 갑각도 꿰뚫으니
의전용이라고 무시하지 말라.","守護小鎮的騎士的儀式用裝備。
別因是儀式用就小看它，細劍
的刀尖可以穿透飛龍的甲殼。","小镇守护骑士的仪式装备。
别因是仪式用就小看它，
其刀尖可以穿透飞龙的甲壳。",,,,,,,,"أنصال ثنائية يستخدمها حُراس
مدينة كأداة شعائرية. بإمكانه
خرق درع تنين وايفرين مجنح.",,,,,,,,,,,
