guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
54908ecc-a4c0-4d33-adfb-aab99174d8ac,2984952227,W_DualBlades_300_Explain,"その双剣で狩る姿は、まさに
刃の旋風。災禍を払って希望を
導く、カムラの里の賜物。","Blades that turn you into
a twister of bladed death.
Reward for Kamura's savior.","Parfaites pour créer
un tourbillon mortel !
Base : Dagues Kamura","Lame che annientano con
tagli affilati. Ricompensa
per l'eroe di Kamura.","Mit diesen Klingen wirst du
zum tödlichen Wirbelwind.
Der Lohn für Kamuras Retter.","Unas hojas que te convertirán
en un remolino de cuchillas
letales. ¡Por salvar Kamura!","Орудуя ими, вы орудуете
самой смертью. Награда
для спасителя Камуры.","Zamienią cię w tornado
ostrzy śmierci. Nagroda
dla wybawcy Kamury.",,,"Transforme-se em um tufão
cortante e fatal. Recompensa
para o salvador de Kamura.","그 쌍검을 다루는 모습은
칼날의 폭풍. 재앙을 막고
희망을 부르는 카무라의 보물.","持此雙劍的狩獵之姿，簡直就像
一陣劍刃旋風。是個能驅趕災禍
帶給神火村希望的天賜之物。","手执这对双剑狩猎时，就像是
一道刀刃的旋风。作为炎火村的
产物，能驱逐灾祸，带来希望。",,,,,,,,"نصال تحولك إلى إعصار من
الموت المدجج بالشفرات.
وهي مكافأة لمنقذ كامورا.",,,,,,,,,,,
6a3cc6f6-24ba-4515-973a-5c3d8bc926f4,996316298,W_DualBlades_301_Explain,"その双剣で狩る姿は、まさに
刃の旋風。災禍を払って希望を
導く、カムラの里の賜物。","Blades that turn you into
a twister of bladed death.
Reward for Kamura's savior.","Parfaites pour créer
un tourbillon mortel !
Base : Dagues Kamura","Lame che annientano con
tagli affilati. Ricompensa
per l'eroe di Kamura.","Mit diesen Klingen wirst du
zum tödlichen Wirbelwind.
Der Lohn für Kamuras Retter.","Unas hojas que te convertirán
en un remolino de cuchillas
letales. ¡Por salvar Kamura!","Орудуя ими, вы орудуете
самой смертью. Награда
для спасителя Камуры.","Zamienią cię w tornado
ostrzy śmierci. Nagroda
dla wybawcy Kamury.",,,"Transforme-se em um tufão
cortante e fatal. Recompensa
para o salvador de Kamura.","그 쌍검을 다루는 모습은
칼날의 폭풍. 재앙을 막고
희망을 부르는 카무라의 보물.","持此雙劍的狩獵之姿，簡直就像
一陣劍刃旋風。是個能驅趕災禍
帶給神火村希望的天賜之物。","手执这对双剑狩猎时，就像是
一道刀刃的旋风。作为炎火村的
产物，能驱逐灾祸，带来希望。",,,,,,,,"نصال تحولك إلى إعصار من
الموت المدجج بالشفرات.
وهي مكافأة لمنقذ كامورا.",,,,,,,,,,,
bebe05fb-5a5d-44ae-ab85-405aad1469dc,3478500877,W_DualBlades_302_Explain,"里の英雄への熱い激励の思いが
込められた双剣。並外れた製錬
技術により一片の曇りも無い。","Forged to perfection, these
dual blades dance with the
spirit of a village hero.","De parfaite facture, ces
lames dansent avec l'esprit
d'un héros du village.","Doppie lame, forgiate alla
perfezione, che danzano con lo
spirito dell'eroe del villaggio.","Perfekt geschmiedet tanzen
diese Doppelklingen mit
dem Geist eines Dorfhelden.","Espadas dobles forjadas a la
perfección. Danzan al son
del héroe de la aldea.","Мастерски выкованные, эти
клинки танцуют, подобно
духу героя деревни.","Idealnie wykute bliźniacze
ostrza tańczą z duchem
bohatera wioski.",,,"Perfeitamente forjadas, as
duplas-lâminas dançam com a
alma do herói da aldeia.","영웅을 격려하는 뜨거운
마음이 담긴 쌍검. 뛰어난
기술로 제련해 결점이 없다.","灌注了對村莊英雄的熾熱激勵，
以高超的精煉技術打造的雙劍。
刃身十分完美，沒有一點缺陷。","此双剑蕴含着对村庄英雄的
热情激励。锻造技术尤为高超，
因而没有一丝瑕疵。",,,,,,,,"تم تصميم هذه النصال المزدوجة
لتبدو مثالية، وهي ترقص مع
روح بطل القرية.",,,,,,,,,,,
f3fbfa59-8130-4f2c-827d-45904aac2b70,1654598059,W_DualBlades_303_Explain,"斬れ味鋭い爵銀龍の双剣。
斬り付けた獲物に大量の出血を
もたらし、死に至らしめる。","Chillingly sharp Malzeno
dual blades. Just a few cuts
bring full exsanguination.","Lames doubles Malzeno acérées.
Quelques entailles font couler
le sang abondamment.","Affilatissime doppie lame
Malzeno. Pochi tagli provocano
il dissanguamento totale.","Schaurig scharfe Malzeno-
Doppelklingen. Opfer
verbluten in Windeseile.","Espadas dobles de Malzeno
muy afiladas. Desangran a
cualquiera en pocos cortes.","Холодные и острые двойные
клинки Малзено. Пара
порезов — и выльется кровь.","Morderczo tnące bliźniacze
ostrza Malzeno. Zaledwie
kilka cięć wykrwawi wroga.",,,"Duplas-lâminas friamente
afiadas. Alguns cortes já
causam hemorragia total.","아주 예리한 은작룡의 쌍검.
사냥감에게 대량의 출혈을
유발해 죽음에 이르게 한다.","銳利度極佳的爵銀龍雙劍。
被其刀刃所傷的獵物會
大量出血，最終迎向死亡。","锋利至极的爵银龙双剑。
被其砍到的猎物会大量出血，
终因失血过多而亡。",,,,,,,,"نصال مالزينو المزدوجة
الحادة بشكل مخيف. ستجلب بعض الضربات
القاطعة منها البهجة الكاملة.",,,,,,,,,,,
54d71e23-fb71-4aa9-ac6f-5c7cc7c4ba24,3923923416,W_DualBlades_304_Explain,"血に塗れた狂気の魔剣。斬った
獲物から噴き出す血を吸い、
その刃は一層輝きを増す。","Blood-thirsty evil swords.
They glisten brilliantly in
the spray that they cause.","Épées maléfiques sanglantes.
Scintillent à la lueur des
projections causées.","Spade assetate di sangue.
Luccicano perfide fra gli
schizzi che provocano.","Blutrünstige üble Schwerter.
Sie funkeln prächtig,
während sie Blut versprühen.","Espadas maléficas sedientas
de sangre. Relucen con las
salpicaduras que provocan.","Кровожадные злые мечи.
Блестят в устроенном ими
хаосе.","Żądne krwi miecze zła.
Jasno błyszczą w masakrze,
którą powodują.",,,"Espadas malignas sedentas de
sangue. Brilham de forma
intensa em seu rastro.","피에 젖은 광기의 마검.
사냥감이 흘린 피를 흡수해
그 칼날이 한층 더 빛난다.","染血的瘋狂魔劍。
會吸收劍下獵物濺出之鮮血，
使其鋒刃的光輝更加耀眼。","沾满鲜血的疯狂魔剑。
剑身在吸收猎物喷出的鲜血后，
会变得更加熠熠生辉。",,,,,,,,"سيوف شريرة متعطشة
للدماء. تلمع ببراعة في
رذاذ الدم الذي تسببه.",,,,,,,,,,,
822da34b-659a-4720-b375-6528872bb81f,69673581,W_DualBlades_305_Explain,"研究を重ねることで駆動技術は
より洗練されていった。爆発の
如き破壊力が獲物を切り刻む。","Through much research, the
spinning blades' destructive
power has become explosive.","Ces lames tournantes sont
désormais explosives !
Base : Éventreurs boueux","Con la ricerca, il potere
delle lame rotanti
è diventato esplosivo.","Intensive Forschung konnte
diesen wirbelnden Klingen
Sprengkraft verleihen.","El gran poder destructor de
estas cuchillas giratorias
es gracias a la ciencia.","Эти вращающиеся клинки
были усилены дополнительно.","Dzięki badaniom niszcząca
moc tych wirujących ostrzy
stała się wybuchowa.",,,"Graças a muita pesquisa, o
poder destrutivo das lâminas
giratórias virou explosivo.","연구를 거듭해 구동 기술은
보다 발전됐다. 폭발 같은
파괴력이 사냥감을 베어낸다.","驅動技術經過無數次研究後
得以提升，有如爆炸般的
破壞力能將獵物徹底砍碎。","经过不懈研究，驱动技术愈加
成熟完善。这堪比爆炸的破坏力
能将猎物彻底切开。",,,,,,,,"تُصبح القوة التدميرية
للنصال الدوارة ناسفة بفعل
الكثير من البحث المضني.",,,,,,,,,,,
b19bf7d7-344c-405c-bf2a-e655442f7172,2884065926,W_DualBlades_306_Explain,"研究を重ねることで駆動技術は
より洗練されていった。爆発の
如き破壊力が獲物を切り刻む。","Through much research, the
spinning blades' destructive
power has become explosive.","Ces lames tournantes sont
désormais explosives !
Base : Éventreurs boueux","Con la ricerca, il potere
delle lame rotanti
è diventato esplosivo.","Intensive Forschung konnte
diesen wirbelnden Klingen
Sprengkraft verleihen.","El gran poder destructor de
estas cuchillas giratorias
es gracias a la ciencia.","Эти вращающиеся клинки
были усилены дополнительно.","Dzięki badaniom niszcząca
moc tych wirujących ostrzy
stała się wybuchowa.",,,"Graças a muita pesquisa, o
poder destrutivo das lâminas
giratórias virou explosivo.","연구를 거듭해 구동 기술은
보다 발전됐다. 폭발 같은
파괴력이 사냥감을 베어낸다.","經過無數次研究後，使驅動技術
更加提升，有如爆炸般的破壞力
能將獵物徹底砍碎。","经过不懈研究，驱动技术愈加
成熟完善。这堪比爆炸的破坏力
能将猎物彻底切开。",,,,,,,,"تُصبح القوة التدميرية
للنصال الدوارة ناسفة بفعل
الكثير من البحث المضني.",,,,,,,,,,,
d630fbdb-e711-4d67-9485-7c889d4f3d53,1087516860,W_DualBlades_307_Explain,"複雑な技巧によって磨かれた
駆動技術は、更なる破壊力を
以って対象を細切れに裂く。","Further muddy enhancements
create destructive cutting
power that's beyond belief.","De nouvelles améliorations
ajoutent un tranchant incroyable.
Base : Trancheuses boueuses","Ulteriori modifiche fangose
rendono le lame taglienti
oltre ogni immaginzaione.","Schlammige Verbesserungen
sorgen für eine unglaubliche
Zerstörungskraft.","Con nuevas mejoras de lodo,
que le brindan un cortante poder
destructivo difícil de creer.","Дальнейшие улучшения создают
разрушительную режущую силу.","Dzięki kolejnym błotnym
ulepszeniom mają niebywałą
moc cięcia.",,,"Aprimoramentos mais lama-
centos criam poder cortante
destrutivo inacreditável.","복잡한 기교로 연마된 구동
기술은 더 강력한 파괴력으로
대상을 갈기갈기 찢는다.","驅動技術經複雜技巧處理後
更為提升，能以更強大的
破壞力將對手碎屍萬段。","用复杂的技巧改进的驱动技术，
破坏力更强，能将目标切碎。",,,,,,,,"المزيد من التحسينات الموحلة
تخلق قوة ضربات قاطعة
مدمرة لا يمكن تصديقها.",,,,,,,,,,,
0932a622-cf33-4e31-a04a-959a88451eea,3281962160,W_DualBlades_308_Explain,"美しい円形が特徴的な溶翁竜の
双剣。その輪から放たれる攻撃
は、大地をも削るといわれる。","Gorgeous circular dual
blades. These rings can
split the very ground.","Lames doubles circulaires.
Ces anneaux peuvent fendre
même le sol.","Stupende doppie lame circolari.
I suoi anelli possono tagliare
persino il terreno.","Prachtvolle runde
Doppelklingen, die den
Erdboden aufreißen können.","Magníficas espadas dobles en
forma de aro que pueden partir
la tierra firme en dos.","Роскошные круглые двойные
клинки. Эти кольца способны
резать саму землю.","Olśniewające, okrągłe
bliźniacze ostrza. Te koła
przetną samą ziemię.",,,"Duplas-lâminas deslumbrantes.
Esses círculos partem até
mesmo o chão.","아름다운 원형이 특징인
용옹룡의 쌍검. 그 공격은
대지도 깎아낸다고 한다.","外型為美麗圓形的熔翁龍雙劍。
據說此圓輪釋放的攻擊，
連大地都能削切。","以美丽圆形为特征的熔翁龙
双剑。用那圆轮发出的攻击，
据说能削切大地。",,,,,,,,"نصال مزدوجة دائرية
رائعة. هذه الحلقات يمكن
أن تقسم الأرض.",,,,,,,,,,,
a933b4ef-65fa-4b5e-953d-6e01773f6a40,2485795586,W_DualBlades_309_Explain,"特殊な技術で進化したリ＝Y。
連なる刃は白銀の輪光となり、
あらゆるものを切り刻む。","Upgraded Magma Slicers.
These circular silver blades
slice everything to pieces.","Ces lames circulaires
hachent tout menu.
Base : Trancheuses magma","Tagliamagma potenziate.
Le lame d'argento circolari
fanno tutto a pezzi.","Bessere Magma-Schlitzer.
Die runden Silberklingen
zerstückeln alles.","Mejora de las Cortadoras de
magma. Estas circulares hojas
plateadas lo rebanan todo.","Улучшенные резаки
магмы. Круглые серебряные
клинки режут все на куски.","Ulepszone magmowe majchry.
Okrągłe, srebrne ostrza
tną wszystko na kawałki.",,,"Fatiadora Magma melhorada.
Essas lâminas circulares
prateadas são impiedosas.","특수한 기술로 진화된 리Y.
촘촘한 칼날은 백은빛 고리가
되어 모든 것을 베어낸다.","透過特殊技術獲得進化的熔翁
離溶劍。連綿的刀刃將化為
白銀輪光，切開世間萬物。","采用特殊技术进化的熔离剑。
连在一起的利刃化为银白光环，
能切开世上的一切。",,,,,,,,"شاطِرات الصهارة المطوَّرة.
تمزق هذه النصال الفضية الدائرية
كل شيء إلى أشلاء.",,,,,,,,,,,
