guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
6a4c6a4d-8a04-45c0-9888-8346dee6ee04,497541429,EC_NAME_001_00,回復ミツムシ,Vigorwasp,Vitaguêpe,Vigorvespa,Vitalitätswespe,Melífera vitae,Исцеляющая оса,Wigorosa,,,Vigorespa,회복 꿀벌레,回復蜜蟲,回复蜜虫,,,,,,,,دبّور النوم,,,,,,,,,,,
2821dfc3-d4ef-48b0-9f29-c3fa2f77832c,682748243,EC_NAME_002_00,シビレガスガエル,Paratoad,Paralycrapaud,Pararospo,Lähmkröte,Paralisapo,Парализ. жаба,Pararopucha,,,Paralissapo,마비가스 두꺼비,麻痺瓦斯蛙,麻痹瓦斯蛙,,,,,,,,علجوم الشلل,,,,,,,,,,,
2c07b6d1-b93d-4adb-a6b7-c8f2d7eb3ba4,1332816424,EC_NAME_002_01,ネムリガスガエル,Sleeptoad,Somnicrapaud,Ronforospo,Schlafkröte,Somnosapo,Сонная жаба,Snoropucha,,,Soníssapo,수면가스 두꺼비,睡眠瓦斯蛙,睡眠瓦斯蛙,,,,,,,,علجوم النوم,,,,,,,,,,,
cfb64bdf-31c5-4763-855c-a389e9f61f0a,1309424062,EC_NAME_002_02,ボムガスガエル,Blastoad,Explocrapaud,Scoppiorospo,Knallkröte,Explosapo,Взрывожаба,Wybuchopucha,,,Explossapo,폭탄가스 두꺼비,炸彈瓦斯蛙,爆炸瓦斯蛙,,,,,,,,علجوم الانفجار,,,,,,,,,,,
ae827cf6-0e29-4681-9982-315d90385888,3765404068,EC_NAME_002_03,ドクガスガエル,Poisontoad,Poisoncrapaud,Velerospo,Giftkröte,Saponzoña,Ядожаба,Trutkopucha,,,Venenossapo,독가스 두꺼비,劇毒瓦斯蛙,剧毒瓦斯蛙,,,,,,,,علجوم السم,,,,,,,,,,,
7013fc0f-274f-4a9d-8e10-779d308e075d,2832024952,EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_04
3be50bf2-4561-4df9-b131-073362729d1c,2869764697,EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_002_05
9f97e7fd-5520-4015-9aaf-41013281c696,1666094088,EC_NAME_004_00,提灯オバケムシ,Lanternbug,Lanterninsecte,Lanternisetto,Laternenraupe,Farolbicho,Жук-фонарь,Latarnibak,,,Lampinseto,호롱 유령벌레,提燈妖蟲,提灯妖虫,,,,,,,,حشرة المَوقِد,,,,,,,,,,,
e157f18b-f7ba-4bfe-9621-3842bf908d8e,590440275,EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_004_01
d5a35917-70f3-4b53-97d4-436e897fedc1,3382475092,EC_NAME_005_00,ヌリカメ,Aurortle,Tortaube,Formicorazza,Ameipantex,Hormituga,Зарепаха,Złotożółw,,,Auroruga,개밋둑거북,塗泥陸龜,涂龟,,,,,,,,أورتل,,,,,,,,,,,
