guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
4609f4c4-c81e-4e39-bee8-6389c598bf52,3405582841,EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_00_MR
b1a7e7eb-2be7-4fd0-9c84-c85f35b520bb,3831745698,EC_NAME_056_01_MR,変幻翔蟲・紅,Ruby Wirebug,Filoptère rubis,Insetto filo rubino,Rubinseilkäfer,Cordóptero rubí,Рубиновый Прутожук,Rubinowy kablob.,,,Cabinseto Rubi,변환밧줄벌레-홍,變幻翔蟲･紅,变幻翔虫・红,,,,,,,,حشرة حرير ياقوتية,,,,,,,,,,,
7adc28ff-5adc-4240-a7ca-0fe3029c72eb,2063418815,EC_NAME_056_02_MR,変幻翔蟲・金,Gold Wirebug,Filoptère doré,Insetto filo oro,Goldseilkäfer,Cordóptero dorado,Золотой Прутожук,Złoty kablobak,,,Cabinseto Ouro,변환밧줄벌레-금,變幻翔蟲･金,变幻翔虫・金,,,,,,,,حشرة حرير ذهبية,,,,,,,,,,,
79f8d8d7-5ca4-41fc-bd0b-34a22db52daf,498116058,EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR,<COLOR FF0000>#Rejected#</COLOR> EC_NAME_056_03_MR
f512760a-b62e-446f-8c49-194c067d91e8,2900344013,EC_NAME_050_00_MR,ローゼルフィン,Regalfin,Noblauphin,Delfinobile,Königsflosse,Regiolfín,Цареплавник,Delfin królewski,,,Barbatana Real,로젤핀,瑰冠海豚,王冠海豚,,,,,,,,ريجالفين,,,,,,,,,,,
5e29fcac-0f97-420e-bc58-526880e6c073,2630205941,EC_NAME_051_00_MR,ガーゴルダ,Gargolda,Gargouilleau,Gargoro,Gargolda,Gargolondrina,Гарголда,Gargolda,,,Gargulaureo,가고루다,石魔鳥龍,石像金纹鸟,,,,,,,,جارجولدا,,,,,,,,,,,
0c67dfc2-6d4c-42d2-b182-e2f5acba7900,3023425130,EC_NAME_052_00_MR,セキヘイヒザミ,Slicercrab,Crabachoir,Granchiolama,Schlitzkrabbe,Cuchillangrejo,Резокраб,Ostrokrab,,,Cortanguejo,척탄소라게,石兵寄居蟹,石兵寄居蟹,,,,,,,,سلطعون قاطع,,,,,,,,,,,
61e18dd8-5b01-4611-a089-bb3a3d1b4cc7,2704499033,EC_NAME_053_00_MR,ツラヌキイカ,Spearsquid,Calamaracéré,Calamalancia,Speerqualle,Clavamar,Шипокальмар,Ostrokalmary,,,Lulança,관통오징어,貫通烏賊,穿刺乌贼,,,,,,,,الحبّار ذو الرمح,,,,,,,,,,,
c4a430eb-aeee-4330-aed4-76ffb7b8825f,754404236,EC_NAME_054_00_MR,クイツキガマ,Thornytoad,Crapaud-ventouse,Rospinoso,Stachelkröte,Espinasapo,Колючая жаба,Kolczasta ropucha,,,Rã Espinhenta,흡착두꺼비,吸附蟾蜍,吸附蟾蜍,,,,,,,,الضفدع الشائك,,,,,,,,,,,
83231247-583c-4189-ae33-85b897dd1524,2971026015,EC_NAME_055_00_MR,イロヅキムシ,Starburst Bug,Scarabée-étoile,Insetto stelscoppio,Sternploskäfer,Bicho estallido,Звездный жук,Gwiezdny wybuchorobak,,,Besouro Estelar,발색벌레,著色甲蟲,变色虫,,,,,,,,حشرة نجمية منفجرة,,,,,,,,,,,
