guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
75926cbe-6657-4a4b-b6eb-b8f8b4fc5167,209343676,Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01,<COLOR FF0000>#Rejected#</COLOR> Fa_Gallery_TopMenu_01
7e68058f-e559-435f-9ecd-f7b1630dbaab,881811075,Fa_Gallery_TopMenu_02,ストーリーイベント,Story Cutscenes,Scènes cinématiques,Filmati della storia,Zwischensequenzen,Cinemáticas de la historia,Сюжетные ролики,Przerywniki fabularne,,,Cenas da História,스토리 이벤트,劇情事件,剧情动画,,,,,,,,مشاهد القصة,,,,,,,,,,,
6a14ecb7-b41d-4e80-abb2-fc7e239f0a6f,1113317126,Fa_Gallery_TopMenu_03,モンスター登場,Monster Intros,Intro. des monstres,Presentazioni mostro,Monsterauftritte,Intro. de monstruos,Ролики о монстрах,Wprowadzenia potworów,,,Introduções de Monstros,몬스터 등장,魔物登場,怪物登场,,,,,,,,مقدمة الوحوش,,,,,,,,,,,
df1f8f7f-ba6c-4dd4-8901-6c65a82c5391,3507186557,Fa_Gallery_TopMenu_04,フィールド紹介,Locale Intros,Intro. des zones,Introduzioni luoghi,Ortseinführungen,Introducciones de zonas,Ролики о местах,Wprowadzenia lokalizacji,,,Introduções de Locais,필드 소개,原野介紹,原野介绍,,,,,,,,مقدمة المكان,,,,,,,,,,,
3074f0d5-b8a8-47e1-a608-01e161dbe4fb,1887469332,Fa_Gallery_MovieTitle_01,雌火竜リオレイア,Rathian,Rathian,Rathian,Rathian,Rathian,Ратиана,Rathiana,,,Rathian,자화룡 리오레이아,雌火龍,雌火龙,,,,,,,,راثيان,,,,,,,,,,,
3f5d6fd6-b1ad-4c57-8fe8-e4333449d3f1,1018084475,Fa_Gallery_MovieTitle_02,火竜リオレウス,Rathalos,Rathalos,Rathalos,Rathalos,Rathalos,Раталос,Rathalos,,,Rathalos,화룡 리오레우스,火龍,火龙,,,,,,,,راذالوس,,,,,,,,,,,
638139f1-7c52-4565-b19b-52ad7af95e7f,3569287117,Fa_Gallery_MovieTitle_03,奇怪竜フルフル,Khezu,Khezu,Khezu,Khezu,Khezu,Кезу,Khezu,,,Khezu,기괴룡 푸루푸루,奇怪龍,奇怪龙,,,,,,,,خيزو,,,,,,,,,,,
1345bb00-be21-43c8-bb52-79240fb12af4,4173043248,Fa_Gallery_MovieTitle_04,岩竜バサルモス,Basarios,Basarios,Basarios,Basarios,Basarios,Базариос,Basarios,,,Basarios,암룡 바살모스,岩龍,岩龙,,,,,,,,باساريوس,,,,,,,,,,,
abfe26b5-ac28-4d72-917c-28ccb2ff19be,1836950936,Fa_Gallery_MovieTitle_05,角竜ディアブロス,Diablos,Diablos,Diablos,Diablos,Diablos,Диаблос,Diablos,,,Diablos,각룡 디아블로스,角龍,角龙,,,,,,,,ديابلوس,,,,,,,,,,,
6dba8546-a764-4ed4-8901-61260bf52ff2,2083691119,Fa_Gallery_MovieTitle_06,金獅子ラージャン,Rajang,Rajang,Rajang,Rajang,Rajang,Раянг,Rajang,,,Rajang,금사자 라잔,金獅子,金狮子,,,,,,,,راجانج,,,,,,,,,,,
557cdb96-53d9-424a-94e9-18f7ec780fb1,2062282345,Fa_Gallery_MovieTitle_07,鋼龍クシャルダオラ,Kushala Daora,Kushala Daora,Kushala Daora,Kushala Daora,Kushala Daora,Кушала Даора,Kushala Daora,,,Kushala Daora,강룡 크샬다오라,鋼龍,钢龙,,,,,,,,كوشالا داورا,,,,,,,,,,,
