guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
dcd28db8-d7b0-4913-95d9-6b6ceeb63445,2076831716,DialogMsg_ItemBOX_Myset_PaletteSet_Register_01_MR,"パレットセットの装備情報を
一緒に登録します。よろしいですか？
<COL YEL>（登録しない場合は元の設定を維持します）</COL>","Register radial menu loadout as well?
<COL YEL>(Cancel to maintain original settings.)</COL>","Enregistrer aussi le set du menu radial ?
<COL YEL>(Annuler pour conserver les paramètres
originaux.)</COL>","Registrare anche il set di menu?
<COL YEL>(Annulla per mantenere le impostazioni
originali.)</COL>","Möchtest du das Tortenmenüset auch registrieren?
<COL YEL>(Abbrechen, um Original-Einstellungen
zu behalten.)</COL>","¿Quieres registrar también los sets de
menú radial? <COL YEL>(Cancela para mantener los ajustes
originales).</COL>","Зарегистрировать и раскладку
кругового меню? <COL YEL>(Отмена — сохранить
изначальные настройки).</COL>","Zarejestrować też zestaw menu kołowego?
<COL YEL>(Anuluj, aby zachować oryginalne
ustawienia).</COL>",,,"Registrar Config. do Menu Radial também?
<COL YEL>(Cancele para manter configs. originais)</COL>","팔레트 세트의 장비 정보를
함께 등록합니다. 그렇게 하시겠습니까?
<COL YEL>(등록하지 않으면 기존 설정을 유지합니다)</COL>","將一併登錄快捷盤組合的裝備資訊。
確定嗎？
<COL YEL>（若不登錄，則會維持原來的設定。）</COL>","同时登记轮盘组合的装备信息。
是否确定？
<COL YEL>（不登记时则保持原来的设置）</COL>",,,,,,,,"هل تريد تسجيل إمدادات القائمة الشعاعية أيضًا؟
<COL YEL>(إلغاء للحفاظ على الإعدادات الأصلية.)</COL>",,,,,,,,,,,
3a61e05d-7b7c-4480-9cdc-7129ee3d7a90,1202871212,DialogMsg_ItemBOX_Myset_PaletteSet_Register_02_MR,"今後もパレットセットとマイセット情報の
紐づけをするか、確認しますか？
<COL YEL>（オプションから変更できます）</COL>","Link radial menu loadouts and item
loadouts going forward?
<COL YEL>(You can change this in Options.)</COL>","Associer les sets d'objets et du menu radial ?
<COL YEL>(Paramètre modifiable dans les Options.)</COL>","Collegare e controllare le informazioni
sui set di menu e oggetto d'ora in poi?
<COL YEL>(Puoi modificare da Opzioni.)</COL>","Ab jetzt Tortenmenü- und Objektset-
Informationen verknüpfen und prüfen?
<COL YEL>(Du kannst dies in den Optionen ändern.)</COL>","¿Quieres enlazar la información de sets
de menú y objetos a partir de ahora?
<COL YEL>(Podrás cambiarlo en las opciones).</COL>","Выполнить привязку раскладки кругового
меню и комплекта предметов?
<COL YEL>(Это можно изменить в настройках).</COL>","Chcesz od teraz łączyć
zestawy menu kołowego i przedmiotów?
<COL YEL>(Możesz to zmienić w opcjach).</COL>",,,"Vincular configs. de menu radial e de
item de agora em diante?
<COL YEL>(Você pode mudar isso nas Opções.)</COL>","앞으로도 팔레트 세트와 마이 세트 정보를
연동할지 확인하시겠습니까?
<COL YEL>(옵션에서 변경할 수 있습니다)</COL>","今後仍要詢問是否綁定
快捷盤組合與個人組合資訊嗎？
<COL YEL>（可在選項進行變更）</COL>","以后也需确认是否关联轮盘组合与个人组合？
<COL YEL>（可在选项中变更）</COL>",,,,,,,,"هل تريد ربط إمدادات القائمة الشعاعية، وإمدادات العناصر
من الآن فصاعدًا؟
<COL YEL>(يمكنك تغيير ذلك من الخيارات.)</COL>",,,,,,,,,,,
ab5b6611-e8c6-49b5-979e-2a7cfc1e3ab3,2147170409,DialogMsg_ItemBOX_Myset_PaletteSet_Register_03_MR,はい,Yes,Oui,Sì,Ja,Sí,Да,Tak,,,Sim,예,是,是,,,,,,,,نعم,,,,,,,,,,,
6b40b2c8-01f1-4293-aa32-63048b5a56a5,2916314397,DialogMsg_ItemBOX_Myset_PaletteSet_Register_04_MR,いいえ（毎回登録する）,No (Register Each Time),Non (Enreg. chaque fois),No (Registra ogni volta),Nein (Jedes Mal registr.),No (registrar cada vez),Нет (рег. каждый раз),Nie (rejestruj za każdym razem),,,Não (Registrar cada vez),아니요(매번 등록함),否（總是登錄）,否（每次都登记）,,,,,,,,لا (التسجيل في كل مرة),,,,,,,,,,,
7aad8686-d83f-4263-b7e4-b57ac7631c5e,2646584332,DialogMsg_ItemBOX_Myset_PaletteSet_Register_05_MR,いいえ（毎回登録しない）,No (Don't Register Each Time),Non (Ne pas enr. chaque fois),No (Non registrare ogni volta),Nein (N. jedes Mal rgstr.),No (no registrar cada vez),Нет (не рег. каждый раз),Nie (nie rejestruj za każdym razem),,,Não (Não reg. cada vez),아니요(매번 등록 안 함),否（總是不登錄）,否（每次都不登记）,,,,,,,,لا (عدم التسجيل في كل مرة),,,,,,,,,,,
19da4932-2814-414a-8cc3-a1b567171dea,1804880556,DialogMsg_ItemBOX_Myset_PaletteSet_Set_01_MR,"マイセットの内容に持ち替えます
よろしいですか？
<COL RED>（登録されたパレットセットに変更されます）</COL>","Equip this item loadout?
<COL RED>(The radial menu loadout registered to this item
loadout will be equipped as well.)</COL>","Utiliser ce set ?
<COL RED>(Le set de menu radial lié au set d'objets
sera également équipé.)</COL>","Utilizzare questo set?
<COL RED>(Utilizzerai anche il set di menu registrato.)</COL>","Möchtest du dieses Objektset ausrüsten?
<COL RED>(Das mit diesem Objektset registrierte Torten-
menüset wird dann ebenfalls ausgerüstet.)</COL>","¿Quieres equipar este set de objetos?
<COL RED>(Esta acción cambiará también el set registrado).</COL>","Использовать этот комплект предмета?
<COL RED>(Также будет применена раскладка кругового меню,
привязанная к этому комплекту предмета.)</COL>","Wyekwipować ten zestaw przedmiotów?
<COL RED>(Zestaw menu kołowego zarejestrowany
w tym zestawie również zostanie wyekwipowany).</COL>",,,"Equipar esta configuração de item?
<COL RED>(A config. do menu radial registrada com
esta config. de item também será equipada.)</COL>","마이 세트 내용대로 갖춥니다.
그렇게 하시겠습니까?
<COL RED>（등록된 팔레트 세트로 변경됩니다）</COL>","將更換為個人組合的內容。
確定嗎？
<COL RED>（快捷盤組合將變更成已登錄內容）</COL>","将替换为个人组合的内容。 
是否确定？
<COL RED>（将变更为已登记的为个人组合）</COL>",,,,,,,,"هل تريد استخدام هذه الإمدادات؟
<COL RED>(سيتم استخدام إمدادات القائمة الشعاعية المسجلة
لهذا العنصر أيضًا.)</COL>",,,,,,,,,,,
2216a1a2-c4a9-43ce-b570-4b33f252a33b,2150462671,Fa_ItemBox_MR_ShortcutSetting_SubMenu_01_MR,ショートカット設定,Radial Menu Settings,Paramètres menu radial,Funzionam. scelta rapida,Tortenmenü-Einstellungen,Ajustes del menú radial,Настройки кругового меню,Ustawienia menu kołowego,,,Configs. Menu Radial,숏컷 설정,捷徑設定,设置快捷栏,,,,,,,,إعدادات القائمة الشعاعية,,,,,,,,,,,
eb8b80f5-a63b-4dc6-9217-ebac11f5836e,2266051875,DialogMsg_ItemBOX_Myset_PalletSet_SetArea_01_MR,装備中のパレットセット,Equipped Radial Menu Loadout,Set de menu radial équipé,Set di menu equipaggiato,Ausgerüstetes Tortenmenüset,Set de menú radial equipado,Используемая раскл. круг. меню,Używany zestaw menu kołowego,,,Config. de Menu Radial equip.,장비 중인 팔레트 세트,裝備中的快捷盤組合,装备中的轮盘组合,,,,,,,,إمدادات القائمة الشعاعية المجهزة,,,,,,,,,,,
58abb208-1d91-43a7-ab6f-9349fe5d0c61,3713788047,DialogMsg_ItemBOX_Myset_PalletSet_SetArea_02_MR,パレットセット：クエスト,Radial Menu Loadout (Quest),Set du menu radial (quête),Set di menu (missione),Tortenmenüset: Quest,Set de menú radial (misión),Раскладка круг. меню (задание),Zestaw menu kołowego (zadanie),,,Config. do Menu Radial: Missão,팔레트 세트: 퀘스트,快捷盤組合：任務,轮盘组合：任务,,,,,,,,إمدادات القائمة الشعاعية (المهمة),,,,,,,,,,,
3b313c8d-6598-41f1-b260-8712590b781a,732467807,Fa_ItemBox_Myset_PaletteSet_DefaultName_MR,未登録,Not Registered,Non enregistré,Non registrato,Nicht registriert,No registrado,Пусто,Niezarejestrowany,,,Não registrada,미등록,未登錄,未登记,,,,,,,,غير مسجلة,,,,,,,,,,,
