guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
78684f8e-6753-45d4-a1e4-968cdb24b2a3,157338572,ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01,<COLOR FF0000>#Rejected#</COLOR> ItemBox_SystemMessage_01
8cdfd046-6b4a-4668-9835-2332cfc92c27,2528943852,Fa_ItemBox_System_I_TopMenu_01,"アイテムの入れ替えや調合などを
おこないます。",Manage and craft items.,Gérer et créer de nouveaux objets.,Gestisci e crea oggetti.,Verwalte und fertige Objekte.,Gestiona y crea objetos.,Управлять предметами и создавать их.,Zarządzaj przedmiotami i twórz je.,,,Gerencie e crie itens.,"아이템의 교체나
조합 등을 할 수 있습니다.",進行道具的更換或調合等等。,替换及调和道具。,,,,,,,,إدارة العناصر وصناعتها,,,,,,,,,,,
2468ccd3-7d71-4018-a183-5c9d3f210677,2289562799,Fa_ItemBox_System_I_TopMenu_02,装備の変更や確認などをおこないます。,"Check, change, or sell your equipment.","Voir, changer, ou vendre votre équipement.","Controlla, cambia o vendi il tuo equipaggiamento.",Ändere oder verkaufe Teile deiner Ausrüstung.,"Ve, cambia o vende tu equipamiento.",Проверить и изменить снаряжение.,"Sprawdź, zmień lub sprzedaj swoje wyposażenie.",,,"Verifique, mude ou venda seus equipamentos.","장비의 변경이나
확인 등을 할 수 있습니다.",進行裝備的變更或確認等等。,变更及确认装备。,,,,,,,,افحص أو غيّر أو بعْ معداتك الخاصة.,,,,,,,,,,,
80d1a20d-363e-4177-bdfc-591451430114,3637910219,Fa_ItemBox_System_I_TopMenu_03,装備中の武器種の入れ替え技を設定します。,Adjust the Switch Skill of your equipped weapon.,Ajuster le Talent de substitution de l'arme équipée.,Imposta l'abilità scambio dell'arma equipaggiata.,"Passe die Wechselkunst deiner ausgerüsteten
Waffe an.","Cambia la habilidad intercambiable del arma que
tengas equipada.","Настроить заместительный навык
используемого оружия.","Dostosuj przełączaną umiejętność
broni w wyposażeniu.",,,Ajuste a Habilidade de Troca da sua arma equipada.,장비 중인 무기의 교체 기술을 설정합니다.,設定裝備中武器種類的交換技。,设置装备中的武器种类的替换技。,,,,,,,,تعديل مهارة التبديل في السلاح المُرفق.,,,,,,,,,,,
f81da6e8-667e-437d-aae4-613a839e1cca,944391228,Fa_ItemBox_System_I_TopMenu_04,見た目に関する設定を変更できます。,Adjust different aspects of your appearance.,Changer différents aspects de votre apparence.,Modifica l'aspetto del cacciatore e dell'armatura.,Ändere verschiedene Aspekte deines Aussehens.,Cambia diversos aspectos de tu apariencia.,Изменить настройки внешности.,Zmień ustawienia swojego wyglądu.,,,Ajuste diferentes aspectos da sua aparência.,외모와 관련된 설정을 변경할 수 있습니다.,可變更外觀相關的設定。,可变更与外观有关的设置。,,,,,,,,تعديل الجوانب المختلفة للمظهر.,,,,,,,,,,,
90126c31-bd18-4e46-9048-65d24a933e93,3936411478,Fa_ItemBox_System_I_TopMenu_05,重ね着装備の設定ができます。,Change the appearance of your armor.,Changer votre apparence via des armures.,Cambia l'aspetto della tua armatura.,Ändere das Aussehen deiner Rüstung.,Cambia la apariencia de tu armadura.,Изменить внешний вид своего доспеха.,Zmień wygląd pancerza.,,,Mude a aparência da sua armadura.,덧입는 장비를 설정할 수 있습니다.,可設定外觀裝備。,可设置外观装备。,,,,,,,,تغيير مظهر الدرع.,,,,,,,,,,,
89a3f989-fc52-4c69-9083-5e049864a386,4156577397,Fa_ItemBox_System_I_TopSubMenu_01_01,"アイテムポーチとアイテムＢＯＸの中の
アイテムを入れ替えます。",Swap items between your item pouch and item box.,Déplacer des objets de l'inventaire au coffre.,Scambia oggetti tra la borsa e la cassa oggetti.,"Bewege Objekte zwischen deiner Objekttruhe
und deinem Beutel hin und her.","Intercambia objetos entre tu bolsa y tu baúl de
objetos.","Переместить предметы между сумкой
для предметов и ящиком.",Przenieś przedmioty pomiędzy sakwą a skrzynką.,,,"Transfira itens da sua bolsa de itens para a sua
caixa de itens.","아이템 주머니와 아이템 BOX
아이템을 교체합니다.",更換道具袋和道具箱中的道具。,替换道具袋与道具箱中的道具。,,,,,,,,تبديل العناصر بين حقيبة العناصر وصندوق العناصر.,,,,,,,,,,,
a7dec3c5-86b4-4e33-8313-e77d27c66aa9,3524107980,Fa_ItemBox_System_I_TopSubMenu_01_02,"所持しているアイテムの
確認と売却をおこないます。",Sell items stored in your item box.,Vendre des objets de votre coffre.,Vendi gli oggetti depositati nella cassa oggetti.,Verkaufe Objekte aus deiner Objekttruhe.,Vende objetos de tu baúl de objetos.,Продать предметы из ящика предметов.,Sprzedaj przedmioty przechowywane w skrzynce.,,,Venda itens guardados em sua caixa de itens.,"소지하고 있는 아이템을
확인하거나 매각합니다.",確認、出售持有的道具。,"确认及出售
持有的道具。",,,,,,,,بيع العناصر المخزنة في صندوق العناصر.,,,,,,,,,,,
fee43313-29e6-4016-bb88-2a990ca10071,2516579439,Fa_ItemBox_System_I_TopSubMenu_01_04,"アイテムのマイセット登録、
呼び出しをおこないます。",Manage item loadouts.,Gérer les sets d'objets.,Gestisci set di oggetti.,Verwalte Objektsets.,Gestiona sets de objetos.,Управлять комплектами предметов.,Zarządzaj zestawami przedmiotów.,,,Gerencie configurações de itens.,"아이템 마이 세트를
등록하거나 호출합니다.",登錄、呼叫道具的個人組合。,"将道具登记为个人组合
及进行叫出。",,,,,,,,إدارة إمدادات العناصر.,,,,,,,,,,,
687034ed-0aa6-458b-a30e-c38d6f377cb3,2039632262,Fa_ItemBox_System_I_TopSubMenu_02_01,装備の変更をおこないます。,Change your equipment.,Changer votre équipement.,Cambia il tuo equipaggiamento.,Ändere deine Ausrüstung.,Cambia tu equipamiento.,Сменить снаряжение.,Zmień swoje wyposażenie.,,,Mude seu equipamento.,장비를 변경합니다.,進行裝備的變更。 ,进行装备的变更。,,,,,,,,تغيير المعدات.,,,,,,,,,,,
