guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
1ba9b37b-1f0d-4f58-b839-66f4e2e9f813,2354916339,Fa_MakaAlchemy_TopMenu_01,錬金術・水鏡,Melding—Reflecting Pool,Fusion - Bassin de réflexion,Fusione - Specchio d'acqua,Spiegelndes Becken,Fusión: Charco reflectante,Сплавление — Зеркальный пруд,Wytapianie—Lustro wody,,,Fundição—Espelho d'Água,연금술-수경,鍊金術･水鏡,炼金术・水镜,,,,,,,,خلط: المسبح العاكس,,,,,,,,,,,
4a02ed1e-88a3-4382-b677-8b9db9f279d1,2898190309,Fa_MakaAlchemy_TopMenu_02,錬金術・陽炎,Melding—Haze,Fusion - Brume,Fusione - Foschia,Schleier,Fusión: Bruma,Сплавление — Мгла,Wytapianie—Opary,,,Fundição—Bruma,연금술-양염,鍊金術･陽炎,炼金术・阳炎,,,,,,,,الخلط: الضباب,,,,,,,,,,,
d78ab2b4-ef3e-4023-a073-6b6fba78cb13,3509810122,Fa_MakaAlchemy_TopMenu_03,錬金術・月虹,Melding—Moonbow,Fusion - Arc lunaire,Fusione - Arcobaleno lunare,Mondbogen,Fusión: Arco lunar,Сплавление — Лунная радуга,Wytapianie—Księżycowa tęcza,,,Fundição—Arco-íris Lunar,연금술-월홍,鍊金術･月虹,炼金术・月虹,,,,,,,,الخلط: قوس قزح,,,,,,,,,,,
48e1d545-27fa-41ef-8b58-42e458b12bbd,3206685561,Fa_MakaAlchemy_TopMenu_04,錬金術・幽玄,Melding—Wisp of Mystery,Fusion - Trait de mystère,Fusione - Refolo di mistero,Hauch des Mysteriums,Fusión: Brizna misteriosa,Сплавление — Таинственная дымка,Wytapianie—Smuga Tajemnicy,,,Fundição—Véu de Mistério,연금술-유현,鍊金術･幽玄,炼金术・幽玄,,,,,,,,خلط: جزء من الغموض,,,,,,,,,,,
5e93891c-5d42-4de5-beb6-9157a1020015,3937624206,Fa_MakaAlchemy_TopMenu_05,錬金術・輪廻,Melding—Rebirth,Fusion - Renaissance,Fusione - Rinascita,Wiedergeburt,Fusión: Renacimiento,Сплавление — Перерождение,Wytapianie—Odrodzenie,,,Fundição—Renascimento,연금술-윤회,鍊金術･輪迴,炼金术・轮回,,,,,,,,خلط: إعادة الولادة,,,,,,,,,,,
338a8d47-3c8a-4369-b4e6-9751ceb4c56a,3931184169,Fa_MakaAlchemy_TopMenu_06,護石を受け取る,Take talismans,Récupérer talismans,Ritira talismani,Talismane nehmen,Recibir talismanes,Взять талисманы,Weź talizmany,,,Pegar talismãs,호석 받기,領取護石,领取护石,,,,,,,,أخذ التعاويذ,,,,,,,,,,,
6af7ac14-b961-4cf4-bcc6-53b7a4b41b6f,3811113211,Fa_MakaAlchemy_WindowHead_01,錬金術一覧,Melding List,Liste de fusions,Lista fusioni,Einschmelzliste,Lista de fusión,Список ингредиентов для сплавления,Lista wytapiania,,,Lista de fundição,연금술 목록,鍊金術一覽,炼金术一览,,,,,,,,لائحة الخلط,,,,,,,,,,,
0acd0aea-3fec-400e-9174-6c01dec6bc85,3436385620,Fa_MakaAlchemy_WindowHead_02,錬金結果,Melding Result,Résultat de fusion,Risultato fusione,Einschmelzergebnis,Resultado,Результат сплавления,Efekt wytapiania,,,Fundição—Resultado,연금 결과,鍊金結果,炼金结果,,,,,,,,نتيجة الخلط,,,,,,,,,,,
9c5e19ac-4409-4536-b5cb-2abff35fdd5c,3640202246,Fa_MakaAlchemy_Head_01,錬金術,Melding,Fusion en cours,Fusione,Einschmelzen,Fusión,Сплавление,Wytapianie,,,Fundição,연금술,鍊金術,炼金术,,,,,,,,الخلط,,,,,,,,,,,
7a520fe9-9cca-4f19-9194-cd66b7b2b71c,3152755957,Fa_MakaAlchemy_Head_02,スキル抽選率,Rate of Earning Skills,Vitesse gain compétences,Tasso acquisizione abilità,Fähigkeitserwerbs-Quote,Probabilidad de éxito,Скорость получения навыков,Wskaźnik Przysw. Umiej.,,,Taxa de ganho de hab.,스킬 추첨 확률,技能出現機率,技能抽选率,,,,,,,,معدل اكتساب المهارات,,,,,,,,,,,
2c648072-b477-4405-9272-4739f59c02d1,866513064,Fa_MakaAlchemy_Head_03,残り予約回数,Orders Left,Commandes restantes,Ordini restanti,Restliche Bestellungen,Pedidos restantes,Оставшиеся заказы,Pozostałe zamówienia,,,Pedidos restantes,남은 예약 횟수,剩餘預約次數,剩余预约次数,,,,,,,,الطلبات المتبقية,,,,,,,,,,,
1066bbed-54d1-48dc-8a9f-6d5074ec10e6,50918269,Fa_MakaAlchemy_Head_04,回, , ,Ordini,, Pedidos,Заказы,Zamów.,,,Pedidos,회,次,次,,,,,,,, ,,,,,,,,,,,
b7f88aa3-8797-4a51-ac57-79ef77f4a844,2966893847,Fa_MakaAlchemy_Head_05,必要カムラポイント,Required Points,Points requis,Punti necessari,Nötige Punkte,Puntos necesarios,Необходимые очки,Wymagane punkty,,,Pontos necessários,필요 카무라 포인트,所需神火點數,所需炎火点数,,,,,,,,نقاط مطلوبة,,,,,,,,,,,
5083bab6-9fbe-4a8e-be84-e81ce0bd8494,1066004666,Fa_MakaAlchemy_Head_06,必要錬金素材,Required Materials,Matériaux requis,Materiali necessari,Nötige Materialien,Materiales neces.,Необходимое сырье,Wymagane materiały,,,Mat. necessários,필요 연금 소재,所需鍊金素材,所需炼金素材,,,,,,,,مواد مطلوبة,,,,,,,,,,,
ab17ed79-596d-446b-a126-3166e638675a,175507526,Fa_MakaAlchemy_Head_07,リスト内素材,List Materials,Liste matériaux,Lista materiali,Materialliste,Lista materiales,Список материалов,Lista materiałów,,,Listar materiais,목록 내 소재,清單內素材,列表中的素材,,,,,,,,عدد المواد,,,,,,,,,,,
ba0d7ff3-1ac2-467d-8495-caff0cd79cdd,2236813148,Fa_MakaAlchemy_Head_08,護石,Talisman,Talisman,Talismano,Talisman,Talismán,Талисман,Talizman,,,Talismã,호석,護石,护石,,,,,,,,التعاويذ,,,,,,,,,,,
b8df5c6c-93f2-4ac8-806b-b05966412c37,2848928218,Fa_MakaAlchemy_Head_09,抽選される護石,Potential Talisman(s),Talisman(s) potentiel(s),Talismani potenziali,Mögliche Talismane,Talismán(es) potencial(es),Возможные талисманы,Potencjalne talizmany,,,Talismã(s) potencial(ais),추첨 대상 호석,抽選的護石,抽选的护石,,,,,,,,تعاويذ محتملة,,,,,,,,,,,
8ae1a6c3-ca72-415b-b799-73e4764a8bdb,1904309378,Fa_MakaAlchemy_probability_01,ランダム,Random,Aléatoire,Casuale,Zufällig,Aleatorio,Наудачу,Losowe,,,Aleatória,랜덤,隨機,随机,,,,,,,,عشوائية,,,,,,,,,,,
c747acb4-e05f-477c-9127-945830373795,4035928693,Fa_MakaAlchemy_ExplanationText_01,"スキルを１つ指定し、
モンスターなどの素材を
一定評価値分、納入することで、
護石を１つ錬金します。","Specify one skill, then provide
the required amount of materials
to meld a talisman.","Choisir une compétence, puis fournir
les matériaux requis
pour fusionner un talisman.","Scegli un'abilità e fornisci la quantità
di materiali richiesta per fondere
un talismano.","Gib eine Fähigkeit an und stelle die
nötige Menge an Materialien zum
Verschmelzen eines Talismans bereit.","Elige una habilidad y entrega la cantidad
necesaria de materiales para fusionar un
talismán.","Укажите один навык, затем предоставьте
нужное количество материалов
для сплавления талисмана.","Wyszczególnij jedną umiejętność, a potem
zapewnij wymaganą ilość materiałów,
aby wytopić talizman.",,,"Especifique uma habilidade e então forneça
a quantidade necessária de materiais
para fundir um talismã.","스킬을 하나 지정하고
몬스터 등의 소재를
일정 평가치만큼 넣어
호석을 하나 연금합니다.","指定1項技能，
繳交魔物素材或其他素材
達到一定的評價值後，
鍊金1顆護石。","指定1个技能，
交纳一定评价值的
怪物素材等，
炼成1个护石。",,,,,,,,"تحدد مهارة واحدة ثم توفير
كمية المواد المطلوبة
لدمج التعاويذ.",,,,,,,,,,,
ec11a496-b627-4490-8b4a-87662160b2f7,4054772214,Fa_MakaAlchemy_ExplanationText_02,"モンスターなどの素材を
一定評価値分、納入することで、
護石をいくつか錬金します。","Meld multiple talismans by providing
multiple amounts of the required
materials.","Pour fusionner plusieurs talismans,
fournir plusieurs exemplaires
des matériaux requis.","Fondi più talismani fornendo
diverse unità di materiali richiesti.","Verschmelze mehrere Talismane, indem du
mehrfache Mengen der nötigen Materialien
bereitstellst.","Fusiona varios talismanes con múltiples
cantidades de los materiales necesarios.","Для сплавления нескольких талисманов
предоставьте кратное количество
требуемых материалов.","Wytop wiele talizmanów, zapewniając
więcej wymaganych
materiałów.",,,"Funda vários talismãs fornecendo quantidades
múltiplas de materiais necessários.","몬스터 등의 소재를
일정 평가치만큼 넣어
호석을 몇 개 연금합니다.","繳交魔物素材或其他素材
達到一定的評價值後，
鍊金數顆護石。","交纳一定评价值的
怪物素材等，
炼成数个护石。",,,,,,,,"دمج تعاويذ متعددة بتوفير
كميات متعددة من
المواد المطلوبة.",,,,,,,,,,,
6d8eeb5c-3441-4684-aefa-2f958edae5a0,3167809240,Fa_MakaAlchemy_ExplanationText_03,"護石を一定数納入することで、
護石をいくつか錬金します。","Meld multiple talismans by providing
a certain amount of talismans.","Pour fusionner plusieurs talismans,
fournir une certaine quantité de talismans.","Fondi più talismani fornendo un determinato
numero di talismani.","Verschmelze mehrere Talismane, indem
du eine bestimmte Anzahl an Talismanen
bereitstellst.","Fusiona varios talismanes con múltiples
cantidades de talismanes.","Для сплавления нескольких талисманов
предоставьте нужное количество талисманов.","Wytop wiele talizmanów, zapewniając
określoną liczbę talizmanów.",,,"Funda vários talismãs fornecendo
uma determinada quantidade de talismãs.","호석을 일정 수 넣어
호석을 몇 개 연금합니다.","繳交一定數量的護石後，
鍊金數顆護石。","交纳一定数量的护石，
炼成数个护石。",,,,,,,,"دمج تعاويذ متعدة بتوفير
كمية محددة من التعاويذ.",,,,,,,,,,,
8206eee5-d13b-4b3e-8d07-6c6b466d7035,2870024383,Fa_MakaAlchemy_ExplanationText_04,"錬金が完了しているすべての護石を
受け取ることができます。","You may collect all talismans
that have finished melding.","Vous pouvez récupérer les talismans
fusionnés.","Recupera i talismani che hanno
completato la fusione.","Du kannst alle Talismane abholen,
die schon verschmolzen wurden.",Recoge los talismanes fusionados.,"Вы можете забрать все талисманы,
сплавление которых завершено.","Możesz zabrać wszystkie talizmany,
które zostały wytopione.",,,"Você pode recolher todos os talismãs
ao final da fundição.","연금이 완료된 모든 호석을
받을 수 있습니다.",可領取所有鍊金完成的護石。,"可以领取所有
炼金完成的护石。",,,,,,,,"يُمكن جمع التعاويذ
التي انتهى دمجها.",,,,,,,,,,,
