guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
dfa741ce-6065-4a67-8032-1b10aaa59d42,3219454470,Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_Menu_MR
312d6fbf-afba-4d79-8845-5229a4d9f722,1372835613,Fa_MakaAlchemy_MR_RenkinName_06,錬金術・神気,Melding—Anima,Fusion en cours – Esprit,Fusione: anima,Anima,Fusión: ánima,Сплавление — Анима,Wytapianie – Anima,,,Fundição-Anima,연금술-신기,鍊金術･神氣,炼金术・神气,,,,,,,,الخلط: أنيما,,,,,,,,,,,
9c95fe5b-f9d0-480e-bca7-472d4c652bf1,3091363585,Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07,<COLOR FF0000>#Rejected#</COLOR> Fa_MakaAlchemy_MR_RenkinName_07
dd4b80db-e321-447b-aad8-4d41714a238f,3076938457,Fa_MakaAlchemy_MR_RenkinName_08,錬金術・転生,Melding—Reincarnation,Fusion en cours – Réincarnation,Fusione: reincarnazione,Reinkarnation,Fusión: reencarnación,Сплавление — Реинкарнация,Wytapianie – Reinkarnacja,,,Fundição—Reencarnação,연금술-전생,鍊金術･轉生,炼金术・转生,,,,,,,,الخلط: تناسخ,,,,,,,,,,,
a3040699-d5d5-42f1-a2ae-7a7772b9fbcf,3123738273,Fa_MakaAlchemy_MR_RenkinName_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b33c2162-2888-4df8-9189-175b58ca6bbf,3714187999,Fa_MakaAlchemy_MR_RenkinName_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef5efbf8-70aa-490f-a62d-02e5dab6b884,2353600060,Fa_MakaAlchemy_ExplanationText_MR_01,"<COLS RED>レア度８以上</COL>の護石を
一定数納入することで、
護石をいくつか錬金します。","Meld multiple talismans by providing
a certain number of talismans of a
<COLS RED>rarity of 8 or higher</COL>.","Pour fusionner plusieurs talismans,
fournir une certaine quantité de talismans
d'une <COLS RED>rareté de 8 ou plus</COL>.","Fondi più talismani fornendo un determinato
numero di talismani di <COLS RED>rarità pari a 8 o
superiore</COL>.","Verschmelze mehrere Talismane, indem
du eine bestimmte Anzahl an Talismanen
mit <COLS RED>Seltenheit 8 oder höher</COL> bereitstellst.","Fusiona varios talismanes añadiendo un
número determinado de talismanes de <COLS RED>rareza 8
o superior</COL>.","Для сплавления нескольких талисманов
предоставьте нужное количество талисманов
<COLS RED>редкости 8 или выше</COL>.","Wytop wiele talizmanów, używając
określonej liczby talizmanów
o <COLS RED>rzadkości minimum 8</COL>.",,,"Funda vários talismãs fornecendo um certo
número de talismãs de <COLS RED>raridade 8 ou maior</COL>.","<COLS RED>레어도 8 이상</COL>의 호석을 일정 수 넣어
호석을 몇 개 연금합니다.","繳交一定數量<COLS RED>稀有度8以上</COL>的護石後，
鍊金數顆護石。","交纳一定数量<COLS RED>稀有度8以上</COL>的护石，
炼成数个护石。",,,,,,,,"ادمج تعاويذ متعددة بتوفير
عدد محدد من التعاويذ
<COLS RED>بمستوى الندرة 8 أو أكثر</COL>.",,,,,,,,,,,
1ae5da91-656f-489d-9166-54795b13e62f,2017665768,Fa_MakaAlchemy_ExplanationText_MR_02,"<COLS RED>レア度７以下</COL>の護石を
一定数納入することで、
護石をいくつか錬金します。","Meld multiple talismans by providing
a certain number of talismans of a
<COLS RED>rarity of 7 or lower</COL>.","Pour fusionner plusieurs talismans,
fournir une certaine quantité de talismans
d'une <COLS RED>rareté de 7 ou moins</COL>.","Fondi più talismani fornendo un determinato
numero di talismani di <COLS RED>rarità pari a 7
o inferiore</COL>.","Verschmelze mehrere Talismane, indem
du eine bestimmte Anzahl an Talismanen
mit <COLS RED>Seltenheit 7 oder niedriger</COL> bereitstellst.","Fusiona varios talismanes añadiendo un
número determinado de talismanes de <COLS RED>rareza 7
o inferior</COL>.","Для сплавления нескольких талисманов
предоставьте нужное количество талисманов
<COLS RED>редкости 7 или ниже</COL>.","Wytop wiele talizmanów, używając
określonej liczby talizmanów
o <COLS RED>rzadkości 7 lub niższej</COL>.",,,"Funda vários talismãs fornecendo um certo
número de talismãs de
<COLS RED>raridade 7 ou menor</COL>.","<COLS RED>레어도 7 이하</COL>의 호석을
일정 수 넣어
호석을 몇 개 연금합니다.","繳交一定數量<COLS RED>稀有度7以下</COL>的護石後，
鍊金數顆護石。","交纳一定数量<COLS RED>稀有度7以下</COL>的护石，
炼成数个护石。",,,,,,,,"<LSNR {ادمج} {ادمجي}> تعاويذ متعددة بتوفير
عدد محدد من التعاويذ
<COLS RED>بمستوى الندرة 7 أو أقل</COL>.",,,,,,,,,,,
3f3acdb4-a382-418f-b023-2b23a7bd8e2f,75063980,Fa_MakaAlchemy_MR_RenkinName_11,錬金術・極光,Melding—Aurora,Fusion en cours – Aurora,Fusione: aurora,Verschmelzen – Anima,Fusión: aurora,Сплавление — Аврора,Wytapianie – Aurora,,,Fundição—Aurora,연금술-극광,鍊金術･極光,炼金术・极光,,,,,,,,الخلط: أورورا,,,,,,,,,,,
2a47842c-5d23-46b2-b985-928a7562fbd1,3476048794,Fa_MakaAlchemy_ExplanationText_MR_03,"スキルを１つ指定し、
モンスターなどの素材を
一定評価値分、納入することで、
護石をいくつか錬金します。
<COLS RED>指定したスキルは１００％の確率で抽選します。</COL>","Specify one skill, then provide the required
amount of materials to meld talismans.
<COLS RED>You are guaranteed to receive talismans
with this skill.</COL>","Choisissez un talent, puis fournissez
les matériaux requis pour fusionner
des talismans.
<COLS RED>L'obtention de talismans est garantie
avec ce talent.</COL>","Scegli un'abilità e fornisci la quantità di
materiali richiesta per fondere talismani.
<COLS RED>I talismani sono garantiti con
questa abilità.</COL>","Gib eine Fähigkeit an und stelle die nötige
Menge an Materialien zum Verschmelzen von
Talismanen bereit. <COLS RED>Mit dieser Fähigkeit
erhältst du garantiert Talismane.</COL>","Selecciona una habilidad y proporciona la
cantidad de materiales necesaria para
fusionar talismanes. <COLS RED>Con esta habilidad
tienes garantizado recibir talismanes.</COL>","Укажите один навык, затем предоставьте
нужное количество материалов для сплавления
талисманов.
<COLS RED>Вы гарантированно получите талисманы
с этим навыком.</COL>","Wybierz jedną umiejętność, a potem zapewnij
wymaganą ilość materiałów, aby wytopić
talizmany. <COLS RED>Masz gwarancję otrzymania
talizmanów z tą zdolnością.</COL>",,,"Especifique uma habilidade e então forneça
a quantidade necessária de materiais para
fundir talismãs.
<COLS RED>Você receberá talismãs garantidos
com essa habilidade.</COL>","스킬을 하나 지정하고
몬스터 등의 소재를
일정 평가치만큼 넣어
호석을 몇 개 연금합니다.
<COLS RED>지정한 스킬은 100% 확률로 추첨됩니다.</COL>","指定1項技能，
繳交魔物素材或其他素材
達到一定的評價值後，
鍊金數顆護石。
<COLS RED>必定會出現指定的技能。</COL>","指定1个技能，
交纳一定评价值的
怪物素材等，
炼成数个护石。
<COLS RED>必定能抽选出指定的技能。</COL>",,,,,,,,"حدد مهارة واحدة، ثم وفر كمية
المواد المطلوبة لدمج تعاويذ متعددة.
<COLS RED>يُسمح لك بالحصول
على التعاويذ بهذه المهارة.</COL>",,,,,,,,,,,
