guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
10641cbf-2c67-4259-a9b0-ca8b72435c27,656706932,Fa_OtBoard_TopMenu_01,オトモ選択,Select Buddies,Sélec. Pilpoils,Scegli compagni,Buddys wählen,Elegir camaradas,Выбрать спутников,Wybierz kompanów,,,Seleção de Amigos,동반자 선택,選擇隨從,选择随从,,,,,,,,تحديد الرفاق,,,,,,,,,,,
3dec235b-1a91-49a9-8b52-63d90995bd80,296343661,Fa_OtBoard_TopMenu_02,オトモスキル,Buddy Skills,Talents Pilpoils,Abilità compagno,Buddy-Fähigkeiten,Habilidades camarada,Навыки спутника,Umiejęt. kompanów,,,Habilidades de Amigo,동반자 스킬,隨從技能,随从技能,,,,,,,,مهارات الأصدقاء,,,,,,,,,,,
1fd73152-15f6-4b7b-b71f-8108e4c02e70,3756450864,Fa_OtBoard_TopMenu_03,猟犬具,Palamute Gear,Équipement Chumsky,Equipaggiamento Canyne,Palamute-Rüstzeug,Utillaje Canyne,Снаряжение Паламута,Sprzęt kumpsów,,,Equipamento de Amicão,사냥개 도구,獵犬用具,猎犬具,,,,,,,,عتاد البالاموت,,,,,,,,,,,
9f4cae97-6e60-4510-ab77-8bf2a07b3a0d,3721942833,Fa_OtBoard_TopMenu_04,行動基準,Behavior,Attitude,Azioni,Verhalten,Comportamiento,Поведение,Zachowanie,,,Comportamento,행동 기준,行動準則,行动准则,,,,,,,,السلوك,,,,,,,,,,,
9fde2280-4e74-4c54-8162-ae006ddf6e46,1130475080,Fa_OtBoard_TopMenu_05,装備管理,Manage Equipment,Équipement,Gestisci equipaggiamento,Ausrüstung verwalten,Gestionar equipam.,Организ. снаряжение,Zarządzaj wyposaż.,,,Gerir Equipamento,장비 관리,管理裝備,管理装备,,,,,,,,العناصر والمعدات,,,,,,,,,,,
868bf742-6437-4b9a-a2a2-2558c70553b7,552434098,Fa_OtBoard_TopMenu_06,身だしなみの設定,Appearance Settings,Apparence,Impostazioni aspetto,Aussehen,Apariencia,Настройки внешности,Ustawienia wyglądu,,,Conf. de Aparência,차림새 설정,造型設定,设置造型,,,,,,,,إعدادات المظهر,,,,,,,,,,,
9f094c1b-2dcf-404c-86aa-da0e3af7b6a0,2602673595,Fa_OtBoard_TopMenu_07,重ね着装備の設定,Layered Armor Settings,Armures spéciales,Stile armatura,Dekorrüstungen,Armadura superpuesta,Наст. многосл. досп.,Ust. warstw pancerza,,,Opções Camad. Armad.,덧입는 장비 설정,外觀裝備設定,设置外观装备,,,,,,,,إعدادات درع ذات طبقات,,,,,,,,,,,
0ce6806f-f2ce-4e93-89b8-67d7ee1596f3,2288999349,Fa_OtBoard_TopMenu_08,オトモ解雇,Dismiss Buddy,Renvoyer un Pilpoil,Licenzia compagno,Buddy entlassen,Despedir camarada,Отпустить спутника,Odwołaj kompana,,,Dispensar Amigo,동반자 해고,解雇隨從,解雇随从,,,,,,,,طرد رفيق,,,,,,,,,,,
cce55afd-3fed-499a-a6d3-69fa4c5063ce,3566231474,Fa_OtBoard_SubMenu_EquipManagement_01,装備の変更,Change Equipment,Changer équipement,Cambia equipaggiamento,Ausrüstung ändern,Cambiar equipamiento,Сменить снаряжение,Zmień wyposażenie,,,Mudar Equipamento,장비 변경,變更裝備,变更装备,,,,,,,,تغيير المعدات,,,,,,,,,,,
31a52343-4497-48dc-b796-14474634d0f7,1102820217,Fa_OtBoard_SubMenu_EquipManagement_02,装備の確認・売却,Sell Equipment,Vendre équipement,Vendi equipaggiamento,Ausrüstung verkaufen,Vender equipamiento,Продать снаряжение,Sprzedaj wyposażenie,,,Vender Equipamento,장비 확인/매각,確認、出售裝備,确认/出售装备,,,,,,,,بيع المعدات,,,,,,,,,,,
a931b5e4-bd2d-4095-ad18-4d685b34f12f,626391495,Fa_OtBoard_SubMenu_EquipManagement_03,装備の表示設定,Equipment Display,Affichage équipement,Mostra equipaggiamento,Ausrüstungsanzeige,Ver equipamiento,Отображение снаряж.,Wyświetlacz wypos.,,,Visual de Equip.,장비 표시 설정,裝備顯示設定,装备显示设置,,,,,,,,عرض المعدات,,,,,,,,,,,
1ac115e0-aa64-44fe-831e-2da4880051fb,1523692490,Fa_OtBoard_SubMenu_EquipManagement_04,装備マイセット,Equipment Loadouts,Sets d'équipement,Set equipaggiamento,Ausrüstungssets,Sets de equipamiento,Комплекты снаряжения,Zestawy wyposażenia,,,Config. de Equip.,장비 마이 세트,裝備個人組合,装备个人组合,,,,,,,,مجموعة عتاد المعدات,,,,,,,,,,,
864b7737-8e3c-4aab-b973-4977204b413e,3081693843,Fa_OtBoard_SubMenu_Appearance_01,インナー着彩の設定,Set Clothing Color,Couleur vêtements,Colore vestiti,Kleidungsfarbauswahl,Color de la ropa,Задать цвет одежды,Ustaw kolor ubioru,,,Definir cor da roupa,속옷 채색 설정,更改衣飾著色,变更衣饰着色,,,,,,,,تحديد لون الملابس,,,,,,,,,,,
ef3d194f-90c8-4735-8d71-ab6ec160488c,2602231975,Fa_OtBoard_SubMenu_Appearance_02,防具着彩の設定,Armor Pigment,Pigmentation,Colore armatura,Rüstungsfarbe,Color de la armadura,Окраска доспеха,Barwa pancerza,,,Cor da Armadura,방어구 채색 설정,防具著色設定,设置防具着色,,,,,,,,طلاء الدرع,,,,,,,,,,,
0c29b5a7-b5ec-47e5-b2ce-62ba6b5b252d,2779355399,Fa_OtBoard_SubMenu_OverlapWear_01,重ね着装備の変更,Change Layered Armor,Changer armure spé.,Cambia stile armat.,Dekorrüstung ändern,Cambiar arm. superp.,Смен. многосл. дос.,Zmień pan. warstwowy,,,Mudar Arm. Camadas,덧입는 장비 변경,變更外觀裝備,变更外观装备,,,,,,,,تغيير الدرع ذات طبقات,,,,,,,,,,,
13e54c68-d478-4074-bb48-7566bc34b4d4,2735762453,Fa_OtBoard_SubMenu_OverlapWear_02,重ね着装備着彩の設定,Change Armor Pigment,Changer pigmentation,Cambia colore armat.,Rüstungsfarbe ändern,Cambiar color armadura,Изм. окраску доспеха,Zmień barwę pancerza,,,Alterar Cor Armad.,덧입는 장비 채색 설정,外觀裝備著色設定,设置外观装备着色,,,,,,,,تغيير لون الدرع,,,,,,,,,,,
409517f6-4f49-4bd6-8d6a-02b7437d3aa1,2697819751,Fa_OtBoard_SubMenu_OverlapWear_03,重ね着マイセット,Layered Armor Loadouts,Sets armures spé.,Set stili armatura,Dekorrüstungssets,Sets armad. superp.,Комп. многосл. дос.,Zestawy panc. warst.,,,Config. Arm. em Cam.,덧입는 장비 마이 세트,外觀裝備個人組合,外观装备个人组合,,,,,,,,إمدادات درع ذات طبقات,,,,,,,,,,,
a2ee08cf-4f82-4c59-a8fc-a215b94c689d,566723597,Fa_OtBoard_SortList_01,手動変更,Edit Manually,Modif. manuelle,Modifica manualmente,Manuell bearbeiten,Cambiar manualmente,Изменить вручную,Edytuj ręcznie,,,Editar manualmente,수동 변경,手動變更,手动变更,,,,,,,,التعديل اليدوي,,,,,,,,,,,
8b0c3b4d-28e0-49d1-9731-72cbb5b163c2,1860077179,Fa_OtBoard_SortList_02,状態順,Status,État,Stato,Status,Estado,Статус,Status,,,Status,상태 기준,依狀態排序,状态顺序,,,,,,,,الحالة,,,,,,,,,,,
a56a3e25-5d39-435b-a805-dcdbc5b4d78f,1880301245,Fa_OtBoard_SortList_03,Lv高い順,Descending Level,Niveau décroissant ,Discendente ,Stufe: absteigend ,Nivel descendente,По снижению уровня ,Poziom malejąco ,,,Nível Decrescente ,높은 Lv 기준,依Lv由高至低排序,等级降序,,,,,,,,المستوى: تنازلي,,,,,,,,,,,
638aeae9-54f1-4ae1-9358-048cebdea8b8,2666288403,Fa_OtBoard_SortList_04,Lv低い順,Ascending Level,Niveau croissant,Ascendente,Stufe: aufsteigend,Nivel ascendente,По возраст. уровня,Poziom rosnąco,,,Nível Crescente,낮은 Lv 기준,依Lv由低至高排序,等级升序,,,,,,,,المستوى: تصاعدي,,,,,,,,,,,
68612563-600b-4e59-afe3-500f9776e5c1,1843656723,Fa_OtBoard_SortList_05,サポートタイプ順,Support Type,Type de classe,Tipo di supporto,Unterstützungstyp,Tipo de apoyo,Тип поддержки,Typ wsparcia,,,Tipo de Suporte,서포트 타입 기준,依支援類型排序,支援类型顺序,,,,,,,,نوع الدعم,,,,,,,,,,,
7a919692-b342-4d44-9694-9d09dd096d22,2958785526,Fa_OtBoard_SortList_06,雇用順,Hired,Recrutement,Ingaggio,Angeheuert,Contratación,Нанять,Zatrudnieni,,,Recrutado,고용 기준,依雇用順序排序,雇用顺序,,,,,,,,توظيف,,,,,,,,,,,
1a7e3a7c-ca5d-4a66-af9d-8b0840ae6d48,4079174279,Fa_OtBoard_SortList_07,ソートなし,No Sort Criteria,Pas de critères,Nessun criterio,Keine Kriterien,Sin orden específico,Нет признака сорт.,Bez kryter. sortow.,,,S/ Critério de Ord.,정렬 없음,無排序,无排序,,,,,,,,لا توجد معايير لفرز,,,,,,,,,,,
f3674833-5c3f-422b-bb32-ad3b33eb38f0,2584101042,Fa_OtBoard_K_TopMenu_02,オトモボード,Buddy Board,Tableau Pilpoil,Bacheca compagni,Buddy-Tafel,Tablón de camaradas,Доска спутников,Tablica kompanów,,,Quadro de Amigos,동반자 게시판,隨從看板,随从看板,,,,,,,,لوحة الرفاق,,,,,,,,,,,
9a7024ad-3064-4e32-9281-8621e9eab5fa,632658212,Fa_OtBoard_parts_01,すべてのオトモアイルー,All Palicoes,Tous les Palicos,Tutti i compagni Felyne,Alle Palicos,Todos los Felyne,Все Палико,Wszystkie koleżkoty,,,Todos os Amigatos,모든 동반자 아이루,所有隨從艾路,所有随从艾露猫,,,,,,,,كل الباليكو,,,,,,,,,,,
1ab2a47f-6e94-4077-bf00-48cfc19c872b,2734346519,Fa_OtBoard_parts_02,すべてのオトモガルク,All Palamutes,Tous les Chumskys,Tutti i compagni Canyne,Alle Palamutes,Todos los Canyne,Все Паламуты,Wszystkie kumpsy,,,Todos os Amicães,모든 동반자 가루크,所有隨從加爾克,所有随从牙猎犬,,,,,,,,كل البالاموت,,,,,,,,,,,
a401e801-c27b-4931-bbf7-230b5fc1e030,2728894571,Fa_OtBoard_parts_03,猟犬具一覧,Palamute Gear,Équipement Chumsky,Equipaggiamento Canyne,Palamute-Rüstzeug,Utillaje Canyne,Снаряжение Паламута,Sprzęt kumpsów,,,Equipamento de Amicão,사냥개 도구 목록,獵犬用具一覽,猎犬具一览,,,,,,,,عتاد البالاموت,,,,,,,,,,,
a1196c6b-e196-44c9-9861-13eac0d67161,4088194112,Fa_OtBoard_parts_04,オトモ装備ＢＯＸ,Buddy Equipment Box,Coffre Pilpoil,Cassa equipag. compagno,Buddy-Ausrüstungstruhe,Baúl equipam. camaradas,Ящик снаряжения спутника,Skrz. na wypos. kompana,,,Caixa de Equip. de Amigo,동반자 장비 BOX,隨從裝備箱,随从装备箱,,,,,,,,صندوق معدات الرفيق,,,,,,,,,,,
