guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
5e1c9860-03ed-4351-838f-326ee9252f31,1242755172,Fa_OtBoard_System_TopMenu_01,"クエストに連れて行く
オトモを選択します。","Select which Buddies will accompany you
on a quest.","Sélectionner les Pilpoils qui vous accompagneront
durant une quête.","Scegli i compagni che ti accompagneranno
in missione.","Wähle, welche Buddys dich bei einer Quest
begleiten.",Elige qué camaradas quieres que te acompañen de misión.,Выбрать спутников.,"Wybierz kompanów, którzy będą ci towarzyszyć
podczas zadania.",,,Selecione quais Amigos vão com você em uma missão.,"퀘스트에 데려갈
동반자를 선택합니다.","選擇要帶去
進行任務的隨從。",选择带去进行任务的随从。,,,,,,,,"حدّد أي
الرفاق سيصحبونك في المهمة.",,,,,,,,,,,
6c7e48bd-eeae-4066-a214-a51e72539b6c,3495908699,Fa_OtBoard_System_TopMenu_02,"オトモが修得している
オトモスキルの付け替えをおこないます。",Edit Buddy Skills.,Modifier les Talents des Pilpoils.,Modifica le abilità compagno.,Bearbeite Buddy-Fähigkeiten.,Edita las habilidades del camarada.,Изменить навыки спутника.,Zmień umiejętności kompana.,,,Editar habilidades de amigo.,"동반자가 가지고 있는
동반자 스킬을 교체합니다.","更換隨從已習得的
隨從技能。",更换随从习得的随从技能。,,,,,,,,تعديل مهارات الرفاق.,,,,,,,,,,,
34fa8879-8a76-4a87-8109-3079029fbff8,946632930,Fa_OtBoard_System_TopMenu_03,オトモガルクの猟犬具を変更します。,Edit Palamute Gear.,Changer les accessoires Chumsky.,Modifica l'equipaggiamento del compagno Canyne.,Bearbeite Palamute-Rüstzeug.,Cambia el utillaje Canyne.,Изменить снаряжение Паламута.,Edytuj sprzęt kumpsa.,,,Edite equipamentos de Amicão.,"동반자 가루크의
사냥개 도구를 변경합니다.",變更隨從加爾克的獵犬用具。,变更随从牙猎犬的猎犬具。,,,,,,,,تعديل أدوات بالاموت.,,,,,,,,,,,
208ee857-7feb-40b8-a38c-767c7577fc65,1429882767,Fa_OtBoard_System_TopMenu_04,オトモの行動基準を決めます。,Choose your Buddies' behavior.,Choisir l'attitude de vos Pilpoils.,Imposta le azioni dei compagni.,Wähle das Verhalten deines Buddys.,Elige el comportamiento de tus camaradas.,Выбрать поведение ваших спутников.,Wybierz zachowanie swoich kompanów.,,,Escolha o comportamento dos seus Amigos.,동반자 행동 기준을 결정합니다.,決定隨從的行動準則。,决定随从的行动准则。,,,,,,,,اختر تصرفات رفيقك.,,,,,,,,,,,
d0383c2d-e672-4d9c-9dba-b6f9982a3f27,3710865077,Fa_OtBoard_System_TopMenu_05,装備の変更や確認などをおこないます。,"Check, change, or sell your Buddies' equipment.","Voir, changer, ou vendre les équipements Pilpoils.","Controlla, cambia o vendi l'equipaggiamento
dei compagni.","Prüfe, ändere oder verkaufe die Ausrüstung deiner
Buddys.","Ve, cambia o vende el equipo de tus camaradas.",Проверить и изменить снаряжение ваших спутников.,"Sprawdź, zmień lub sprzedaj wyposażenie kompanów.",,,"Veja, mude ou venda seus equipamentos de Amigos.",장비의 변경이나 확인 등을 할 수 있습니다.,進行裝備的變更或確認等等。,变更及确认装备。,,,,,,,,افحص أو غيّر أو بعْ معدات رفاقك الخاصة.,,,,,,,,,,,
5b179ae9-c0b1-47ef-b8a9-01e0a749f05f,2982024946,Fa_OtBoard_System_SubMenu_01,オトモの装備を変更します。,Change your Buddies' equipment.,Changer l'équipement des Pilpoils.,Modifica l'equipaggiamento dei compagni.,Prüfe die Ausrüstung deiner Buddys.,Cambia el equipamiento del camarada.,Изменить снаряжение спутников.,Zmień wyposażenie swoich kompanów.,,,Mude o equipamento dos seus Amigos.,동반자 장비를 변경합니다.,變更隨從的裝備。,变更随从的装备。,,,,,,,,غيّر معدات رفاقك.,,,,,,,,,,,
caa15a74-69b0-49b3-9ecf-98a8675edd5f,2751261420,Fa_OtBoard_System_SubMenu_02,"所持している装備の
確認と売却をおこないます。",Sell equipment stored in your equipment box.,Vendre des équipements de votre coffre.,"Vendi l'equipaggiamento depositato
nella cassa equipaggiamento.",Verkaufe Ausrüstung aus deiner Ausrüstungstruhe.,"Vende equipamiento almacenado en tu baúl de
equipamiento.","Продать снаряжение, которое хранится
в ящике снаряжения.",Sprzedaj wyposażenie w skrzynce.,,,"Venda os equipamentos armazenados
em sua caixa de equipamentos.","소지하고 있는 장비를
확인하거나 매각합니다.",確認、出售持有的裝備。,"确认及出售
持有的装备。",,,,,,,,بِع المعدات المخزنة في صندوق المعدات.,,,,,,,,,,,
a206befa-0232-4db4-86c6-9f1a10d9d1ed,3356113056,Fa_OtBoard_System_SubMenu_03,"装備のマイセット登録、
呼び出しをおこないます。",Manage equipment loadouts.,Gérer les sets d'équipement.,Gestisci set equipaggiamento.,Verwalte Ausrüstungssets.,Gestiona sets de equipamiento.,Организовать комплекты снаряжения.,Zarządzaj zestawami wyposażenia.,,,Gerencie configurações de equipamento.,"장비 마이 세트를
등록하거나 호출합니다.",登錄、呼叫裝備個人組合。,登记、叫出装备的个人组合。,,,,,,,,إدارة مجموعة عتاد المعدات.,,,,,,,,,,,
d3f26cfc-7098-483e-b516-e93716f1c3e9,3368940852,Fa_OtBoard_System_TopMenu_06,見た目に関する設定を変更できます。,Adjust different aspects of Buddies' appearances.,"Changer différents aspects de l'apparence de
vos Pilpoils.",Modifica l'aspetto dei compagni.,"Ändere verschiedene Aspekte des Aussehens deiner
Buddys.","Cambia diversos aspectos de la apariencia de tus
camaradas.",Настроить различные детали внешности спутников.,Zmień ustawienia wyglądu swoich kompanów.,,,"Ajuste diferentes aspectos da
aparência dos seus Amigos.",외모와 관련된 설정을 변경할 수 있습니다.,可變更外觀相關的設定。,可变更与外观有关的设置。,,,,,,,,اضبط الجوانب المختلفة لمظاهر رفاقك.,,,,,,,,,,,
33abf64e-1fac-45ed-a582-826da3e1de70,733440712,Fa_OtBoard_System_SubMenu_04,オトモのインナーのカラーを変更できます。,Change the colors of your Buddies' clothing.,"Changer les couleurs des vêtements
de vos Pilpoils.",Imposta il colore dei vestiti dei compagni.,Ändere die Farbe der Kleidung deiner Buddys.,Cambia los colores de la ropa de tus camaradas.,Изменить цвет одежды ваших спутников.,Zmień kolor ubrania swoich kompanów.,,,"Altere a cor das roupas
dos seus Amigos.",동반자의 속옷 색상을 변경할 수 있습니다.,可變更隨從的衣飾配色。,可变更随从的衣饰颜色。,,,,,,,,غيّر ألوان ملابس رفاقك.,,,,,,,,,,,
3d1699ce-e1da-4327-9325-7e942b8333ab,2984189166,Fa_OtBoard_System_SubMenu_05,"防具のカラーを変更できます。
<COL YEL>（カラーの変更に対応した防具を
　装備していないと変更できません）</COL>","Adjust the colors of your Buddies' armor.
<COL YEL>(Your Buddy needs to have armor
equipped that supports this feature.)</COL>","Changer les couleurs de l'amure de vos Pilpoils.
<COL YEL>(Votre Pilpoil doit porter une armure
supportant cette fonctionnalité.)</COL>","Personalizza il colore dell'armatura dei compagni.
<COL YEL>(Il compagno deve essere equipaggiato con
un'armatura che sopporta questa funzione.)</COL>","Passe die Farben der Rüstung deiner Buddys an.
<COL YEL>(Dein Buddy muss mit Rüstung ausgerüstet sein, die
diese Funktion unterstützt.)</COL>","Cambia los colores de la armadura de tu camarada.
<COL YEL>(Debe tener una armadura equipada que pueda
cambiarse de color).</COL>","Настроить цвета доспеха для спутника.
<COL YEL>(На спутнике должен быть надет доспех,
поддерживающий такую возможность.)</COL>","Dostosuj kolory pancerza swoich
kompanów. <COL YEL>(Kompan musi używać pancerza, który
to umożliwia).</COL>",,,"Ajuste as cores da armadura dos seus amigos.
<COL YEL>(Seu Amigo precisa ter uma armadura equipada
que suporte este recurso.)</COL>","방어구 색상을 변경할 수 있습니다.
<COL YEL>(색상을 변경할 수 있는 방어구를
 장비 중이어야 합니다)</COL>","可變更防具的配色。
<COL YEL>（需裝備能變更配色的防具）</COL>","可变更防具的颜色。
<COL YEL>（需装备支持变更颜色的防具）</COL>",,,,,,,,"اضبط ألوان دروع رفاقك.
<COL YEL>(يجب أن يكون رفيقك مزودًا بدرع
داعمة لهذه الميزة).</COL>",,,,,,,,,,,
368e0773-b269-446d-8e92-07f94efc8314,430532380,Fa_OtBoard_System_TopMenu_07,重ね着装備の設定ができます。,Change the appearance of your Buddies' armor.,"Changer l'apparence de vos Pilpoils via
des armures spéciales.",Cambia l'aspetto dell'armatura dei compagni.,Ändere das Aussehen der Rüstung deiner Buddys.,"Cambia la apariencia de la armadura de tus
camaradas.",Изменить внешний вид доспехов ваших спутников.,Zmień wygląd pancerza swoich kompanów.,,,Mude a aparência da armadura dos seus Amigos.,덧입는 장비를 설정할 수 있습니다.,可設定外觀裝備。,可设置外观装备。,,,,,,,,غيّر شكل درع رفاقك.,,,,,,,,,,,
9c4295fb-1ba8-4eea-b6fc-95f916328041,3035726915,Fa_OtBoard_System_SubMenu_06,重ね着装備の変更ができます。,Select layered armor to equip.,Sélectionner l'armure spéciale à équiper.,Scegli uno stile armatura da equipaggiare.,"Wähle Dekorrüstung, die du ausrüsten möchtest.",Elige qué armadura superpuesta quieres equipar.,"Выбрать многослойный доспех,
который хотите надеть.",Wybierz pancerz warstwowy do założenia.,,,Selecione uma armadura em camadas para equipar.,덧입는 장비를 변경할 수 있습니다.,可變更外觀裝備。,可变更外观装备。,,,,,,,,حدّد درعًا متعددة المستويات للتزود به.,,,,,,,,,,,
55a528a8-3d7d-4f61-afa3-eb1224ea6602,2943762602,Fa_OtBoard_System_SubMenu_07,"重ね着装備のカラーを変更できます。
<COL YEL>（カラーの変更に対応した防具を
　装備していないと変更できません）</COL>","Adjust the color of your Buddies' layered armor.
<COL YEL>(Your Buddy needs to have layered armor
equipped that supports this feature.)</COL>","Changer la couleur de l'armure spéciale de vos
Pilpoils. <COL YEL>(Votre Pilpoil doit porter une armure
spéciale supportant cette fonctionnalité.)</COL>","Personalizza il colore dello stile armatura dei
compagni. <COL YEL>(Il compagno dev'essere equipaggiato con
uno stile armatura che sopporta questa funzione.)</COL>","Passe die Farbe der Dekorrüstung deiner Buddys an.
<COL YEL>(Dein Buddy muss mit Dekorrüstung ausgerüstet
sein, die diese Funktion unterstützt.)</COL>","Cambia el color de la armadura superpuesta de tu
camarada. <COL YEL>(Debe tener una armadura superpuesta
equipada que pueda cambiarse de color).</COL>","Настроить цвета многосл. доспеха для спутника.
<COL YEL>(На спутнике должен быть надет многосл. доспех,
поддерживающий такую возможность.)</COL>","Dostosuj kolor pancerza warstwowego swoich
kompanów. <COL YEL>(Kompan musi używać pancerza
warstwowego, który to umożliwia).</COL>",,,"Ajuste a cor da arm. em camadas dos seus amigos.
<COL YEL>(Seu Amigo precisa ter uma arm. em camadas
equipada que suporte este recurso.)</COL>","덧입는 장비의 색상을 변경할 수 있습니다.
<COL YEL>(색상을 변경할 수 있는 방어구를
 장비 중이어야 합니다)</COL>","可變更外觀裝備的配色。
<COL YEL>（需裝備能變更配色的防具）</COL>","可变更外观装备的颜色。
<COL YEL>（需装备支持变更颜色的防具）</COL>",,,,,,,,"اضبط لون درع رفاقك
متعددة المستويات.<COL YEL>(يجب أن يكون رفيقك
مزودًا بدرع متعددة المستويات داعمة لهذه الميزة).</COL>",,,,,,,,,,,
03bfb231-d35e-4d5c-acd7-e2918643198b,3430134104,Fa_OtBoard_System_SubMenu_08,"重ね着装備のマイセット登録、
呼び出しをおこないます。",Manage layered armor loadouts.,Gérer les sets d'armures spéciales.,Gestisci set stili armatura.,Verwalte Dekorrüstungssets.,Gestiona los sets de armadura superpuesta.,Управлять комплектами многослойного доспеха.,Zarządzaj zestawami pancerza warstwowego.,,,Gerencie configurações de armadura em camadas.,"덧입는 장비 마이 세트를
등록하거나 호출합니다.",登錄、呼叫外觀裝備個人組合。,登记、叫出外观装备的个人组合。,,,,,,,,إدارة مجموعة الدروع متعددة الطبقات.,,,,,,,,,,,
76d13c7a-b7f8-4e18-bc72-4de96c20a402,2216943502,Fa_OtBoard_System_SubMenu_09,武器、防具の表示方法を設定します。,Adjust equipment display settings.,Ajuster les paramètres d'affichage de l'équipement.,"Regola le impostazioni di visualizzazione
dell'equipaggiamento.","Passe an, welche Ausrüstungsteile im
Spiel tatsächlich dargestellt werden.","Cambia la configuración de visualización del
equipamiento.",Измените настройки отображения снаряжения.,Dostosuj ustawienia wyświetlania wyposażenia.,,,"Ajuste as configurações de exibição
dos equipamentos.",무기와 방어구 표시 방법을 설정합니다.,設定武器、防具的顯示方式。,设置武器、防具的显示方式。,,,,,,,,اضبط إعدادات عرض المعدات.,,,,,,,,,,,
9e12cda4-9b5e-4fb5-9e9c-7956b4ef31d9,2420858835,Fa_OtBoard_System_OtChoice_01,"オトモを選択してください。
<COL YEL>（オンライン時はオトモ１のみ
　連れて行くことができます）</COL>","Select a Buddy.
<COL YEL>(You can only take your main Buddy with you
on online quests.)</COL>","Sélectionner un Pilpoil.
<COL YEL>Vous pouvez seulement emmener votre Pilpoil
principal dans les Quêtes en ligne.</COL>","Scegli un compagno.
<COL YEL>(Nelle missioni online puoi portare
con te solo il compagno 1.)</COL>","Wähle einen Buddy.
<COL YEL>(Bei Online-Quests kannst du nur deinen
Haupt-Buddy mitnehmen.)</COL>","Selecciona a un camarada.
<COL YEL>(En las misiones en línea solo puedes
llevarte a tu camarada principal).</COL>","Выбрать спутника.
<COL YEL>(На сетевые задания можно брать
только основного спутника.)</COL>","Wybierz kompana.
<COL YEL>(Na misje online możesz
zabierać tylko swojego głównego kompana).</COL>",,,"Selecione um Amigo.
<COL YEL>(Você só pode levar seu Amigo
principal em missões online)</COL>","동반자를 선택하십시오.
<COL YEL>(온라인에서는 동반자 1만
데려갈 수 있습니다)</COL>","請選擇隨從。
<COL YEL>（線上遊玩時，只能攜帶隨從1）</COL>","请选择随从。
<COL YEL>（线上游戏时只能带上随从1）</COL>",,,,,,,,"حدّد رفيقًا.
<COL YEL>(يُمكنك اصطحاب رفيقك
الأساسي في المهام عبر الإنترنت فقط).</COL>",,,,,,,,,,,
0ef8f04b-a546-44b2-b162-96bdf266be9e,418924000,Fa_OtBoard_System_OtChoice_02,"オトモを選択してください。
<COL YEL>（使用中のオトモです）</COL>","Select a Buddy.
<COL YEL>(This Buddy is currently active.)</COL>","Sélectionner un Pilpoil.
<COL YEL>(Pilpoil en cours d'utilisation.)</COL>","Scegli un compagno.
<COL YEL>(Questo compagno è al momento attivo.)</COL>","Wähle einen Buddy.
<COL YEL>(Dieser Buddy ist derzeit aktiv.)</COL>","Selecciona un camarada.
<COL YEL>(Este camarada está en activo).</COL>","Выбрать спутника.
<COL YEL>(Этот спутник сейчас активен.)</COL>","Wybierz kompana.
<COL YEL>(Ten kompan jest obecnie aktywny.)</COL>",,,"Selecione um Amigo.
<COL YEL>(Este Amigo está ativo no momento)</COL>","동반자를 선택하십시오.
<COL YEL>(사용 중인 동반자입니다)</COL>","請選擇隨從。
<COL YEL>（此隨從正在使用中）</COL>","请选择随从。
<COL YEL>（正在使用中的随从）</COL>",,,,,,,,"حدّد رفيقًا.
<COL YEL>(هذا الرفيق فعّال الآن).</COL>",,,,,,,,,,,
85282d1e-1179-476d-b286-d7deacd4a577,1816820289,Fa_OtBoard_System_OtChoice_03,"オトモを選択してください。
<COL YEL>（登録済みのオトモを解除します）</COL>","Select a Buddy.
<COL YEL>(Remove this Buddy.)</COL>","Sélectionner un Pilpoil.
<COL YEL>(Retirer ce Pilpoil.)</COL>","Scegli un compagno.
<COL YEL>(Deseleziona questo compagno.)</COL>","Wähle einen Buddy.
<COL YEL>(Auswahl des Buddys aufheben.)</COL>","Selecciona un camarada.
<COL YEL>(Quitar a este camarada).</COL>","Выбрать спутника.
<COL YEL>(Удалить этого спутника.)</COL>","Wybierz kompana.
<COL YEL>(Usuń tego kompana.)</COL>",,,"Selecione um Amigo.
<COL YEL>(Remover este Amigo)</COL>","동반자를 선택하십시오.
<COL YEL>(등록한 동반자를 해제합니다)</COL>","請選擇隨從。
<COL YEL>（解除已登錄的隨從）</COL>","请选择随从。
<COL YEL>（解除已登记的随从）</COL>",,,,,,,,"حدّد رفيقًا.
<COL YEL>(إزالة هذا الرفيق).</COL>",,,,,,,,,,,
5917d73c-3ac6-4ee7-91b7-8a90116016e8,2657492948,Fa_OtBoard_System_OtChoice_04,"オトモを選択してください。
<COL RED>（派遣中のオトモは選択できません）</COL>","Select a Buddy.
<COL RED>(Deployed Buddies can't be selected.)</COL>","Sélectionner un Pilpoil.
<COL RED>Impossible de sélectionner
les Pilpoils déployés.</COL>","Scegli un compagno.
<COL RED>(Impossibile selezionare i compagni in missione.)</COL>","Wähle einen Buddy.
<COL RED>(Eingesetzte Buddys können nicht gewählt werden.)</COL>","Selecciona un camarada.
<COL RED>(Los camaradas en uso no se pueden
seleccionar).</COL>","Выбрать спутника.
<COL RED>(Вы не можете выбрать задействованных спутников.)</COL>","Wybierz kompana.
<COL RED>(Kompani w terenie nie mogą zostać wybrani.)</COL>",,,"Selecione um Amigo.
<COL RED>(Amigos enviados não podem ser selecionados)</COL>","동반자를 선택하십시오.
<COL RED>(파견 중인 동반자는 선택할 수 없습니다)</COL>","請選擇隨從。
<COL RED>（無法選擇派遣中的隨從）</COL>","请选择随从。
<COL RED>（无法选择派遣中的随从）</COL>",,,,,,,,"حدّد رفيقًا.
<COL RED>(لا يُمكن اختيار الرفاق الذين تم اختيارهم مسبقًا).</COL>",,,,,,,,,,,
13c8a003-2d20-4285-bcea-58add3b91df1,3206495476,Fa_OtBoard_System_OtChoice_05,オトモを選択してください。,Select a Buddy.,Sélectionner un Pilpoil.,Scegli un compagno.,Wähle einen Buddy.,Elige un camarada.,Выбрать спутника.,Wybierz kompana.,,,Selecione um Amigo.,동반자를 선택하십시오.,請選擇隨從。,请选择随从。,,,,,,,,حدّد رفيقًا.,,,,,,,,,,,
e66c9dee-7361-414d-be23-6f7d903cea9a,2212551720,Fa_OtBoard_System_OtChoice_05e,"オトモを選択してください。
<COL RED>（使用中のオトモは選択できません）</COL>","Select a Buddy.
<COL RED>(Currently active Buddies can't be selected.)</COL>","Sélectionner un Pilpoil.
<COL RED>Impossible de sélectionner
les Pilpoils actifs.</COL>","Scegli un compagno.
<COL RED>(Non puoi selezionare i compagni attivi ora)</COL>","Wähle einen Buddy.
<COL RED>(Aktive Buddys können nicht ausgewählt werden.)</COL>","Selecciona un camarada.
<COL RED>(Los camaradas en uso no se pueden seleccionar).</COL>","Выбрать спутника.
<COL RED>(Вы не можете выбрать задействованных спутников.)</COL>","Wybierz kompana.
<COL RED>(Aktywni kompani nie mogą zostać
wybrani).</COL>",,,"Selecione um Amigo.
<COL RED>(Amigos ativos não podem ser selecionados)</COL>","동반자를 선택하십시오.
<COL RED>(사용 중인 동반자는 선택할 수 없습니다)</COL>","請選擇隨從。
<COL RED>（無法選擇使用中的隨從）</COL>","请选择随从。
<COL RED>（无法选择使用中的随从）</COL>",,,,,,,,"حدّد رفيقًا.
<COL RED>(لا يُمكن اختيار الرفاق الفعّالين حاليًا).</COL>",,,,,,,,,,,
e8ef79f5-4fac-44dc-8e11-2405938afb9e,2714584104,DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01,<COLOR FF0000>#Rejected#</COLOR> DialoMsg_Fa_OtChoice_01
98fa1655-0a3a-4208-96a3-04a31fbe4593,597754675,Fa_OtBoard_System_OtSkill_01,"選択したオトモの
オトモスキルを付け替えます。",Manage the selected Buddies' Buddy Skills.,Gérer les Talents des Pilpoils sélectionnés.,"Gestisci le abilità compagno
dei compagni selezionati.","Verwalte die Buddy-Fähigkeiten
der ausgewählten Buddys.","Gestiona las habilidades del camarada
seleccionado.","Управлять навыками
выбранных спутников.","Zarządzaj umiejętnościami
wybranych kompanów.",,,"Gerenciar Habilidades de Amigo
dos Amigos selecionados.","선택한 동반자의
동반자 스킬을 교체합니다.","更換所選隨從的
隨從技能。",更换所选随从的随从技能。,,,,,,,,إدارة مهارات الرفاق المحددين.,,,,,,,,,,,
869e7df6-f783-4855-bc07-9e382d7f4621,1811718250,Fa_OtBoard_System_OtSkill_02,記憶するオトモスキルを選択してください。,Select a Buddy Skill to remember.,Sélectionner un Talent à mémoriser.,Scegli un'abilità compagno da insegnare.,"Wähle, welche Fähigkeit dein Buddy sich merkt.","Selecciona la habilidad que quieres
memorizar.","Выбрать навык спутника, который нужно запомнить.",Wybierz umiejętność kompana do zapamiętania.,,,Selecione uma Habilidade de Amigo para lembrar.,기억할 동반자 스킬을 선택하십시오.,請選擇要記憶的隨從技能。,请选择要记忆的随从技能。,,,,,,,,حدّد مهارة رفيق كي يحفظها.,,,,,,,,,,,
87521730-49eb-43eb-b64f-37e20d7d7a97,4173869066,Fa_OtBoard_System_OtSkill_03,"記憶するオトモスキルを選択してください。
<COL YEL>（オトモスキルを解除します）</COL>","Select a Buddy Skill to remember.
<COL YEL>(This will remove the selected skill.)</COL>","Sélectionner un Talent à mémoriser.
<COL YEL>(Le Talent sélectionné sera retiré.)</COL>","Scegli un'abilità compagno da insegnare.
<COL YEL>(Rimuoverai l'abilità selezionata.)</COL>","Wähle, welche Fähigkeit dein Buddy sich merkt.
<COL YEL>(Die aktuelle Fähigkeit wird entfernt.)</COL>","Selecciona la habilidad que quieres
memorizar. <COL YEL>(Esto quitará la habilidad
seleccionada).</COL>","Выбрать навык спутника, который нужно запомнить.
<COL YEL>(Выбранный навык будет удален.)</COL>","Wybierz umiejętność kompana do zapamiętania.
<COL YEL>(To usunie wybraną umiejętność.)</COL>",,,"Selecione uma Habilidade de Amigo para lembrar.
<COL YEL>(Isto removerá a habilidade selecionada)</COL>","기억할 동반자 스킬을 선택하십시오.
<COL YEL>(동반자 스킬을 해제합니다)</COL>","請選擇要記憶的隨從技能。
<COL YEL>（解除隨從技能）</COL>","请选择要记忆的随从技能。
<COL YEL>（解除随从技能）</COL>",,,,,,,,"حدّد مهارة رفيق كي يحفظها.
<COL YEL>(سيزيل هذا المهارة المحددة).</COL>",,,,,,,,,,,
f04005df-8e8a-42cf-a03b-650bcd142639,3977363295,Fa_OtBoard_System_OtSkill_04,"記憶するオトモスキルを選択してください。
<COL RED>（記憶力が不足しています）</COL>","Select a Buddy Skill to remember.
<COL RED>(This Buddy can't remember any more.)</COL>","Sélectionner un Talent à mémoriser.
<COL RED>Ce Pilpoil a mémorisé le maximum de Talents.</COL>","Scegli un'abilità compagno da insegnare.
<COL RED>(Memoria compagno non sufficiente.)</COL>","Wähle, welche Fähigkeit dein Buddy sich merkt.
<COL RED>(Dieser Buddy kann sich nicht noch mehr merken.)</COL>","Selecciona la habilidad que quieres
memorizar. <COL RED>(Este camarada no puede
memorizar nada más).</COL>","Выбрать навык спутника, который нужно запомнить.
<COL RED>(Этот спутник больше ничего не может запомнить.)</COL>","Wybierz umiejętność kompana do zapamiętania.
<COL RED>(Kompan nie może już więcej zapamiętać.)</COL>",,,"Selecione uma Habilidade de Amigo para lembrar.
<COL RED>(Este Amigo não pode se lembrar de mais nada)</COL>","기억할 동반자 스킬을 선택하십시오.
<COL RED>(기억력이 부족합니다)</COL>","請選擇要記憶的隨從技能。
<COL RED>（記憶力不足）</COL>","请选择要记忆的随从技能。
<COL RED>（记忆力不足）</COL>",,,,,,,,"حدّد مهارة رفيق كي يحفظها.
<COL RED>(لن يتمكن هذا الرفيق من الحفظ بعد الآن).</COL>",,,,,,,,,,,
2385bb48-dd0a-4fdb-99d2-d6fab21cb327,2683895982,Fa_OtBoard_System_DogTool_01,"変更するオトモの
猟犬具を選択してください。",Select the Palamute Gear you'd like to change.,"Sélectionner l'accessoire Chumsky
que vous souhaitez changer.","Scegli l'equipaggiamento del compagno Canyne
che vuoi cambiare.","Wähle einen Palamute und Palamute-Rüstzeug,
das du ändern möchtest.","Selecciona al Canyne cuyo utillaje 
quieres cambiar.","Выбрать Паламута, для которого
нужно изменить снаряжение.","Wybierz sprzęt kumpsa, który chciałbyś zmienić.",,,"Selecione o Equipamento de
Amicão que você quer mudar.","변경할 동반자의
사냥개 도구를 선택하십시오.","請選擇要變更的
隨從獵犬用具。",请选择要变更的随从猎犬具。,,,,,,,,حدّد عتاد بالاموت الذي ترغب في تغييره.,,,,,,,,,,,
