guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
f3cbe0b5-ff94-4176-922d-4d5f54d4e5dc,1117285795,Fa_OtHire_System_01,"雇用窓口のイオリがスカウトしてきた
オトモアイルーとオトモガルクを雇います。",Hire Buddies found by Buddy Handler Iori.,"Recruter parmi les Pilpoils trouvés
par Iori l'assistant Pilpoil.","Ingaggia i compagni trovati da
Iori l'assistente dei compagni.","Heuere Buddys an, die vom Buddy-Wildexperten Iori
gefunden wurden.","Contrata a camaradas de Iori,
el gestor de camaradas.","Нанять спутников, найденных Дрессировщиком Иори.","Najmij kompanów poleconych
przez opiekuna kompanów Ioriego.",,,"Recrute Amigos
encontrados por Iori.","고용창구의 이오리가 스카우트한 동반자
아이루와 동반자 가루크를 고용합니다.","雇用小庵招募來的
隨從艾路和隨從加爾克。","雇用随从窗口刀脊招募来的
随从艾露猫与随从牙猎犬。",,,,,,,,توظيف الرفاق للعثور على مساعد الأصدقاء إيوري.,,,,,,,,,,,
74c37a67-4ca5-43b1-b68c-c3c7e0050cb8,1333939844,Fa_OtHire_System_02,"雇用するオトモアイルーとオトモガルクの
スカウト条件を指定します。",Scout a Buddy based on certain criteria.,Chercher un Pilpoil selon certains critères.,Cerca un compagno in base a determinati criteri.,Scoute einen Buddy nach bestimmten Kriterien.,Elige el criterio para buscar a camaradas.,"Изучить спутника, исходя
из определенных критериев.","Poszukaj kompana, bazując na
konkretnych kryteriach.",,,Sonde um Amigo com base em determinados critérios.,"고용할 동반자 아이루와 동반자 가루크의
스카우트 조건을 지정합니다.","指定想要雇用的隨從艾路
和隨從加爾克的招募條件。","指定想要雇用的随从艾露猫
与随从牙猎犬的招募条件。",,,,,,,,استكشف رفيقًا معتمدًا على المعايير المحددة.,,,,,,,,,,,
2cdea63b-97e1-4191-9962-d86a77ea9609,295827311,Fa_OtHire_System_03,"ダウンロードなどで入手できる
オトモを雇用します。",Hire special Buddy.,Recruter un Pilpoil spécial.,Ingaggia compagni speciali.,Heuere einen Besonderen Buddy an.,Contrata a un camarada especial.,Нанять особого спутника.,Najmij specjalnego kompana.,,,Recrutar um Amigo especial.,"다운로드 등으로 획득할 수 있는
동반자를 고용합니다.","雇用透過下載等方法
而取得的隨從。","雇用借由下载等方法
而获得的随从。",,,,,,,,توظيف رفيق مميز.,,,,,,,,,,,
45adbf83-fe53-49f0-84cd-9c6bad9841f9,818695801,Fa_OtHire_System_04,雇用しているオトモの名前をつけ直します。,Change a Buddy's name.,Changer le nom d'un Pilpoil.,Cambia il nome di un compagno.,Ändere den Namen eines Buddys.,Renombra a un camarada.,Сменить имя спутника.,Zmień imię kompana.,,,Mude o nome de um Amigo.,고용 중인 동반자의 이름을 변경합니다.,為已雇用的隨從重新命名。,为已雇用的随从重新命名。,,,,,,,,تغيير اسم الرفيق.,,,,,,,,,,,
a049fbb6-b84e-468c-b385-6c68c747c54d,2683774043,Fa_OtHire_System_05,オトモを解雇します。,Dismiss a Buddy.,Renvoyer un Pilpoil.,Licenzia un compagno.,Entlasse einen Buddy.,Despide a un camarada.,Отпустить спутника.,Odwołaj kompana.,,,Dispense um Amigo.,동반자를 해고합니다.,解雇已雇用的隨從。,解雇已雇用的随从。,,,,,,,,طرد رفيق.,,,,,,,,,,,
360fffd9-4871-418d-bae7-7ab64f98d447,481981064,Fa_OtHire_System_06,雇用するオトモを選択してください。,Hire a Buddy.,Recruter un Pilpoil.,Ingaggia un compagno.,Heuere einen Buddy an.,Contrata a un camarada.,Нанять спутника.,Najmij kompana.,,,Recrutar um Amigo.,고용할 동반자를 선택하십시오.,請選擇想要雇用的隨從。,请选择想要雇用的随从。,,,,,,,,توظيف رفيق.,,,,,,,,,,,
cf8bc341-1c29-4223-9049-fd52bdc9962d,2777650401,Fa_OtHire_System_07,"雇用するオトモを選択してください。
<COL RED>（これ以上雇用できません）</COL>","Select a Buddy.
<COL RED>(You cannot hire any more Buddies.)</COL>","Sélectionnez un Pilpoil.
<COL RED>Impossible d'en recruter plus.</COL>","Scegli un compagno.
<COL RED>(Non puoi ingaggiare altri compagni.)</COL>","Wähle einen Buddy.
<COL RED>(Du kannst keine Buddys mehr anheuern.)</COL>","Selecciona un camarada.
<COL RED>(No puedes contratar a más camaradas).</COL>","Выбрать спутника.
<COL RED>Вы больше не можете нанимать спутников.</COL>","Wybierz kompana.
<COL RED>(Nie możesz zatrudnić więcej kompanów.)</COL>",,,"Selecione um Amigo.
<COL RED>(Você não pode recrutar mais Amigos)</COL>","고용할 동반자를 선택하십시오.
<COL RED>(더 이상 고용할 수 없습니다)</COL>","請選擇想要雇用的隨從。
<COL RED>（已滿，無法增加雇用）</COL>","请选择想要雇用的随从。
<COL RED>（已满，无法增加雇用）</COL>",,,,,,,,"تحديد رفيق.
<COL RED>(لا يمكن توظيف أي رفاق آخرين).</COL>",,,,,,,,,,,
52989b3c-138c-4021-93bf-df3577dd0ff9,945436582,Fa_OtHire_System_08,"雇用するオトモを選択してください。
<COL RED>（所持金が不足しています）</COL>","Select a Buddy.
<COL RED>(You don't have enough funds.)</COL>","Sélectionnez un Pilpoil.
<COL RED>Fonds insuffisants.</COL>","Scegli un compagno.
<COL RED>(Non hai denaro sufficiente.)</COL>","Wähle einen Buddy.
<COL RED>(Du hast nicht genügend Geld.)</COL>","Selecciona un camarada.
<COL RED>(No tienes dinero suficiente).</COL>","Выбрать спутника.
<COL RED>У вас недостаточно средств.</COL>","Wybierz kompana.
<COL RED>(Brak wystarczających funduszy.)</COL>",,,"Selecione um Amigo.
<COL RED>(Você não tem fundos suficientes)</COL>","고용할 동반자를 선택하십시오.
<COL RED>(소지금이 부족합니다)</COL>","請選擇想要雇用的隨從。
<COL RED>（持有金額不足）</COL>","请选择想要雇用的随从。
<COL RED>（持有金额不足）</COL>",,,,,,,,"تحديد رفيق.
<COL RED>(لا توجد أموال كافية).</COL>",,,,,,,,,,,
2ea32686-dbd3-4686-af8a-a704f8bcb412,671655139,Fa_OtHire_System_09,解雇するオトモを選択してください。,Select a Buddy to dismiss.,Sélectionner un Pilpoil à renvoyer.,Scegli un compagno da licenziare.,Wähle einen Buddy zum Entlassen aus.,"Selecciona al camarada
que quieres despedir.",Выберите отпускаемого спутника.,Wybierz kompana do odwołania.,,,Selecione um Amigo para dispensar.,해고할 동반자를 선택하십시오.,請選擇要解雇的隨從。,请选择要解雇的随从。,,,,,,,,تحديد رفيق لطرده.,,,,,,,,,,,
58391ea4-400f-4254-adb9-f1d1892eb196,3617910821,Fa_OtHire_System_010,"解雇するオトモを選択してください。
<COL RED>（これ以上解雇できません）</COL>","Select a Buddy to dismiss.
<COL RED>(You can't dismiss any more Buddies.)</COL>","Sélectionner un Pilpoil à renvoyer.
<COL RED>Renvoi de Pilpoils impossible.</COL>","Scegli un compagno da licenziare.
<COL RED>(Non puoi licenziare altri compagni.)</COL>","Wähle einen Buddy zum Entlassen aus.
<COL RED>(Du kannst keine weiteren Buddys
entlassen.)</COL>","Selecciona al camarada que quieres
despedir. <COL RED>(No puedes despedir más
camaradas).</COL>","Выберите отпускаемого спутника.
<COL RED>Вы больше не можете отпускать спутников.</COL>","Wybierz kompana do odwołania.
<COL RED>(Nie można odwołać więcej kompanów.)</COL>",,,"Selecione um Amigo para dispensar.
<COL RED>(Você não pode dispensar mais Amigos)</COL>","해고할 동반자를 선택하십시오.
<COL RED>(더 이상 해고할 수 없습니다)</COL>","請選擇要解雇的隨從。
<COL RED>（無法再解雇了）</COL>","请选择要解雇的随从。
<COL RED>（无法解雇更多）</COL>",,,,,,,,"تحديد رفيق لطرده.
<COL RED>(لا يمكن طرد أي رفاق آخرين).</COL>",,,,,,,,,,,
c53678a0-00b8-45a3-8267-b5e416e7b452,679064413,Fa_OtHire_System_011,"解雇するオトモを選択してください。
<COL RED>（使用中のため解雇できません）</COL>","Select a Buddy to dismiss.
<COL RED>(You can't dismiss active Buddies.)</COL>","Sélectionner un Pilpoil à renvoyer.
<COL RED>Renvoi de Pilpoils actifs impossible.</COL>","Scegli un compagno da licenziare.
<COL RED>(Non puoi licenziare i compagni attivi.)</COL>","Wähle einen Buddy zum Entlassen aus.
<COL RED>(Du kannst keine aktiven Buddys
entlassen.)</COL>","Selecciona al camarada que quieres
despedir. <COL RED>(No puedes despedir
camaradas activos).</COL>","Выберите отпускаемого спутника.
<COL RED>Нельзя отпускать действующих спутников.</COL>","Wybierz kompana do odwołania.
<COL RED>(Nie można odwołać aktywnych kompanów.)</COL>",,,"Selecione um Amigo para dispensar.
<COL RED>(Você não pode dispensar Amigos ativos)</COL>","해고할 동반자를 선택하십시오.
<COL RED>(사용 중이므로 해고할 수 없습니다)</COL>","請選擇要解雇的隨從。
<COL RED>（使用中，無法解雇）</COL>","请选择要解雇的随从。
<COL RED>（正在使用中，无法解雇）</COL>",,,,,,,,"تحديد رفيق لطرده.
<COL RED>(لا يمكن طرد أي رفاق نشطاء).</COL>",,,,,,,,,,,
89f3bc28-652b-42fa-bd09-7d07763a83c1,3621911984,Fa_OtHire_System_012,名前をつけ直すオトモを選択してください。,Select the Buddy you want to rename.,Sélectionner le Pilpoil à renommer.,Scegli il compagno che vuoi rinominare.,"Wähle den Buddy, dessen Namen du ändern
möchtest.","Selecciona al camarada cuyo nombre
quieres cambiar.",Выберите спутника для переименования.,Wybierz kompana do zmiany imienia.,,,Selecione o Amigo que  deseja renomear.,이름을 변경할 동반자를 선택하십시오.,請選擇想要重新命名的隨從。,请选择想要重新命名的随从。,,,,,,,,تحديد الرفيق الذي تود إعادة تسميته.,,,,,,,,,,,
44b70379-64c0-4133-8783-4e91ddd3cc85,1167687589,Fa_OtHire_System_013,"名前をつけ直すオトモを選択してください。
<COL RED>（他人のオトモの名前は変更できません）</COL>","Select the Buddy you want to rename.
<COL RED>(You can't rename this Buddy.)</COL>","Sélectionnez le Pilpoil à renommer.
<COL RED>Ce Pilpoil ne peut pas être renommé.</COL>","Scegli il compagno che vuoi rinominare.
<COL RED>(Non puoi rinominare questo compagno.)</COL>","Wähle den Buddy, dessen Namen du ändern
möchtest. <COL RED>(Du kannst den Namen dieses
Buddys nicht ändern.)</COL>","Selecciona al camarada cuyo nombre
quieres cambiar. <COL RED>(No puedes renombrar
a este camarada).</COL>","Выберите спутника для переименования.
<COL RED>Этого спутника нельзя переименовать.</COL>","Wybierz kompana do zmiany imienia.
<COL RED>(Nie można przemianować tego kompana.)</COL>",,,"Selecione o Amigo que deseja renomear.
<COL RED>(Você não pode renomear este Amigo.)</COL>","이름을 변경할 동반자를 선택하십시오.
<COL RED>(다른 사람의 동반자 이름은 변경 불가)</COL>","請選擇想要重新命名的隨從。
<COL RED>（無法變更其他人隨從的名字）</COL>","请选择想要重新命名的随从。
<COL RED>（无法变更他人随从的名称）</COL>",,,,,,,,"تحديد الرفيق الذي تود إعادة تسميته.
<COL RED>(لا يمكن إعادة تسمية هذا الرفيق).</COL>",,,,,,,,,,,
7b1a7fc2-e01e-4c45-970f-8d410c005fb9,3953737118,Fa_OtHire_System_014,"ダウンロードなどで入手できる
オトモを雇用します。
<COL RED>（雇用できるオトモがいません）</COL>","Hire Buddies acquired via download.
<COL RED>(There are no Buddies available for hire.)</COL>","Recruter un Pilpoil obtenu par téléchargement.
<COL RED>Aucun Pilpoil à recruter disponible.</COL>","Ingaggia i compagni scaricati.
<COL RED>(Non hai compagni da ingaggiare.)</COL>","Heuere Buddys an, die du heruntergeladen hast.
<COL RED>(Es sind keine Buddys zum Anheuern verfügbar.)</COL>","Contrata camaradas adquiridos mediante descarga.
<COL RED>(No hay camaradas disponibles que contratar).</COL>","Нанять загруженных спутников.
<COL RED>(Доступных для найма спутников нету.)</COL>","Najmij kompanów pozyskanych przez pobranie.
<COL RED>(Brak kompanów dostępnych do najęcia).</COL>",,,"Contrate Amigos adquiridos via download.
<COL RED>(Não há Amigos disponíveis para contratar.)</COL>","다운로드 등으로 획득할 수 있는
동반자를 고용합니다.
<COL RED>(고용할 수 있는 동반자가 없습니다)</COL>","雇用透過下載等方法
而取得的隨從。
<COL RED>（無可雇用的隨從）</COL>","雇用借由下载等方法
而获得的随从。
<COL RED>（没有可雇用的随从）</COL>",,,,,,,,"توظيف الرفاق اللازمين من خلال التنزيل.
<COL RED>(لا يوجد رفاق متاحين للتوظيف.)</COL>",,,,,,,,,,,
8e9122af-24cd-45e2-8939-f5eaef38410b,341437358,Fa_OtHire_System_015,"雇用するオトモを選択してください。
<COL RED>（すでに雇用しています）</COL>","Select a Buddy.
<COL RED>(You've already hired this Buddy.)</COL>","Sélectionner un Pilpoil.
<COL RED>Vous avez déjà embauché ce Pilpoil.</COL>","Seleziona un compagno.
<COL RED>(Hai già ingaggiato questo compagno.)</COL>","Wähle einen Buddy.
<COL RED>(Du hast diesen Buddy bereits angeheuert.)</COL>","Elige un camarada.
<COL RED>(Ya has contratado a este camarada).</COL>","Выбрать спутника.
<COL RED>(Вы уже наняли этого спутника.)</COL>","Wybierz kompana.
<COL RED>(Już nająłeś tego kompana).</COL>",,,"Selecione um Amigo.
<COL RED>(Você já contratou este Amigo.)</COL>","고용할 동반자를 선택하십시오.
<COL RED>(이미 고용했습니다)</COL>","請選擇想要雇用的隨從。
<COL RED>（已經雇用了）</COL>","请选择要雇用的随从。
<COL RED>（已雇用此随从）</COL>",,,,,,,,"تحديد رفيق.
<COL RED>(لقد وظفت هذا الرفيق بالفعل).</COL>",,,,,,,,,,,
1f3fe542-b223-4749-bbd2-5a7de053cbe7,1677895153,Fa_OtHire_System_016,オトモの名前を入力してください。,Enter the Buddy's name.,Entrer le nom du Pilpoil.,Inserisci il nome del compagno.,Gib den Namen des Buddys ein.,Escribe el nombre del camarada.,Ввести имя спутника.,Wpisz imię kompana.,,,Insira o nome do Amigo.,동반자의 이름을 입력하십시오.,請輸入隨從的名稱。,请输入随从的名称。,,,,,,,,إدخال اسم الرفيق.,,,,,,,,,,,
e87e5f04-5c81-40bb-8200-abde8ecc428c,2287234252,Fa_OtHire_System_017,"雇用するオトモを選択してください。
<COL RED>（オトモ装備ＢＯＸがいっぱいです）</COL>","Select a Buddy to hire.
<COL RED>(Your Buddy equipment box is full.)</COL>","Sélectionner un Pilpoil à recruter.
<COL RED>Le coffre des Pilpoils est plein.</COL>","Seleziona un compagno da ingaggiare.
<COL RED>(La cassa equipaggiamento del compagno è piena)</COL>","Wähle einen Buddy zum Anheuern aus.
<COL RED>(Deine Buddy-Ausrüstungstruhe ist voll.)</COL>","Elige un camarada que contratar.
<COL RED>(Tu baúl de equipamiento de camaradas está lleno).</COL>","Выбрать спутника, которого хотите нанять.
<COL RED>(Ящик снаряжения спутника заполнен.)</COL>","Wybierz kompana do najęcia.
<COL RED>(Skrzynka na wyposażenie twojego kompana
jest pełna).</COL>",,,"Selecionar um Amigo para contratar.
<COL RED>(Sua caixa de equipamentos de amigo está cheia.)</COL>","고용할 동반자를 선택하십시오.
<COL RED>(동반자 장비 BOX가 가득 찼습니다)</COL>","請選擇想要雇用的隨從。
<COL RED>（隨從裝備箱已滿）</COL>","请选择要雇用的随从。
<COL RED>（随从装备箱已满）</COL>",,,,,,,,"تحديد رفيق لتوظيفه.
<COL RED>(صندوق معدات رفيقك ممتلئ).</COL>",,,,,,,,,,,
