guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
401fa42b-fb03-4819-9352-3056f875e0b8,4061482951,Fa_OtSmithy_System_01,オトモアイルー用の装備を生産します。,Forge armor and weapons for your Palico.,Forger des armes et armures pour votre Palico.,Forgia armi e armatura per il tuo compagno Felyne.,Schmiede Rüstung und Waffen für deinen Palico.,Forja armas y armaduras para tu camarada Felyne.,Выковать снаряжение для вашего Палико.,Wykuj pancerz i broń dla swojego koleżkota.,,,Forje armaduras e armas para o seu Amigato.,동반자 아이루용 장비를 생산합니다.,生產隨從艾路專用的裝備。,生产随从艾露猫的装备。,,,,,,,,تشكيل درع وأسلحة الباليكو.,,,,,,,,,,,
0ecc59c7-73a2-466c-9fee-36193668801a,2243571545,Fa_OtSmithy_System_02,オトモガルク用の装備を生産します。,Forge armor and weapons for your Palamute.,Forger des armes ou armures pour votre Chumsky.,Forgia armi e armatura per il tuo compagno Canyne.,Schmiede Rüstung und Waffen für deinen Palamute.,Forja armas y armaduras para tu camarada Canyne.,Выковать снаряжение для вашего Паламута.,Wykuj pancerz i broń dla swojego kumpsa.,,,Forje armaduras e armas para o seu Amicão.,동반자 가루크용 장비를 생산합니다.,生產隨從加爾克專用的裝備。,生产随从牙猎犬的装备。,,,,,,,,تشكيل درع وأسلحة البالاموت.,,,,,,,,,,,
bed9f552-8067-4c6d-a018-95532a0f3af7,1394948092,Fa_OtSmithy_System_05,オトモ用の重ね着装備を生産します。,Forge layered armor for your Buddy.,Forger une armure spéciale pour votre Pilpoil.,Forgia uno stile armatura per il compagno.,Schmiede Dekorrüstung für deinen Buddy.,Forja armadura superpuesta para tu camarada.,Выковать многослойный доспех для спутника.,Wykuj pancerz warstwowy dla swojego kompana.,,,Armadura em camadas para o seu Amigo.,동반자용 덧입는 장비를 생산합니다.,生產隨從專用的外觀裝備。,生产随从使用的外观装备。,,,,,,,,تشكيل الدرع متعددة المستويات للرفيق.,,,,,,,,,,,
3a3d3e4c-20ad-4391-9ada-a0e3b80c98c0,1930319056,Fa_OtSmithy_System_03,素材を端材と交換します。,Trade materials for scraps.,Échanger des matériaux contre des débris.,Scambia materiali per degli scarti.,Tausche Materialien gegen Reste ein.,Cambia materiales por restos.,Обменять материалы на части.,Wymień materiały na skrawki.,,,Trocar materiais por restos.,소재를 편린과 교환합니다.,以素材兌換餘料。,用素材交换余料。,,,,,,,,مقايضة المواد بالخردة.,,,,,,,,,,,
4c5aa39c-cf6a-415e-be32-9e666292c049,1576640589,Fa_OtSmithy_System_04,【仮】装備の管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64e5a6b6-1ac5-46dc-8250-a658c35d8ffe,1696687949,Fa_OtSmithy_System_Sub_01,オトモの装備を変更します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc1f6ff8-5296-445a-8d00-9d9770a82dcf,2894571104,Fa_OtSmithy_System_Sub_02,【仮】確認売却,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65db0cdf-e130-4e5f-811e-4a59d0a3850c,294020766,Fa_OtSmithy_System_Sub_03,【仮】マイセット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb82c99c-bb0a-4de7-ad62-42e8a76012cb,1990013981,Fa_OtSmithy_System_Create_00,生産する装備を選択してください。,Select the equipment to craft.,Sélectionner l'équipement à créer.,Scegli l'oggetto da forgiare.,Wähle das herzustellende Ausrüstungsteil.,Elige el equipamiento que quieres fabricar.,"Выбрать снаряжение, которое хотите изготовить.",Wybierz element wyposażenia do wytworzenia.,,,Selecionar o equipamento para criar.,생산할 장비를 선택하십시오.,請選擇要生產的裝備。,请选择要生产的装备。,,,,,,,,تحديد المعدات للصناعة.,,,,,,,,,,,
0c9e01c3-fa48-41c0-a246-41d063f8e2c0,3627109785,Fa_OtSmithy_System_Create_01,選択中のオトモを変更します。,Change selected Buddy.,Changer le Pilpoil sélectionné.,Cambia compagno selezionato.,Ändere den ausgewählten Buddy.,Cambia el camarada seleccionado.,Сменить выбранного спутника.,Zmień wybranego kompana.,,,Alterar o Amigo selecionado.,선택 중인 동반자를 변경합니다.,變更選擇中的隨從。,变更所选择的随从,,,,,,,,تغيير الرفيق المحدد.,,,,,,,,,,,
5d41b6ec-84b5-45e2-b36b-d8de9e9475dd,2914470272,Fa_OtSmithy_System_Create_02,オトモを選択してください。,Select a Buddy.,Sélectionner un Pilpoil.,Scegli un compagno.,Wähle einen Buddy.,Elige un camarada.,Выбрать спутника.,Wybierz kompana.,,,Selecione um Amigo.,동반자를 선택하십시오.,請選擇隨從。,请选择随从。,,,,,,,,حدد رفيقًا.,,,,,,,,,,,
3f75901e-1423-4736-9327-27abc7182210,3928141805,Fa_OtSmithy_System_Create_03,変更するオトモを選んでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6baeb44f-1ecc-42f6-972c-1410ac26d91b,3444531927,Fa_OtSmithy_System_Create_04,【仮】着彩設定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dba4b7ea-b4f7-490a-8c50-be5ca6bdc135,738927852,Fa_OtSmithy_System_Create_05,"生産する装備を選択してください。
<COL RED>（所持金が不足しています）</COL>","Select the equipment to craft.
<COL RED>(You don't have enough funds.)</COL>","Sélectionner l'équipement à créer.
<COL RED>Fonds insuffisants.</COL>","Scegli l'oggetto da forgiare.
<COL RED>(Non hai denaro sufficiente.)</COL>","Wähle das herzustellende Ausrüstungsteil.
<COL RED>(Du hast nicht genügend Geld.)</COL>","Elige el equipamiento que quieres fabricar.
<COL RED>(No tienes dinero suficiente).</COL>","Выбрать снаряжение, которое хотите изготовить.
<COL RED>(У вас недостаточно средств.)</COL>","Wybierz element wyposażenia do wytworzenia.
<COL RED>(Nie masz wystarczająco dużo funduszy).</COL>",,,"Selecionar o equipamento para criar.
<COL RED>(Você não tem fundos suficientes.)</COL>","생산할 장비를 선택하십시오.
<COL RED>(소지금이 부족합니다)</COL>","請選擇要生產的裝備。
<COL RED>（持有金額不足）</COL>","请选择要生产的装备。
<COL RED>（持有金额不足）</COL>",,,,,,,,"تحديد المعدات لصناعتها.
<COL RED>(ليس لديك مال كافي).</COL>",,,,,,,,,,,
