guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
fc0a359b-975b-4e48-a039-0085dbdda92a,57030367,Fa_Questboard_Hyakuryu_18_MR,MR,MR,RM,GM,MR,RM,РМ,RM,,,RM,MR,MR,大师等级,,,,,,,,رتبة القائد,,,,,,,,,,,
57937b10-0b6e-4f69-b3bc-2c9a971e85c1,264540289,Fa_Questboard_Status_04_MR,クエスト中,On Quest,En quête,In missione,Auf Quest,En misión,На задании,W trakcie zadania,,,Em Missão,퀘스트 중,任務中,任务中,,,,,,,,في مهمة,,,,,,,,,,,
ca1f4398-e545-44fe-a571-44f82cfca08a,4054938769,Fa_QuestBoard_Ex_00_00_MR,特殊条件,Extra Conditions,Conditions supp.,Condizioni extra,Extrabedingungen,Condiciones extra,Доп. условия,Dodatk. warunki,,,Condições Extras,특수 조건,特殊條件,特殊条件,,,,,,,,الشروط الإضافية,,,,,,,,,,,
200c451c-d6f6-4c03-bbf7-b89f12cbcf0b,2958659481,Fa_QuestBoard_Ex_00_01_MR,あり,Yes,Oui,Sì,Ja,Sí,Да,Tak,,,Sim,있음,有,有,,,,,,,,نعم,,,,,,,,,,,
54e6cc93-4e53-4e71-9c28-ebddd3130059,3066619480,Fa_QuestBoard_Ex_00_02_MR,なし,None,Aucune,Nessuna,-,No,Нет,Brak,,,Nenhuma,없음,無,无,,,,,,,,لا يوجد,,,,,,,,,,,
fbed9ca9-95ef-4648-aca9-b7259e40300f,538460871,Fa_QuestBoard_Ex_01,主な報酬,Main Rewards,Récomp. princ.,Ricomp. princ.,Hauptbelohnung,Rec. princip.,Осн. награды,Nagrody główne,,,Prêmios Princ.,주요 보수,主要報酬,主要报酬,,,,,,,,مكافآت رئيسية,,,,,,,,,,,
d9939f70-3301-47b2-bb72-99438dd36598,14193782,Fa_QuestBoard_Ex_00_03_MR,Ｌｖ{0},Lv {0},Nv {0},Lv. {0},St. {0},Nv. {0},Ур. {0},Poz {0},,,Nv {0},LV{0},Lv{0},Lv{0},,,,,,,,المستوى {0},,,,,,,,,,,
d610ea21-14e6-43c8-a3b6-35c3f72d2655,2906707434,Fa_QuestBoard_Ex_02_00_MR,傀異研究レベル１以上,Anomaly Research Lv 1 or higher,Recherche Anomalie : Nv 1 ou +,Ricerca anomalia lv. 1 o sup.,Anomalieforschungsstufe 1 oder höher,Estudio de Anomalía Nv. 1 o mayor,Иссл. аномалии: ур. 1 или выше,Badania Anomalii poz. 1 lub wyż.,,,Pesquisa de Anomalia Nv 1 ou maior,괴이 연구 레벨 1 이상,傀異研究等級為1以上,怪异研究等级1以上,,,,,,,,بحث غير عادي من المستوى 1  أو أكثر,,,,,,,,,,,
609002e2-5009-4fd8-888b-9e756c5d981b,2494809507,Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestBoard_Ex_02_01_MR
8b474f83-ec32-4e20-9a59-f983f2274c02,3445500928,Fa_QuestBoard_Ex_02_02_MR,傀異研究レベル２１以上,Anomaly Research Lv 21 or higher,Recherche Anomalie : Nv 21 ou +,Ricerca anomalia lv. 21 o superiore,Anomalieforschungsstufe 21 oder höher,Estudio de Anomalía Nv. 21 o mayor,Иссл. аномалии: ур. 21 или выше,Badania Anomalii poz. 21 lub wyż.,,,Pesquisa de Anomalia Nv 21 ou maior,괴이 연구 레벨 21 이상,傀異研究等級為21以上,怪异研究等级21以上,,,,,,,,بحث غير عادي من المستوى 21  أو أكثر,,,,,,,,,,,
