guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
4544fecb-0529-4231-9ffa-5d0ad29bb0c2,4064915881,Fa_QuestBoard_System_List_00,クエストの参加方法を選択してください。,Select how you would like to join.,Sélectionner comment rejoindre la quête.,Scegli come partecipare.,Wähle eine Beitrittsmöglichkeit aus.,Elige cómo quieres acceder.,Выбрать способ присоединения.,"Wybierz, jak chcesz dołączyć.",,,Selecione como você deseja participar.,퀘스트 참가 방법을 선택하십시오.,請選擇參加任務的方式。,请选择任务的参加方式。,,,,,,,,تحديد كيفية الانضمام.,,,,,,,,,,,
cc65d4e2-37b2-4964-9f61-a21c810324a5,525445178,Fa_QuestBoard_System_List_01,参加するクエストを選択してください。,Select a quest to join.,Sélectionner une quête à rejoindre.,Scegli una missione.,"Wähle eine Quest, der du beitreten möchtest.",Elige una misión a la que acceder.,"Выбрать задание, к которому
вы хотите присоединиться.",Wybierz zadanie do dołączenia.,,,Selecione uma missão para participar.,참가할 퀘스트를 선택하십시오.,請選擇要參加的任務。,请选择要参加的任务。,,,,,,,,تحديد مهمة للانضمام.,,,,,,,,,,,
a35b8d2c-3492-4b40-8300-b65398c970f1,3456799095,Fa_QuestBoard_System_List_02,"参加するクエストを選択してください。
<COL RED>（受注・参加条件を満たしていません）</COL>","Select a quest to join.
<COL RED>(You do not meet the requirements to join.)</COL>","Sélectionner une quête à rejoindre.
<COL RED>Vous ne répondez pas aux critères requis
pour rejoindre la quête.</COL>","Scegli una missione.
<COL RED>(Non hai i requisiti per partecipare.)</COL>","Wähle eine Quest, der du beitreten möchtest.
<COL RED>(Du erfüllst die Beitrittsanforderungen nicht.)</COL>","Elige una misión a la que acceder.
<COL RED>(No reúnes los requisitos necesarios).</COL>","Выбрать задание, к которому
вы хотите присоединиться.
<COL RED>(Вы не удовлетворяете требованиям.)</COL>","Wybierz zadanie do dołączenia.
<COL RED>(Nie spełniasz warunków dołączenia).</COL>",,,"Selecione uma missão para participar.
<COL RED>(Você não atende os requisitos para participar)</COL>","참가할 퀘스트를 선택하십시오.
<COL RED>(수주/참가 조건을 만족하지 않습니다)</COL>","請選擇要參加的任務。
<COL RED>（未滿足任務的承接･參加條件）</COL>","请选择要参加的任务。
<COL RED>（未满足承接/参加条件）</COL>",,,,,,,,"تحديد مهمة للانضمام لها.
<COL RED>(لم تستوفِ متطلبات للانضمام).</COL>",,,,,,,,,,,
c2c529ca-cc6c-4404-914a-3e7a43231571,1722810144,Fa_QuestBoard_System_List_03,"参加するクエストを選択してください。
<COL RED>（このクエストは途中参加できません）</COL>","Select a quest to join.
<COL RED>(This quest cannot be joined after it has begun.)</COL>","Sélectionner une quête à rejoindre.
<COL RED>Vous ne pouvez pas rejoindre une quête
après qu'elle ait commencé.</COL>","Scegli una missione.
<COL RED>(Non puoi unirti a questa missione se è già iniziata.)</COL>","Wähle eine Quest, der du beitreten möchtest.
<COL RED>(Du kannst dieser Quest nicht mehr beitreten,
wenn sie bereits im Gang ist.)</COL>","Elige una misión a la que acceder.
<COL RED>(No puedes acceder a una misión ya empezada).</COL>","Выбрать задание, к которому
вы хотите присоединиться.
<COL RED>(Невозможно, если задание уже началось.)</COL>","Wybierz zadanie do dołączenia.
<COL RED>(Nie można dołączyć do tego zadania
po jego rozpoczęciu).</COL>",,,"Selecione uma missão para participar.
<COL RED>(Você não pode participar desta missão depois
de iniciada)</COL>","참가할 퀘스트를 선택하십시오.
<COL RED>(이 퀘스트는 도중에 참가할 수 없습니다)</COL>","請選擇要參加的任務。
<COL RED>（這項任務無法中途參加）</COL>","请选择要参加的任务。
<COL RED>（无法中途参加此任务）</COL>",,,,,,,,"تحديد مهمة للانضمام لها.
<COL RED>(لا يمكن الانضمام لهذه المهمة بعد أن بدأت).</COL>",,,,,,,,,,,
619d33f3-2f41-4160-850b-4c82daf4e034,772703571,Fa_QuestBoard_System_List_04,"参加するクエストを選択してください。
<COL RED>（クエストの受付が終了しました）</COL>","Select a quest to join.
<COL RED>(This quest party is already full.)</COL>","Sélectionner une quête à rejoindre.
<COL RED>Le groupe de chasseurs pour cette quête
est déjà plein.</COL>","Scegli una missione.
<COL RED>(Questo gruppo è già al completo.)</COL>","Wähle eine Quest, der du beitreten möchtest.
<COL RED>(Diese Quest-Gruppe ist bereits voll.)</COL>","Elige una misión a la que acceder.
<COL RED>(Se ha alcanzado el máximo de cazadores).</COL>","Выбрать задание, к которому
вы хотите присоединиться.
<COL RED>(Группа для этого задания уже набрана.)</COL>","Wybierz zadanie do dołączenia.
<COL RED>(Drużyna jest już skompletowana).</COL>",,,"Selecione uma missão para participar.
<COL RED>(Este grupo de missão já está cheio)</COL>","참가할 퀘스트를 선택하십시오.
<COL RED>(이 퀘스트는 접수가 끝났습니다)</COL>","請選擇要參加的任務。
<COL RED>（任務的受理期間已結束）</COL>","请选择要参加的任务。
<COL RED>（此任务已结束受理）</COL>",,,,,,,,"تحديد مهمة للانضمام لها.
<COL RED>(فريق المهمة مكتمل بالفعل.)</COL>",,,,,,,,,,,
566e08a8-e758-46b2-8922-8926d8fbfbba,2455615153,Fa_QuestBoard_System_List_05,"参加するクエストを選択してください。
<COL RED>（このクエストは、すでに解散されています）</COL>","Select a quest to join.
<COL RED>(This quest has already been canceled.)</COL>","Sélectionner une quête à rejoindre.
<COL RED>Cette quête a déjà été annulée.</COL>","Scegli una missione.
<COL RED>(Questa missione è stata annullata.)</COL>","Wähle eine Quest, der du beitreten möchtest.
<COL RED>(Diese Quest wurde bereits abgebrochen.)</COL>","Elige una misión a la que acceder.
<COL RED>(Esta misión se ha cancelado).</COL>","Выбрать задание, к которому
вы хотите присоединиться.
<COL RED>(Это задание уже отменено.)</COL>","Wybierz zadanie do dołączenia.
<COL RED>(To zadanie zostało anulowane).</COL>",,,"Selecione uma missão para participar.
<COL RED>(Esta missão foi cancelada)</COL>","참가할 퀘스트를 선택하십시오.
<COL RED>(이 퀘스트는 이미 해산되었습니다)</COL>","請選擇要參加的任務。
<COL RED>（這項任務已被取消）</COL>","请选择要参加的任务。
<COL RED>（此任务已被取消）</COL>",,,,,,,,"تحديد مهمة للانضمام لها.
<COL RED>(أُلغيت المهمة بالفعل.)</COL>",,,,,,,,,,,
5620c570-e7b4-4f44-b75a-516e059462bc,920491763,Fa_QuestBoard_System_List_06,"クエストの参加方法を選択してください。
<COL RED>（オフライン時は使用できません）</COL>","Select how you would like to join.
<COL RED>(Not available in offline mode.)</COL>","Sélectionner comment
rejoindre la quête.
<COL RED>Cette option n'est pas disponible hors ligne.</COL>","Scegli come partecipare.
<COL RED>(Non disponibile in modalità offline.)</COL>","Wähle eine Quest, der du beitreten möchtest.
<COL RED>(Nicht im Offline-Modus verfügbar.)</COL>","Elige cómo quieres acceder.
<COL RED>(No disponible en el modo sin conexión).</COL>","Выбрать задание, к которому
вы хотите присоединиться.
<COL RED>(Недоступно в режиме вне сети.)</COL>","Wybierz, jak chcesz dołączyć.
<COL RED>(Niedostępne w trybie offline).</COL>",,,"Selecione como você deseja participar.
<COL RED>(Indisponível no modo offline)</COL>","참가할 퀘스트를 선택하십시오.
<COL RED>(오프라인일 때는 사용할 수 없습니다)</COL>","請選擇參加任務的方式。
<COL RED>（離線狀態時無法使用）</COL>","请选择任务的参加方式。
<COL RED>（离线时无法使用）</COL>",,,,,,,,"تحديد كيف تحب الانضمام.
<COL RED>(غير متاح في وضع اللعب غير المتصل).</COL>",,,,,,,,,,,
0dad41c3-27af-4bab-a45d-b77af5d72510,157684141,Fa_QuestBoard_System_List_07,"クエストの参加方法を選択してください。
<COL RED>（ローカルプレイ時は使用できません）</COL>","Select how you would like to join.
<COL RED>(Not available when playing locally.)</COL>","Sélectionner comment rejoindre la quête.
<COL RED>Cette option n'est pas disponible en
multijoueur local.</COL>","Scegli come partecipare.
<COL RED>(Non disponibile se giochi in locale.)</COL>","Wähle eine Beitrittsmöglichkeit aus.
<COL RED>(Nicht im Lokalen Spiel verfügbar.)</COL>","Elige cómo quieres unirte.
<COL RED>(No disponible al jugar en modo local).</COL>","Выберите как именно вы хотите присоединиться.
<COL RED>(Недоступно в локальной игре.)</COL>","Wybierz, jak chcesz dołączyć.
<COL RED>(Niedostępne podczas rozgrywki lokalnej).</COL>",,,"Selecione como você deseja participar.
<COL RED>(Indisponível ao jogar localmente)</COL>","퀘스트 참가 방법을 선택하십시오.
<COL RED>(로컬 플레이 중에는 사용할 수 없습니다)</COL>","請選擇參加任務的方式。
<COL RED>（本地遊玩時無法使用）</COL>","请选择任务的参加方式。
<COL RED>（本地游戏时无法使用）</COL>",,,,,,,,"تحديد كيفية الانضمام.
<COL RED>(غير متاح أثناء اللعب المحلي).</COL>",,,,,,,,,,,
1c8f317f-bce4-4452-b180-504d75f14f49,3179359526,Fa_QuestBoard_System_List_08,"参加するクエストを選択してください。
<COL RED>（クエストホストがクエスト開始準備中のため
　参加できません。しばらくお待ちください）</COL>","Select a quest to join.
<COL RED>(You cannot join this quest because the Host is
already preparing to depart. Please wait.)</COL>","Sélectionner une quête à rejoindre.
<COL RED>Vous ne pouvez pas rejoindre cette quête,
car l'hôte se prépare à partir. Veuillez attendre.</COL>","Scegli una missione.
<COL RED>(Non puoi unirti a questa missione perché l'host
si prepara alla partenza. Attendere.)</COL>","Wähle eine Quest, der du beitreten möchtest.
<COL RED>(Du kannst der Quest nicht beitreten, da der Host
bereits den Aufbruch vorbereitet. Bitte warte.)</COL>","Elige una misión a la que acceder.
<COL RED>(No puedes acceder a esta misión porque el
anfitrión ya se está preparando para empezar).</COL>","Выбрать задание, к которому вы хотите
присоединиться. <COL RED>(Невозможно, так как хозяин уже
готовится в путь. Подождите.)</COL>","Wybierz zadanie do dołączenia.
<COL RED>(Nie można dołączyć do tego zadania, ponieważ
gospodarz szykuje się już do wyruszenia).</COL>",,,"Selecione uma missão para participar.
<COL RED>(Você não pode participar desta missão porque o
anfitrião está se preparando para partir. Aguarde.)</COL>","참가할 퀘스트를 선택하십시오.
<COL RED>(퀘스트 호스트가 퀘스트 시작 준비 중이라
 참가할 수 없습니다. 잠시 기다려 주십시오)</COL>","請選擇要參加的任務。
<COL RED>（任務主辦者正準備開始任務，故無法參加。
　請稍待片刻。）</COL>","请选择要参加的任务。
<COL RED>（任务管理者正在准备开始任务，
因此无法参加。请稍候）</COL>",,,,,,,,"تحديد مهمة للانضمام لها.
<COL RED>(لا يمكن الانضمام لهذه المهمة لأن المضيف
يجهز للانطلاق بالفعل. الرجاء انتظر).</COL>",,,,,,,,,,,
7f9efffd-0657-45de-8c4f-b0720a0ae26d,3892335810,Fa_QuestBoard_System_List_09,"参加するクエストを選択してください。
<COL YEL>（未開放の緊急クエストのためクリア扱いになりません
　進行を進めるかゴコクやミノトへ話かけてください）</COL>","Select a quest to join.
<COL YEL>(Locked quest will not be registered as completed.
Speak with Hojo or Minoto to progress further.)</COL>","Sélectionner une quête à rejoindre. <COL YEL>Les quêtes
bloquées ne seront pas considérées comme finies.
Parlez à Hojo ou Minoto pour continuer.</COL>","Scegli una missione.
<COL YEL>(Le missioni bloccate non verranno registrate come
completate. Per avanzare, parla con Hojo o Minoto.)</COL>","Wähle eine Quest, der du beitreten möchtest.
<COL YEL>(Gesperrte Quests gelten nicht als abgeschlossen.
Sprich mit Hojo oder Minoto, um weiterzukommen.)</COL>","Elige una misión a la que acceder.
<COL YEL>(La misión bloqueada no se dará por completada.
Habla con Hojo o Minoto para seguir avanzando).</COL>","Выбрать задание, к которому хотите присоединиться.
<COL YEL>(Закрытые задания не будут выполнены.
Поговорите с Ходзё или Миното, чтобы открыть их.)</COL>","Wybierz zadanie do dołączenia. <COL YEL>(Zablokowane
zadanie nie zostanie zapisane jako wykonane. Aby
móc je zaliczyć, porozmawiaj z Hojo lub Minoto).</COL>",,,"Selecione uma missão para participar.
<COL YEL>(Missões bloqueadas não são registradas como
concluídas. Progrida falando com Hojo ou Minoto.)</COL>","참가할 퀘스트를 선택하십시오.
<COL YEL>(잠긴 긴급 퀘스트라 클리어로 취급되지 않습니다
 더 진행하거나 고코쿠나 미노토와 대화해 주십시오)</COL>","請選擇要參加的任務。
<COL YEL>（此為未開放的緊急任務，完成後並不會視為已完成
　請推進遊戲進度，或是與風登或水藝對話）</COL>","请选择要参加的任务。
<COL YEL>（此紧急任务尚未解锁，完成后无法视为完成任务，
请推进游戏进度，或者与岁丰稔、水芸对话）</COL>",,,,,,,,"تحديد مهمة للانضمام لها.
<COL YEL>(لن تسجل المهمة المغلقة على أنها اكتملت.
تحدث مع هوجو أو مينوتو للتقدم أكثر).</COL>",,,,,,,,,,,
