guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
05f20ee9-d081-4e71-84ca-35ef9d957507,1743755390,Fa_QuestBoard_System_List_09_MR,"参加するクエストを選択してください。
<COL YEL>（未開放の緊急クエストのためクリア扱いになりません
　進行を進めるかゴコクやミノトへ話しかけてください）</COL>","Select a quest to join.
<COL YEL>(Locked quests will not be registered as completed.
Speak with Hojo or Minoto to progress further.)</COL>","Sélectionner une quête à rejoindre. <COL YEL>Les quêtes
bloquées ne seront pas considérées comme finies.
Parlez à Hojo ou Minoto pour continuer.</COL>","Scegli una missione.
<COL YEL>(Le missioni bloccate non verranno registrate come
completate. Per avanzare, parla con Hojo o Minoto.)</COL>","Wähle eine Quest, der du beitreten möchtest.
<COL YEL>(Gesperrte Quests gelten nicht als abgeschlossen.
Sprich mit Hojo oder Minoto, um weiterzukommen.)</COL>","Elige una misión a la que acceder.
<COL YEL>(Las misiones bloqueadas no se darán por completadas.
Habla con Hojo o Minoto para seguir avanzando).</COL>","Выбрать задание, к которому хотите присоединиться.
<COL YEL>(Закрытые задания не будут выполнены.
Поговорите с Ходзё или Миното, чтобы открыть их.)</COL>","Wybierz zadanie do dołączenia. <COL YEL>(Zablokowane
zadanie nie zostanie zapisane jako wykonane. Aby
móc je zaliczyć, porozmawiaj z Hojo lub Minoto).</COL>",,,"Selecione uma missão para participar.
<COL YEL>(Missões bloqueadas não são registradas como
concluídas. Progrida falando com Hojo ou Minoto.)</COL>","참가할 퀘스트를 선택하십시오.
<COL YEL>(잠긴 긴급 퀘스트라 클리어로 취급되지 않습니다
더 진행하거나 고코쿠나 미노토와 대화해 주십시오)</COL>","請選擇要參加的任務。
<COL YEL>（此為未開放的緊急任務，完成後並不會視為已完成
　請推進遊戲進度，或是與風登或水藝對話）</COL>","请选择要参加的任务。
<COL YEL>（此紧急任务尚未解锁，完成后无法视为完成任务，
请推进游戏进度，或者与岁丰稔、水芸对话）</COL>",,,,,,,,"تحديد مهمة للانضمام لها.
<COL YEL>(لن تسجل المهمة المغلقة على أنها اكتملت.
تحدث مع هوجو أو مينوتو للتقدم أكثر).</COL>",,,,,,,,,,,
2388de8a-0b78-4418-8fd6-8fbc7ff53a99,3571187932,Fa_QuestBoard_System_List_12_MR,"参加するクエストを選択してください。
<COL RED>（ソロプレイ専用のクエストのため参加できません）</COL>","Select a quest to join.
<COL RED>(You cannot join solo hunting quests.)</COL>","Sélectionner une quête à rejoindre.
<COL RED>(Vous ne pouvez pas rejoindre
de quête en solo.)</COL>","Scegli una missione.
<COL RED>(Non puoi unirti alle missioni in solitaria.)</COL>","Wähle eine Quest, der du beitreten möchtest.
<COL RED>(Du kannst keinen Quests für einzelne Jäger beitreten.)</COL>","Elige una misión a la que acceder.
<COL RED>(No puedes acceder a cacerías en solitario).</COL>","Выберите задание, к которому хотите
присоединиться.
<COL RED>(Невозможно присоединиться к одиночным заданиям.)</COL>","Wybierz zadanie, do którego chcesz dołączyć.
<COL RED>(Nie można dołączać do zadań łowieckich solo).</COL>",,,"Selecione uma missão para participar.
<COL RED>(Você não pode participar de missões solo.)</COL>","참가할 퀘스트를 선택하십시오.
<COL RED>(솔로 플레이 전용 퀘스트라 참가할 수 없습니다)</COL>","請選擇要參加的任務。
<COL RED>（此任務僅限單人遊玩，無法參加）</COL>","请选择要参加的任务。
<COL RED>（此任务为单人专用任务，无法参加）</COL>",,,,,,,,"حدد مهمة للانضمام لها.
<COL RED>(لا يمكن الانضمام لمهام الصيد الفردية.)</COL>",,,,,,,,,,,
a232590c-04e5-4203-b3bb-085aeeb3add2,3152714838,Fa_QuestBoard_System_List_13_MR,"参加するクエストを選択してください。
<COL RED>（このクエストをプレイする権利を所持していません）</COL>","Select a quest to join.
<COL RED>(You do not have the rights to take on this quest.)</COL>","Sélectionner une quête à rejoindre.
<COL RED>(Vous n'êtes pas autorisé(e) à faire cette quête.)</COL>","Scegli una missione.
<COL RED>(Non hai i diritti per affrontare questa missione.)</COL>","Wähle eine Quest, der du beitreten möchtest.
<COL RED>(Du hast nicht die Berechtigung zum Annehmen
dieser Quest.)</COL>","Elige una misión a la que acceder.
<COL RED>(No reúnes los derechos necesarios para emprender
esta misión).</COL>","Выбрать задание, к которому
вы хотите присоединиться.<COL RED>(У вас нет прав на это
задание.)</COL>","Wybierz zadanie do dołączenia.
<COL RED>(Nie masz uprawnień, aby podjąć się
tego zadania).</COL>",,,"Selecione uma missão para participar.
<COL RED>(Você não tem direito de participar desta missão.)</COL>","참가할 퀘스트를 선택하십시오.
<COL RED>(이 퀘스트를 플레이할 권리가 없습니다)</COL>","請選擇要參加的任務。
<COL RED>（未持有遊玩此任務的權利）</COL>","请选择要参加的任务。
<COL RED>（没有游玩此任务的授权）</COL>",,,,,,,,"اختر مهمة للانضمام لها.
<COL RED>(لا يمكنك القيام بهذه المهمة).</COL>",,,,,,,,,,,
0fe4a10d-7d90-4c59-90d4-8b12b76fa24f,1856274448,Fa_QuestBoard_System_List_14_MR,"参加するクエストを選択してください。
<COL YEL>（未開放の緊急クエストのためクリア扱いになりません
　観測拠点進行を進めてください）</COL>","Select a quest to join.
<COL YEL>(Locked quests will not be registered as completed.
Advance in Elgado quests to unlock them.)</COL>","Sélectionner une quête à rejoindre. <COL YEL>(Les quêtes
bloquées ne seront pas considérées comme finies.
Terminez les quêtes d'Elgado pour les débloquer.)</COL>","Scegli una missione. <COL YEL>(Le missioni bloccate non
verranno registrate come completate. Sbloccale
affrontando le missioni Elgado.)</COL>","Wähle eine Quest, der du beitreten möchtest.
<COL YEL>(Gesperrte Quests gelten nicht als abgeschlossen.
Durch Fortschritt in Elgado-Quests freischaltbar.)</COL>","Elige una misión a la que acceder.<COL YEL>(Las misiones
bloqueadas no se darán por completadas. Antes debes
progresar en las misiones de Elgado).</COL>","Выбрать задание, к которому хотите присоединиться.
<COL YEL>(Закрытые задания не будут выполнены.
Выполняйте задания Элгадо, чтобы открыть их.)</COL>","Wybierz zadanie do dołączenia. <COL YEL>(Zablokowane
zadanie nie zostanie zaliczone jako wykonane.
Aby je odblokować, wykonuj zadania w Elgado).</COL>",,,"Selecione uma missão para participar.
<COL YEL>(Missões bloqueadas não contarão como concluídas.
Progrida com missões da Elgado para abri-las.)</COL>","참가할 퀘스트를 선택하십시오.
<COL YEL>（잠긴 긴급 퀘스트라 클리어로 취급되지 않습니다.
　관측 거점 진행을 해 주십시오.）</COL>","請選擇要參加的任務。
<COL YEL>（此為未開放的緊急任務，完成後並不會視為已完成
　請推進觀測據點進度）</COL>","请选择要参加的任务。
<COL YEL>（此紧急任务尚未解锁，完成后无法视为完成任务，
请推进观测据点的进度）</COL>",,,,,,,,"اختر مهمة للانضمام لها.
<COL YEL>(لن تُسجَّل المهمة المغلقة على أنها اكتملت.
تقدم في مهام إلجادو لفتحها).</COL>",,,,,,,,,,,
be0e8c34-8a1d-4251-9aa3-891a77360f93,4267848492,Fa_QuestBoard_System_Ex_08_MR,"参加要請に応じる傀異討究クエストの
検索条件を選択してください。","Select search criteria to find specific
Anomaly Investigations.","Sélectionnez les critères de recherche pour
trouver des Investigations sur l'Anomalie spécifiques.","Seleziona i criteri di ricerca per trovare
indagini anomalia specifiche.","Wähle Suchkriterien aus, um bestimmte Anomalie-
Untersuchungen zu finden.","Selecciona los parámetros de búsqueda para
los análisis de la Anomalía deseados.","Выберите критерий поиска
расследований аномалий.","Wybierz kryteria szukania, aby
znaleźć konkretne śledztwa Anomalii.",,,"Selecione critério de busca para encontrar
Investigações de Anomalia específicas.","참가 요청을 승낙할 괴이 탐구 퀘스트의
검색 조건을 선택하십시오.",請選擇要回應的傀異探究任務邀請之搜尋條件。,请选择搜索条件，搜索要接受参加请求的怪异探究任务。,,,,,,,,"<LSNR {حدد} {حددي}> معايير البحث لإيجاد
تحقيقات غير عادية بعينها.",,,,,,,,,,,
37b423b6-ceb0-4006-8c38-227741358167,2968834993,Fa_QuestBoard_System_List_15_MR,"参加するクエストを選択してください。
<COL RED>（参加可能な進行度に到達していないため
　参加できません）</COL>","Select a quest to join.
<COL RED>(You cannot join this quest because you haven't
progressed far enough in the story.)</COL>","Sélectionner une quête à rejoindre.
<COL RED>(Vous ne pouvez pas rejoindre cette quête car
vous n'avez pas assez progressé dans l'histoire.)</COL>","Scegli una missione.
<COL RED>(Non puoi unirti a questa missione perché
non hai progredito a sufficienza nella storia.)</COL>","Wähle eine Quest, der du beitreten möchtest.
<COL RED>(Du kannst dieser Quest nicht beitreten, weil dein
Fortschritt in der Geschichte nicht ausreicht.)</COL>","Elige una misión a la que acceder.
<COL RED>(No puedes acceder a esta misión porque aún no
has avanzado lo suficiente en la historia).</COL>","Выбрать задание, к которому вы хотите
присоединиться. <COL RED>(Невозможно, присоединиться — вы недостаточно
продвинулись по сюжету.)</COL>","Wybierz zadanie do dołączenia.
<COL RED>(Nie można dołączyć do zadania, bo nie osiągnięto
jeszcze odpowiedniego postępu w głównej historii).</COL>",,,"Selecione uma missão para participar.
<COL RED>(Você não pode participar desta missão
porque não progrediu na história o suficiente.)</COL>","참가할 퀘스트를 선택하십시오.
<COL RED>（아직 참가 가능한 진행 상황에 
도달하지 못했으므로 참가할 수 없습니다.）</COL>","請選擇要參加的任務。
<COL RED>（尚未達到可參加此任務的進度，無法參加）</COL>","请选择要参加的任务。
<COL RED>（当前的游戏进度尚未达到参加要求，
无法参加）</COL>",,,,,,,,"<LSNR {اختر} {اختاري}> مهمة للانضمام لها.
<COL RED>(لا يمكن الانضمام لهذه المهمة
<LSNR {لأنك} {لأنكِ}> لم <LSNR {تتقدم} {تتقدمي}> بما فيه الكفاية في القصة.)</COL>
",,,,,,,,,,,
c439f25d-12d6-49d4-9a75-5469f58ae212,1272454200,Fa_QuestBoard_System_List_16_MR,"参加するクエストを選択してください。
<COL RED>（盟勇が同行しているソロプレイ専用の
　クエストにつき参加できません）</COL>","Select a quest to join.
<COL RED>(Quests with Followers are solo only,
so you cannot join this quest.)</COL>","Sélectionnez une quête à rejoindre.
<COL RED>(Les quêtes avec Parangons
sont des quêtes à un joueur.)</COL>","Scegli una missione. <COL RED>(Le missioni con seguaci
sono esclusivamente per giocatore singolo,
perciò non puoi unirti alla missione.)</COL>","Wähle eine Quest, der du beitreten möchtest.
<COL RED>(Quests mit Anhängern sind nur alleine spielbar,
du kannst dieser Quest also nicht beitreten.)</COL>","Elige una misión a la que acceder <COL RED>(las misiones
con seguidores son exclusivamente en solitario,
así que no puedes acceder a esta misión).</COL>","Выберите задание, к которому хотите присоединиться.
<COL RED>(Задания с последователями — только одиночные,
присоединиться к этому заданию нельзя.)</COL>","Wybierz zadanie do dołączenia.
<COL RED>(Zadania ze zwolennikami są tylko dla 1 gracza,
więc nie można dołączyć do tego zadania).</COL>",,,"Selecione uma missão para participar.
<COL RED>(Missões com Seguidores são exclusivamente solo,
então você não pode participar.)</COL>","참가할 퀘스트를 선택하십시오.
<COL RED>(맹우가 동행하는 솔로 플레이
 전용 퀘스트이므로 참가할 수 없습니다)</COL>","請選擇要參加的任務。
<COL RED>（此為有盟友同行，
　僅限單人遊玩的任務，無法參加）</COL>","请选择要参加的任务。
<COL RED>（此任务为盟友同行的单人专用任务，无法参加）</COL>",,,,,,,,"حدد مهمة للانضمام لها.
<COL RED>(المهام مع التابعين مخصصة للعب الفردي فقط،
لذا لا يمكنك الانضمام لهذه المهمة.)</COL>",,,,,,,,,,,
5ae80321-1b07-4fa3-a3fb-636a02260c9b,3719283426,Fa_QuestBoard_System_List_17_MR,"参加するクエストを選択してください。
<COL RED>（盟勇が同行している
　ソロプレイ専用のクエストです）</COL>","Select a quest to join.
<COL RED>(Quests with Followers are solo only.)</COL>","Sélectionnez une quête à rejoindre.
<COL RED>(Les quêtes avec Parangons
sont des quêtes à un joueur.)</COL>","Scegli una missione. <COL RED>(Le missioni con seguaci
sono esclusivamente per giocatore singolo.)</COL>","Wähle eine Quest, der du beitreten möchtest.
<COL RED>(Quests mit Anhängern sind nur alleine spielbar.)</COL>","Elige una misión a la que acceder <COL RED>(las misiones
con seguidores son exclusivamente en solitario).</COL>","Выберите задание, к которому хотите
присоединиться. <COL RED>(Задания с последователями —
только одиночные.)</COL>","Wybierz zadanie do dołączenia.
<COL RED>(Zadania ze zwolennikami są tylko dla 1 gracza).</COL>",,,"Selecione uma missão para participar.
<COL RED>(Missões com Seguidores são exclusivamente solo.)</COL>","참가할 퀘스트를 선택하십시오.
<COL RED>(맹우가 동행하는
 솔로 플레이 전용 퀘스트입니다)</COL>","請選擇要參加的任務。
<COL RED>（此為有盟友同行，僅限單人遊玩的任務）</COL>","请选择要参加的任务。
<COL RED>（此任务为盟友同行的单人专用任务）</COL>",,,,,,,,"حدد مهمة للانضمام لها.
<COL RED>(المهام مع التابعين مخصصة للعب الفردي فقط.)</COL>",,,,,,,,,,,
ef3b79ac-8d83-4eea-89c1-98b95564a278,2335359311,Fa_QuestBoard_System_List_18_MR,"参加するクエストを選択してください。
<COL RED>（不正なクエストのため参加できません）</COL>","Select a quest to join.
<COL RED>(Unable to join as quest is unauthorized.)</COL>","Sélectionnez une quête à rejoindre.
<COL RED>(Impossible de rejoindre car vous n'avez pas
accès à cette quête.)</COL>","Scegli una missione.
<COL RED>(Impossibile unirti, missione non autorizzata.)</COL>","Wähle eine Quest, die du beitreten möchtest.
<COL RED>(Beitreten nicht möglich, da die Quest nicht
autorisiert ist.)</COL>","Elige una misión a la que acceder.
<COL RED>(No puedes accederla porque es una misión no
autorizada).</COL>","Выберите задание, в котором хотите участвовать.
<COL RED>(Нельзя участвовать в задании —
задание не утверждено.)</COL>","Wybierz zadanie do dołączenia.
<COL RED>(Nie można dołączyć, ponieważ nie masz pozwolenia
na to zadanie).</COL>",,,"Selecione uma missão para participar.
<COL RED>(Não é possível participar,
pois a missão não foi autorizada.)</COL>","참가할 퀘스트를 선택하십시오.
<COL RED>(비정상적인 퀘스트이므로 참가할 수 없습니다)</COL>","請選擇要參加的任務。
<COL RED>（此為不正確任務，無法參加）</COL>","请选择要参加的任务。
<COL RED>（此为违规篡改的任务，因此无法参加）</COL>",,,,,,,,"حدد مهمة للانضمام لها.
<COL RED>(لا يمكن ضم المهمة لأنها مهمة غير مصرَّح بها)</COL>",,,,,,,,,,,
4688b9e7-5af7-4f64-9636-7d4cf74c2a9d,3598743101,Fa_QuestBoard_System_List_19_MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
