guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
4ada2206-da3b-451e-b9a6-c40cb0027601,1734193916,Fa_QuestCounter_System_08_MR,"マスターランクの集会所
クエスト一覧を表示します。",Show master rank Hub quests.,Afficher les Quêtes Grand-Camp Maître.,Mostra le missioni base di caccia di grado maestro.,Zeige Meisterrang-Stätten-Quests an.,"Muestra las misiones de rango maestro
de la sala de reunión.",Показать задания Зала за ранг мастера,Pokaż zadania Centrum rangi mistrzowskiej.,,,Mostrar missões da AdE de Ranque Mestre.,"마스터 랭크 집회소
퀘스트 목록을 표시합니다.",顯示Master Rank的集會所任務。,显示大师等级的集会所任务一览。,,,,,,,,إظهار مهام المركز ذات رتبة القائد.,,,,,,,,,,,
29fd4ba2-5287-40dd-bd1b-ae79ce750628,2995707651,Fa_QuestCounter_System_09_MR,"傀異クエストの
クエスト一覧を表示します。",Show Anomaly quests.,Afficher les Quêtes Anomalie.,Mostra missioni anomalia.,Zeige Anomalie-Quests an.,Muestra las misiones de la Anomalía.,Показать аномальные задания,Pokaż zadania Anomalii.,,,Mostrar Missões de Anomalia.,"괴이 퀘스트의
퀘스트 목록을 표시합니다.",顯示傀異任務。,显示怪异任务的任务一览。,,,,,,,,إظهار المهام غير العادية.,,,,,,,,,,,
fcd5a371-8b87-4e48-a40a-c037750a1617,3102423626,Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_10_MR
36808fa3-3b36-43c8-848a-287b69367c74,2508328379,Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_11_MR
7095f42b-8b36-4200-a84d-fe789f07c0a7,3717621283,Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_12_MR
f72ef8e9-2f8f-4884-9bdf-bff73655c007,2067179048,Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_13_MR
d0f585e5-04e6-4f59-a8e4-8191f9d315d0,1083116994,Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_14_MR
55d4b8f7-6873-4e98-b93a-e9534348e4f0,1088288622,Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_15_MR
b5836053-7692-448d-b4a3-53635505f7f2,939081860,Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_QuestCounter_System_16_MR
d946fe71-e19e-46cf-926a-b6597a6b2895,4133929299,Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Laboratory_QuestCounter_System_RankMenu_01_MR
