guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
66044ddf-26f2-4f18-8733-cbaea5af16bd,2570702228,Fa_Servant_Menu_01_MR,盟勇選択,Select Follower,Sélection Parangon,Scegli seguace,Anhänger auswählen,Elegir seguidor,Выбрать послед-ля,Wybierz zwolennika,,,Selecione Seguidor,맹우 선택,選擇盟友,选择盟友,,,,,,,,تحديد التابع,,,,,,,,,,,
ccd85c43-1472-4c26-9951-9d85a1d95b7a,1798895765,Fa_Servant_Menu_02_MR,盟勇,Follower,Parangon,Seguace,Anhänger,Seguidor,Последователь,Zwolennik,,,Seguidor,맹우,盟友,盟友,,,,,,,,التابع,,,,,,,,,,,
b3cb6b2f-4657-4936-bf2c-23c27fe1c4d3,3434438101,Fa_Servant_Menu_03_MR,使用可能武器,Available Weapon Types,Types d'armes dispo.,Tipi arma disponib.,VerfügbWaffentypen,Tipos de armas,Доступ. типы оруж.,Dostępne typy broni,,,Tipos Arma Disp.,사용 가능 무기,可使用武器,可使用的武器,,,,,,,,أنواع الأسلحة المتاحة,,,,,,,,,,,
ee9d7294-0fb6-49f1-baca-e9ff1265dc66,107370115,Fa_Servant_Menu_04_MR,武器選択,Select Weapon Type,Chois. type d'arme,Scegli tipo di arma,Waffentyp wählen,Elige tipo de arma,Выбрать тип оружия,Wybierz typ broni,,,Selec. Tipo Arma,무기 선택,選擇武器,选择武器,,,,,,,,تحديد نوع السلاح,,,,,,,,,,,
99dc8a94-4177-48ba-9b18-0c3c125f96d5,657579582,Fa_Servant_Menu_05_MR,大剣,Great Sword,Grande épée,Spadone,Großschwert,Gran espada,Двуручный меч,Miecz dwuręczny,,,Espadão,대검,大劍,大剑,,,,,,,,السيف العظيم,,,,,,,,,,,
412a6c06-5830-41ec-9961-1be71d0c69bc,494559846,Fa_Servant_Menu_06_MR,太刀,Long Sword,Épée longue,Spada lunga,Langschwert,Espada larga,Бастард,Miecz długi,,,Espada Longa,태도,太刀,太刀,,,,,,,,السيف الطويل,,,,,,,,,,,
455d617e-5020-4279-8808-e9114dc236f9,3112736709,Fa_Servant_Menu_07_MR,片手剣,Sword & Shield,Épée et bouclier,Spada e scudo,Schwert & Schild,Espada y escudo,Меч и щит,Miecz i tarcza,,,Espada e Escudo,한손검,單手劍,单手剑,,,,,,,,السيف والدرع,,,,,,,,,,,
875778ef-1ba5-4c75-8a6d-312cdfe68030,1339635264,Fa_Servant_Menu_08_MR,双剣,Dual Blades,Lames doubles,Doppie lame,Doppelklingen,Espadas dobles,Два клинка,Bliźniacze ostrza,,,Duplas-lâminas,쌍검,雙劍,双剑,,,,,,,,النصال المزدوجة,,,,,,,,,,,
012e65b1-053c-4326-9095-88f18e40d8f6,1946601088,Fa_Servant_Menu_09_MR,ランス,Lance,Lance,Lancia,Lanze,Lanza,Копье,Lanca,,,Lança,랜스,長槍,长枪,,,,,,,,الرمح,,,,,,,,,,,
b0cf23ee-4b50-4bb9-beaa-c32edfca5f31,1820519120,Fa_Servant_Menu_10_MR,ガンランス,Gunlance,Lancecanon,Lancia-fucile,Gewehrlanze,Lanza pistola,Копьепушка,Lancopał,,,Lançarma,건랜스,銃槍,铳枪,,,,,,,,بندقية الرماح,,,,,,,,,,,
