guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
c9689e30-b7ef-48fe-8757-71156ffb77c0,1980097999,Smithy_System_01,"素材とお金を消費して、武器の生産や強化を
おこないます。","Use materials and money to forge and
upgrade weapons.","Forger et améliorer des armes
avec des matériaux et de l'argent.","Usa denaro e materiali per forgiare e migliorare
le armi.","Nutze Materialien und Geld, um Waffen
zu schmieden und zu verbessern.","Usa materiales y dinero para forjar y mejorar
armas.","Использовать материалы и деньги, чтобы
ковать и улучшать оружие.","Wykuwaj i ulepszaj broń, korzystając
ze swoich pieniędzy i materiałów.",,,"Use materiais e dinheiro para forjar e
melhorar armas.","소재와 돈을 소비해
무기를 생산하고 강화합니다.","消耗素材與金錢，
進行武器的生產或強化。","消耗素材和金钱，
生产或强化武器。",,,,,,,,"استخدم المواد والمال لتشكيل
الأسلحة وترقيتها.",,,,,,,,,,,
99e1fce4-f189-4354-b254-8083eead50eb,2936341404,Smithy_System_02,"素材とお金を消費して、防具の生産や強化を
おこないます。","Use materials and money to forge and
upgrade armor.","Forger et améliorer des armures
avec des matériaux et de l'argent.","Usa denaro e materiali per forgiare e migliorare
l'armatura.","Nutze Materialien und Geld, um Rüstung
zu schmieden und zu verbessern.","Usa materiales y dinero para forjar y mejorar
armaduras.","Использовать материалы и деньги, чтобы
ковать и улучшать доспехи.","Wykuwaj i ulepszaj pancerze, korzystając
ze swoich pieniędzy i materiałów.",,,"Use materiais e dinheiro para forjar e
melhorar armaduras.","소재와 돈을 소비해
방어구를 생산하고 강화합니다.","消耗素材與金錢，
進行防具的生產或強化。","消耗素材和金钱，
生产或强化防具。",,,,,,,,"استخدم المواد والمال لتشكيل
الدروع وترقيتها.",,,,,,,,,,,
cfadd223-28ce-430b-abfb-308711119a61,2857245482,Smithy_System_03,"百竜素材を使用した武器の強化を
おこないます。",Use Rampage materials to upgrade weapons.,"Utiliser des matériaux Calamité
pour améliorer des armes.",Usa materiali furia per migliorare le armi.,"Nutze Randale-Materialien, um deine Waffen
zu verbessern.",Usa materiales del Frenesí para mejorar armas.,"Использовать материалы Буйства,
чтобы улучшить оружие.","Użyj materiałów Furii, by ulepszyć broń.",,,Use materiais do Frenesi para melhorar armas.,백룡 소재를 사용한 무기를 강화합니다.,對使用百龍素材的武器進行強化。,使用百龙素材强化武器。,,,,,,,,استخدم مواد الغضب العارم لترقية الأسلحة.,,,,,,,,,,,
cf6832ec-ece4-4201-b5b1-dd8b132d2843,1407964869,Smithy_System_04,装飾品の生産、または着脱をおこないます。,"Craft, attach, or remove Decorations.","Créer, fixer ou retirer des joyaux.","Crea, inserisci o rimuovi gioielli.","Stelle Dekorationen her, bringe sie an oder
entferne sie.","Crea, coloca o quita adornos.","Создавать, прикреплять и снимать украшения.","Wytwórz, przymocuj lub usuń ozdoby.",,,"Crie, acople ou remova Adornos.",장식품을 생산하거나 장착/해제합니다.,生產或穿脫裝飾品。,生产或穿脱装饰品。,,,,,,,,اصنع أو أرفق أو أزل الإضافات.,,,,,,,,,,,
3f9ece48-0255-4bca-9835-a3c5b2e6d81f,17907882,Smithy_System_05,操虫棍の猟虫の購入をおこないます。,Buy Kinsects for Insect Glaives.,Acheter des Kinsectes pour les Insectoglaives.,Acquista kinsetti per falcioni insetto.,Kaufe Kinsekten für Insektenglefen.,Compra kinsectos para los glaives insecto.,Купить кинсектов для глеф насекомых.,Kup kinsekty na owadzie glewie.,,,Compre Kinsetos para Glaives Insetos.,조충곤의 사냥벌레를 구입합니다.,購買操蟲棍的獵蟲。,购买操虫棍的猎虫。,,,,,,,,اشترِ الكينسيكت من أجل سيوف الحشرات.,,,,,,,,,,,
f9882039-eb11-4432-a10e-9c26b6df530d,2590779561,Smithy_System_06,装備の変更や確認、売却をおこないます。,"Check, change, or sell your equipment.","Voir, changer, ou vendre votre équipement.","Controlla, cambia o vendi il tuo equipaggiamento.",Ändere oder verkaufe Teile deiner Ausrüstung.,"Ve, cambia o vende tu equipamiento.","Проверить, изменить или продать снаряжение.","Sprawdź, zmień lub sprzedaj swoje wyposażenie.",,,"Verifique, mude ou venda seus equipamentos.",장비를 변경하거나 확인/매각합니다.,進行裝備的變更、確認或出售。,变更、确认及出售装备。,,,,,,,,افحص أو غيّر أو بعْ معداتك الخاصة.,,,,,,,,,,,
2e0e390c-fbc6-4005-bbee-85cdd91fe0a9,137750160,Smithy_System_07,武器の種類を選択してください。,Select a weapon category.,Sélectionner une catégorie d'armes.,Scegli una categoria di armi.,Wähle eine Waffenkategorie aus.,Elige una categoría de arma.,Выберите категорию оружия.,Wybierz kategorię broni.,,,Selecionar uma categoria de arma.,무기 종류를 선택하십시오.,請選擇武器的種類。,请选择武器的种类。,,,,,,,,حدّد فئة السلاح.,,,,,,,,,,,
11a8c715-afdd-4079-bec0-3975ce366b29,1338336867,Smithy_System_08,作成する武器を選択してください。,Select a weapon to forge.,Sélectionner une arme à forger.,Scegli l'arma da forgiare.,Wähle die zu schmiedende Waffe.,Elige el arma que quieres forjar.,"Выберите оружие, которое нужно изготовить.","Wybierz broń, którą chcesz wykuć.",,,Selecionar uma arma para forjar.,생산할 무기를 선택하십시오.,請選擇要製作的武器。,请选择要制作的武器。,,,,,,,,حدّد سلاحًا لتشكيله.,,,,,,,,,,,
7a2bc427-456c-4430-923b-d5c677be467f,1744195608,Smithy_System_09,"作成する武器を選択してください。
<COL RED>（装備ＢＯＸに空きがありません）</COL>","Select a weapon to forge.
<COL RED>(Your equipment box is full.)</COL>","Sélectionner une arme à forger.
<COL RED>Votre coffre d'équipement est plein.</COL>","Scegli l'arma da forgiare.
<COL RED>(La tua cassa equipaggiamento è piena.)</COL>","Wähle die zu schmiedende Waffe.
<COL RED>(Deine Ausrüstungstruhe ist voll.)</COL>","Elige el arma que quieres forjar.
<COL RED>(Tu baúl de equipamiento está lleno).</COL>","Выберите оружие, которое нужно изготовить.
<COL RED>(Ваш ящик снаряжения заполнен.)</COL>","Wybierz broń, którą chcesz wykuć.
<COL RED>(Twoja skrzynka na
przedmioty jest pełna).</COL>",,,"Selecionar uma arma para forjar.
<COL RED>(Sua caixa de equipamentos está cheia.)</COL>","생산할 무기를 선택하십시오.
<COL RED>(장비 BOX에 빈 공간이 없습니다)</COL>","請選擇要製作的武器。
<COL RED>（裝備箱裡沒有空位）</COL>","请选择要制作的武器。
<COL RED>（装备箱没有空位）</COL>",,,,,,,,"حدّد سلاحًا لتشكيله.
<COL RED>(صندوق معداتك ممتلئ).</COL>",,,,,,,,,,,
3999ec0b-6322-481f-b9f5-19b8f5be6beb,3885213843,Smithy_System_10,"作成する武器を選択してください。
<COL RED>（必要な素材と所持金が不足しています）</COL>","Select a weapon to forge.
<COL RED>(You don't have enough materials/funds.)</COL>","Sélectionner une arme à forger.
<COL RED>Matériaux/fonds insuffisants.</COL>","Scegli l'arma da forgiare.
<COL RED>(Materiali/denaro insufficienti.)</COL>","Wähle die zu schmiedende Waffe.
<COL RED>(Du hast nicht genügend Materialien / Geld.)</COL>","Elige el arma que quieres forjar.
<COL RED>(No tienes suficiente dinero ni materiales).</COL>","Выберите оружие, которое нужно изготовить.
<COL RED>(У вас недостаточно сырья/средств.)</COL>","Wybierz broń, którą chcesz wykuć.
<COL RED>(Nie masz wystarczająco dużo
materiałów/funduszy).</COL>",,,"Selecionar uma arma para forjar.
<COL RED>(Você não possui materiais/fundos suficientes.)</COL>","생산할 무기를 선택하십시오.
<COL RED>(필요한 소재와 소지금이 부족합니다)</COL>","請選擇要製作的武器。
<COL RED>（必要素材及持有金額不足）</COL>","请选择要制作的武器。
<COL RED>（所需素材和持有金额不足）</COL>",,,,,,,,"حدّد سلاحًا لتشكيله.
<COL RED>(ليست لديك مواد/أموال كافية).</COL>",,,,,,,,,,,
