guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
4b52f6f4-29a0-4824-a587-74c06daf378f,2055995095,Smithy_System_MR_00,"最大強化に達している武器に対して
素材とお金を消費して傀異錬成をおこないます。","Use materials and money to Augment a fully
upgraded weapon via Qurious Crafting.","Utiliser des matériaux et de l'argent pour
Améliorer une arme qui a atteint son niveau
maximum via l'Artisanat Qurieux.","Usa materiali e denaro per elevare un'arma
con le creazioni quriose.","Nutze Materialien und Geld, um eine vollständig
verbesserte Waffe mit Qurioser Herstellung zu
augmentieren.","Gasta materiales y dinero para alterar con artesanía
Qurio una arma que hayas mejorado al máximo.","Используйте материалы и деньги для модификации
полностью улучшен. оружия путем создания причуд.","Wzmocnij w pełni ulepszoną broń za pomocą
ulepszeń z Qurio, korzystając z
pieniędzy i materiałów.",,,"Usar materiais e dinheiro para Aumentar uma arma
totalmente melhorada com Criação Quiral.","소재와 돈을 소비해 최대 강화 상태인 
무기의 괴이 연성을 실행합니다.","消耗素材與金錢，對已進行
最終強化的武器進行傀異鍊成。","消耗素材和金钱，对已强化至最大值的武器
进行怪异炼化。",,,,,,,,"استخدم المواد والأموال لتضخيم
سلاح كامل الترقية بصناعة الكوريو.",,,,,,,,,,,
00425768-7b2e-48ad-81f4-28d0985daa76,1110390735,Smithy_System_MR_01,"ＭＲ防具に対して
素材とお金を消費して傀異錬成をおこないます。","Use materials and money to Augment
Master Rank armor via Qurious Crafting.","Utiliser des matériaux et de l'argent pour Améliorer
les armures de Rang Maître via l'Artisanat Qurieux.","Usa materiali e denaro per elevare l'armatura
di grado maestro con le creazioni quriose.","Nutze Materialien und Geld, um Meisterrang-
Rüstung mit Qurioser Herstellung zu verbessern.","Gasta materiales y dinero para alterar una armadura
de rango maestro con artesanía Qurio.","Используйте материалы и деньги
для модификации доспехов
ранга мастера путем создания причуд.","Wzmocnij pancerz rangi mistrzowskiej przez funkcję
ulepszeń z Qurio, korzystając z
pieniędzy i materiałów.",,,"Usar materiais e dinheiro para Aumentar
armadura RM com Criação Quiral.","소재와 돈을 소비해
MR방어구의 괴이 연성을 실행합니다.","消耗素材與金錢，
進行精英防具的傀異鍊成。",消耗素材和金钱，对大师等级防具进行怪异炼化。,,,,,,,,"استخدم المواد والأموال لتضخيم
درع برتبة القائد بصناعة الكوريو.",,,,,,,,,,,
ecab3347-6057-4555-a396-8f9cc1376faa,2014840876,Smithy_System_MR_02,"傀異適応または傀異強化をおこなう武器を
選択してください。",Select a weapon to Augment via Qurious Crafting.,"Sélectionner une arme à Améliorer
via l'Artisanat Qurieux.","Scegli l'arma da elevare
tramite le creazioni quriose.","Wähle eine Waffe, die mit Qurioser Herstellung
augmentiert werden soll.","Elige el arma que quieres alterar con
artesanía Qurio.","Выберите оружие для модификации
путем создания причуд.","Wybierz broń, którą chcesz wzmocnić
ulepszeniami z Qurio.",,,"Selecione uma arma para aumentar
via Criação Quiral.","괴이 적응 또는 괴이 강화를 실행할 무기를
선택하십시오.",請選擇要進行傀異適應或傀異強化的武器。,请选择要进行怪异适应或怪异强化的武器。,,,,,,,,حدد سلاحًا لتكبيره بصناعة الكوريو.,,,,,,,,,,,
afeb3d55-84c5-4a0d-bb17-ebedb58a0e20,2270784530,Smithy_System_MR_03,"傀異適応または傀異強化をおこなう防具を
選択してください。",Select armor to Augment via Qurious Crafting.,"Sélectionner une armure à Améliorer
via l'Artisanat Qurieux.","Scegli l'armatura da elevare
tramite le creazioni quriose.","Wähle Rüstung, die mit Qurioser Herstellung
augmentiert werden soll.","Elige la armadura que quieres alterar con
artesanía Qurio.","Выберите доспехи для модификации
путем создания причуд.","Wybierz pancerz, który chcesz wzmocnić
ulepszeniami z Qurio.",,,"Selecione uma armadura para aumentar
via Criação Quiral.","괴이 적응 또는 괴이 강화를 실행할 방어구를
선택하십시오.",請選擇要進行傀異適應或傀異強化的防具。,请选择要进行怪异适应或怪异强化的防具。,,,,,,,,حدد درعًا لتكبيرها بصناعة الكوريو.,,,,,,,,,,,
ebcf2bc0-8a52-4679-8899-b2bf90120781,2902179423,Smithy_System_MR_04,武器におこなう傀異錬成を選択してください。,"Select an Augmentation to apply to the weapon
via Qurious Crafting.",Sélectionner une Amélioration Qurieuse.,Scegli un'elevazione da applicare con le creazioni quriose.,"Wähle eine Augmentation, die mithilfe von Qurioser
Herstellung auf die Waffe angewandt werden soll.","Elige la alteración que quieres aplicar al arma
con artesanía Qurio.","Выберите модификацию,
которую хотите установить
на оружие с помощью создания причуд.","Wybierz wzmocnienie do wyekwipowania na tej broni
przez ulepszenia z Qurio.",,,"Selecione um Aumento para aplicar à arma
por Criação Quiral.",무기에 실행할 괴이 연성을 선택하십시오.,請選擇要對武器進行的傀異鍊成。,请选择武器要进行的怪异炼化。,,,,,,,,"حدد عنصرًا لتضخيم السلاح
بواسطة صناعة الكوريو.",,,,,,,,,,,
2cde964c-2d84-4301-8e21-e08fb73a435d,2890431201,Smithy_System_MR_05,防具におこなう傀異錬成を選択してください。,Augment armor via Qurious Crafting.,Améliorer une armure via l'Artisanat Qurieux.,"Scegli l'armatura da elevare
con le creazioni quriose.",Augmentiere Rüstung mit Qurioser Herstellung.,Altera armadura mediante artesanía Qurio.,Модификация доспехов путем создания причуд.,Wzmocnij pancerz ulepszeniami z Qurio.,,,Aumentar armadura via Criação Quiral.,방어구에 실행할 괴이 연성을 선택하십시오.,請選擇要對防具進行的傀異鍊成。,请选择防具要进行的怪异炼化。,,,,,,,,تضخيم الدرع بواسطة صناعة الكوريو.,,,,,,,,,,,
d5ce219d-06be-4bc3-bccb-262b1884a13a,551762353,Smithy_System_MR_06,"傀異解放または傀異装着するレベルを
選択してください。",Select a level of Augmentation to unlock or equip.,"Sélectionner un niveau d'Amélioration à débloquer
ou à équiper.","Scegli un livello di elevazione da sbloccare
o equipaggiare.","Wähle eine Augmentationsstufe, die du freischalten
oder ausrüsten möchtest.","Elige el nivel de alteración que quieres desbloquear
o equipar.","Выберите уровень улучшения, которое хотите
разблокировать или использовать.","Wybierz poziom wzmocnień, który chcesz
odblokować lub wyekwipować.",,,"Escolha um nível de Aumento
para liberar ou equipar.","괴이 해방 또는 괴이 장착할 레벨을
선택해 주십시오.",請選擇要傀異解放或裝備傀異的等級。,请选择怪异解锁或怪异装备的等级。,,,,,,,,حدد مستوى التضخيم لفتحه أو استخدامه.,,,,,,,,,,,
4a889137-e3da-4cce-b65d-76fd8c3d13dc,3886464055,Smithy_System_MR_07,"傀異解放に使用する素材を選択してください。
<COL RED>（必要な評価値を満たすまで、
　素材を投入してください）</COL>","Select materials to use to unlock this Augmentation.
<COL RED>(Selected materials must add up to the required
value or higher.)</COL>","Sélectionner les matériaux pour débloquer l'Amélioration.
<COL RED>(Les matériaux sélectionnés doivent
atteindre la valeur totale requise.)</COL>","Scegli i materiali da usare per sbloccare
l'elevazione. <COL RED>(I materiali devono raggiungere
o superare il valore richiesto.)</COL>","Wähle Materialien für die Freischaltung dieser
Augmentation aus. <COL RED>(Füge Materialien hinzu,
bis der erforderliche Wert erreicht ist.)</COL>","Elige qué materiales usar para desbloquear esta
alteración. <COL RED>(Los materiales seleccionados deben
alcanzar o superar el valor indicado).</COL>","Выберите, какие материалы использовать для
разблокировки этой модификации.<COL RED>(Они не должны
быть дешевле требуемого значения.)</COL>","Wybierz materiały do odblokowania tego
wzmocnienia. <COL RED>(Wybrane materiały muszą się składać
na wymaganą lub wyższą wartość).</COL>",,,"Selecione materiais para desbloquear o Aumento.
<COL RED>(Materiais selecionados devem igualar o
valor necessário ou superá-lo.)</COL>","괴이 해방에 사용할 소재를 선택해 주십시오.
<COL RED>(필요한 평가치를 채울 때까지
 소재를 투입하십시오)</COL>","請選擇要用於傀異解放的素材。
<COL RED>（請加入素材，
　直至達到所需的評價值）</COL>","请选择用于怪异解锁的素材。
<COL RED>（请继续加入素材，直到满足所需评价值）</COL>",,,,,,,,"حدد المواد التي تريد استخدامها لفتح عملية التضخيم هذه.
<COL RED>(يجب جمع القيمة المطلوبة من
المواد أو أكثر.)</COL>",,,,,,,,,,,
f2ab1b4f-6d35-444c-8c45-b65335accf2d,2583082015,Smithy_System_MR_08,反映するステータスを選択してください。,Select which status to reflect.,Sélectionnez l'état à refléter.,Scegli lo stato da applicare.,Wähle den wiederzugebenden Status aus.,Elige qué estado mostrar.,Выберите статус для отображения.,"Wybierz, który status ma być zachowany.",,,Selecione que status refletir.,반영할 스테이터스를 선택하십시오.,請選擇要套用的數值。,请选择要适用的状态。,,,,,,,,حدد الحالة التي تريد عرضها.,,,,,,,,,,,
594344ab-f0db-47d6-bb28-6743389e543d,3521778027,Smithy_System_MR_09,"傀異強化に使用する素材を選択してください。
<COL RED>（必要な評価値を満たすまで、
　素材を投入してください）</COL>","Select materials to use for Augmentation.
<COL RED>(Selected materials must add up to the required
value or higher.)</COL>","Sélectionner les matériaux pour l'Amélioration.
<COL RED>(Les matériaux sélectionnés doivent
atteindre la valeur totale requise.)</COL>","Scegli i materiali da usare per l'elevazione.
<COL RED>(I materiali devono raggiungere o superare
il valore richiesto.)</COL>","Wähle Materialien für diese Augmentation aus.
<COL RED>(Füge Materialien hinzu, bis der erforderliche
Wert erreicht ist.)</COL>","Elige qué materiales quieres usar en la alteración.
<COL RED>(Los materiales seleccionados deben alcanzar
o superar el valor indicado).</COL>","Выберите, какие материалы использовать
для модификации.<COL RED>(Они не должны быть дешевле
требуемого значения.)</COL>","Wybierz materiały wzmocnienia.
<COL RED>(Wybrane materiały muszą się składać na wymaganą
lub wyższą wartość).</COL>",,,"Selecione materiais a serem usados no Aumento.
<COL RED>(Materiais selecionados devem igualar o
valor necessário ou superá-lo.)</COL>","괴이 강화에 사용할 소재를 선택하십시오.
<COL RED>(필요한 평가치를 채울 때까지
 소재를 투입하십시오)</COL>","請選擇要用於傀異強化的素材。
<COL RED>（請加入素材，
　直至達到所需的評價值）</COL>","请选择用于怪异强化的素材。
<COL RED>（请继续加入素材，直到满足所需评价值）</COL>",,,,,,,,"حدد المواد التي تريد استخدامها للتضخيم.
<COL RED>(يجب جمع القيمة المطلوبة من
المواد أو أكثر.)</COL>",,,,,,,,,,,
