guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
b5f8d953-5f46-4d2f-8b2e-176bb8c993e3,2876560962,Fa_TradeCenter_System_01,"オトモに交易を依頼して
アイテムを増やします。",Have a Buddy barter for you to get you more items.,"Demander à un Pilpoil de troquer pour
obtenir plus d'objets.","Usa un compagno per negoziare e ottenere
più oggetti.","Lasse einen Buddy für dich handeln, um mehr
Objekte zu bekommen.",Un camarada negociará para obtener más objetos.,"Поручить спутнику вести обмен за вас,
чтобы получить больше предметов.","Poproś kompana o przeprowadzenie transakcji
wymiennej, aby zyskać więcej przedmiotów.",,,"Faça um Amigo negociar por você para
obter mais itens.","동반자에게 교역을 의뢰하고
아이템을 늘립니다.",委託隨從交易，增加道具。,"委托随从交易，
增加道具。",,,,,,,,ضع رفيقًا ليقايض من أجلك للحصول على  المزيد من العناصر.,,,,,,,,,,,
adc3db86-fac3-432b-b519-e9d9c859b0c7,2427320673,Fa_TradeCenter_System_02,"交易船窓口が仕入れたアイテムを
カムラポイントと交換します。","Trade Kamura Points for items the trader has
stocked.","Échanger des points Kamura au courtier
contre des objets.",Cedi punti Kamura in cambio di oggetti.,"Tausche Kamura-Punkte gegen Objekte im Bestand des
Händlers.",Cambia puntos Kamura por objetos del mercader.,"Обменять очки Камуры на предметы,
запасенные торговцем.","Wymień punkty Kamury na przedmioty
w ofercie kupca.",,,"Troque Pontos Kamura por itens que o mercador
tem em estoque.","교역선 창구에서 들여온 아이템을
카무라 포인트와 교환합니다.","以神火點數兌換
交易船窗口進貨的道具。","以炎火点数兑换
交易船窗口采购的道具。",,,,,,,,"قايض نقاط كامورا مقابل العناصر
التي خزّنها التاجر.",,,,,,,,,,,
ed00aa6b-07e3-4be6-ae42-aadb504a84ed,1963016589,Fa_TradeCenter_System_02_01,"クエストに役立つアイテムを
カムラポイントと交換します。","Trade Kamura Points for items useful during a
quest.","Échanger des points Kamura contre
des objets utiles pour les quêtes.","Cedi punti Kamura in cambio di oggetti
utili per le missioni.","Tausche Kamura-Punkte gegen Objekte, die bei
Quests nützlich sind.","Cambia puntos Kamura por objetos útiles para tus
misiones.","Обменять очки Камуры на предметы,
полезные для заданий.","Wymień punkty Kamury na przedmioty
przydatne w trakcie zadań.",,,"Troque Pontos Kamura por itens úteis durante uma
missão.","퀘스트에 도움이 되는 아이템을
카무라 포인트와 교환합니다.","以神火點數兌換
有助於任務的道具。","以炎火点数兑换
对任务有帮助的道具。",,,,,,,,"قايض نقاط كامورا مقابل العناصر
المفيدة خلال المهمة.",,,,,,,,,,,
13da13c2-a6df-468d-80b0-ebe23c872211,793103178,Fa_TradeCenter_System_02_02,"自宅に飾れる掛け軸を
カムラポイントと交換します。","Trade Kamura Points for hanging scrolls to
decorate your home.","Échanger des points Kamura contre des parchemins
muraux pour votre maison.","Cedi punti Kamura in cambio di rotoli appesi
per decorare i tuoi alloggi.","Tausche Kamura-Punkte gegen Rollbilder, mit denen
du dein Heim dekorieren kannst.","Cambia puntos Kamura por kakejiku para decorar tu
hogar.","Обменять очки Камуры на свитки,
которыми можно украсить дом.","Wymień punkty Kamury na wiszące zwoje
do ozdoby swojego domu.",,,"Troque Pontos Kamura por pergaminhos pendurados
para decorar sua moradia.","집에 장식할 수 있는 족자를
카무라 포인트와 교환합니다.","以神火點數兌換
能擺放在自家的掛軸。","以炎火点数兑换
能装饰在自己家中的立轴。",,,,,,,,"قايض نقاط كامورا مقابل اللفافات المُعلقة
لتزيين منزلك.",,,,,,,,,,,
096ef9cb-f920-4c39-ad4e-442ce9be6c96,3793595961,Fa_TradeCenter_System_02_03,"普段手に入らない特別なアイテムを
カムラポイントと交換します。",Trade Kamura Points for hard-to-acquire items.,"Échanger des points Kamura contre
des objets rares.","Cedi punti Kamura in cambio di oggetti
particolarmente rari.","Tausche Kamura-Punkte gegen schwer zu bekommende
Objekte.","Cambia puntos Kamura por objetos difíciles de
conseguir.",Обменять очки Камуры на редкие предметы.,"Wymień punkty Kamury na
trudne do uzyskania przedmioty.",,,"Troque Pontos Kamura por itens difíceis de
adquirir.","일반적으로 구할 수 없는 특별한 아이템을
카무라 포인트와 교환합니다.","以神火點數兌換
平常無法得到的特別道具。","以炎火点数兑换
平常无法获得的特别道具。",,,,,,,,قايض نقاط كامورا لجلب العناصر صعبة الحصول.,,,,,,,,,,,
aca67228-f98f-4a56-b465-fcfc93d7dee1,3495411339,Fa_TradeCenter_System_02Error,"交易船窓口が仕入れたアイテムを
カムラポイントと交換します。
<COL RED>（現在交換できるアイテムがありません）</COL>","Trade Kamura Points for items the trader has
stocked.
<COL RED>(No redeemable items available.)</COL>","Échanger des points Kamura au courtier
contre des objets.
<COL RED>Pas d'objets à échanger disponibles.</COL>","Cedi punti Kamura in cambio di oggetti.
<COL RED>(Nessun oggetto da riscattare.)</COL>","Tausche Kamura-Punkte gegen Objekte im Bestand des
Händlers.
<COL RED>(Es sind keine Objekte zum Einlösen verfügbar.)</COL>","Cambia puntos Kamura por objetos del mercader.
<COL RED>(No hay objetos que canjear).</COL>","Обменять очки Камуры на предметы,
запасенные торговцем.
<COL RED>(Нет доступных предметов.)</COL>","Wymień punkty Kamury na
przedmioty w ofercie kupca.
<COL RED>(Brak przedmiotów do wymiany).</COL>",,,"Troque Pontos Kamura por itens que o mercador
tem em estoque.
<COL RED>(Não há itens reivindicáveis disponíveis.)</COL>","교역선 창구에서 들여온 아이템을
카무라 포인트와 교환합니다.
<COL RED>(현재 교환할 수 있는 아이템이 없습니다)</COL>","以神火點數兌換
交易船窗口進貨的道具。
<COL RED>（目前沒有可兌換的道具）</COL>","以炎火点数兑换
交易船窗口采购的道具。
<COL RED>（现在没有可兑换的道具）</COL>",,,,,,,,"قايض نقاط كامورا مقابل العناصر التي
خزّنها
التاجر.<COL RED>(لا توجد عناصر قابلة للتحصيل).</COL>",,,,,,,,,,,
f6f7c489-60f5-4f66-90c3-131324f03f53,562003535,Fa_TradeCenter_System_02_01Error,"クエストに役立つアイテムを
カムラポイントと交換します。
<COL RED>（現在交換できるアイテムがありません）</COL>","Trade Kamura Points for items useful during a
quest.
<COL RED>(No redeemable items available.)</COL>","Échanger des points Kamura contre des objets
utiles pour les quêtes.
<COL RED>Pas d'objets à échanger disponibles.</COL>","Cedi punti Kamura in cambio di oggetti
utili per le missioni.
<COL RED>(Nessun oggetto da riscattare.)</COL>","Tausche Kamura-Punkte gegen Objekte, die bei
Quests nützlich sind.
<COL RED>(Es sind keine Objekte zum Einlösen verfügbar.)</COL>","Cambia puntos Kamura por objetos útiles para tus
misiones.
<COL RED>(No hay objetos que canjear).</COL>","Обменять очки Камуры на предметы,
полезные для заданий.
<COL RED>(Нет доступных предметов.)</COL>","Wymień punkty Kamury na
przedmioty przydatne w trakcie zadań.
<COL RED>(Brak przedmiotów do wymiany).</COL>",,,"Troque Pontos Kamura por itens úteis durante uma
missão.
<COL RED>(Não há itens reivindicáveis disponíveis.)</COL>","퀘스트에 도움이 되는 아이템을
카무라 포인트와 교환합니다.
<COL RED>(현재 교환할 수 있는 아이템이 없습니다)</COL>","以神火點數兌換
有助於任務的道具。
<COL RED>（目前沒有可兌換的道具）</COL>","以炎火点数兑换
对任务有帮助的道具。
<COL RED>（现在没有可兑换的道具）</COL>",,,,,,,,"قايض نقاط كامورا مقابل العناصر
خلال المهمة.
<COL RED>(لا توجد عناصر قابلة للتحصيل).</COL>",,,,,,,,,,,
e6ff5099-7b22-4812-96c0-2e1439038348,2717973802,Fa_TradeCenter_System_02_02Error,"自宅に飾れる掛け軸を
カムラポイントと交換します。
<COL RED>（現在交換できるアイテムがありません）</COL>","Trade Kamura Points for hanging scrolls to
decorate your home.
<COL RED>(No redeemable items available.)</COL>","Échanger des points Kamura contre des parchemins
muraux pour votre maison.<COL RED>Pas d'objets à échanger disponibles.</COL>","Cedi punti Kamura in cambio di rotoli appesi
per decorare i tuoi alloggi.
<COL RED>(Nessun oggetto da riscattare.)</COL>","Tausche Kamura-Punkte gegen Rollbilder, mit denen
du dein Heim dekorieren kannst.
<COL RED>(Es sind keine Objekte zum Einlösen verfügbar.)</COL>","Cambia puntos Kamura por kakejiku para decorar tu
hogar.
<COL RED>(No hay objetos que canjear).</COL>","Обменять очки Камуры на свитки,
которыми можно украсить дом.
<COL RED>(Нет доступных предметов.)</COL>","Wymień punkty Kamury na wiszące
zwoje do ozdoby swojego domu.
<COL RED>(Brak przedmiotów do wymiany).</COL>",,,"Troque Pontos Kamura por pergaminhos pendurados
para decorar sua moradia.
<COL RED>(Não há itens reivindicáveis disponíveis.)</COL>","집에 장식할 수 있는 족자를
카무라 포인트와 교환합니다.
<COL RED>(현재 교환할 수 있는 아이템이 없습니다)</COL>","以神火點數兌換
能擺放在自家的掛軸。
<COL RED>（目前沒有可兌換的道具）</COL>","以炎火点数兑换
能装饰在自己家中的立轴。
<COL RED>（现在没有可兑换的道具）</COL>",,,,,,,,"قايض نقاط كامورا مقابل اللفافات المُعلقة
لتزيين منزلك.
<COL RED>(لا توجد عناصر قابلة للتحصيل).</COL>",,,,,,,,,,,
e292a358-1e0f-4a76-871a-4e39316d6f24,3774333616,Fa_TradeCenter_System_02_03Error,"普段手に入らない特別なアイテムを
カムラポイントと交換します。
<COL RED>（現在入荷しているアイテムがありません）</COL>","Trade Kamura Points for hard-to-acquire items.
<COL RED>(No items are in stock.)</COL>","Échanger des points Kamura contre
des objets rares.
<COL RED>Pas d'objets en stock.</COL>","Cedi punti Kamura in cambio di oggetti
particolarmente rari.
<COL RED>(Nessun oggetto disponibile.)</COL>","Tausche Kamura-Punkte gegen schwer zu bekommende
Objekte.
<COL RED>(Es sind keine Objekte auf Lager.)</COL>","Cambia puntos Kamura por objetos difíciles de
conseguir.
<COL RED>(No hay objetos disponibles).</COL>","Обменять очки Камуры на редкие предметы.
<COL RED>(Нет предметов.)</COL>","Wymień punkty Kamury na
trudne do uzyskania przedmioty.
<COL RED>(Brak przedmiotów w ofercie).</COL>",,,"Troque Pontos Kamura por itens difíceis de
adquirir.
<COL RED>(Sem itens em estoque.)</COL>","일반적으로 구할 수 없는 특별한 아이템을
카무라 포인트와 교환합니다.
<COL RED>(현재 입하된 아이템이 없습니다)</COL>","以神火點數兌換
平常無法得到的特別道具。
<COL RED>（目前沒有道具進貨）</COL>","以炎火点数兑换
平常无法获得的特别道具。
<COL RED>（现在没有道具进货）</COL>",,,,,,,,"قايض نقاط كامورا مقابل العناصر صعبة الحصول.
<COL RED>(لا توجد عناصر في المخزن).</COL>",,,,,,,,,,,
68a1e48e-b2f2-4278-8003-929fc69d361a,2001833587,Fa_TradeCenter_Sysem_Point_01,"交換アイテムを選択してください。
交換後はアイテムＢＯＸに送られます。","Select which item you want.
Items will be sent to your item box.","Sélectionnez un objet.
Les objets sont envoyés au coffre après l'échange.","Scegli l'oggetto desiderato.
Sarà inviato alla cassa oggetti.","Wähle ein Objekt, das du haben möchtest.
Objekte werden in deiner Objekttruhe verstaut.","Selecciona el objeto que quieres.
Se enviará a tu baúl de objetos.","Выберите нужный предмет.
Предметы будут отправлены в ваш ящик предметов.","Wybierz przedmiot. Zostanie on wysłany
do twojej skrzynki na przedmioty.",,,"Selecionar que item você quer.
Os itens serão enviados para sua Caixa de Itens.","교환 아이템을 선택하십시오.
교환 후에는 아이템 BOX로 보냅니다.","請選擇想要兌換的道具。
兌換後將會送往道具箱。","请选择要兑换的道具。
兑换后会送往道具箱。",,,,,,,,"حدّد العنصر المُراد.
ستُرسل العناصر إلى صندوق عناصرك.",,,,,,,,,,,
8d3f806b-9f71-4436-b3b0-60df1f20d8ed,1920932689,Fa_TradeCenter_Sysem_Point_02,"交換アイテムを選択してください。
<COL RED>（カムラポイントが不足しています）</COL>","Select which item you want.
<COL RED>(Not enough Kamura Points.)</COL>","Sélectionnez un objet.
<COL RED>Pas assez de points Kamura.</COL>","Scegli l'oggetto desiderato.
<COL RED>(Punti Kamura insufficienti.)</COL>","Wähle ein Objekt, das du haben möchtest.
<COL RED>(Du hast nicht genügend Kamura-Punkte.)</COL>","Selecciona el objeto que quieres.
<COL RED>(No tienes suficientes puntos Kamura).</COL>","Выберите нужный предмет.
<COL RED>(Недостаточно очков Камуры.)</COL>","Wybierz przedmiot.
<COL RED>(Nie masz wystarczająco dużo punktów Kamury).</COL>",,,"Selecionar que item você quer.
<COL RED>(Pontos Kamura insuficientes.)</COL>","교환 아이템을 선택하십시오.
<COL RED>(카무라 포인트가 부족합니다)</COL>","請選擇想要兌換的道具。
<COL RED>（神火點數不足）</COL>","请选择要兑换的道具。
<COL RED>（炎火点数不足）</COL>",,,,,,,,"حدّد العنصر المُراد.
<COL RED>(لا توجد نقاط كامورا كافية).</COL>",,,,,,,,,,,
