guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
104c0897-1992-4315-896a-8eac0a0d913a,2036068358,Fa_Village_System_01_MR,Fa_Village_System_01_MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf4d4634-e998-4c98-a22f-4e9cca487337,281447152,Fa_Village_System_02_MR,Fa_Village_System_02_MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0bee9258-34e8-4ad4-b85b-1256d9259ced,2429858531,Fa_Village_System_03_MR,Fa_Village_System_03_MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437ab81e-568c-498f-9cc9-54126ebc0e5d,2630855970,Fa_Village_System_04_MR,Fa_Village_System_04_MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1d1b54a-0369-4b0f-afd0-65c8cb50690d,891732117,Fa_Village_System_05_MR,Fa_Village_System_05_MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b3229f5-ba5e-4f43-81f8-a1b5a24318fb,3025593363,Fa_Kitchen_System_ConfirmGotoMyset_MR,"うさ団子マイセット画面へ移動すると
おだんごの選択は解除されます。
よろしいですか？",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e651583-a6fa-49d6-b9b2-39c8a1bb8661,2785737072,Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_05_MR
6af72818-97ae-4ff1-b621-e909f57d5f37,1276926204,Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR,<COLOR FF0000>#Rejected#</COLOR> Fa_Village_System_Fa_TrainingArea_System_06_MR
1386e81b-9b77-48de-adeb-e1237487252c,2130414781,Fa_Village_System_09_MR,Fa_Village_System_09_MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4d4abb6-60f7-49b1-acd3-1637cbff7f3c,2308853701,Fa_Village_System_10_MR,Fa_Village_System_10_MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
