guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
5a2f23a8-228b-4bc2-87eb-e6739dd4440b,711427226,FacilityCommonMenu_01,世間話,Chitchat,Discussion,Chiacchiera,Geplauder,Conversación,Разговор,Pogawędka,,,Papo,잡담,聊天,闲聊,,,,,,,,الدردشة,,,,,,,,,,,
64062639-6852-4483-8e4f-d8c8cbb2a4e1,2440233417,FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_02
de00f55f-8a95-4bbe-adfb-964a002a3f95,3723971499,FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_03
b99a45d6-2a5a-43ed-8bca-a7d8987fad5e,1800818578,FacilityCommonMenu_04,装飾品,Decorations,Joyaux,Gioielli,Dekorationen,Adornos,Украшения,Ozdoby,,,Adornos,장식품,裝飾品,装饰品,,,,,,,,الإضافات,,,,,,,,,,,
d5dc90b5-a933-41f4-b386-5ef0f6b9379d,97918,FacilityCommonMenu_05,装備ＢＯＸ,Equipment Box,Coffre d'équipement,Cassa equipaggiam.,Ausrüstungstruhe,Baúl de equipamiento,Ящик снаряжения,Skrzynka na wyposaż.,,,Caixa de Equip.,장비 BOX,裝備箱,装备箱,,,,,,,,صندوق المعدات,,,,,,,,,,,
fb97bff4-7757-4bc1-87f0-f8ea7c953cbd,2713906680,FacilityCommonMenu_06,お金で払う,Pay with Money,Commander (zenny),Paga in denaro,Mit Geld bezahlen,Pagar con dinero,Заплатить деньгами,Zapłać pieniędzmi,,,Pagar com Dinheiro,돈으로 지불하기,以現金支付,以金钱支付,,,,,,,,الدفع نقدًا,,,,,,,,,,,
ba104930-7cbe-49a0-b986-544128175fb2,2056706387,FacilityCommonMenu_07,ポイントで払う,Pay with Points,Commander (points),Paga in punti,Mit Punkten bezahlen,Pagar con puntos,Заплатить очками,Zapłać punktami,,,Pagar com Pontos,포인트로 지불하기,以點數支付,以点数支付,,,,,,,,الدفع بالنقاط,,,,,,,,,,,
229aafaf-ed58-48a4-99f3-6ec5ec2f83ca,2468423251,FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_08
3373812c-049d-462c-aea6-267d27d5bd39,611274704,FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_09
349172cb-1af1-47f8-83e6-3306805304b9,3307724878,FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10,<COLOR FF0000>#Rejected#</COLOR> FacilityCommonMenu_10
