guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
83c0c577-35aa-4c8f-99f0-b00d2a8d0e30,1490084160,GC_Award_E_01,"すべての勲章を
集めた者だけに与えられる、
ハンターを極めた証。","The mark of a peerless hunter,
conferred only to those who
have earned all other awards.","Une marque d'excellence,
décernée à ceux qui ont
reçu toutes les distinctions.","Stemma di un cacciatore senza
eguali, conferito solo a chi
ha ottenuto gli altri premi.","Zeichen erstklassiger Jäger.
Nur für jene, die alle anderen
Auszeichnungen verdient haben.","La seña de un cazador sin par,
otorgada solo a aquellos que
han logrado todo lo demás.","Знак несравненного охотника.
Выдается лишь тем, кто
получил все остальные награды.","Przyznawana niezrównanym
łowcom, którzy zdobyli już
wszystkie inne wyróżnienia.",,,"A marca de um caçador
inimitável, conferida aos que
ganharam todos os prêmios.","모든 훈장을 모은 자에게만
주어지는 헌터의 극에 도달한
증표.","唯有集齊全部勳章才能獲得的
至高無上獵人之證。","仅授予集齐所有勋章之人的
极致猎人之证。",,,,,,,,"شارة صياد لا مثيل له،
تُمنح لمن حاز
جميع الجوائز الأخرى فقط.",,,,,,,,,,,
430c106d-a8f0-4d0e-bc51-41faaa2902a7,3955217347,GC_Award_E_02,"カムラの里のハンター
となった証。無事に狩猟が
おこなえるように渡されるもの。","A trinket given to new hunters
who have proved themselves
capable.","Bibelot offert aux nouveaux
chasseurs ayant fait leurs
preuves.","Ornamento offerto ai nuovi
cacciatori che hanno dato
prova delle loro abilità.","Ein Deko-Gegenstand für neue
Jäger, die ihr Potenzial unter
Beweis gestellt haben.","Ornamento dado a cazadores
noveles que han demostrado su
habilidad.","Награда для новичков,
показавших себя
способными охотниками.","Świecidełko przyznawane
początkującym łowcom, którzy
zdołali się wykazać.",,,"Enfeite dado a novos caçadores
que provaram ser capazes.","카무라 마을의 헌터가 된 증표.
무사히 사냥을 할 수 있도록
헌터에게 전해 준다.","成為神火村獵人的證明。
村莊會將此護符發給獵人，
保佑其狩獵過程能一切平安。","成为炎火村猎人的证明。
授予此证，愿君平安狩猎。",,,,,,,,"حِلية تُمنح للصيادين
الجُدد الذين أثبتوا
كفاءتهم.",,,,,,,,,,,
4ca316cd-ca6c-4453-a5c8-b170c7dc8284,2784305754,GC_Award_E_03,"マガイマガドを狩猟した証。
里に代々伝わる宝刀は、
皆を導く者の象徴である。","A prize for vanquishing
Magnamalo. This blade has
led Kamura for generations.","Prix décerné pour avoir vaincu
le Magnamalo. À Kamura depuis
des générations.","Lama vinta per aver sconfitto
il Magnamalo. A Kamura viene
tramandata da generazioni.","Ein Preis für den Sieg über
Magnamalo. Diese Klinge führt
Kamura seit Generationen.","Un premio por derrotar a
Magnamalo. Esta hoja ha guiado
Kamura durante generaciones.","Приз за победу над Магнамало.
Этот клинок веками вел
за собой жителей Камуры.","Nagroda za pokonanie
Magnamalo. To ostrze walczy
dla Kamury od pokoleń.",,,"Prêmio por derrotar Magnamalo.
Esta lâmina lidera Kamura
há gerações.","마가이마가도를 사냥한 증표.
마을 대대로 전해 오는 보검은
모두를 이끄는 자의 상징이다.","狩獵了怨虎龍的證明。
此乃村裡代代相傳的寶刀，
也是領導者的象徵。","成功狩猎怨虎龙的证明。
村中代代相传的宝刀，
是村众指引者的象征。",,,,,,,,"جائزة لهزيمة ماجنامالو.
قاد هذا النصل
كامورا لأجيال.",,,,,,,,,,,
048f4850-e76c-42fb-82fd-aee70ca8c2f3,736118085,GC_Award_E_04,"百竜夜行においてヌシを退けた
証。刃となった爪に残る傷跡は、
壮絶な生き様を語っている。","Granted for banishing an Apex
in the Rampage. Its blade is
riddled with battle scars.","Cette lame guerrière marque le
bannissement d'un monstre
supérieur de la Calamité.","Premio per aver sconfitto un
Apex durante la furia. La sua
lama reca segni dello scontro.","Für die Verbannung eines Apex
in der Randale. Die Klinge ist
mit Kampfspuren übersät.","Obsequio por ahuyentar a un
Apex durante el Frenesí.
Su hoja luce mil cicatrices.","Награда за изгнание высшего
монстра Буйства. Клинок покрыт
боевыми шрамами.","Przyznawany za rozprawienie
się z Apeksem Furii. Pokryty
bliznami bitewnymi.",,,"Concedido por banir o Alfa no
Frenesi. Sua lâmina está cheia
de cicatrizes de batalha.","백룡야행의 주인을 격퇴한 증표.
칼날이 된 손톱에 남은 상처는
그 의열한 삶을 전해 주고 있다.","在百龍夜行中擊退首領的證明。
首領揮舞的凶爪上殘留的傷痕，
說明其歷經過何等壯烈的生活。","成功击退百龙夜行霸主的证明。
化为武器的锐爪上残留的伤痕，
讲述着原主波澜壮阔的一生。",,,,,,,,"مُنحت لإقصاء وحش علوي
في الغضب العارم. لها نصل
يعج بندوب المعركة.",,,,,,,,,,,
054f3615-2630-4389-993b-d2a78d4f8114,4020790845,GC_Award_E_05,"イブシマキヒコを撃退した証。
ゴコクが撃退までの子細を
絵巻にして渡してくれたもの。","A hanging scroll from Master
Hojo, depicting your victory
over Wind Serpent Ibushi.","Un parchemin mural de Maître
Hojo représentant la victoire
sur l'Ibushi du vent.","Rotolo appeso del capo Hojo
che raffigura la tua vittoria
sull'Ibushi del vento.","Ein Rollbild von Meister Hojo.
Es zeigt deinen Sieg über
Windschlange Ibushi.","Un Kakejiku del maestro Hojo
que narra tu victoria sobre
Ibushi de viento.","Свиток Мастера Гильдии Ходзё.
Изображает вашу победу
над Змеем ветра Ибуси.","Wiszący zwój od Mistrza Hojo,
ukazujący twoje zwycięstwo nad
Wężem Wiatru Ibushim.",,,"Pergaminho Pendurado do Mestre
Hojo, por sua vitória sobre a
Serpente do Vento Ibushi.","이부시마키히코를 격퇴한 증표.
고코쿠가 격퇴할 때까지의
과정을 그려서 전해 줬다.","擊退風神龍的證明。
風登將整個戰鬥過程
細細描繪下來，供你留作紀念。","成功击退风神龙的证明。
授予的这副画卷中，
由岁丰稔绘制了退敌始末。",,,,,,,,"لفافة مُعلقة من السيد هوجو،
تصور انتصارك على
أفعى الرياح إيبوشي.",,,,,,,,,,,
38f2e1c6-7f8b-4b0a-8ff9-e47775ea7d80,1485762365,GC_Award_E_06,"風神龍と雷神龍を撃退した証。
百竜夜行を描いた古い絵巻物に、
ゴコクが２体の龍を書き加えた。","Received upon defeating Ibushi
and Narwa. Depicts the two
serpents leading the Rampage.","Offert pour avoir vaincu la
Narwa et l'Ibushi. Représente
ces deux serpents.","Ricevuto per aver sconfitto
l'Ibushi e la Narwa. Raffigura
i due a capo della furia.","Für den Sieg über Ibushi und
Narwa erhalten. Zeigt die zwei
Anführer der Randale.","Recibido tras vencer a Ibushi
y Narwa. Muestra a los dos
dragones liderando el Frenesí.","Награда за победу над Ибуси
и Нарвой. Изображает двух
змеев, возглавляющих Буйство.","Przyznawany za pokonanie
Ibushiego i Narwy. Przedstawia
oba węże na czele Furii.",,,"Recebido ao derrotar Ibushi e
Narwa. Retrata duas serpentes
liderando o Frenesi.","풍신룡과 뇌신룡을 격퇴한 증표.
백룡야행을 그린 오래된 그림에
고코쿠가 두 용을 덧그렸다.","擊退風神龍與雷神龍的證明。
風登在畫有百龍夜行的古老繪卷上
又提筆加畫了這兩頭龍。","成功击退风神龙和雷神龙的证明。
描绘着百龙夜行的古老画卷上，
有岁丰稔添补的两头巨龙。",,,,,,,,"تُستلم لهزيمة إيبوشي وناروا.
تصور كلاهما وهما تقودان
الغضب العارم.",,,,,,,,,,,
1f682a8a-f3d8-4868-814d-c060a667f2ab,3685299342,GC_Award_E_07,"異形のバルファルクを退けた証。
奇しき赫耀に立ち向かう英雄の
姿が描かれた飾り扇子。","A decorative fan that depicts
a heroic figure confronting
the ominous crimson glow.","Un éventail de décoration
représentant un héros face à
la terrible Lueur écarlate.","Ventaglio raffigurante
un eroe che affronta il
temibile bagliore cremisi.","Hübscher Fächer. Er zeigt eine
Heldengestalt, die sich dem
Karmesin-Leuchten nähert.","Abanico decorativo que muestra
una figura heroica arrostrando
el ominoso brillo carmesí.","Декоративный веер. На нем
изображен герой, что борется
со зловещим алым свечением.","Ozdobny wachlarz z postacią
bohatera na tle złowieszczej
karmazynowej łuny.",,,"Leque decorativo que retrata
um herói confrontando um
sinistro lume rubro.","이형의 발파루크를 격퇴한 증표.
영묘한 광채에 맞서 싸운
영웅의 모습이 그려진 부채.","擊退異形天彗龍的證明。
畫有迎戰秘紅赫耀的英雄
其英姿之裝飾用扇子。","成功击退异形天彗龙的证明。
精美的折扇上描绘着
英雄对战神秘红光的风采。",,,,,,,,"مروحة زخرفية تصور
شخصية بطولية تواجه الوهج
القرمزي المُنذر بالشر.",,,,,,,,,,,
f9cb95b0-5d5f-4ba0-bce5-e40acede9b32,3439437429,GC_Award_E_08,"狩猟の極致へ到達しようとする
者しか挑めない難関クエストを
制した証。激闘を描いた扇子。","The mark of a hunter who has
attempted some of the toughest
quests around—and won.","Une éventail décerné aux
chasseurs ayant accompli les
quêtes les plus ardues.","Premio per un cacciatore che
ha affrontato e vinto le
missioni più difficili.","Das Zeichen eines Jägers, der
erfolgreich einige der härtes-
ten Quests gemeistert hat.","La seña de un cazador que ha
afrontado y superado alguna de
las misiones más arduas.","Награда охотнику, выполнившему
самые сложные задания.","Przyznawany łowcom, którzy
podjęli się najtrudniejszych
zadań – i je wykonali.",,,"Marca de um caçador que
encarou algumas das mais
difíceis missões e venceu.","사냥의 극에 도달하려는 자만이
도전할 수 있는 난관을 제압한
증표. 격전이 그려진 부채.","完成超難任務的證明。唯有達到
狩獵巔峰之人才能挑戰此任務。
扇子上畫下了這場激烈的戰鬥。","唯有竟狩猎之极者可挑战难关，
此为称霸该难关任务者的证明。
描绘着鏖战之景的折扇。",,,,,,,,"شارة صياد حاول
خوض بعض المهام
الشاقة—ورِبحها.",,,,,,,,,,,
41c79050-c0a9-46d1-9637-d175d12052d8,1419991149,GC_Award_E_09,"獄泉郷での最難関クエストを制し
狩人の極致に近づいた証。ヌシ
との連戦が描かれた飾り扇子。","Mark of a hunter who has
bested Infernal Springs'
most arduous challenges.","Un éventail décerné aux
chasseurs ayant surmonté les
défis des Sources infernales.","Premio per un cacciatore che
ha completato le sfide più
ardue alle Sorgenti infernali.","Zeichen eines Jägers, der die
härtesten Herausforderungen
der Höllenquellen bestand.","La seña de un cazador que ha
superado los desafíos más
duros de la Fuente infernal.","Награда охотнику, прошедшему
самые сложные испытания
Адских ручьев.","Oznaka łowców, którzy podołali
najcięższym wyzwaniom
w Piekielnych Źródłach.",,,"Marca de um caçador que venceu
os desafios mais árduos das
Fontes Infernais.","옥천향의 극한 난관을 제압하고
헌터의 극에 다가간 증표.
주인과의 연전이 그려진 부채.","在獄泉鄉完成最困難任務，登上
獵人巔峰的證明。畫有與首領間
一連串戰鬥的裝飾用扇子。","称霸狱泉乡最难关任务，
接近猎人之极致的证明。
描绘着激战霸主之景的折扇。",,,,,,,,"شارة صياد اجتاز
جميع تحديات الينابيع الجهنمية
المُضنية بمهارة.",,,,,,,,,,,
9d2d2c32-ace8-4dbc-b572-0010242c758d,2570841676,GC_Award_E_10,"多くの集会所下位クエストを
クリアした証。ギルドから
送られる記念品。","A souvenir from the Guild for
completing many low rank
quests.","Un souvenir de la Guilde pour
avoir accompli de nombreuses
quêtes de rang inférieur.","Un souvenir della Gilda per
aver completato molte missioni
di basso grado.","Ein Souvenir von der Gilde für
das Abschließen zahlreicher
niedrigrangiger Quests.","Recuerdo del gremio por
completar varias misiones de
rango bajo.","Сувенир Гильдии за выполнение
большого числа низкоранговых
заданий.","Pamiątka od Gildii za
wykonanie wielu zadań
niskiego poziomu.",,,"Souvenir da Guilda por
completar várias missões de
ranque baixo.","수많은 집회소 하위 퀘스트를
클리어한 증표. 길드에서 보낸
기념품.","完成許多集會所
初階任務的證明。
公會贈送的紀念品。","完成诸多
集会所下位任务的证明。
公会赠予的纪念品。",,,,,,,,"تذكار من النقابة
لإكمال الكثير من
المهام ذات الرتبة المنخفضة.",,,,,,,,,,,
