guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
d279b4a6-13b4-498f-a4a4-d582a729a5a3,1770514291,GC_Award_E_MR_01,"王国から観測拠点での協力
依頼を受けた者の証。里の
ハンターへ向けた正式な依頼状。","An official request for Kamura's
hunter. Awarded for collaboration
with Elgado Outpost.","Requête officielle du chasseur
de Kamura, pour avoir collaboré
avec l'Avant-poste d'Elgado.","Richiesta per il cacciatore di
Kamura per aver collaborato
con l'avamposto di Elgado.","Offizielle Anfrage für Kamuras
Jäger. Verliehen für Kooperation
mit Außenposten Elgado.","Solicitud especial para
cazadores de Kamura por ayudar
a la avanzadilla Elgado.","Официальная поручение охотнику
Камуры. Награда за
помощь аванпосту Элгадо.","Oficjalna prośba o łowcę z
Kamury. Nagroda przyznana
za pomoc w Elgado.",,,"Pedido oficial para caçador de
Kamura. Concedido pela
colaboração com o Posto Elgado.","왕국으로부터 관측 거점 협력
의뢰를 받은 자의 증표. 마을의
헌터에게 보내진 정식 의뢰장.","接受王國委託，
協助觀測據點者的證明。
給獵人的正式委託書。","受王国委托，去协助观测据点的
证明。王国正式发给村子猎人的
委托书。",,,,,,,,"طلب رسمي لصياد
كامورا. يتم منحه للتعاون مع
مخفر إلجادو.",,,,,,,,,,,
a174d542-ccf9-48b9-973b-523e170094ba,3954800574,GC_Award_E_MR_02,"調査に奮闘する者の証。
新品の双眼鏡は、遠くのものも
はっきりと観測できる。","Binoculars giving a clear view
of far-off targets. Awarded
to staunch investigators.","Jumelles permettant de voir
les cibles lointaines. Offertes
aux bons enquêteurs.","Binocolo per ricercatori
affidabili. Utile per vedere
nitidamente obiettivi lontani.","Fernglas, das klare Sicht auf
entfernte Ziele gibt. Auszeich-
nung für treue Ermittler.","Prismáticos que muestran con
claridad objetivos lejanos
para investigadores aplicados.","Бинокль для наблюдения за
объектами издалека. Награда
храбрым исследователям.","Lornetka przybliżająca dalekie
obiekty. Nagroda dla
oddanych badaczy.",,,"Binóculos oferecem visão clara
de alvos distantes. Concedido
a investigadores dedicados.","조사를 위해 고군분투하는 자의
증표. 멀리 있는 것도 또렷하게
관측할 수 있는 새 쌍안경.","為調查四處奔波者的證明。
一副全新的望遠鏡，
能夠清楚觀測位於遠處的東西。","为调查而奋斗的证明。
崭新的望远镜能够清晰地
看到远处的事物。",,,,,,,,"منظار يمنح رؤية واضحة
للأهداف البعيدة. يُمنح
للمحققين الأقوياء.",,,,,,,,,,,
e6bbc5b8-e066-47e1-8eda-d53bddcab679,2630009363,GC_Award_E_MR_03,"ガランゴルムを狩猟した証。
厳しい調査環境の中でも
着用者の身を包み、守る。","Protects the wearer from the
harshest environments. Awarded
for hunting the Garangolm.","Protège dans les environnements
hostiles. Offerte pour avoir
chassé le Garangolm.","Premio per aver cacciato il
Garangolm. Protegge negli
ambienti più ostili.","Schützt den Träger vor rausten
Umgebungen. Auszeichnung
für die Garangolm-Jagd.","Protege de los peores entornos
y se concede por cazar el
Garangolm.","Защищает в самых суровых
условиях. Награда
охотникам на Гарангольма.","Chroni przed najtrudniejszymi
warunkami. Nagroda za
upolowanie Garangolma.",,,"Protege o usuário dos ambientes
mais hostis. Concedido
por caçar o Garangolm.","가란고르무를 사냥한 증표.
험난한 조사 환경에서도
착용자의 몸을 감싸 지켜 준다.","狩獵了剛纏獸的證明。
在嚴酷的調查環境下
也能包覆並保護穿戴者。","成功狩猎刚缠兽的证明。即使在
极其严酷的调查环境中，也能保
护穿戴者。",,,,,,,,"يحمي مرتديه من
أقسى الظروف البيئية. يتم منحه
مقابل صيد الجارانجولم.",,,,,,,,,,,
3fa7d77d-1a5a-4c10-932d-f9504bf12230,2316844199,GC_Award_E_MR_04,"ルナガロンを狩猟した証。
フィオレーネからの贈り物で
美しい青羽をあしらった万年筆。","A fountain pen with a blue feather
gifted by Fiorayne. Awarded
for hunting the Lunagaron.","Feutre à plume bleue ayant
appartenu à Fiorayne. Offert
pour avoir chassé le Lunagaron.","Penna stilografica con piuma
blu donata da Fiorayne per
aver cacciato il Lunagaron.","Ein Kiel mit einer blauen Feder
von Fiorayne. Auszeichnung
für die Lunagaron-Jagd.","Pluma de escribir azul regalo
de Fiorayne. Se concede por
cazar el Lunagaron.","Авторучка с голубым пером.
Подарок Фиорайны. Награда
охотникам на Лунагарона.","Wieczne pióro z niebieskim
piórkiem od Fiorayne.
Za upolowanie Lunagarona.",,,"Caneta com pena azul presenteada
por Fiorayne. Concedida por
caçar o Lunagaron.","루나가론을 사냥한 증표.
피오레네에게서 받은 것으로
푸른 깃털이 달린 만년필.","狩獵了冰狼龍的證明。
由菲歐莉尼所贈，
有著美麗藍羽毛點綴的鋼筆。","成功狩猎冰狼龙的证明。
菲奥莱娜赠送的礼物，
饰有美丽蓝羽毛的钢笔。",,,,,,,,"قلم حبر بريشة زرقاء
من فيوراين. يتم منحه
مقابل صيد لوناجارون.",,,,,,,,,,,
2f48a36c-c18c-4e11-aea2-b769d28dd2f6,3695076633,GC_Award_E_MR_05,"メル・ゼナを討伐した証。
威厳ある王国の卓上旗であり、
所有者の武勲を証明する。","A desk flag proving the owner's
distinguished service. Awarded
for slaying Malzeno.","Bannière symbole des prouesses
de celui qui la possède. Offerte
pour avoir tué le Malzeno.","Bandiera per premiare il
tuo splendido lavoro e per
aver ucciso il Malzeno.","Tischflagge für ausgezeich-
neten Dienst. Auszeichnung
für die Malzeno-Tötung.","Bandera de mesa por los servicios
prestados. Se concede por abatir
a Malzeno.","Настольный флаг — символ
отличной службы. Награда
за убийство Малзено.","Flaga upamiętniająca wspaniałą
służbę. Nagroda za
zabicie Malzeno.",,,"Bandeira de escrivaninha que
comprova serviço emérito.
Prêmio por abater o Malzeno.","멜-제나를 토벌한 증표.
위엄있는 왕국의 탁상 깃발로
소유자의 무훈을 증명한다.","討伐爵銀龍的證明。
威風凜凜的王國桌上旗，
為持有者的功勳之證。","成功讨伐爵银龙的证明。
庄严的王国桌上旗帜，
证明了持有者的战功。",,,,,,,,"لافتة مكتبية تثبت خدمة
المالك المتميزة. يتم منحها
مقابل قتل مالزينو.",,,,,,,,,,,
2517c10f-9c0e-4033-b721-0f737a0d924d,3428143758,GC_Award_E_MR_06,"王国の平和に大きく貢献した
歴戦の狩人たる証。
正式に贈与された協力感謝状。","An official thank-you letter.
For hunters who contributed
greatly to the Kingdom's peace.","Lettre de remerciement officielle
pour les chasseurs ayant beaucoup
contribué à la paix du Royaume.","Lettera ufficiale conferita ai
cacciatori che hanno contribuito
alla pace nel regno.","Ein offizieller Dankesbrief.
Für Jäger, die viel zum Frieden
im Königreich beitrugen.","Carta de agradecimiento
oficial para cazadores que
fomentan la paz del reino.","Благодарственное письмо.
Вручается охотникам, которые
боролись за мир в Королевстве.","Oficjalny list dziękczynny.
Dla łowców, którzy wielce
przyczynili się do pokoju.",,,"Uma carta oficial de gratidão.
Para caçadores que contri-
buíram muito com a paz do Reino","왕국의 평화에 크게 기여한
역전의 사냥꾼의 증표.
정식으로 수여된 협력 감사장.","為王國的和平做出巨大貢獻，
身經百戰的獵人之證。
由王國正式授予的協助感謝狀。","为王国和平作出极大贡献的
身经百战的猎人之证。
王国正式授予的协助感谢状。",,,,,,,,"خطاب شكر رسمي.
للصيادين الذين ساهموا
بشكل كبير في سلام المملكة.",,,,,,,,,,,
abc8d019-b9c3-495e-a953-6f9b0168435a,1632536945,GC_Award_E_MR_07,"多くの集会所ＭＲクエストを
クリアした証。ギルドから
送られる記念品。","A souvenir from the Guild for
completing many Master Rank
quests.","Un souvenir de la Guilde pour
avoir accompli de nombreuses
quêtes Rang Maître.","Un souvenir della Gilda per
aver completato molte
missioni di grado maestro.","Ein Souvenir von der Gilde für
das Abschließen zahlreicher
Meisterrang-Quests.","Recuerdo del gremio por
completar varias misiones del
rango maestro.","Сувенир Гильдии за выполнение
большого числа заданий
ранга мастера.","Pamiątka od Gildii za
wykonanie wielu zadań
rangi mistrzowskiej.",,,"Souvenir da Guilda por
completar várias missões de
Ranque Mestre.","수많은 집회소 MR 퀘스트를
클리어한 증표. 길드에서 보낸
기념품.","完成許多集會所MR任務的證明。
由公會贈送的紀念品。","完成诸多集会所大师等级任务
的证明。公会赠予的纪念品。",,,,,,,,"تذكار من النقابة
لإكمال الكثير من
المهام ذات رتبة القائد.",,,,,,,,,,,
58a036b1-8ab6-4995-afca-a0a3d5deb25f,2549992919,GC_Award_E_MR_08,"エルガドに住むシロフクズクの
ヒナと仲良くなった証。
ちっちゃい見た目で大容量。","Awarded for befriending a fledgling
Snowy Cohoot from Elgado. Looks
tiny, but has a big appetite.","Pour avoir forgé une amitié
avec une Hibouette d'Elgado.
Gloutonne malgré sa taille.","Per aver fatto amicizia con un
Gufufo innevato di Elgado. È
piccino, ma ha molta fame.","Auszeichnung für das Anfreunden
mit einem Schneekauzküken in
Elgado. Winzling mit Appetit.","Concedida por ganarte la amistad
de un polluelo de Bubo níveo de
Elgado, pequeño pero tragón.","Выдается за дружбу с молодым
Снежным Ухутом из Элгадо.
Небольшой, но прожорливый.","Nagroda za zaprzyjaźnienie się
z pisklęciem śnieżnego hukacza z
Elgado. Małe, ale żarłoczne.",,,"Prêmio por fazer amizade com o
Corumochinho de Neve em Elgado.
Parece pequeno, mas é faminto.","엘가도의 새끼 흰 복부엉과 
친구가 된 증표.
작아 보이지만 대용량이다.","與住在艾爾卡多的白色
福福鴞幼雛相處融洽的證明。
外觀雖小但容量很大。","与居住在埃尔迦德的白色
福木兔幼雏关系好的证明。
外形小，大容量。",,,,,,,,"يتم منحها مقابل مصادقة
كوهوت ثلجي مبتدئ من إلجادو. على الرغم من أنه يبدو
صغير الحجم، فإنه يتمتع بشهية كبيرة.",,,,,,,,,,,
906492e1-f2c2-49a9-8153-1c698c914e9a,2274131128,GC_Award_E_MR_09,"より多くの闘技大会クエストを
クリアした証。ギルドから
送られる記念品。","A souvenir from the Guild for
completing even more Arena
quests.","Un souvenir de la Guilde pour
avoir accompli de nombreuses
quêtes Arène.","Un souvenir della Gilda per
aver completato molte
missioni Arena.","Ein Souvenir von der Gilde
für das Abschließen weiterer
Arena-Quests.","Recuerdo del gremio por
completar aún más misiones de
la Arena.","Сувенир Гильдии за выполнение
еще большего числа заданий
на арене.","Pamiątka od Gildii za
wykonanie bardzo wielu
zadań na Arenie.",,,"Souvenir da Guilda por
concluir ainda mais
Missões de Arena.","보다 많은 격투대회 퀘스트를
클리어한 증표. 길드에서 보낸
기념품.","完成許多鬥技大會任務的證明。
由公會贈送的紀念品。","完成更多斗技大会任务的证明。
公会赠予的纪念品。",,,,,,,,"تذكار من النقابة
لإكمال المزيد من
مهام الساحة.",,,,,,,,,,,
cc558fb1-fa53-4a62-94f9-6bc258431eeb,2812475611,GC_Award_E_MR_10,"多くの盟勇同行クエストを
クリアした証。里と観測拠点の
末長い交友を願った絵画。","Awarded for completing many
Follower Quests to mark deep
village-Outpost ties.","Pour avoir fini de nombreuses
Quêtes Parangon, preuve du
lien entre le village et l'Avant-poste.","Per aver completato molte
missioni seguaci per creare forti
legami tra villaggio e avamposto.","Auszeichnung für das Abschließen
vieler Anhänger-Quests für tiefe
Dorf-Außenposten-Bande.","Concedido por hacer muchas
misiones de apoyo uniendo
la aldea y la avanzadilla.","Выдается за выполнение заданий
последователя. Показывает
связь деревни и аванпоста.","Za ukończenie wielu zadań
zwolennika. Podkreślenie więzi
między wioską i Posterunkiem.",,,"Prêmio por concluir muitas
Missões de Seguidor e marcar a
conexão entre aldeia e posto.","많은 맹우 동행 퀘스트를 클리어
한 증표. 마을과 관측 거점의
지속적인 교류를 기원하는 그림.","完成許多盟友同行任務的證明。
祈願村莊與觀測據點的友誼
能夠歷久彌堅的畫作。","完成诸多盟友同行任务的证明。
祝福村庄与观测据点永结盟好
的绘画。",,,,,,,,"يتم منحها مقابل إكمال العديد من
مهام التابع لتمييز الروابط
العميقة بين القرية والمخفر.",,,,,,,,,,,
