guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
b9e78833-f81e-400b-a18e-d570a1001d7e,1406738175,W_GreatSword_000_Explain,"初心者用に扱いやすく改良し
た鉄大剣。取り回しの良さから
愛好者も多い。","A steel great sword that's
perfect for beginners and
admired for its handling.","Grande épée en acier, idéale
pour les novices. Appréciée
pour sa prise en main.","Spadone d'acciaio ideale per
i principianti e amato per
la sua maneggevolezza.","Ein stählernes Großschwert.
Ideal für Anfänger, gerühmt
für seine gute Handhabung.","Gran espada de acero,
perfecta para novatos y
famosa por su manejo.","Стальной двуручный меч,
идеален для новичков
и ценится за маневренность.","Stalowy miecz dwuręczny
dla początkujących. Ceniony
za łatwość władania.",,,"Espadão de aço perfeito para
iniciantes e admirado por
seu manuseio.","초보자용으로 다루기 쉽게
개량한 대검. 다루기 쉬워
애호가가 많다.","為了讓初學者容易駕馭而經過
改良的鐵製大劍。由於
機動性佳，因此有許多愛用者。","为了让新手容易驾驭
而经过改良的铁制大剑。
由于机动性佳，有许多爱好者。",,,,,,,,"سيف عظيم فولاذي مثالي
للمبتدئين ويحظى بالإعجاب
لسهولة حمله.",,,,,,,,,,,
e67b8878-a964-4a20-bc83-c2751b49167a,3319022674,W_GreatSword_001_Explain,"より純度の高い鉄を精製し、
攻撃力を強化した大剣。多くの
ハンターが愛好している。","A Buster Sword upgrade.
Forged with the purest steel
for greater attack power.","L'acier pur de qualité
améliore ses attaques.
Base : Espadon","Spada distruttrice
potenziata. In puro acciaio
per un attacco più potente.","Verbessertes Schmetter-
schwert, aus reinstem Stahl
für höhere Angriffskraft.","Espada cazadora mejorada.
Forjada con acero puro para
mayor poder de ataque.","Улучшенный Подручный меч.
Выполнен из чистейшей стали
для усиления атаки.","Ulepszenie miecza pogromcy.
Wykuty z najczystszej stali,
posiada większą siłę ataku.",,,"Melhoria de Espada
Destruidora. Forjada em
aço puro. Ataque forte.","순도가 높은 철을 정제하여
공격력을 높인 대검. 많은
헌터들이 애용한다.","精煉出純度更高的鐵，
強化了攻擊力的大劍。
廣受眾多獵人喜愛。","用纯度更高的铁精制而成，
强化了攻击力的大剑。
有许多猎人都非常喜爱它。",,,,,,,,"ترقية السيف العاصف. تم
تشكيله من الفولاذ الأكثر
نقاءً لتعزيز قوة الهجوم.",,,,,,,,,,,
c9248e29-873c-40d5-8d56-e7e942e31661,3039145261,W_GreatSword_002_Explain,"新米ハンターでも扱える大剣。
様々なハンターに振るわれて
きた伝統ある一本。","A great sword that's seen
extended use for ages.
Good for beginners, too.","Grande épée très populaire.
L'arme parfaite pour
les débutants.","Spadone utilizzato per molti
secoli. Ideale soprattutto
per i principianti.","Ein Großschwert, wie es
seit Jahrtausenden genutzt
wird. Auch gut für Anfänger.","Gran espada de uso común
durante siglos. También es
apropiada para novatos.","Двуручный меч, широко
используемый уже много лет.
Также подходит для новичков.","Miecz, którym władano
od wieków. Nadaje się także
dla nowicjuszy.",,,"Espadão usado há eras.
Bom para iniciantes,
também.","초보 헌터도 쓸 수 있는 대검.
많은 헌터들이 사용한
전통적인 대검.","新手獵人也能駕馭的大劍。
是一把歷史悠久，
被各色各樣獵人揮舞的武器。","新手猎人也能驾驭的大剑。
是在各种猎人手中长久挥舞、
历史悠久的一把武器。",,,,,,,,"سيف عظيم طال
استخدامه لسنوات.
يصلح للمبتدئين أيضًا.",,,,,,,,,,,
9d624b71-cabf-47cd-b247-dd57a06ac4b4,2149717381,W_GreatSword_003_Explain,"良質な鉱石をふんだんに
使用した大剣。形状は伝統に
則しているが、威力は桁違い。","Forged with the finest ores,
this sword looks traditional
but its edge is a cut above.","Son apparence traditionnelle
cache une grande puissance.
Base : Épée de fer","Spada di minerali pregiati.
Sembra convenzionale, ma
è di qualità superiore.","Ein Schwert aus feinstem Erz
mit traditionellem Gewand,
aber phänomenaler Schneide.","Forjada con minerales puros,
esta espada tradicional
destaca entre las demás.","Выкованный из лучшей руды,
этот меч кажется обычным,
но его острие лучше других.","Wykuty z najlepszych rud.
Wygląda tradycyjnie, ale
jego ostrze to arcydzieło.",,,"Forjado com os melhores
minérios, esta espada
tradicional, está além.","양질의 광석을 충분히 사용한
대검. 전통에 따른 모양이지만
위력은 전혀 다르다.","使用大量優質礦石製成的大劍。
雖然外型遵循傳統，
威力卻十分驚人。","使用大量优质矿石制成的大剑。
虽然形状因循了传统，
但威力可不能同日而语。",,,,,,,,"يبدو هذا السيف الذي
شُكّل من أجود أنواع الخامات
تقليديًا لكن حافته مثالية.",,,,,,,,,,,
156922c4-8c45-4d17-a83d-227fd4fc57db,1690875017,W_GreatSword_004_Explain,"力自慢のハンターが愛用する
超重量の大剣。斧に近い形状が
一撃の破壊力を引き上げる。","An extremely heavy, axe-like
sword. Perfect for those who
wish to test their might.","Une épée énorme ressemblant
à une hache, parfaite pour
les démonstrations de force.","Spada pesante simile a
un'ascia. Ideale per mettere
alla prova la propria forza.","Extrem schweres, axtgleiches
Schwert. Ideal für alle, die
ihre Kraft testen wollen.","Una espada pesada con forma
de hacha, perfecta para los
que quieren probar su poder.","Очень тяжелый меч,
похожий на топор. Поможет
проверить свою силу.","Niezwykle ciężki miecz
o wyglądzie topora. Można
nim przetestować swoją moc.",,,"Extremamente pesada, parece
um machado. Perfeita para
testar o seu poder.","힘이 센 헌터가 애용하는
초중량 대검. 도끼처럼 생긴
형태가 파괴력을 올렸다.","以力量為傲的獵人喜愛使用的
超重量級大劍。近似斧頭的
形狀，能提升每一擊的破壞力。","对力量有自信的猎人爱用的
超重大剑。形状近似于斧头，
提升了每一击的破坏力。",,,,,,,,"سيف ثقيل للغاية يُشبه
الفأس. مثالي لأولئك الذين
يرغبون في اختبار قدرتهم.",,,,,,,,,,,
d0f92421-63e8-4971-857f-d854053cb7e7,1680196302,W_GreatSword_005_Explain,"力自慢のハンターが愛用する
超重量の大剣。斧に近い形状が
一撃の破壊力を引き上げる。","An extremely heavy, axe-like
sword. Perfect for those who
wish to test their might.","Une épée énorme ressemblant
à une hache, parfaite pour
les démonstrations de force.","Spada pesante simile a
un'ascia. Ideale per mettere
alla prova la propria forza.","Extrem schweres, axtgleiches
Schwert. Ideal für alle, die
ihre Kraft testen wollen.","Una espada pesada con forma
de hacha, perfecta para los
que quieren probar su poder.","Очень тяжелый меч,
похожий на топор. Поможет
проверить свою силу.","Niezwykle ciężki miecz
o wyglądzie topora. Można
nim przetestować swoją moc.",,,"Extremamente pesada, parece
um machado. Perfeita para
testar o seu poder.","힘이 센 헌터가 애용하는
초중량 대검. 도끼처럼 생긴
형태가 파괴력을 올렸다.","以力量為傲的獵人喜愛使用的
超重量級大劍。近似斧頭的
形狀，能提升每一擊的破壞力。","对力量有自信的猎人爱用的
超重大剑。形状近似于斧头，
提升了每一击的破坏力。",,,,,,,,"سيف ثقيل للغاية يُشبه
الفأس. مثالي لأولئك الذين
يرغبون في اختبار قدرتهم.",,,,,,,,,,,
3ae71db0-9680-46cf-8728-4865e9ae80fe,2484781107,W_GreatSword_006_Explain,"使いやすさなど二の次。破壊力
のみを追求し、ひたすら重量を
増やした玄人向けの重鉄大剣。","A great sword for those who
care only for maximum power.
Ease of use is secondary.","Une épée gigantesque pour
les amateurs de force brute.
Base : Épée-hache","Spadone per chi predilige
la massima potenza
alla facilità d'uso.","Großschwert für alle, die
Wucht schätzen. Nutzungs-
komfort ist nebensächlich.","Una gran espada para los que
solo quieren máximo poder.
El manejo fácil no importa.","Двуручный меч для тех, кого
интересует только мощь.
Маневренность вторична.","Miecz dwuręczny o dużej mocy
ataku. Łatwość użycia
ma drugorzędne znaczenie.",,,"Espadão para quem se importa
apenas com poder máximo.
Difícil de manejar.","조작감은 생각 않는다.
파괴력만 보고 중량을
늘린 숙련자용 대검.","順手與否已是其次。
純粹追求破壞力，不斷增加
重量的重鐵大劍，適合高手。","好不好用可以先放在一边！
一味追求破坏力，将重量加到
极致的重铁大剑，只适合老手。",,,,,,,,"سيف عظيم لأولئك الذين يهتمون
بالقوة القصوى فقط. لا تمثل
سهولة الاستخدام أهمية كبيرة.",,,,,,,,,,,
66dec9a7-3b82-4bbe-ba2a-6a8ccac66516,861420372,W_GreatSword_007_Explain,"カミソリの名の通り、斬れ味
と威力が格段に強化された。
刃には猛毒がしこまれている。","A strong, razor-sharp edge
(hence the name). This blade
hides a secret poison.","Lame solide et aussi affûtée
qu'un rasoir. Elle dissimule
également un poison secret.","Una lama affilata come un
rasoio, da cui il nome.
Cela un veleno segreto.","Rasiermesserscharfe Klinge
(wie der Name schon sagt),
mit geheimem Giftspeicher.","Filo afilado como una
navaja (de ahí su nombre).
Esconde un veneno secreto.","Крепкое, бритвенно острое
лезвие (так и называется).
Внутри секретный яд.","Broń o mocnej i ostrej jak
brzytwa krawędzi.
Ostrze nasączone trucizną.",,,"Lâmina forte e afiada (eis
seu nome). Guarda
um veneno secreto.","면도칼처럼 예리함과 위력을
신경 써서 강화했다. 칼날에는
맹독을 발랐다.","如同剃刀的名稱所示，
銳利度和威力都經過特別強化。
刀刃帶有猛毒。","如同剃刀的名称所示，
锋利度和威力都经过特别强化。
刀刃带有猛毒。",,,,,,,,"حافته قوية وحادة كالشفرة
(من هنا جاءت تسميته). يُخفي
هذا النصل سُمًا بداخله.",,,,,,,,,,,
c059a1d0-edac-4898-ac86-6d28e04ad9d3,1951069273,W_GreatSword_008_Explain,"クロームレイザーの強化版。
その刃には数多の竜から精製
された猛毒がしこまれている。","The Chrome Razor's upgraded
form. Stocked with poison
extracted from dragons.","Doté de toxines prélevées
sur des dragons.
Base : Rasoir chrome","Forma potenziata del rasoio
cromato. Pregno di un veleno
estratto da draghi.","Verbesserte Form des Chrom-
Rasiermessers, mit Drachen-
gift versehen.","Navaja cromada mejorada.
Dotada de veneno extraído
de dragones.","Улучшенная форма Блестящего
лезвия. Меч заполнен ядом,
полученным из драконов.","Ulepszona chromowa brzytwa.
Ostrze nasączone trucizną
uzyskaną ze smoków.",,,"Forma melhorada da Navalha
Cromada. Cheia de veneno
extraído de dragões.","크롬레이저의 강화판.
칼날에는 다양한 용에게서
정제한 맹독을 발랐다.","鉻鋼剃刀的強化版。
刀刃上塗有自許多龍身上
精製而成的猛毒。","铬金咬剃刀的强化版。
刀刃上带有
精炼于无数龙血的猛毒。",,,,,,,,"شكل شفرة الكروم التي
تمت ترقيتها. مُغلفة بالسُم
المستخرج من التنانين.",,,,,,,,,,,
d6e7e666-2aaf-488e-b0e9-58f48df7c50c,911677357,W_GreatSword_009_Explain,"モンスターの骨を素材とした
大剣。獲物を破壊することに
重きを置いた構造をしている。","A great sword made of
monster bones. Designed to
emphasize destructive power.","Grande épée faite d'os de
monstres. Incarne avant tout
la puissance destructrice.","Spadone d'osso di mostro
che eccelle per il
potenziale distruttivo.","Ein Großschwert aus Monster-
knochen, mit Hauptaugenmerk
auf roher Zerstörungskraft.","Gran espada hecha con huesos
de monstruo. Destaca por su
poder destructivo.","Двуручный меч из костей
монстров. Создан, чтобы
подчеркнуть убойную силу.","Miecz dwuręczny z kości
potworów. Budowa podkreśla
niszczycielską moc.",,,"Feita com ossos de monstros.
Criada para enfatizar
seu poder destrutivo.","몬스터의 뼈로 만든 대검.
사냥감을 파괴하는 데
중점을 둔 구조로 되어있다.","以魔物骨為素材的大劍。
擁有摧毀獵物專用的構造。","以怪物之骨为素材的大剑。
拥有着专门摧毁猎物的构造。",,,,,,,,"سيف عظيم مصنوع من
عظام وحش. صُمم لتعزيز
القوة التدميرية.",,,,,,,,,,,
