guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
5db4ecff-0f70-4145-855d-2aa0a2cc3e4c,4213095526,W_GreatSword_300_Name,カムラノ武大剣,Kamura Warrior Cleaver,Tranchoir guerrier Kamura,Spadone guerriero Kamura,Kamura-Krieger-Spalter,Espadón guerrero Kamura,Тесак воина Камуры,Tasak wojown. Kamury,,,Cutelo Guerreiro Kamura,카무라무대검,神火武大劍,炎火武大剑,,,,,,,,ساطور محارب كامورا,,,,,,,,,,,
8ea23366-3e5e-4471-9ccc-f7eddd724483,127844469,W_GreatSword_301_Name,カムラノ武大剣改,Kamura Warrior Cleaver+,Tranchoir guerrier Kamura+,Spadone guerriero Kamura+,Kamura-Krieger-Spalter+,Espadón guerrero Kamura+,Тесак воина Камуры+,Tasak wojown. Kamury+,,,Ótimo Cutelo Kamura+,카무라무대검+,神火武大劍改,炎火武大剑・改,,,,,,,,ساطور محارب كامورا+,,,,,,,,,,,
fd88926e-ea3c-48c2-a459-8d169ab0df2d,759007219,W_GreatSword_302_Name,カムラノ傑大剣,Fine Kamura Cleaver,Beau tranchoir Kamura,Spadone Kamura pregiato,Feiner Kamura-Spalter,Espadón excelso Kamura,Отличный тесак Камуры,Doskonały tasak Kamury,,,Ótimo Cutelo Kamura,카무라걸대검,神火傑大劍,炎火杰大剑,,,,,,,,ساطور كامورا الرائع,,,,,,,,,,,
1a607f17-68e5-48b5-887f-9724311950d8,959838381,W_GreatSword_303_Name,ゴシャガゴズバァ,Abominable Snowblade,Grande épée abominable,Nevelama abominevole,Grässliche Schneeklinge,Hoja nívea abominable,Гнусный снежный меч,Plugawe śnieżne ostrze,,,Lamineve Abominável,고샤가고즈바,雪鬼獸巨斬劍,雪鬼兽嗖嗖嗖,,,,,,,,نصل الثلج البغيض,,,,,,,,,,,
f1e83800-4f75-434b-96dc-74c67663711d,2438876589,W_GreatSword_304_Name,ゴシャガゴズバァ改,Abominable Snowblade+,Grande épée abominable+,Nevelama abominevole+,Grässliche Schneeklinge+,Hoja nívea abominable+,Гнусный снежный меч+,Plugawe śnieżne ostrze+,,,Lamineve Abominável+,고샤가고즈바+,雪鬼獸巨斬劍改,雪鬼兽嗖嗖嗖・改,,,,,,,,نصل الثلج البغيض+,,,,,,,,,,,
6fc5b126-ce4f-4da8-a7bf-0f58f3a9288a,2625349536,W_GreatSword_305_Name,ゴシャ！ギガゴズバァ！,Abominable Frostblade,Lame des neiges abominable,Abominevole gelolama,Grässliche Frostklinge,Abominable hoja de hielo,Гнусный морозный меч,Plugawe mroźne ostrze,,,Lamigelo Abominável,고샤! 기가고즈바!,雪鬼獸巨大斬劍,雪鬼兽！嗖嗖嗖嗖！,,,,,,,,نصل الصقيع البغيض,,,,,,,,,,,
52667831-0926-4350-b0d0-97967c34e7e9,3848551992,W_GreatSword_306_Name,あかねさす紫剣の朝斬改,Akanesasu+,Akanesasu+,Akanesasu+,Akanesasu+,Akanesasu+,Аканесасу+,Akanesasu+,,,Akanesasu+,보랏빛 자검의조참+,紅光紫劍之朝斬改,茜霞紫剑之朝斩・改,,,,,,,,أكانيساسو+,,,,,,,,,,,
d0f6abe0-3421-4a87-8dd4-ba9f65d37efc,2453795870,W_GreatSword_307_Name,あかねさす紫微両断剣,Akanesasu Divider,Diviseur Akanesasu,Faglia Akanesasu,Akanesasu-Zerteiler,Divisor de Akanesasu,Губитель судьб Акан.,Łamacz Akanesasu,,,Divisora Akanesasu,보랏빛 자미양단검,紅光紫微兩斷劍,茜霞紫微两断剑,,,,,,,,مُقسم أكانيساسو,,,,,,,,,,,
abe4c800-76cd-4b1a-89c4-298bbb6a3ce7,2451801787,W_GreatSword_308_Name,あかねさす紫微両断剣改,Akanesasu Divider+,Diviseur Akanesasu+,Faglia Akanesasu+,Akanesasu-Zerteiler+,Divisor de Akanesasu+,Губитель судьб Акан.+,Łamacz Akanesasu+,,,Divisora Akanesasu+,보랏빛 자미양단검+,紅光紫微兩斷劍改,茜霞紫微两断剑・改,,,,,,,,مُقسم أكانيساسو+,,,,,,,,,,,
5067c7ed-fc2f-4d22-8785-46e052039918,1125563239,W_GreatSword_309_Name,破邪之剣オオムラサキ,Pure Sword Omurasaki,Pure épée Omurasaki,Spada Omurasaki pura,ReinesSchwertOmurasaki,Espada pura Omurasaki,Чистый меч Омурасаки,Czysty Miecz Omurasaki,,,Espada Pura Omurasaki,파사의검 오무라사키,破邪之劍大紫蛺蝶,辟邪之剑【大紫蛱蝶】,,,,,,,,السيف النقي أوموراساكي,,,,,,,,,,,
