guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
4d2dce27-9214-4721-a17f-f2818a5eda78,940789610,COMN_ITEMPOUCH_01,アイテムポーチ,Item Pouch,Sacoche,Borsa oggetti,Objektbeutel,Bolsa de objetos,Сумка для предметов,Sakwa na przedmioty,,,Bolsa de Itens,아이템 주머니,道具袋,道具袋,,,,,,,,حقيبة العناصر,,,,,,,,,,,
c5a8d877-3cac-48ed-b1ca-3a01e09e8328,236017429,COMN_ITEMPOUCH_02,アイテム,Items,Objets,Oggetti,Objekte,Objetos,Предметы,Przedmioty,,,Itens,아이템,道具,道具,,,,,,,,العناصر,,,,,,,,,,,
daf52e88-3bd4-4ab8-9fe1-6e42bcdbf4fe,464512803,COMN_ITEMPOUCH_03,臨時ポーチ,Field Pouch,Sacoche,B. campo,Feldbeutel,Bol. campo,Пол. сумка,Sakwa polowa,,,Bolsa de Campo,임시주머니,臨時道具袋,临时道具袋,,,,,,,,حقيبة الساحة,,,,,,,,,,,
c922d1bb-6b60-493f-b952-0b1404429bed,2141082357,COMN_ITEMPOUCH_04,弾/ビン,Ammo/Coatings,Munitions/Fioles,Mun./Riv.,Mun. / Besch.,Mun./vial.,Сн./покр.,Amunicja/Powłoki,,,Mun./Ver.,탄/병,彈藥/瓶,弹药/瓶,,,,,,,,ذخيرة/أغطية,,,,,,,,,,,
61480ba1-2fa4-4068-8189-e4e426f5153b,3925057994,COMN_ITEMPOUCH_05,常備品,Fixed Items,Objets spéciaux,Str. base,Fixobjekte,Obj. fijos,Зак. пред.,St. przed.,,,Itens Fixos,상비품,常備品,常备品,,,,,,,,عناصر ثابتة,,,,,,,,,,,
3a2a18e4-038f-4fdf-9660-c0f603fe8feb,2524268275,COMN_ITEMPOUCH_06,大翔蟲,Great Wirebug,Grand Filoptère,Max. filo,Großer Seilkäfer,G. cordóp.,Б. Прутож.,W. kablob.,,,Grande Cabinseto,큰밧줄벌레,大翔蟲,大翔虫,,,,,,,,حشرة قز ضخمة,,,,,,,,,,,
8fc03562-0d83-412e-a23c-966c112167b8,1553344802,COMN_ITEMBOX_01,アイテムＢＯＸ,Item Box,Coffre,Cassa oggetti,Objekttruhe,Baúl de objetos,Ящик предметов,Skrz. na przedmioty,,,Caixa de Itens,아이템 BOX,道具箱,道具箱,,,,,,,,صندوق العناصر,,,,,,,,,,,
82787b6e-72ca-46f8-9048-6ffadfda8a4b,3172450468,COMN_ITEMDETAIL_01,売却額,Value,Valeur,Valore,Wert,Valor,Стоим.,Wartość,,,Valor,매각액,出售金額,售价,,,,,,,,قيمة,,,,,,,,,,,
0e9961a6-240b-4f4f-80d3-5bac6c31b0e3,2693492194,COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02,<COLOR FF0000>#Rejected#</COLOR> COMN_ITEMDETAIL_02
82318bc1-06ca-4d65-a37d-f41f03e47920,3510587163,COMN_ITEMDETAIL_03,RARE,Rarity,Rareté,Rarità,Selten,Rareza,Редк.,Rzadk.,,,Raridade,희귀도,RARE,RARE,,,,,,,,الندرة,,,,,,,,,,,
47fd43e7-2253-4bcc-b5c4-0706e43b70d5,1655647371,COMN_ITEMNUMSELECT_01,個数選択,Select Amount,Sélect. quantité,Seleziona quantità,Anzahl,Cantidad,Количество,Wybierz ilość,,,Selecionar Quantia,개수 선택,選擇個數,选择个数,,,,,,,,تحديد الكمية,,,,,,,,,,,
19a84307-e927-469e-810b-55757d0376ae,418478292,COMN_ITEMNUMSELECT_02,合計金額,Total Value,Valeur totale,Totale,Gesamtwert,Valor total,Сумма,Suma,,,Valor Total,합계 금액,合計金額,合计金额,,,,,,,,إجمالي القيمة,,,,,,,,,,,
170eca88-a8ad-41d6-bb98-8e738853d58c,3238957276,ProgressInfoMenu_01,現在の里進行,Village Progress,Progression Kamura,Progresso villaggio,Dorffortschritt,Progreso de aldea,Задания деревни,Postępy w wiosce,,,Progres. da Aldeia,현재 마을 진행,目前的村莊進度,当前的村庄进度,,,,,,,,تقدم القرية,,,,,,,,,,,
774ce10a-d1dc-437d-8abb-127e0de2b114,2090058739,ProgressInfoMenu_02,現在の集会所進行,Hub Progress,Progrès Grand-Camp,Progresso base,Stättenfortschritt,Prog. sala reunión,Задания Зала,Postępy w Centrum,,,Prog. Área de Enc.,현재 집회소 진행,目前的集會所進度,当前的集会所进度,,,,,,,,تقدم مركز التجمع,,,,,,,,,,,
712bd98f-0859-416f-9ddb-9e7d33dfb57f,3579572615,COMN_FINISH_01,終了する,Exit,Quitter,Esci,Verlassen,Salir,Выход,Wyjdź,,,Sair,종료하기,結束,结束,,,,,,,,خروج,,,,,,,,,,,
269998d5-4f5a-4705-b448-494e0ef2b100,672487905,COMN_FINISH_02,閉じる,Close,Fermer,Chiudi,Schließen,Cerrar,Закрыть,Zamknij,,,Fechar,닫기,關閉,关闭,,,,,,,,إغلاق,,,,,,,,,,,
