guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
77082c97-b930-4adf-8a8c-dc9e64a608c0,252074209,COMN_OTOMODETAIL_35_Description_MR,"オトモガルクがハンターの近くから
モンスターを攻撃します。","Palamutes attack while
remaining in close proximity
to their hunter.","Le Chumsky attaque tout en
restant à proximité de
son chasseur.","Il compagno Canyne attacca
restando vicino al cacciatore.","Palamutes greifen an und
bleiben dennoch dicht bei
ihrem Jäger.","Los camaradas Canyne atacan
mientras se mantienen cerca
del cazador.","Паламуты атакуют, оставаясь
рядом со своим охотником.","Kumpsy podczas ataku pozostają
blisko swojego łowcy.",,,"Amicães atacam se mantendo
próximos do seu caçador.","동반자 가루크가 헌터 주변에서
몬스터를 공격합니다.","隨從加爾克會在獵人附近
攻擊魔物。","随从牙猎犬从猎人附近
对怪物发起攻击。",,,,,,,,"تهاجم البالاموت مع البقاء على
مسافة قريبة من صيادها.",,,,,,,,,,,
62de2d8b-d40a-45d7-ba8f-2e85b04a6439,3485353183,ProgressInfoMenu_05_MR,現在の観測拠点進行,Outpost Progress,Progrès Avant-poste,Progresso avamposto,Außenposten-Fortschritt,Progreso de la avanzadilla,Задания аванпоста,Postępy na Posterunku,,,Progresso de Posto,현재 관측 거점 진행,目前的觀測據點進度,当前的观测据点进度,,,,,,,,تقدم المخفر,,,,,,,,,,,
b49a06eb-ff31-427d-ac0d-cc6f7a0bd3b8,3803507430,ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR,<COLOR FF0000>#Rejected#</COLOR> ProgressInfoMenu_06_MR
e645e4b3-11c9-461e-85d9-f157c3727149,2745592124,BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR,<COLOR FF0000>#Rejected#</COLOR> BonusInfoMenu_01_MR
d66f4296-0319-4165-9531-a762d6b9aaac,12400566,COMN_MARK_01_MR,すべて,All,Tout,Tutti,Alle,Todo,Все,Wszystko,,,Tudo,전부,全部,全部,,,,,,,,الكل,,,,,,,,,,,
fd009dea-e5d3-42fc-9c43-8a9a583501ee,3565434728,COMN_MARK_02_MR,採取／採掘,Gathering/Mining,Collecte,Raccolta/Estrazione,Sammeln / Abbau,Recolección/Extracción,Сбор/добыча,Pozyskiwanie/wydobywanie,,,Coleta/Mineração,채취/채굴,採集/採掘,采集/采掘,,,,,,,,جمع/تنقيب,,,,,,,,,,,
18a8998e-646d-4640-a447-d6eef0814384,63587250,COMN_MARK_03_MR,環境生物,Endemic Life,Faune locale,Fauna endemica,Einheimische Wesen,Fauna local,Местная живность,Lokalna fauna,,,Vida Nativa,환경생물,環境生物,环境生物,,,,,,,,الكائنات المستوطنة,,,,,,,,,,,
d46bfc0c-ae18-485c-97f3-f3ca92ca436d,4185107406,COMN_MARK_04_MR,登録中のアイテム／環境生物,Registered Items/Endemic Life,Liste candidats,Oggetti e fauna endemica registrati,Kandidatenliste,Objetos/Fauna local registrada,Зарегистрированные предметы/Местная живность,Zarejestrowane przedmioty/lokalna fauna,,,Itens Registrados/Vida Nativa,등록 중인 아이템/환경생물,已登錄道具/環境生物,登记中的道具/环境生物,,,,,,,,العناصر المسجلة/الحياة المستوطنة,,,,,,,,,,,
617a0b94-8e89-4255-acf7-d7aa69e926fe,2350135939,COMN_MARK_05_MR,決定,Confirm,Confirmer,Conferma,Bestätigen,Confirmar,Подтвердить,Potwierdź,,,Confirmar,결정,確定,确定,,,,,,,,تأكيد,,,,,,,,,,,
f8f04487-c848-4b4a-b410-258d8e2da102,1003841590,COMN_MARK_06_MR,採取リスト順,Sort: Gathering List,Trier : liste des collectes,Ordina: oggetti raccolti,Sortieren: Sammel-Liste,Ordenar por recolección,Сортировать по ингредиент.,Sortuj: lista pozyskiwan.,,,Ordenar: Lista de coleta,채취 목록 기준,依採集清單排序,按采集列表排序,,,,,,,,التصنيف: قائمة الجمع,,,,,,,,,,,
