guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
d09a0107-1154-45ed-a19c-d588b72b2eb0,3266318979,W_GunLance_000_Explain,"砲撃とガード性能が魅力の
銃槍。安定した性能とデザイン
が人気の一品。","A gunlance with desirable
firing and blocking power.
Reliable, sleek, and popular.","Affiche une puissance de feu
et une résistance élevées.
Fiable, élégant, populaire.","Garantisce potenza di fuoco
e forza d'arresto. Bella,
affidabile e apprezzata.","Mit begehrenswerter Feuer-
und Blockkraft. Verlässlich,
schnittig und beliebt.","Lanza pistola con poder
de disparo y bloqueo.
Fiel, elegante y popular.","Копьепушка с хорошей силой
выстрела и блокировки.
Надежная и популярная.","Lancopał o pożądanej
sile rażenia i blokowania.
Pewny, zgrabny, popularny.",,,"Lançarma com poder de fogo e
defesa razoáveis. Confiável,
elegante e popular.","포격과 가드 성능이 매력적인
건랜스. 안정된 성능과
디자인으로 인기가 좋다.","此銃槍的砲擊與防禦性能是它
最大的魅力。是一把有著穩定
性能與設計風格的熱門武器。","此铳枪的魅力是
出色的炮击与防御性能。
稳定的性能与设计大受欢迎。",,,,,,,,"بندقية رماح تُطلق نيرانًا
مستحسنة وقوة معرقلة.
إنها موثوقة وأنيقة ومشهورة.",,,,,,,,,,,
fb4a2276-2d8e-43fb-b211-def9de782cf3,1432307032,W_GunLance_001_Explain,"砲撃とガード性能が魅力の
銃槍。安定した性能とデザイン
が人気の一品。","A gunlance with desirable
firing and blocking power.
Reliable, sleek, and popular.","Affiche une puissance de feu
et une résistance élevées.
Fiable, élégant, populaire.","Garantisce potenza di fuoco
e forza d'arresto. Bella,
affidabile e apprezzata.","Mit begehrenswerter Feuer-
und Blockkraft. Verlässlich,
schnittig und beliebt.","Lanza pistola con poder
de disparo y bloqueo.
Fiel, elegante y popular.","Копьепушка с хорошей силой
выстрела и блокировки.
Надежная и популярная.","Lancopał o pożądanej
sile rażenia i blokowania.
Pewny, zgrabny, popularny.",,,"Lançarma com poder de fogo e
defesa razoáveis. Confiável,
elegante e popular.","포격과 가드 성능이 매력적인
건랜스. 안정된 성능과
디자인으로 인기가 좋다.","此銃槍的砲擊與防禦性能是它
最大的魅力。是一把有著穩定
性能與設計風格的熱門武器。","此铳枪的魅力是
出色的炮击与防御性能。
稳定的性能与设计大受欢迎。",,,,,,,,"بندقية رماح تُطلق نيرانًا
مستحسنة وقوة معرقلة.
إنها موثوقة وأنيقة ومشهورة.",,,,,,,,,,,
674581e9-a741-404e-9f95-e16ea6ebaef4,1190702376,W_GunLance_002_Explain,"討伐隊正式銃槍の強化型。安定
した性能から、街のギルドにも
正式に卸されている一品。","This upgraded version of the
Striker's Gunlance values
stability above all else.","Sa stabilité est son
meilleur atout.
Base : Lancecanon acier","Lancia-fucile assalto
potenziata. Predilige la
stabilità.","Für diese verbesserte
Stürmer-Gewehrlanze zählt
Stabilität über alles.","Versión mejorada de la
lanza pistola ariete con
mucha estabilidad.","Эта обновленная версия
Копьепушки ударника высоко
ценится за стабильность.","Ulepszona wersja szturmowego
lancopału wyróżnia się
głównie stabilnością.",,,"Essa versão melhorada
da Lançarma Atacante coloca
estabilidade acima de tudo.","토벌대정식총창의 강화형.
안정적인 성능으로 다른
길드에서도 사용하는 명품.","討伐隊正式銃槍的強化型。
有鑑於其穩定的性能，連城裡的
公會也都正式地大量採購。","讨伐队正式铳枪的强化型。
性能十分稳定，小镇公会
也将其作为正式用枪。",,,,,,,,"تُقدس هذه النسخة التي تمت
ترقيتها من بندقية رماح
المهاجم الثبات فوق كل شيء.",,,,,,,,,,,
33806c64-0bf7-44f8-8b60-7610686553b6,2202174184,W_GunLance_003_Explain,"安価に作成可能なガンランス。
性能面でも安定している。
まずはこれから。","An inexpensive but durable
gunlance. A good starter
weapon for any hunter.","Lancecanon d'un coût
modéré. Bonne arme de
base pour tout chasseur.","Lancia-fucile a poco prezzo.
È ottima per i cacciatori
principianti.","Günstige, aber nicht billige
Gewehrlanze. Gute Einstiegs-
waffe für jeden Jäger.","Una lanza pistola sencilla,
pero de buena calidad.
Una buena arma para empezar.","Недорогая, но прочная
копьепушка. Хорошее оружие
для любого охотника-новичка.","Niedrogi, ale wytrzymały
lancopał. Dobra broń
początkowa dla łowców.",,,"Lançarma barata, porém
durável. Uma boa arma para
qualquer caçador iniciante.","값싸게 만들 수 있는 건랜스.
성능도 안정적이다.
일단 시작은 이걸로.","能以低廉價格製造的銃槍。
性能方面也很穩定。
就先從這把武器開始用起吧。","能以低廉价格制造的铳枪。
性能方面也很稳定。
就先从这把武器开始用起吧。",,,,,,,,"بندقية رماح رخيصة
ولكنها متينة. سلاح بدائي
جيد مناسب لأي صياد.",,,,,,,,,,,
30e96176-208a-45e1-8647-7b053ed66c63,2868423211,W_GunLance_004_Explain,"安価に作成可能なガンランス。
性能面でも安定している。
まずはこれから。","An inexpensive but durable
gunlance. A good starter
weapon for any hunter.","Lancecanon d'un coût
modéré. Bonne arme de
base pour tout chasseur.","Lancia-fucile a poco prezzo.
È ottima per i cacciatori
principianti.","Günstige, aber nicht billige
Gewehrlanze. Gute Einstiegs-
waffe für jeden Jäger.","Una lanza pistola sencilla,
pero de buena calidad.
Una buena arma para empezar.","Недорогая, но прочная
копьепушка. Хорошее оружие
для любого охотника-новичка.","Niedrogi, ale wytrzymały
lancopał. Dobra broń
początkowa dla łowców.",,,"Lançarma barata, porém
durável. Uma boa arma para
qualquer caçador iniciante.","값싸게 만들 수 있는 건랜스.
성능도 안정적이다.
일단 시작은 이걸로.","能以低廉價格製造的銃槍。
性能方面也很穩定。
就先從這把武器開始用起吧。","能以低廉价格制造的铳枪。
性能方面也很稳定。
就先从这把武器开始用起吧。",,,,,,,,"بندقية رماح رخيصة
ولكنها متينة. سلاح بدائي
جيد مناسب لأي صياد.",,,,,,,,,,,
12a68144-23cc-4435-a814-4238dd837881,320128903,W_GunLance_005_Explain,"最新鋭の技術で作られた銃槍。
千年雨風にさらしても風化せぬ
と工房が豪語する程の逸品。","A state-of-the-art gunlance.
Even if left in eternal
rain, it'll never wear.","Inoxydable, même abandonné
au fond d'une mare.
Base : Lancecanon de fer","Lancia-fucile perfezionata.
Neppure la pioggia battente
la usura.","Hochmoderne Gewehrlanze.
Selbst in ewigem Regen würde
sie nicht verschleißen.","Lanza pistola férrea
finalizada. No se consumiría
ni expuesta a lluvia eterna.","Совершенная копьепушка.
Не испортится, даже если все
время будет под дождем.","Nowoczesny lancopał. Nawet
w wiecznym deszczu
nigdy się nie zniszczy.",,,"Lançarma de ponta. Ela não
enferruja, mesmo se deixada
eternamente na chuva.","최신 기술로 만든 건랜스.
천 년의 비바람에도 풍화되지
않는다고 공방이 공언한 명품.","以最先進的技術製成的銃槍。
是工房誇口保證，就算經過千年
風吹雨打也不會風化的武器。","用最尖端技术制造的铳枪。
工坊自信满满地声称，
即便经受千年风雨它也不惧。",,,,,,,,"بندقية رماح متطورة. لن
تبلى حتى وإن تُركت
معرضة لمطر أبدي.",,,,,,,,,,,
048b21f1-67a6-48d9-8362-8f96a392b3d3,3510305731,W_GunLance_006_Explain,"更なる脅威に備えて、性能を
高めた逸品。匠の技による
仕上げは、誰の手にもなじむ。","A gunlance enhanced by a
master craftsman. Adaptable
enough for anyone to wield.","Lancecanon amélioré par
un expert mais qui
reste facile à utiliser.","Lancia-fucile migliorata da
un maestro artigiano, ma
utilizzabile da chiunque.","Durch Meisterhandwerker ver-
besserte Gewehrlanze. Kann
von jedem benutzt werden.","Una lanza pistola mejorada
por un maestro, pero fácil
de utilizar por cualquiera.","Копьепушка, улучшенная
мастером. Адаптируется
под любого хозяина.","Lancopał ulepszony przez
mistrza rzemiosła.
Łatwy w obsłudze.",,,"Lançarma aprimorada por um
mestre artesão. Versátil,
todos são capazes de usar.","큰 위협에 대비하여 성능을
향상시킨 명품. 장인의 기술로
완성하여 누구든 쓸 수 있다.","為了防範更強大的威脅，而將性
能提升的優質品。經過工匠的巧
手，讓任何人拿起來都很順手。","提升性能以防患于未然的珍品。
经过工匠的精巧加工，
用起来非常顺手。",,,,,,,,"بندقية رماح صقلها حِرفي
ماهر. قابلة للتكيّف بصورة
كافية ليحملها أي شخص.",,,,,,,,,,,
4c85170e-b1fd-4da4-9b9f-b0b52a073741,346981332,W_GunLance_007_Explain,"更なる脅威に備えて、性能を
高めた逸品。匠の技による
仕上げは、誰の手にもなじむ。","A gunlance enhanced by a
master craftsman. Adaptable
enough for anyone to wield.","Lancecanon amélioré par
un expert mais qui
reste facile à utiliser.","Lancia-fucile migliorata da
un maestro artigiano, ma
utilizzabile da chiunque.","Durch Meisterhandwerker ver-
besserte Gewehrlanze. Kann
von jedem benutzt werden.","Una lanza pistola mejorada
por un maestro, pero fácil
de utilizar por cualquiera.","Копьепушка, улучшенная
мастером. Адаптируется
под любого хозяина.","Lancopał ulepszony przez
mistrza rzemiosła.
Łatwy w obsłudze.",,,"Lançarma aprimorada por um
mestre artesão. Versátil,
todos são capazes de usar.","큰 위협에 대비하여 성능을
향상시킨 명품. 장인의 기술로
완성하여 누구든 쓸 수 있다.","為了防範更強大的威脅，而將性
能提升的優質品。經過工匠的巧
手，讓任何人拿起來都很順手。","提升性能以防患于未然的珍品。
经过工匠的精巧加工，
用起来非常顺手。",,,,,,,,"بندقية رماح صقلها حِرفي
ماهر. قابلة للتكيّف بصورة
كافية ليحملها أي شخص.",,,,,,,,,,,
4911362d-379c-4c8f-810b-6f72b1e14b3a,749387196,W_GunLance_008_Explain,"これぞ狩人たちの巧智の結晶。
いずれ来る災厄から未来を守る
ジェネラルパルド強化形態。","This upgraded version of the
General's Arbalance never
fails in times of crisis.","Toujours à la hauteur
en temps de crise.
Base : Arbalance de général","Arbalancia generale
potenziata. In tempi di
crisi non delude mai.","Auf die verbesserte General-
Arbalanze ist selbst in
größter Bedrängnis Verlass.","Arbalanza general
finalizada. No falla nunca
en momentos de crisis.","Эта улучшенная версия
Арбаланса генерала никогда
не подведет.","Ulepszona wersja arbalancy
generała nigdy nie zawiedzie
w krytycznej sytuacji.",,,"Essa versão melhorada da
Arbalança do General nunca
deixa o usuário na mão.","사냥꾼들이 가진 기지의 결정.
언젠가 찾아올 재앙을 막아낼
제너럴파르도의 강화 형태.","這便是獵人們智慧的結晶。
在終將來臨的災難中守護我們的
未來。是王家護衛的強化型態。","这就是猎人们智慧的结晶。
王家护卫的强化形态，
在终将来临的灾难中守护未来。",,,,,,,,"لن تخذلك هذه النسخة
التي تمت ترقيتها من أربالانس
الجنرال وقت الأزمات.",,,,,,,,,,,
e370b9da-3fd0-4b5f-bf64-24dbc2f716e0,2805353663,W_GunLance_009_Explain,"初心者の入門用ガンランス。
扱いやすい上に軽い為、腕を
磨くのに最適。","An introductory gunlance for
beginning hunters. A light
design great for sparring.","Lancecanon de base pour
chasseurs novices. Léger et
idéal pour l'entraînement.","Lancia-fucile per cacciatori
principianti. Leggera,
ideale per allenarsi.","Einstiegsgewehrlanze für
Jagdanfänger. Perfekt zum
Üben dank der Leichtigkeit.","Lanza pistola para cazadores
principiantes. Con diseño
perfecto para practicar.","Копьепушка начального уровня
для новичков. Легка и удобна
для учебных поединков.","Lancopał dla nowicjuszy.
Lekka konstrukcja, doskonale
nadaje się do sparingów.",,,"Lançarma introdutória para
caçadores novos. Tem design
leve, ótimo para praticar.","초보자들이 사용하는 건랜스.
다루기 쉽고 가벼워서
실력을 키우는 데 좋다.","新手入門用的銃槍。
輕巧而且好上手，
用來磨練技巧是再適合不過了。","新手入门用的铳枪。
轻巧且操作简单，
适合用来磨练技巧。",,,,,,,,"بندقية رماح بدائية تناسب
الصيادين المبتدئين. ذات
تصميم خفيف مثالي للمبارزة.",,,,,,,,,,,
c950406c-e1fd-4b2e-80af-56ce8e032637,3435972859,W_GunLance_010_Explain,"初心者の入門用ガンランス。
扱いやすい上に軽い為、腕を
磨くのに最適。","An introductory gunlance for
beginning hunters. A light
design great for sparring.","Lancecanon de base pour
chasseurs novices. Léger et
idéal pour l'entraînement.","Lancia-fucile per cacciatori
principianti. Leggera,
ideale per allenarsi.","Einstiegsgewehrlanze für
Jagdanfänger. Perfekt zum
Üben dank der Leichtigkeit.","Lanza pistola para cazadores
principiantes. Con diseño
perfecto para practicar.","Копьепушка начального уровня
для новичков. Легка и удобна
для учебных поединков.","Lancopał dla nowicjuszy.
Lekka konstrukcja, doskonale
nadaje się do sparingów.",,,"Lançarma introdutória para
caçadores novos. Tem design
leve, ótimo para praticar.","초보자들이 사용하는 건랜스.
다루기 쉽고 가벼워서
실력을 키우는 데 좋다.","新手入門用的銃槍。
輕巧而且好上手，
用來磨練技巧是再適合不過了。","新手入门用的铳枪。
轻巧且操作简单，
适合用来磨练技巧。",,,,,,,,"بندقية رماح بدائية تناسب
الصيادين المبتدئين. ذات
تصميم خفيف مثالي للمبارزة.",,,,,,,,,,,
c57cdbc2-11dc-4254-b0b5-d1ad6a677ef1,2215526126,W_GunLance_011_Explain,"厳選された骨素材で強化した
骨銃槍の強化版。扱いやすく、
実戦を意識した造り。","This upgraded Bone Gunlance
is used by beginners in
their first test of courage.","Utile aux débutants pour
leur première épreuve.
Base : Lancecanon en os","Lancia-fucile potenziata.
Usata per la prima prova
di coraggio.","Verbesserte Knochen-Gewehr-
lanze, wird von Anfängern in
Mutproben genutzt.","Lanza pistola ósea mejorada
usada por novatos
en su primera misión.","С этой улучшенной костяной
копьепушкой новички проходят
первое испытание.","Ulepszony kościany lancopał.
Używają go nowicjusze przy
pierwszej próbie odwagi.",,,"Essa lançarma é usada
por iniciantes, no primeiro
teste de coragem deles.","엄선된 뼈로 강화한 골총창의
강화판. 다루기 쉽고
실전을 의식한 구조.","使用精挑細選的素材進行
強化的骨銃槍強化版。構造
適合實戰，且相當容易揮舞。","用精挑细选的骨素材强化的
骨铳枪强化版。
操作简单，构造适合实战。",,,,,,,,"استخدم المبتدؤون بندقية رماح
عظمية تمت ترقيتها في
اختبارهم الأول في الشجاعة.",,,,,,,,,,,
