guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
39bf5b81-25ef-4e86-a0b6-ebc6e46df1fd,3192713250,W_GunLance_300_Explain,"不規則に舞う木の葉も撃ち抜く
巧みな加工。カムラの里の成熟
した技術が生み出した逸品。","A high-quality gunlance from
Kamura Village. Crafted to
ensure extreme accuracy.","Son excellente précision en
fait la fierté de Kamura.
Base : Lancecanon Kamura","Lancia-fucile di qualità
forgiata a Kamura. La
sua precisione è assoluta.","Eine hochwertige Gewehrlanze
aus Kamura, die extreme
Treffsicherheit garantiert.","Lanza pistola de Kamura de
calidad superior. Hecha para
asegurar la puntería.","Копьепушка высокого качества
из деревни Камура. Обладает
уникальной точностью.","Wysokiej jakości lancopał
z Kamury. Wykonanie zapewnia
wyjątkową dokładność.",,,"Lançarma de alta qualidade
da Aldeia Kamura. Tem uma
precisão formidável.","불규칙하게 떨어지는 나뭇잎도
관통할 수 있도록 가공. 카무라
마을의 기술이 만들어낸 명품.","經過巧妙加工，能夠擊中不規律
飄落的樹葉。展現出神火村
成熟技術打造而成的逸品。","精妙的加工让它能轻松击穿
飘落的树叶。炎火村的成熟
技术才能造就如此佳品。",,,,,,,,"بندقية رماح عالية الجودة
من قرية كامورا. صنُعت بطريقة
تضمن الدقة الفائقة.",,,,,,,,,,,
673869e4-3b2c-451a-8bcc-7dd0a470197b,2814046606,W_GunLance_301_Explain,"不規則に舞う木の葉も撃ち抜く
巧みな加工。カムラの里の成熟
した技術が生み出した逸品。","A high-quality gunlance from
Kamura Village. Crafted to
ensure extreme accuracy.","Son excellente précision en
fait la fierté de Kamura.
Base : Lancecanon Kamura","Lancia-fucile di qualità
forgiata a Kamura. La
sua precisione è assoluta.","Eine hochwertige Gewehrlanze
aus Kamura, die extreme
Treffsicherheit garantiert.","Lanza pistola de Kamura de
calidad superior. Hecha para
asegurar la puntería.","Копьепушка высокого качества
из деревни Камура. Обладает
уникальной точностью.","Wysokiej jakości lancopał
z Kamury. Wykonanie zapewnia
wyjątkową dokładność.",,,"Lançarma de alta qualidade
da Aldeia Kamura. Tem uma
precisão formidável.","불규칙하게 떨어지는 나뭇잎도
관통할 수 있도록 가공. 카무라
마을의 기술이 만들어낸 명품.","經過巧妙加工，能夠擊中不規律
飄落的樹葉。展現出神火村
成熟技術打造而成的逸品。","精妙的加工让它能轻松击穿
飘落的树叶。炎火村的成熟技术
才能造就如此佳品。",,,,,,,,"بندقية رماح عالية الجودة
من قرية كامورا. صنُعت بطريقة
تضمن الدقة الفائقة.",,,,,,,,,,,
ae1bb761-588b-48cf-876d-41267833bbce,1197181129,W_GunLance_302_Explain,"使い手の熟練度に合わせ、衝撃
と火力のバランスを限界まで
突き詰めた、里随一の銃槍。","The best homegrown gunlance
with firepower matching its
user's experience perfectly.","Sa puissance de feu est à la
hauteur de l'expérience
de celui qui s'en sert.","Lancia-fucile la cui potenza
di fuoco è pari all'esperienza
di chi la brandisce.","Bester Gewehrlanzen-Eigen-
bau, dessen Feuerkraft zum
Können ihres Trägers passt.","La mejor lanza pistola casera,
con un poder de disparo
a la altura del portador.","Лучшая из местных копьепу-
шек. Огневая мощь соответ-
ствует мастерству владельца.","Najlepszy lokalny lancopał z
siłą ognia odzwierciedlającą
doświadczenie użytkownika.",,,"A melhor lançarma caseira
com poder de fogo perfeito
para o usuário.","사용자 숙련도에 맞춰 충격과
화력의 균형을 한계까지
끌어낸 마을 제일의 건랜스.","配合使用者的熟練度，
將衝擊與火力間的平衡調整
至極限，為村裡最好的銃槍。","村中首屈一指的铳枪。
配合使用者的熟练程度，将后
坐力与火力平衡至极限。",,,,,,,,"أفضل بندقية رماح محلية
مع قوة نيران تتناسب
تمامًا مع تجربة المستخدم.",,,,,,,,,,,
a24504c6-3f4f-4d4a-8a7a-6548bf6db283,374633234,W_GunLance_303_Explain,"煌々と輝く爵銀龍の銃槍。
その砲撃には、どんなに堅牢な
城壁をも打ち崩す威力がある。","A glittering metal Malzeno
gunlance, with the power to
raze castle crenellations.","Lancecanon Malzeno étincelant
dont la puissance permet
de raser un château.","Lancia-fucile Malzeno in
lucente metallo, distrugge
le merlature dei castelli.","Eine funkelnde Malzeno-
Gewehrlanze, die Zinnen-
mauern niederreißen kann.","Lanza pistola de Malzeno
hecha de metal reluciente.
Permite derruir almenas.","Металлическая копьепушка
Малзено. Способна крушить
фортификации.","Błyszczący lancopał z Malzeno
o mocy rozbijania zamkowych
krenelaży.",,,"Lançarma brilhante de
Malzeno, com o poder de
destruir ameias de castelos.","휘황찬란한 은작룡의 건랜스.
그 포격은 아무리 견고한
성벽도 부수는 위력을 가졌다.","耀眼輝煌的爵銀龍銃槍。
砲擊威力十足，無論多麼堅固
的城牆都無法承受其轟炸。","光彩夺目的爵银龙铳枪。
其炮击威力极为强大，
铜墙铁壁亦可轻易摧毁。",,,,,,,,"بندقية رماح مالزينو المعدنية
المتلألئة، لديها القدرة
على هدم سور القلعة.",,,,,,,,,,,
12838f9f-d99a-42e6-b365-c5a9ca838c89,2409002394,W_GunLance_304_Explain,"焼き焦がすほどの砲撃を受けた
獲物は、断末魔の叫びをあげ、
その身は無惨な灰と化す。","All targets bathed in the
fire spat from this barrel
scream out and burn to ash.","Toute cible prise sous
le feu de ce canon
termine en cendres.","Tutti i bersagli raggiunti
dal suo schizzo di fuoco
bruciano fra orride urla.","Alle Feuerziele
dieses Rohrs verbrennen
schreiend zu Asche.","Sus ígneos disparos calcinan
a todos sus objetivos mientras
estos no dejan de gritar.","Все, кто попал в огонь,
исторгнутый этим стволом,
в муках сгорают дотла.","Wszystkie cele skąpane w
ogniu tej broni z krzykiem
obracają się w proch.",,,"Todos atingidos pelo fogo
cuspido desse cano gritam
e viram cinzas.","불사르는 듯한 포격을 맞은
사냥감은 단말마와 함께
무참히 재가 된다.","此銃之砲擊足以燃盡萬物。
遭其轟炸的獵物將放聲慘叫，
並悽慘地化為灰燼。","承受着燃尽一切的炽热炮击，
猎物唯有在痛苦哀嚎后，悲惨地
化为灰烬。",,,,,,,,"تصرخ جميع الأهداف المغمورة 
في لهيب نار هذا البرميل،
وتحترق، وتتحول إلى رماد.",,,,,,,,,,,
a7217da1-d1a7-4d29-b4e9-ee29fc434a59,1652944614,W_GunLance_305_Explain,"水霧に映る雅なる銃槍の光は、
夜天の月魄の如く骸を照らす。
狐灯槍ウキヨノヤミヲ強化型。","The Ukiyo no Yamiwo's
upgraded form shimmers
morosely within the mist.","Brille d'un morne
éclat dans la brume.
Base : Ukiyo no Yamiwo","Potenziamento della
Ukiyo no Yamiwo.
Riverbera cupa nella nebbia.","Die verbesserte Form der
Ukiyo no Yamiwo schimmert
missmutig durch den Nebel.","Ukiyo no Yamiwo finalizado.
Brilla tenuemente en la niebla.","Улучшенная форма
Укиё но Ямиво мрачно
мерцает в тумане.","Ulepszona wersja Ukiyo
no Yamiwo lśni
ponuro we mgle.",,,"A versão melhorada da Ukiyo
no Yamiwo emite um brilho
soturno no meio da névoa.","안개에 비치는 건랜스의 빛이
하늘의 달처럼 유해를 비추네.
우키요노야미오의 강화형.","映照在水霧上，雅致銃槍之光，
有如夜空中的明月照亮骸骨。
狐燈槍浮世沐絕行的強化型態。","映照于水雾上的风雅铳枪之光，
如夜空中的明月一般照亮骸骨。
狐灯枪【沐辉决绝行】强化型。",,,,,,,,"شكل يوكيو نو ياميو الذي
تمت ترقيته، يلمع بخفوت
في الضباب.",,,,,,,,,,,
ffeeb3f6-c1d4-4a3a-9d32-82e312751d4c,2490272250,W_GunLance_306_Explain,"荒ぶる神すら退け、愛し君の
平穏を護らん。薄紅の灯槍よ
願わくは不朽不滅であれ。","Fend off rampant gods.
Let tranquility reign.
O' crimson beacon, never die.","Repousse les dieux déchaînés.
Que la tranquillité règne.
Ô lumière écarlate, immortelle.","Sconfiggi gli dei e fai
regnare la pace. O faro
cremisi, non abbandonarci.","Wehre tobende Götter ab.
Lass Gelassenheit regieren.
Oh Purpurflamme, stirb nicht.","Ahuyenta a dioses desenfrenados.
Deja que reine la calma. No te
extingas jamás, llama carmesí.","Долой оголтелых богов.
Да воцарится покой.
О, алый светоч, не умирай.","Odpędź szalejących bogów.
Niech zapanuje spokój. Nie
giń, karmazynowa latarnio.",,,"Repele deuses exaltados. A
tranquilidade reina. Ó velho
farol rubro, nunca morra.","난폭한 신을 물리쳐 사랑스러운
그대의 평온을 지키리라. 분홍
등창이여 부디 불멸하기를.","為守護深愛之人的安寧，
連暴虐之神亦加以擊退。
淡紅色的燈槍啊，願你萬古不朽。","连凶神也可驱散，守护心爱之人
的平安。浅红的灯枪啊，愿永存
不灭。",,,,,,,,"يصد الآلهة الهائجة.
دع الهدوء يسود.
يا منارة قرمزية، لن تموت أبدًا.",,,,,,,,,,,
040ff301-cd4c-4543-a9ec-49bdca1166a9,1999103156,W_GunLance_307_Explain,"荒ぶる神すら退け、愛し君の
平穏を護らん。薄紅の灯槍よ
願わくは不朽不滅であれ。","Fend off rampant gods.
Let tranquility reign.
O' crimson beacon, never die.","Repousse les dieux déchaînés.
Que la tranquillité règne.
Ô lumière écarlate, immortelle.","Sconfiggi gli dei e fai
regnare la pace. O faro
cremisi, non abbandonarci.","Wehre tobende Götter ab.
Lass Gelassenheit regieren.
Oh Purpurflamme, stirb nicht.","Ahuyenta a dioses desenfrenados.
Deja que reine la calma. No te
extingas jamás, llama carmesí.","Долой оголтелых богов.
Да воцарится покой.
О, алый светоч, не умирай.","Odpędź szalejących bogów.
Niech zapanuje spokój. Nie
giń, karmazynowa latarnio.",,,"Repele deuses exaltados. A
tranquilidade reina. Ó velho
farol rubro, nunca morra.","난폭한 신을 물리쳐 사랑스러운
그대의 평온을 지키리라. 분홍
등창이여 부디 불멸하기를.","為守護深愛之人的安寧，
連暴虐之神亦加以擊退。
淡紅色的燈槍啊，願你萬古不朽。","连凶神也可驱散，守护心爱之人
的平安。浅红的灯枪啊，愿永存
不灭。",,,,,,,,"يصد الآلهة الهائجة.
دع الهدوء يسود.
يا منارة قرمزية، لن تموت أبدًا.",,,,,,,,,,,
debc5213-277c-41c2-80a3-3e35b80176d0,1048015985,W_GunLance_308_Explain,"悪霊満つる闇夜照らす退魔具を
象った銃槍。灯せよ、放たれた
白光は昏冥を照らし邪を祓う。","An evil-warding gunlance
that emits pure white light,
driving back the darkness.","Lancecanon ennemi du mal
qui émet une lumière blanche
pure, repoussant les ténèbres.","Lancia-fucile che emette una
pura luce bianca che scaccia
l'oscurità. Protegge dal male.","Die Gewehrlanze drängt
mit reinem weißen Licht
die Dunkelheit zurück.","Lanza pistola que protege del
mal y emite una luz blanca y
pura que ahuyenta la oscuridad.","Копьепушка, отгоняющая зло.
Испускает чистый белый свет,
разгоняющий тьму.","Lancopał odstraszający zło.
Emituje czyste, białe światło,
rozjaśniając ciemność.",,,"Lançarma protetora do mal
que emite pura luz branca,
afastando a treva.","악령이 들끓는 밤을 밝히는
퇴마구를 본뜬 건랜스. 흰빛이
어둠을 밝혀 악을 쫓는다.","仿照照亮惡靈肆虐黑夜之驅魔具
製成的銃槍。閃耀吧，此槍散發
的白光會照亮昏冥，驅除邪惡。","模仿在恶灵游荡的暗夜中闪耀的
除魔器制作的铳枪。照亮吧，散
发的白光照亮幽暗，祛除邪恶。",,,,,,,,"بندقية رماح شريرة ينبعث
منها ضوء أبيض نقي،
وتدحر الظلام إلى الخلف.",,,,,,,,,,,
abff729d-efd7-42a2-911f-6ec0fcad6058,3099837892,W_GunLance_309_Explain,"強化形態プリンセスバーストが
地上に死の華を咲かす。女王の
壮麗たる魂を宿す濃緑の銃槍。","A Princess Panoply upgrade
that turns battlefields into
gardens of death.","Transforme le champ de
bataille en un cimetière.
Base : Panoplie de princesse","Potenziamento dello sfarzo
principesco. L'arena diventa
un giardino di morte.","Die verbesserte Prinzes-
sinnenzier macht Schlacht-
felder zu Gärten des Todes.","Panoplia princesa mejorada
que convierte los campos
en jardines de la muerte.","Улучшение Трофея принцессы,
которое превращает поля
сражений в сады смерти.","Ulepszenie panoplii
księżniczki. Zmienia pola
bitwy w ogrody śmierci.",,,"Panóplia Princesa versão
melhorada. As batalhas
se tornam jardins da morte.","강화형 프린세스버스트가
죽음의 꽃을 피운다. 여왕의
혼이 담긴 심록의 건랜스.","強化型態的公主銃槍會在地面上
盛開死亡之花。寄宿著女王的
壯麗靈魂的濃綠銃槍。","强化形态的公主爆裂铳枪。
寄宿女王壮丽灵魂的浓绿铳枪，
令地面盛开死亡之花。",,,,,,,,"ترقية الأميرة بانوبولي التي
تحول أراضي المعركة
إلى حدائق الموت.",,,,,,,,,,,
